%idle,aceph01,aceph02,aceph03,aceph04
0,0.25,0.25,0.25,0.0
1,1.01,0.13,1.01,0.25
2,2.89,1.99,7.2,0.25
3,0.13,0.12,0.38,0.25
4,0.0,0.13,1.88,0.25
5,0.37,0.13,3.93,0.12
6,0.25,0.0,4.15,0.0
7,0.12,0.0,0.5,0.12
8,0.38,0.12,6.74,0.0
9,0.0,0.0,3.4,0.0
10,0.12,1.26,2.74,0.12
11,0.25,4.53,5.47,0.0
12,0.12,0.25,3.28,0.25
13,0.13,0.12,0.63,0.12
14,0.12,4.61,2.13,0.13
15,0.0,0.5,0.5,0.38
16,0.12,3.78,0.12,0.12
17,0.0,0.87,0.0,0.38
18,0.12,0.0,0.12,0.75
19,0.0,0.12,0.0,0.5
20,0.13,0.0,0.13,1.76
21,0.12,0.12,0.38,0.25
22,0.13,0.5,0.0,0.0
23,0.0,0.25,0.13,0.12
24,0.12,0.0,0.0,0.12
25,0.13,0.38,0.12,0.0
26,0.0,1.5,0.0,0.12
27,0.0,0.13,0.0,0.0
28,0.12,0.13,0.0,0.12
29,0.0,0.25,0.25,0.0
30,0.0,0.25,0.13,0.0
31,0.12,0.25,0.0,0.12
32,0.0,0.13,0.0,0.12
33,0.0,0.0,0.25,0.0
34,0.0,0.12,0.0,0.13
35,0.0,0.13,0.25,0.0
36,0.0,0.12,0.37,0.12
37,0.25,0.0,0.0,0.12
38,0.0,0.75,0.12,0.12
39,0.12,1.38,0.0,0.12
40,0.12,2.14,0.12,0.0
41,0.0,0.5,0.13,0.25
42,0.13,0.0,0.25,0.13
43,0.12,0.13,0.12,0.0
44,0.0,0.0,0.25,0.0
45,0.12,0.0,0.12,0.12
46,0.0,0.0,0.25,0.12
47,0.25,0.0,0.38,0.0
48,0.0,0.0,1.01,0.0
49,0.0,0.12,1.0,0.12
50,0.0,0.0,1.52,0.0
51,0.0,0.0,0.63,0.0
52,0.0,0.0,0.62,0.0
53,0.0,0.0,0.38,0.12
54,0.13,0.13,0.12,0.0
55,0.0,0.13,0.0,0.0
56,0.0,2.0,0.13,0.0
57,0.0,0.0,0.25,0.0
58,0.0,0.12,0.0,0.13
59,0.0,0.25,0.0,0.0
60,0.0,0.13,0.12,0.0
61,0.0,0.25,0.0,0.0
62,0.0,0.25,0.0,0.0
63,0.0,0.12,0.0,0.12
64,0.0,1.89,0.0,0.38
65,0.0,4.3,0.0,0.12
66,0.0,0.13,0.0,0.25
67,0.0,0.13,0.13,0.0
68,0.0,0.0,0.0,0.0
69,0.13,0.0,0.12,0.25
70,0.0,0.12,0.0,0.12
71,0.0,0.0,0.0,0.13
72,0.0,0.0,0.0,0.25
73,0.0,0.37,0.0,0.0
74,0.0,0.0,0.12,0.12
75,0.0,0.13,0.0,0.13
76,0.0,0.0,0.0,0.12
77,0.0,0.12,0.0,0.0
78,0.0,0.0,0.0,0.25
79,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.25
81,0.0,0.0,0.0,0.0
82,0.0,0.0,0.12,0.0
83,0.0,0.0,0.0,0.13
84,0.0,0.0,0.13,0.25
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.13,0.12
87,0.0,0.0,0.25,0.0
88,0.0,0.0,0.0,0.12
89,0.0,0.0,0.0,0.0
90,0.13,0.0,0.0,0.0
91,0.12,0.0,0.0,0.12
92,0.12,0.0,0.0,0.12
93,0.13,0.0,0.13,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.12,0.0
96,0.13,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.12,0.5,0.12,0.0
99,0.0,0.25,0.0,0.12
100,0.0,0.38,0.0,0.12
101,0.0,0.13,0.12,0.0
102,0.0,0.5,0.0,0.12
103,0.0,0.25,0.12,0.12
104,0.0,0.12,0.0,0.0
105,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0
107,0.0,0.13,0.0,0.0
108,0.0,0.25,0.0,0.0
109,0.0,0.25,0.0,0.0
110,0.0,0.25,0.0,0.0
111,0.0,0.37,0.0,0.12
112,0.0,0.38,0.0,0.0
113,0.0,0.0,0.0,0.0
114,0.0,0.13,0.0,0.0
115,0.0,0.25,0.0,0.13
116,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.13
118,0.0,0.12,0.13,0.0
119,0.0,0.0,0.0,0.0
120,0.12,0.13,0.0,0.0
121,0.0,0.0,0.12,0.0
122,0.0,0.13,0.0,0.0
123,0.0,0.0,0.0,0.0
124,0.0,1.14,0.0,0.0
125,0.0,0.0,0.0,0.13
126,0.0,0.25,0.0,0.0
127,0.0,1.64,0.0,0.0
128,0.0,0.0,0.0,0.0
129,0.0,0.25,0.0,0.0
130,0.0,0.13,0.0,0.13
131,0.0,0.25,0.13,0.0
132,0.0,0.0,0.12,0.0
133,0.0,0.12,0.0,0.0
134,0.13,0.0,0.0,0.0
135,0.13,0.0,0.12,0.12
136,0.12,0.13,0.0,0.0
137,0.0,0.12,0.0,0.0
138,0.0,0.0,0.12,0.0
139,0.0,0.0,0.0,0.0
140,0.12,0.12,1.64,0.0
141,0.0,0.0,0.13,0.0
142,0.0,0.0,0.5,0.0
143,0.0,0.0,0.88,0.0
144,0.0,0.0,0.38,0.0
145,0.0,0.0,0.13,0.0
146,0.0,0.0,0.25,0.0
147,0.0,0.0,0.0,0.12
148,0.0,0.0,0.0,0.0
149,0.0,0.12,0.25,0.0
150,0.12,0.0,0.13,0.0
151,0.0,0.0,0.25,0.0
152,0.0,0.12,0.25,0.0
153,0.0,0.0,0.13,0.0
154,0.0,0.0,0.0,0.25
155,0.0,0.12,0.0,0.0
156,0.0,0.13,0.0,0.13
157,0.12,0.12,0.0,0.0
158,0.0,0.0,0.0,0.12
159,0.0,0.0,0.13,0.0
160,0.13,0.13,0.12,0.13
161,0.0,0.0,0.0,0.0
162,0.0,0.12,0.0,0.12
163,0.0,0.0,0.0,0.0
164,0.0,0.25,0.25,0.0
165,0.0,0.13,0.12,0.0
166,0.0,0.0,0.0,0.0
167,0.0,0.0,0.12,0.0
168,0.0,1.64,0.12,0.0
169,0.0,0.13,0.0,0.0
170,0.0,0.13,0.13,0.0
171,0.0,0.12,0.13,0.0
172,0.0,0.25,0.0,0.12
173,0.0,0.38,0.0,0.0
174,0.0,0.38,0.12,0.25
175,0.0,0.5,0.0,0.0
176,0.12,0.13,0.0,0.0
177,0.0,0.13,0.0,0.0
178,0.0,0.37,0.0,0.12
179,0.0,0.13,0.0,0.13
180,0.12,0.12,0.0,0.0
181,0.0,0.0,0.0,0.0
182,0.0,0.13,0.0,0.0
