avgrq-sz,aceph01,aceph02,aceph03,aceph04
0,21.407,20.211,20.028,20.356
1,18.705,19.375,19.011,19.518
2,20.405,19.972,20.225,19.298
3,19.96,21.269,19.937,19.761
4,19.233,19.24,18.296,18.816
5,19.214,19.576,19.433,20.75
6,19.474,19.199,18.621,19.616
7,19.074,18.454,19.097,19.465
8,18.411,18.639,18.074,20.264
9,18.974,18.521,17.915,19.996
10,18.692,18.739,18.114,20.122
11,19.172,18.143,18.986,19.215
12,19.721,19.812,17.967,20.452
13,19.129,18.971,18.469,19.195
14,18.667,18.198,18.756,18.183
15,19.545,18.741,19.589,19.765
16,19.209,18.847,18.268,18.929
17,18.992,19.411,18.539,19.18
18,19.771,18.241,18.829,19.594
19,18.588,18.936,18.73,19.136
20,19.778,18.625,19.55,18.855
21,19.451,18.144,19.187,18.713
22,19.759,20.488,18.313,19.029
23,19.495,19.345,18.76,19.335
24,18.29,18.708,19.314,18.879
25,18.503,19.163,19.634,19.132
26,18.892,18.887,19.653,19.141
27,17.973,18.933,18.541,19.502
28,18.384,18.946,17.864,19.264
29,18.989,19.17,18.572,18.313
30,19.402,18.84,19.187,19.514
31,19.29,19.528,19.015,19.287
32,19.998,19.123,18.619,18.708
33,18.888,19.526,20.066,19.5
34,19.347,19.016,18.646,18.683
35,19.075,19.645,19.762,19.648
36,19.978,19.146,18.945,19.116
37,18.296,19.495,19.161,19.758
38,18.83,18.417,18.662,18.913
39,18.812,17.796,19.065,19.329
40,18.708,18.424,18.29,18.877
41,18.042,18.586,18.76,18.93
42,19.087,18.95,19.064,18.592
43,18.662,19.238,19.042,19.177
44,19.015,19.667,18.823,19.775
45,19.214,18.863,19.518,19.169
46,18.382,19.07,18.7,20.247
47,18.195,19.986,19.065,19.055
48,18.267,20.014,18.219,19.349
49,19.02,19.608,18.611,19.094
50,18.986,19.066,18.351,19.235
51,19.278,20.604,18.625,18.538
52,18.757,19.146,18.82,18.539
53,18.447,19.276,18.712,19.931
54,19.347,19.169,19.943,18.118
55,18.039,18.878,18.797,17.922
56,19.09,18.869,18.486,18.768
57,19.238,20.042,18.858,18.795
58,18.583,19.352,18.849,19.825
59,20.19,18.984,18.531,19.296
60,19.334,18.841,19.73,19.494
61,18.429,18.547,19.168,19.19
62,18.385,18.988,19.232,19.112
63,18.313,18.372,19.424,20.06
64,18.219,18.246,19.26,18.368
65,19.486,19.61,19.05,18.623
66,19.178,18.803,18.736,19.239
67,18.859,19.24,19.337,19.166
68,18.332,19.543,19.326,18.851
69,18.401,19.35,19.439,19.321
70,18.078,20.161,19.559,19.526
71,20.02,18.636,19.222,19.526
72,19.007,18.288,18.252,19.896
73,19.204,18.738,20.507,18.394
74,18.851,20.532,19.225,18.489
75,19.004,19.594,19.087,18.692
76,20.137,19.484,18.606,18.651
77,19.345,18.952,18.427,18.04
78,19.891,20.16,18.581,18.224
79,19.287,19.482,19.724,19.034
80,18.586,18.116,18.73,19.914
81,18.301,20.218,18.716,18.818
82,18.815,18.751,19.275,18.232
83,18.574,19.228,18.613,19.253
84,19.46,19.008,19.868,19.775
85,17.859,18.691,20.374,19.13
86,18.434,19.085,19.414,18.029
87,18.346,19.479,19.602,18.558
88,18.661,19.379,19.209,19.033
89,18.995,20.168,19.537,20.274
90,18.22,18.741,19.34,20.153
91,19.521,18.6,19.645,18.865
92,18.603,19.208,18.818,19.163
93,19.563,19.251,19.436,18.941
94,19.002,19.678,19.634,19.648
95,18.799,18.461,18.467,17.838
96,18.376,18.613,18.867,19.044
97,18.089,18.907,19.337,19.076
98,19.24,18.44,19.075,19.167
99,19.989,18.629,20.102,19.11
100,18.337,19.191,18.847,18.282
101,18.962,18.356,19.453,19.043
102,18.84,19.105,19.324,19.576
103,18.789,19.378,17.9,19.638
104,18.687,19.031,17.475,19.515
105,18.962,19.09,18.453,21.025
106,19.222,19.289,20.01,18.8
107,18.531,18.852,18.691,19.357
108,18.524,18.672,19.012,18.969
109,19.202,20.172,19.284,20.226
110,19.228,18.32,18.659,19.883
111,19.156,17.792,18.269,19.892
112,18.685,19.21,18.924,19.532
113,18.617,19.658,19.329,21.276
114,19.056,19.825,19.814,19.569
115,18.673,20.225,19.63,19.184
116,18.606,19.48,19.448,19.51
117,20.135,20.071,19.294,19.719
118,19.507,22.046,19.61,19.898
119,20.477,19.168,18.699,19.956
120,18.641,19.17,17.938,19.138
121,18.433,19.687,19.193,19.573
122,18.055,19.073,18.437,19.614
123,18.189,18.902,21.04,19.895
124,18.602,18.631,19.012,18.869
125,18.663,18.503,18.805,19.011
126,18.682,18.132,18.67,18.379
127,17.799,18.103,18.946,18.902
128,18.952,18.38,18.146,17.956
129,19.046,19.747,18.537,18.676
130,18.975,18.846,19.016,19.374
131,19.003,18.789,19.291,19.625
132,18.968,19.175,18.952,18.744
133,17.909,19.546,19.207,18.267
134,19.053,19.211,18.383,19.082
135,20.243,19.233,17.951,19.171
136,18.437,18.743,18.785,19.574
137,19.405,19.962,18.113,19.759
138,18.808,19.295,18.599,18.282
139,19.779,18.453,18.496,19.084
140,18.694,19.466,18.363,19.306
141,20.212,18.757,18.68,18.756
142,18.851,18.566,18.94,22.109
143,19.338,18.394,18.47,18.843
144,18.622,19.23,19.447,19.705
145,18.621,19.031,18.761,20.498
146,19.347,19.204,19.485,18.661
147,19.511,19.934,18.666,19.295
148,19.182,19.862,18.823,18.406
149,20.303,18.913,20.016,18.925
