await,aceph01,aceph02,aceph03,aceph04
0,0.066,0.073,0.062,0.094
1,0.062,0.081,0.056,0.152
2,0.084,0.093,0.074,0.1
3,0.094,0.098,0.083,0.102
4,0.07,0.097,0.074,0.1
5,0.077,0.113,0.069,0.092
6,0.083,0.08,0.083,0.124
7,0.108,0.08,0.052,0.14
8,0.097,0.066,0.056,0.092
9,0.091,0.064,0.085,0.078
10,0.075,0.103,0.09,0.137
11,0.091,0.086,0.064,0.122
12,0.068,0.115,0.074,0.101
13,0.091,0.095,0.086,0.073
14,0.081,0.102,0.08,0.116
15,0.11,0.082,0.113,0.061
16,0.103,0.098,0.109,0.104
17,0.084,0.076,0.087,0.066
18,0.069,0.105,0.085,0.048
19,0.078,0.083,0.081,0.055
20,0.097,0.092,0.107,0.061
21,0.098,0.072,0.076,0.083
22,0.065,0.064,0.072,0.066
23,0.066,0.08,0.056,0.077
24,0.066,0.074,0.093,0.078
25,0.093,0.077,0.106,0.066
26,0.08,0.077,0.12,0.065
27,0.092,0.076,0.067,0.091
28,0.077,0.06,0.061,0.07
29,0.081,0.073,0.1,0.084
30,0.076,0.07,0.079,0.081
31,0.058,0.07,0.065,0.064
32,0.092,0.082,0.088,0.082
33,0.107,0.082,0.083,0.067
34,0.06,0.072,0.075,0.078
35,0.066,0.142,0.068,0.072
36,0.062,0.113,0.094,0.049
37,0.097,0.077,0.109,0.076
38,0.077,0.081,0.061,0.073
39,0.09,0.068,0.084,0.062
40,0.066,0.071,0.078,0.062
41,0.077,0.09,0.061,0.089
42,0.057,0.13,0.093,0.072
43,0.072,0.111,0.107,0.066
44,0.063,0.078,0.091,0.084
45,0.061,0.05,0.1,0.103
46,0.09,0.074,0.07,0.102
47,0.063,0.089,0.069,0.147
48,0.074,0.079,0.077,0.112
49,0.1,0.146,0.066,0.125
50,0.107,0.125,0.058,0.103
51,0.144,0.078,0.07,0.066
52,0.068,0.094,0.087,0.097
53,0.08,0.076,0.12,0.106
54,0.119,0.067,0.077,0.1
55,0.085,0.075,0.062,0.143
56,0.083,0.07,0.044,0.117
57,0.109,0.071,0.076,0.128
58,0.09,0.078,0.074,0.097
59,0.087,0.087,0.094,0.089
60,0.084,0.093,0.085,0.075
61,0.112,0.086,0.112,0.068
62,0.098,0.071,0.066,0.064
63,0.083,0.057,0.104,0.088
64,0.068,0.062,0.069,0.064
65,0.069,0.094,0.052,0.057
66,0.079,0.067,0.07,0.073
67,0.086,0.081,0.099,0.062
68,0.079,0.072,0.064,0.064
69,0.065,0.074,0.05,0.072
70,0.062,0.095,0.064,0.077
71,0.064,0.063,0.079,0.063
72,0.08,0.115,0.084,0.064
73,0.081,0.072,0.079,0.057
74,0.077,0.088,0.078,0.063
75,0.081,0.069,0.124,0.08
76,0.087,0.074,0.081,0.075
77,0.1,0.07,0.069,0.076
78,0.09,0.077,0.067,0.062
79,0.075,0.1,0.069,0.066
80,0.063,0.075,0.059,0.061
81,0.054,0.075,0.078,0.088
82,0.081,0.066,0.091,0.071
83,0.054,0.078,0.1,0.069
84,0.086,0.067,0.075,0.071
85,0.062,0.064,0.099,0.091
86,0.074,0.04,0.04,0.068
87,0.075,0.057,0.056,0.067
88,0.07,0.065,0.062,0.055
89,0.054,0.086,0.1,0.079
90,0.087,0.055,0.088,0.065
91,0.079,0.127,0.064,0.062
92,0.071,0.131,0.09,0.074
93,0.055,0.12,0.073,0.094
94,0.053,0.08,0.086,0.086
95,0.096,0.106,0.092,0.063
96,0.093,0.104,0.071,0.127
97,0.074,0.125,0.06,0.108
98,0.083,0.092,0.095,0.103
99,0.073,0.074,0.081,0.122
100,0.081,0.086,0.07,0.095
101,0.079,0.057,0.076,0.069
102,0.088,0.089,0.08,0.078
103,0.075,0.084,0.06,0.066
104,0.083,0.099,0.065,0.074
105,0.097,0.083,0.078,0.077
106,0.073,0.082,0.081,0.08
107,0.092,0.06,0.097,0.067
108,0.092,0.053,0.089,0.07
109,0.066,0.054,0.088,0.057
110,0.066,0.068,0.087,0.062
