svctm,aceph01,aceph02,aceph03,aceph04
0,0.066,0.073,0.062,0.092
1,0.062,0.081,0.056,0.128
2,0.078,0.088,0.07,0.076
3,0.087,0.09,0.083,0.081
4,0.07,0.083,0.074,0.085
5,0.072,0.088,0.069,0.077
6,0.081,0.076,0.078,0.104
7,0.087,0.075,0.052,0.113
8,0.08,0.064,0.056,0.09
9,0.075,0.064,0.08,0.069
10,0.071,0.103,0.09,0.1
11,0.079,0.083,0.06,0.1
12,0.066,0.084,0.071,0.088
13,0.091,0.086,0.08,0.068
14,0.07,0.094,0.076,0.099
15,0.089,0.082,0.099,0.058
16,0.094,0.087,0.096,0.099
17,0.074,0.07,0.081,0.067
18,0.07,0.09,0.076,0.044
19,0.075,0.076,0.074,0.054
20,0.09,0.089,0.098,0.06
21,0.091,0.072,0.076,0.081
22,0.059,0.062,0.069,0.064
23,0.066,0.078,0.054,0.076
24,0.061,0.072,0.086,0.076
25,0.082,0.073,0.099,0.066
26,0.07,0.073,0.111,0.063
27,0.08,0.074,0.067,0.083
28,0.071,0.057,0.057,0.066
29,0.078,0.071,0.098,0.079
30,0.075,0.068,0.079,0.08
31,0.055,0.07,0.063,0.057
32,0.091,0.08,0.086,0.08
33,0.096,0.08,0.069,0.061
34,0.06,0.07,0.071,0.076
35,0.065,0.114,0.066,0.072
36,0.06,0.092,0.086,0.049
37,0.083,0.073,0.101,0.076
38,0.072,0.077,0.061,0.073
39,0.082,0.063,0.084,0.06
40,0.064,0.069,0.073,0.058
41,0.075,0.079,0.058,0.084
42,0.057,0.105,0.085,0.068
43,0.068,0.093,0.085,0.064
44,0.062,0.076,0.084,0.084
45,0.055,0.049,0.082,0.091
46,0.086,0.07,0.069,0.085
47,0.061,0.073,0.069,0.097
48,0.063,0.077,0.074,0.097
49,0.098,0.104,0.064,0.107
50,0.09,0.103,0.056,0.095
51,0.129,0.076,0.07,0.064
52,0.068,0.086,0.079,0.087
53,0.076,0.075,0.107,0.094
54,0.088,0.066,0.071,0.069
55,0.069,0.073,0.062,0.117
56,0.083,0.07,0.044,0.09
57,0.088,0.065,0.074,0.107
58,0.077,0.076,0.074,0.091
59,0.077,0.072,0.077,0.076
60,0.083,0.084,0.081,0.067
61,0.102,0.075,0.103,0.062
62,0.073,0.071,0.064,0.064
63,0.081,0.056,0.09,0.088
64,0.066,0.062,0.067,0.064
65,0.066,0.08,0.051,0.055
66,0.079,0.065,0.07,0.073
67,0.084,0.076,0.096,0.062
68,0.079,0.069,0.064,0.064
69,0.065,0.074,0.05,0.067
70,0.062,0.091,0.06,0.075
71,0.064,0.054,0.076,0.059
72,0.069,0.094,0.079,0.063
73,0.078,0.07,0.073,0.056
74,0.077,0.084,0.073,0.063
75,0.076,0.069,0.102,0.08
76,0.072,0.074,0.07,0.073
77,0.096,0.069,0.069,0.075
78,0.088,0.065,0.067,0.062
79,0.073,0.079,0.069,0.063
80,0.062,0.067,0.058,0.059
81,0.053,0.067,0.073,0.083
82,0.062,0.061,0.078,0.067
83,0.052,0.063,0.084,0.069
84,0.078,0.062,0.073,0.063
85,0.06,0.062,0.097,0.085
86,0.072,0.04,0.038,0.066
87,0.075,0.056,0.056,0.063
88,0.065,0.065,0.062,0.053
89,0.054,0.08,0.094,0.076
90,0.087,0.052,0.085,0.065
91,0.071,0.12,0.064,0.06
92,0.071,0.112,0.081,0.072
93,0.054,0.1,0.071,0.08
94,0.047,0.061,0.082,0.08
95,0.089,0.087,0.086,0.057
96,0.08,0.097,0.069,0.098
97,0.066,0.109,0.054,0.095
98,0.074,0.081,0.085,0.091
99,0.067,0.072,0.077,0.093
100,0.079,0.084,0.064,0.087
101,0.077,0.055,0.072,0.069
102,0.084,0.08,0.072,0.076
103,0.074,0.082,0.058,0.058
104,0.073,0.088,0.065,0.072
105,0.089,0.07,0.073,0.077
106,0.07,0.07,0.072,0.073
107,0.084,0.058,0.091,0.067
108,0.083,0.053,0.071,0.069
109,0.064,0.054,0.082,0.055
110,0.066,0.065,0.08,0.062
111,0.076,0.056,0.051,0.06
112,0.075,0.082,0.061,0.06
113,0.063,0.076,0.076,0.072
114,0.07,0.074,0.077,0.059
115,0.056,0.054,0.081,0.061
116,0.085,0.08,0.075,0.064
117,0.094,0.083,0.092,0.07
118,0.064,0.078,0.05,0.067
119,0.068,0.064,0.065,0.064
120,0.055,0.046,0.063,0.064
121,0.073,0.061,0.077,0.065
122,0.069,0.073,0.056,0.054
123,0.076,0.091,0.075,0.078
124,0.066,0.092,0.1,0.069
125,0.07,0.072,0.089,0.058
126,0.062,0.056,0.056,0.064
127,0.088,0.052,0.058,0.103
128,0.075,0.074,0.063,0.079
129,0.079,0.077,0.1,0.091
130,0.068,0.048,0.08,0.089
131,0.085,0.042,0.069,0.085
132,0.054,0.072,0.063,0.084
133,0.064,0.071,0.058,0.081
134,0.079,0.063,0.063,0.067
135,0.075,0.073,0.083,0.066
136,0.038,0.076,0.055,0.072
137,0.068,0.113,0.067,0.056
138,0.078,0.099,0.077,0.075
139,0.109,0.099,0.067,0.052
140,0.072,0.081,0.071,0.081
141,0.078,0.086,0.071,0.078
142,0.081,0.084,0.066,0.081
143,0.09,0.084,0.075,0.111
144,0.079,0.055,0.059,0.089
145,0.078,0.081,0.073,0.105
146,0.097,0.105,0.074,0.066
147,0.052,0.077,0.083,0.097
148,0.068,0.064,0.064,0.099
149,0.087,0.061,0.058,0.089
150,0.087,0.086,0.07,0.086
151,0.086,0.067,0.06,0.079
152,0.073,0.076,0.057,0.093
153,0.062,0.08,0.089,0.061
154,0.073,0.09,0.09,0.069
155,0.074,0.069,0.079,0.073
156,0.059,0.076,0.066,0.075
157,0.076,0.079,0.06,0.058
158,0.071,0.09,0.091,0.055
159,0.082,0.048,0.048,0.092
160,0.082,0.082,0.08,0.062
161,0.065,0.094,0.094,0.068
162,0.071,0.092,0.067,0.089
163,0.069,0.077,0.064,0.066
164,0.078,0.094,0.078,0.078
165,0.062,0.068,0.061,0.088
166,0.066,0.092,0.085,0.096
167,0.072,0.05,0.081,0.072
168,0.072,0.054,0.057,0.072
169,0.067,0.077,0.068,0.066
170,0.07,0.066,0.059,0.076
171,0.062,0.09,0.066,0.077
172,0.077,0.092,0.077,0.055
173,0.071,0.072,0.08,0.076
174,0.087,0.095,0.063,0.074
175,0.068,0.068,0.08,0.064
176,0.062,0.07,0.076,0.069
177,0.058,0.078,0.065,0.06
178,0.064,0.065,0.096,0.093
179,0.086,0.073,0.091,0.095
180,0.063,0.097,0.085,0.079
181,0.061,0.081,0.102,0.072
182,0.094,0.088,0.084,0.058
183,0.06,0.071,0.074,0.065
184,0.081,0.097,0.07,0.097
185,0.07,0.079,0.102,0.07
186,0.089,0.068,0.091,0.088
187,0.08,0.093,0.055,0.072
188,0.078,0.077,0.102,0.076
189,0.062,0.055,0.077,0.083
190,0.077,0.046,0.085,0.084
191,0.092,0.089,0.074,0.106
192,0.082,0.053,0.098,0.077
193,0.069,0.07,0.087,0.082
194,0.071,0.074,0.079,0.061
195,0.06,0.09,0.075,0.09
196,0.066,0.08,0.057,0.093
197,0.085,0.082,0.056,0.096
198,0.098,0.064,0.059,0.072
199,0.075,0.081,0.08,0.094
200,0.083,0.079,0.092,0.061
201,0.085,0.095,0.103,0.079
202,0.092,0.079,0.083,0.062
203,0.042,0.085,0.052,0.076
204,0.044,0.08,0.071,0.052
205,0.062,0.061,0.082,0.076
206,0.052,0.083,0.077,0.053
207,0.05,0.056,0.065,0.076
208,0.078,0.055,0.081,0.07
209,0.056,0.075,0.063,0.076
210,0.081,0.082,0.079,0.068
211,0.054,0.056,0.084,0.062
212,0.055,0.059,0.082,0.076
213,0.062,0.041,0.082,0.076
214,0.05,0.071,0.093,0.052
215,0.044,0.053,0.074,0.087
216,0.075,0.081,0.072,0.069
217,0.062,0.066,0.077,0.078
218,0.061,0.049,0.095,0.059
219,0.068,0.054,0.066,0.067
220,0.068,0.062,0.073,0.056
221,0.075,0.062,0.088,0.069
222,0.072,0.068,0.077,0.058
223,0.074,0.047,0.078,0.062
224,0.072,0.088,0.078,0.056
225,0.088,0.087,0.082,0.092
226,0.076,0.095,0.123,0.066
227,0.105,0.103,0.086,0.062
228,0.076,0.089,0.07,0.063
229,0.097,0.056,0.093,0.066
230,0.07,0.075,0.08,0.061
231,0.067,0.065,0.065,0.067
232,0.062,0.066,0.062,0.068
233,0.052,0.075,0.054,0.061
234,0.113,0.07,0.048,0.057
235,0.061,0.082,0.058,0.076
236,0.075,0.079,0.069,0.074
237,0.053,0.085,0.067,0.085
238,0.082,0.085,0.067,0.099
239,0.067,0.098,0.062,0.094
240,0.114,0.1,0.068,0.072
241,0.078,0.075,0.061,0.081
242,0.06,0.081,0.094,0.084
243,0.077,0.077,0.078,0.109
244,0.091,0.077,0.053,0.07
245,0.075,0.054,0.053,0.076
246,0.086,0.086,0.066,0.08
247,0.066,0.062,0.102,0.07
248,0.098,0.055,0.061,0.063
249,0.074,0.078,0.09,0.058
250,0.067,0.073,0.067,0.083
251,0.044,0.08,0.083,0.083
252,0.071,0.075,0.07,0.052
253,0.066,0.067,0.077,0.061
254,0.096,0.087,0.07,0.056
255,0.099,0.066,0.054,0.07
256,0.054,0.059,0.073,0.068
