%util,aceph01,aceph02,aceph03,aceph04
0,1.32,1.56,1.36,1.96
1,1.4,1.72,1.24,2.56
2,1.64,1.8,1.48,1.68
3,1.88,1.88,1.84,1.8
4,1.56,1.76,1.68,1.84
5,1.52,1.8,1.44,1.6
6,1.68,1.68,1.8,2.24
7,1.92,1.64,1.12,2.4
8,1.8,1.48,1.28,1.88
9,1.68,1.52,1.92,1.48
10,1.56,2.24,2.04,2.04
11,1.68,1.861,1.28,2.24
12,1.48,1.88,1.68,1.84
13,2.08,1.84,1.84,1.52
14,1.48,2.12,1.76,2.48
15,2.0,1.96,2.16,1.28
16,2.0,1.92,2.2,2.24
17,1.64,1.44,1.84,1.56
18,1.52,2.08,1.76,0.92
19,1.72,1.68,1.64,1.2
20,1.88,1.96,2.2,1.36
21,2.0,1.72,1.64,1.84
22,1.28,1.28,1.64,1.44
23,1.52,1.68,1.16,1.68
24,1.44,1.64,1.96,1.72
25,1.88,1.72,2.2,1.48
26,1.52,1.56,2.36,1.36
27,1.92,1.68,1.52,1.88
28,1.6,1.2,1.32,1.48
29,1.68,1.52,2.2,1.76
30,1.64,1.56,1.88,1.68
31,1.228,1.48,1.4,1.24
32,1.96,1.76,1.96,1.76
33,2.12,1.72,1.52,1.32
34,1.32,1.48,1.6,1.663
35,1.4,2.48,1.36,1.6
36,1.24,2.08,1.84,1.08
37,1.88,1.465,2.16,1.6
38,1.56,1.68,1.32,1.6
39,1.8,1.44,1.822,1.28
40,1.4,1.48,1.64,1.28
41,1.76,1.64,1.32,1.92
42,1.28,2.28,1.88,1.48
43,1.48,1.92,1.84,1.4
44,1.36,1.6,1.84,1.8
45,1.24,1.12,1.76,1.92
46,1.96,1.48,1.52,1.68
47,1.36,1.52,1.44,2.24
48,1.4,1.6,1.64,2.08
49,2.04,2.08,1.36,2.32
50,1.88,2.16,1.24,2.0
51,2.8,1.6,1.6,1.4
52,1.52,1.8,1.76,1.92
53,1.8,1.56,2.32,1.92
54,1.96,1.44,1.56,1.6
55,1.52,1.6,1.4,2.76
56,1.8,1.52,0.96,1.96
57,1.88,1.32,1.68,2.48
58,1.68,1.6,1.68,2.04
59,1.6,1.52,1.8,1.72
60,1.8,1.84,1.76,1.52
61,2.28,1.64,2.04,1.36
62,1.68,1.56,1.44,1.4
63,1.76,1.24,1.96,1.92
64,1.48,1.36,1.36,1.44
65,1.36,1.64,1.16,1.2
66,1.6,1.48,1.56,1.64
67,1.92,1.584,2.12,1.32
68,1.76,1.48,1.4,1.48
69,1.44,1.64,1.08,1.48
70,1.4,1.8,1.32,1.6
71,1.4,1.2,1.6,1.28
72,1.48,2.08,1.8,1.28
73,1.68,1.52,1.6,1.24
74,1.6,1.76,1.6,1.48
75,1.52,1.4,2.16,1.76
76,1.48,1.6,1.56,1.6
77,1.88,1.52,1.52,1.72
78,1.84,1.4,1.44,1.4
79,1.56,1.6,1.48,1.36
80,1.346,1.56,1.28,1.16
81,1.16,1.4,1.6,1.72
82,1.36,1.4,1.68,1.6
83,1.16,1.32,1.84,1.48
84,1.68,1.36,1.48,1.28
85,1.4,1.4,1.96,1.8
86,1.6,0.84,0.8,1.52
87,1.72,1.2,1.16,1.4
88,1.56,1.48,1.36,1.2
89,1.16,1.52,1.96,1.6
90,1.96,1.08,1.8,1.32
91,1.52,2.64,1.36,1.28
92,1.52,2.32,1.8,1.44
93,1.12,2.28,1.6,1.72
94,1.0,1.28,1.76,1.72
95,1.88,1.92,1.861,1.24
96,1.76,2.16,1.56,2.24
97,1.56,2.2,1.12,1.96
98,1.48,1.72,1.72,1.96
99,1.48,1.6,1.56,2.08
100,1.72,1.72,1.32,1.8
101,1.6,1.2,1.52,1.52
102,1.88,1.72,1.52,1.6
103,1.64,1.72,1.4,1.2
104,1.6,1.88,1.44,1.48
105,1.96,1.56,1.72,1.64
106,1.44,1.44,1.52,1.6
107,1.96,1.28,2.08,1.48
108,1.84,1.148,1.6,1.48
109,1.32,1.12,1.76,1.12
110,1.44,1.44,1.88,1.32
111,1.56,1.32,1.24,1.24
112,1.68,1.68,1.4,1.2
113,1.44,1.56,1.68,1.44
114,1.44,1.48,1.64,1.28
115,1.32,1.16,1.72,1.28
116,1.88,1.72,1.72,1.4
117,1.88,1.68,1.92,1.44
118,1.36,1.52,1.08,1.48
119,1.4,1.4,1.48,1.4
120,1.2,0.96,1.48,1.28
121,1.64,1.24,1.68,1.32
122,1.64,1.56,1.28,1.24
123,1.64,1.92,1.4,1.48
124,1.44,1.84,2.12,1.52
125,1.56,1.6,2.0,1.28
126,1.32,1.24,1.16,1.4
127,2.08,1.12,1.2,2.28
128,1.56,1.68,1.4,1.8
129,1.68,1.6,2.16,2.08
130,1.48,1.04,1.72,1.84
131,1.68,0.88,1.48,1.8
132,1.24,1.6,1.36,1.92
133,1.44,1.48,1.32,1.84
134,1.623,1.4,1.44,1.48
135,1.6,1.6,1.92,1.44
136,0.84,1.56,1.2,1.52
137,1.48,2.32,1.52,1.12
138,1.76,2.0,1.68,1.64
139,2.12,2.16,1.48,1.04
140,1.56,1.76,1.56,1.76
141,1.56,1.88,1.48,1.76
142,1.72,1.782,1.52,1.6
143,1.88,1.84,1.6,2.36
144,1.68,1.2,1.24,1.72
145,1.72,1.72,1.64,2.08
146,2.0,2.08,1.44,1.44
147,1.12,1.68,1.78,2.08
148,1.48,1.36,1.44,2.16
149,1.72,1.24,1.12,1.92
150,1.84,1.8,1.56,1.88
151,1.84,1.48,1.28,1.8
152,1.52,1.64,1.16,1.88
153,1.4,1.8,1.92,1.36
154,1.52,1.96,1.88,1.52
155,1.64,1.48,1.76,1.56
156,1.36,1.64,1.48,1.68
157,1.68,1.64,1.24,1.16
158,1.44,1.76,1.88,1.16
159,1.72,1.0,1.12,1.92
160,1.6,1.68,1.8,1.36
161,1.44,2.0,2.0,1.48
162,1.48,1.88,1.44,1.88
163,1.36,1.72,1.44,1.48
164,1.64,1.92,1.64,1.76
165,1.28,1.48,1.44,1.76
166,1.385,1.92,1.8,2.0
167,1.56,1.04,1.76,1.52
168,1.56,1.24,1.36,1.6
169,1.32,1.56,1.56,1.36
170,1.52,1.32,1.24,1.68
171,1.32,1.84,1.52,1.68
172,1.6,1.92,1.6,1.16
173,1.52,1.44,1.76,1.64
174,1.96,2.12,1.4,1.545
175,1.44,1.4,1.68,1.32
176,1.36,1.48,1.72,1.52
177,1.16,1.68,1.44,1.16
178,1.32,1.44,1.96,1.68
179,1.88,1.56,1.96,1.96
180,1.28,2.0,1.8,1.56
181,1.44,1.76,2.16,1.48
182,1.96,1.8,1.8,1.2
183,1.2,1.48,1.6,1.32
184,1.76,2.12,1.36,2.08
185,1.48,1.68,2.2,1.48
186,2.0,1.48,1.92,1.72
187,1.76,1.96,1.08,1.56
188,1.68,1.64,2.24,1.56
189,1.36,1.16,1.68,1.68
190,1.64,0.96,1.8,1.76
191,1.8,1.84,1.52,2.24
192,1.68,1.16,2.12,1.64
193,1.48,1.52,1.76,1.8
194,1.56,1.6,1.72,1.4
195,1.24,1.88,1.6,2.04
196,1.32,1.64,1.28,1.8
197,1.72,1.84,1.16,2.08
198,2.04,1.28,1.24,1.56
199,1.72,1.68,1.72,2.0
200,1.72,1.68,1.84,1.24
201,1.84,1.92,1.96,1.76
202,1.84,1.68,1.861,1.36
203,0.8,1.8,1.08,1.68
204,0.92,1.6,1.44,1.12
205,1.348,1.36,1.8,1.72
206,1.08,1.76,1.68,1.04
207,1.08,1.2,1.32,1.56
208,1.72,1.16,1.76,1.56
209,1.24,1.584,1.36,1.6
210,1.72,1.68,1.64,1.48
211,1.16,1.24,1.8,1.32
212,1.2,1.28,1.72,1.56
213,1.32,0.88,1.8,1.64
214,1.12,1.44,1.96,1.12
215,0.96,1.2,1.56,1.68
216,1.56,1.68,1.56,1.52
217,1.24,1.4,1.64,1.6
218,1.28,1.0,2.08,1.24
219,1.52,1.12,1.48,1.44
220,1.52,1.32,1.56,1.16
221,1.72,1.32,1.76,1.44
222,1.48,1.44,1.72,1.36
223,1.56,1.04,1.6,1.28
224,1.56,1.8,1.68,1.12
225,1.88,1.76,1.8,1.92
226,1.6,1.96,2.48,1.4
227,2.28,2.28,1.76,1.4
228,1.68,1.96,1.6,1.28
229,2.0,1.2,1.84,1.32
230,1.48,1.56,1.68,1.32
231,1.44,1.48,1.56,1.4
232,1.36,1.4,1.32,1.48
233,1.12,1.6,1.16,1.28
234,2.32,1.4,1.04,1.24
235,1.32,1.64,1.2,1.56
236,1.6,1.6,1.44,1.52
237,1.12,1.72,1.4,1.88
238,1.76,1.68,1.36,1.96
239,1.32,2.0,1.36,2.08
240,2.4,2.16,1.48,1.52
241,1.52,1.6,1.2,1.84
242,1.228,1.72,2.04,1.8
243,1.64,1.72,1.68,2.36
244,1.84,1.6,1.2,1.52
245,1.56,1.16,1.04,1.64
246,1.76,1.88,1.24,1.64
247,1.4,1.36,2.2,1.52
248,2.04,1.16,1.24,1.36
249,1.64,1.6,1.88,1.28
250,1.4,1.64,1.4,1.76
251,0.96,1.76,1.743,1.76
252,1.6,1.68,1.64,1.12
253,1.48,1.4,1.68,1.24
254,2.08,1.96,1.56,1.24
255,2.16,1.44,1.12,1.6
256,1.12,1.32,1.6,1.48
257,1.6,1.44,1.84,1.56
258,1.4,1.76,1.92,1.8
259,1.4,1.28,1.72,1.84
260,1.2,1.12,1.64,1.48
261,1.28,1.56,1.8,1.08
262,1.08,1.36,2.0,2.08
263,1.466,1.88,1.92,1.64
264,1.6,1.76,2.12,1.2
265,1.8,1.84,1.44,1.2
266,1.76,1.64,1.28,1.12
267,1.6,1.4,2.12,1.36
268,1.28,1.48,1.64,1.68
269,1.4,1.92,1.48,1.12
270,1.6,1.64,1.36,1.12
271,1.6,1.68,1.52,1.44
272,1.36,1.44,1.48,1.68
273,1.28,1.68,1.72,1.84
274,1.08,1.52,1.56,1.76
275,1.52,1.68,1.6,1.88
276,1.56,1.64,0.84,1.2
277,1.52,1.16,2.0,1.36
278,1.72,1.506,1.44,1.56
