wMB/s,aceph01,aceph02,aceph03,aceph04
0,2.135,2.154,2.138,2.129
1,1.945,2.004,1.988,1.93
2,2.06,1.987,2.098,2.103
3,2.084,2.177,2.183,2.117
4,2.056,2.007,2.047,1.986
5,2.019,2.004,2.001,2.068
6,2.02,2.126,2.086,2.057
7,2.02,1.991,2.042,2.017
8,2.036,2.122,2.024,2.106
9,2.084,2.087,2.104,2.036
10,1.949,2.005,1.998,1.966
11,1.961,1.963,1.996,2.097
12,2.109,2.171,2.067,2.066
13,2.078,2.022,2.065,2.038
14,1.963,2.036,2.026,2.139
15,2.094,2.132,2.067,2.061
16,2.008,2.038,2.085,2.117
17,2.044,2.025,2.096,2.153
18,2.076,2.058,2.106,2.037
19,2.019,2.039,2.059,2.087
20,2.072,2.012,2.062,2.078
21,2.052,2.11,2.072,2.04
22,2.068,2.062,2.118,2.124
23,2.078,2.076,2.076,2.115
24,2.046,2.124,2.108,2.033
25,2.064,2.064,2.08,2.088
26,1.982,2.026,1.982,2.065
27,2.071,2.121,2.112,2.059
28,2.078,1.996,2.076,2.101
29,1.995,2.001,1.992,2.002
30,2.106,2.063,2.199,2.076
31,2.005,2.042,2.069,2.068
32,1.996,2.036,2.022,2.042
33,2.045,2.069,2.1,2.101
34,1.97,1.973,2.066,2.022
35,2.087,2.06,2.022,1.991
36,2.022,2.063,2.092,2.088
37,1.967,1.909,2.029,2.007
38,2.016,1.939,1.999,2.012
39,1.982,2.027,2.074,2.029
40,1.959,1.959,1.977,2.007
41,2.037,1.916,1.998,2.08
42,2.05,2.05,2.086,2.025
43,2.025,1.96,2.057,1.99
44,2.011,2.06,2.011,2.067
45,2.076,2.057,2.068,1.99
46,2.047,1.942,1.996,1.983
47,2.003,2.041,2.015,2.051
48,2.007,1.987,2.029,1.961
49,1.945,1.938,1.945,1.982
50,1.944,1.959,1.952,1.998
51,2.083,2.084,2.055,2.012
52,2.012,1.973,2.003,1.98
53,2.033,1.98,2.003,2.041
54,2.072,2.088,2.114,1.974
55,1.97,2.033,2.022,2.033
56,1.979,1.931,2.009,1.947
57,2.013,1.98,2.045,2.052
58,1.952,2.01,1.999,2.121
59,2.055,1.978,2.049,2.023
60,2.023,2.051,2.064,2.118
61,1.999,1.954,1.927,2.05
62,2.057,2.065,2.083,2.056
63,1.98,2.071,2.009,2.058
64,2.014,1.898,1.996,1.959
65,2.03,1.98,2.136,2.074
66,1.968,2.109,2.049,2.09
67,2.064,1.958,2.089,2.016
68,2.042,2.032,2.116,2.078
69,1.952,2.065,1.957,2.07
70,1.977,2.012,2.098,2.025
71,1.993,2.024,2.028,2.078
72,2.001,1.98,2.012,2.045
73,2.009,1.992,2.093,2.013
74,1.917,2.07,2.004,2.076
75,1.936,1.934,1.974,1.995
76,1.997,1.994,2.042,2.006
77,1.939,2.042,2.017,2.102
78,1.996,1.95,1.994,1.983
79,2.021,2.009,2.026,2.008
80,1.995,1.993,2.037,2.03
81,1.963,2.016,1.984,1.932
82,1.937,2.045,2.038,2.062
83,1.995,1.98,1.986,2.024
84,2.022,1.994,1.996,1.923
85,1.965,2.03,2.038,1.964
86,1.965,1.942,1.983,2.023
87,1.997,2.044,2.013,2.02
88,2.085,2.041,2.047,2.044
89,2.014,1.899,2.03,2.016
90,2.011,2.01,2.05,2.087
91,2.041,1.951,2.097,2.082
92,1.975,1.949,1.985,1.961
93,2.006,2.047,2.063,2.022
94,2.019,1.912,2.03,2.062
95,1.888,1.962,1.888,1.9
96,1.926,2.031,2.082,2.033
97,1.932,1.881,1.98,1.872
98,1.904,1.95,1.861,1.976
99,2.043,2.034,2.006,2.035
100,1.998,1.88,1.997,1.899
101,1.943,1.942,1.976,1.986
102,2.052,2.022,2.066,2.004
103,1.995,1.961,2.012,1.937
104,2.023,1.98,2.013,2.054
105,1.98,2.037,2.081,1.988
106,1.916,1.862,1.935,1.952
107,2.086,2.03,2.064,2.112
108,1.992,2.031,2.063,1.986
109,1.971,2.003,1.945,2.027
110,2.056,2.015,2.104,2.039
111,1.913,1.974,2.022,2.024
112,2.015,1.942,2.06,1.964
113,2.006,1.967,2.073,2.032
114,1.915,1.991,1.954,2.043
115,1.994,1.915,2.055,1.998
116,2.023,2.028,2.072,2.035
117,2.007,2.009,1.959,2.002
118,2.009,1.934,2.065,2.043
119,2.079,2.056,2.104,2.089
120,1.895,1.976,1.942,1.934
121,1.958,1.94,1.992,1.986
122,2.021,2.017,2.032,2.061
123,1.924,1.901,1.869,1.904
124,1.994,1.861,1.93,1.969
125,2.009,2.009,2.011,1.967
126,1.951,1.958,1.916,1.91
127,1.975,1.898,2.053,1.988
128,1.928,2.027,1.993,1.964
129,1.977,1.97,2.014,2.005
130,1.992,1.923,2.024,1.991
131,1.922,1.969,2.005,1.973
132,2.04,2.063,2.035,2.028
133,1.934,1.93,2.061,1.996
134,1.946,2.066,1.986,1.97
135,2.016,1.988,2.011,2.059
136,1.978,1.911,2.054,1.962
137,2.01,2.035,1.944,2.005
138,2.05,1.951,2.002,1.998
139,1.904,1.89,1.991,1.934
140,1.957,2.024,1.921,2.037
141,1.901,1.948,2.01,1.969
142,1.963,1.965,2.04,1.972
143,1.927,1.928,1.919,1.962
144,1.911,1.947,1.958,1.912
145,2.016,2.01,2.105,2.038
146,1.882,1.867,1.864,1.94
147,2.054,2.012,1.946,2.029
148,2.013,2.036,2.062,1.985
149,1.921,1.833,1.933,1.96
150,1.96,1.994,2.033,1.995
151,2.005,1.961,1.977,1.991
152,1.929,1.908,1.93,1.945
153,2.01,1.996,2.016,2.018
154,1.95,1.905,1.959,1.956
155,1.907,1.94,1.889,1.991
156,2.068,1.994,2.046,2.095
157,1.955,1.958,1.994,1.937
158,1.898,1.966,1.922,1.979
159,1.929,1.961,2.077,2.057
160,1.94,1.976,2.017,2.02
161,1.968,1.92,1.965,2.018
162,2.003,1.996,2.082,2.073
163,1.885,2.012,2.048,1.961
164,2.005,1.97,1.948,2.098
165,2.011,2.063,2.061,2.01
166,1.955,1.978,1.955,1.962
167,2.05,1.938,1.905,2.011
168,2.032,2.012,2.09,2.074
169,1.86,1.967,2.005,1.928
170,1.986,1.93,1.963,2.023
171,1.972,2.033,2.07,2.04
172,1.906,1.885,1.928,1.977
173,1.94,1.971,2.022,2.043
174,1.968,2.047,2.046,1.955
175,1.927,1.952,1.935,1.907
176,2.089,1.995,2.053,2.047
177,1.954,2.052,2.047,1.983
178,1.957,1.95,1.935,1.956
179,2.047,1.991,1.983,2.073
180,1.863,1.937,1.973,1.9
181,2.058,1.931,1.96,1.987
182,1.981,2.017,2.013,2.007
183,1.954,1.978,1.982,1.915
184,1.99,1.989,2.001,2.026
185,1.939,2.031,2.061,2.062
186,1.982,1.923,1.998,1.867
187,1.982,2.028,1.923,1.985
188,1.909,2.023,2.003,1.999
189,1.995,1.9,1.995,1.951
190,1.937,1.918,1.929,1.967
191,1.798,1.931,1.872,1.863
192,1.905,1.917,2.0,1.995
193,1.961,1.862,1.933,2.018
194,1.936,2.005,1.957,1.982
195,1.976,1.844,2.036,2.01
196,1.963,1.944,2.006,1.904
197,1.892,2.053,1.911,2.004
198,1.932,1.921,1.922,1.962
199,1.986,2.05,2.017,1.985
200,1.93,1.967,1.865,2.051
201,1.984,1.919,1.906,1.976
202,1.9,1.967,2.018,2.015
203,1.963,1.95,2.008,2.017
204,2.018,1.901,1.941,1.961
205,1.932,1.968,2.037,2.138
206,2.033,2.0,1.974,1.976
207,1.955,1.949,1.986,1.978
208,2.041,2.079,2.072,2.051
209,2.002,1.836,1.918,1.969
210,1.942,1.856,1.939,1.967
211,2.024,2.086,2.063,2.093
212,1.939,1.997,1.966,1.952
213,1.935,1.921,2.015,2.008
214,2.063,1.939,1.981,1.982
215,1.893,2.034,1.954,1.963
216,2.007,1.873,2.006,2.026
217,1.965,1.923,2.045,1.924
218,1.969,1.981,1.916,2.003
219,1.979,1.957,2.063,2.011
220,1.901,1.932,2.013,1.966
221,2.003,2.005,1.942,1.946
222,1.965,1.939,2.089,2.093
223,1.917,2.073,1.956,1.894
224,1.935,1.935,1.954,1.98
225,2.035,1.913,2.032,1.979
226,1.95,1.97,1.841,1.869
227,2.021,1.969,1.94,2.062
228,1.957,1.992,2.052,1.988
229,1.885,1.93,1.86,1.943
230,2.004,1.898,1.912,2.031
231,2.028,2.044,2.089,2.006
232,1.958,2.018,1.934,1.959
233,1.996,1.945,1.996,2.099
234,1.9,2.001,2.072,1.965
235,1.98,1.949,1.943,1.976
236,1.957,1.869,1.843,1.975
237,1.992,1.924,2.003,1.985
238,1.977,2.012,1.958,1.98
239,1.916,1.917,1.922,1.908
240,1.967,1.99,2.029,1.982
241,1.925,1.956,1.956,2.049
242,1.834,1.879,1.95,1.919
243,1.972,2.041,2.018,2.057
244,1.897,2.044,2.007,2.007
245,1.951,1.918,1.88,1.937
246,2.024,1.957,2.009,2.04
247,1.844,1.906,1.961,1.938
248,1.975,1.921,1.954,2.007
249,1.947,1.891,2.035,1.975
250,1.845,1.957,1.937,1.961
251,1.967,1.939,1.933,2.011
252,2.012,2.039,2.075,2.068
253,1.969,1.975,2.03,1.933
254,1.985,1.981,1.944,2.079
255,1.976,2.048,2.07,2.063
256,1.975,1.992,2.011,1.938
257,2.022,1.959,1.943,2.052
258,1.951,2.028,2.013,1.972
259,1.993,1.975,1.921,2.045
260,1.953,1.868,1.906,1.998
261,1.881,1.965,1.986,1.941
262,2.044,1.976,1.968,1.994
263,1.956,1.904,1.985,1.933
264,1.945,1.98,1.996,1.972
265,1.965,2.025,2.019,2.08
