%commit,aceph01,aceph02,aceph03,aceph04
0,41.63,40.42,40.91,41.92
1,42.13,40.86,41.33,42.09
2,42.3,41.16,41.6,42.14
3,42.45,41.18,41.72,42.23
4,42.55,41.27,41.71,42.23
5,42.52,41.26,41.83,42.25
6,42.54,41.28,41.78,42.3
7,42.48,41.35,41.71,42.27
8,42.55,41.28,41.78,42.3
9,42.52,41.37,41.75,42.35
10,42.54,41.34,41.72,42.27
11,42.56,41.31,41.77,42.29
12,42.58,41.35,41.71,42.29
13,42.57,41.35,41.8,42.27
14,42.56,41.28,41.84,42.3
15,42.56,41.32,41.84,42.26
16,42.62,41.4,41.78,42.27
17,42.53,41.36,41.83,42.29
18,42.58,41.29,41.8,42.31
19,42.57,41.36,41.78,42.27
20,42.53,41.35,41.81,42.29
21,42.58,41.26,41.75,42.26
22,42.52,41.34,41.8,42.3
23,42.54,41.33,41.8,42.27
24,42.59,41.3,41.81,42.22
25,42.59,41.32,41.8,42.24
26,42.61,41.28,41.82,42.29
27,42.55,41.25,41.73,42.23
28,42.55,41.32,41.75,42.35
29,42.6,41.36,41.74,42.31
30,42.57,41.31,41.75,42.24
31,42.58,41.31,41.85,42.24
32,42.56,41.31,41.79,42.24
33,42.6,41.29,41.79,42.27
34,42.59,41.34,41.81,42.29
35,42.56,41.31,41.8,42.23
36,42.52,41.28,41.77,42.35
37,42.62,41.33,41.82,42.32
38,42.58,41.28,41.8,42.3
39,42.63,41.24,41.8,42.29
40,42.57,41.28,41.83,42.29
41,42.6,41.31,41.82,42.22
42,42.6,41.35,41.73,42.27
43,42.59,41.38,41.85,42.26
44,42.63,41.34,41.85,42.23
45,42.57,41.29,41.78,42.28
46,42.56,41.31,41.83,42.22
47,42.58,41.31,41.75,42.29
48,42.54,41.32,41.81,42.26
49,42.66,41.35,41.83,42.28
50,42.59,41.37,41.8,42.3
51,42.59,41.38,41.83,42.32
52,42.61,41.4,41.79,42.31
53,42.61,41.36,41.79,42.29
54,42.57,41.37,41.79,42.23
55,42.6,41.31,41.86,42.27
56,42.54,41.34,41.8,42.23
57,42.58,41.27,41.77,42.28
58,42.61,41.37,41.76,42.35
59,42.57,41.31,41.78,42.32
