kbactive,aceph01,aceph02,aceph03,aceph04
0,12813720.0,12870388.0,12782268.0,12707144.0
1,12823720.0,12889196.0,12791136.0,12728900.0
2,12857984.0,12926688.0,12831116.0,12712668.0
3,12836756.0,12897472.0,12802908.0,12756792.0
4,12877864.0,12947484.0,12804344.0,12757880.0
5,12889596.0,12944292.0,12835136.0,12755484.0
6,12866268.0,12947016.0,12817300.0,12814720.0
7,12881644.0,12975016.0,12814112.0,12797572.0
8,12922528.0,12953052.0,12843684.0,12807184.0
9,12892768.0,12975080.0,12819328.0,12862124.0
10,12922700.0,12988500.0,12826552.0,12824572.0
11,12968304.0,12981728.0,12863552.0,12854880.0
12,12916420.0,12970380.0,12849372.0,12877560.0
13,12949380.0,13016464.0,12839024.0,12855256.0
14,12952224.0,12965072.0,12886208.0,12894032.0
15,12939116.0,12961732.0,12852880.0,12853260.0
16,12988448.0,13010784.0,12847116.0,12866632.0
17,12960484.0,12985740.0,12894620.0,12902376.0
18,12958972.0,12977504.0,12879060.0,12866144.0
19,12978260.0,13028316.0,12867952.0,12869348.0
20,12962428.0,13021552.0,12901040.0,12883800.0
21,12982504.0,12993132.0,12879788.0,12857804.0
22,12970932.0,13040936.0,12866760.0,12875252.0
23,12957464.0,13003760.0,12889100.0,12901796.0
24,13008264.0,12985944.0,12876648.0,12870544.0
25,12981460.0,13012716.0,12893804.0,12879692.0
26,13027752.0,13015892.0,12904308.0,12906916.0
27,13006516.0,12993648.0,12868756.0,12873352.0
28,13006536.0,13026648.0,12862344.0,12931044.0
29,13045964.0,13023248.0,12891436.0,12918696.0
30,13017008.0,12998892.0,12868396.0,12893636.0
31,13057096.0,13018840.0,12916120.0,12920784.0
32,13036336.0,13031976.0,12913104.0,12900540.0
33,13048532.0,13019288.0,12880868.0,12921788.0
34,13070944.0,13031708.0,12893472.0,12917632.0
35,13026708.0,13030876.0,12934280.0,12905648.0
36,13067572.0,13032060.0,12895348.0,12965576.0
37,13067396.0,13059088.0,12921232.0,12935532.0
38,13034508.0,13022216.0,12936652.0,12903816.0
39,13073728.0,13027552.0,12895244.0,12939540.0
40,13055732.0,13059476.0,12926784.0,12905140.0
41,13051936.0,13046940.0,12929252.0,12907588.0
42,13092200.0,13041088.0,12909152.0,12939644.0
43,13064004.0,13090856.0,12951312.0,12914244.0
44,13109252.0,13093648.0,12945056.0,12921176.0
45,13086892.0,13081856.0,12933528.0,12961264.0
46,13058136.0,13100956.0,12971588.0,12936652.0
47,13109028.0,13089392.0,12947672.0,12962976.0
48,13077736.0,13104104.0,12924904.0,12953432.0
49,13114604.0,13126292.0,12939828.0,12944560.0
50,13111320.0,13103172.0,12959188.0,12969648.0
51,13075912.0,13111548.0,12931184.0,12926904.0
52,13101172.0,13134460.0,12944764.0,12958440.0
53,13098236.0,13112852.0,12966656.0,12983216.0
54,13097068.0,13089584.0,12942900.0,12965632.0
55,13139636.0,13103564.0,12995300.0,13008524.0
56,13126596.0,13129168.0,12988412.0,12996228.0
57,13135248.0,13091584.0,12964140.0,12977844.0
58,13129200.0,13112200.0,13004544.0,13025592.0
59,13112996.0,13136244.0,12984868.0,12979820.0
60,13137560.0,13108224.0,12987056.0,12981020.0
61,13140976.0,13143784.0,13025208.0,12954444.0
62,13122380.0,13126408.0,13009248.0,12938028.0
63,13129932.0,13114500.0,13029780.0,12956528.0
64,13116836.0,13129240.0,13026396.0,12944120.0
65,13113132.0,13141764.0,12992888.0,12949668.0
66,13135656.0,13112668.0,13032244.0,12981840.0
67,13082916.0,13160212.0,13002688.0,12957476.0
68,13122376.0,13117436.0,12992740.0,12978176.0
69,13117532.0,13115396.0,13007812.0,12992724.0
70,13091072.0,13143492.0,12998252.0,12961536.0
71,13132148.0,13113660.0,13025588.0,12983316.0
72,13097188.0,13149988.0,13027164.0,12993652.0
73,13093476.0,13154812.0,12987164.0,12961800.0
74,13128996.0,13139528.0,13015920.0,12995720.0
75,13099996.0,13172556.0,13023780.0,12991972.0
76,13112540.0,13149952.0,12985640.0,12974600.0
77,13142116.0,13176008.0,12976884.0,13008104.0
78,13122716.0,13202760.0,13019996.0,12985288.0
79,13146680.0,13133288.0,13003152.0,12983776.0
80,13126856.0,13166196.0,12992308.0,13012384.0
81,13145308.0,13155124.0,13030000.0,12985112.0
82,13166160.0,13148972.0,13008680.0,12959716.0
83,13130060.0,13187260.0,13033500.0,13001584.0
84,13160012.0,13170160.0,13025928.0,12962332.0
85,13151708.0,13174524.0,12994436.0,12968324.0
86,13114324.0,13203668.0,13044536.0,12990352.0
87,13152780.0,13180912.0,12999148.0,12981000.0
88,13118172.0,13159372.0,12983976.0,13010252.0
89,13133168.0,13191388.0,13020104.0,13003084.0
90,13144776.0,13177128.0,13019716.0,12987520.0
91,13127548.0,13187052.0,13008884.0,13042324.0
92,13158488.0,13187992.0,13045644.0,13013656.0
93,13125932.0,13146716.0,13013712.0,12978320.0
94,13112084.0,13208044.0,13040196.0,13019008.0
95,13139168.0,13186628.0,13056468.0,12998508.0
96,13124248.0,13189728.0,13012940.0,13043728.0
97,13125000.0,13236060.0,13006024.0,13022184.0
98,13148612.0,13207520.0,13059188.0,13023712.0
99,13129872.0,13208456.0,13010596.0,13057916.0
100,13175208.0,13242624.0,13028636.0,13040964.0
101,13153708.0,13215548.0,13073416.0,13075964.0
102,13137728.0,13206780.0,13043344.0,13075236.0
103,13146004.0,13233104.0,13093684.0,13053364.0
104,13172192.0,13222236.0,13093672.0,13102836.0
105,13128800.0,13202904.0,13055796.0,13025496.0
106,13145980.0,13211796.0,13116476.0,12998780.0
107,13108712.0,13202688.0,13067836.0,13007396.0
108,13137564.0,13196340.0,13066012.0,13009136.0
109,13138988.0,13245296.0,13063224.0,12993180.0
110,13117804.0,13212652.0,13035068.0,13034100.0
111,13152660.0,13207760.0,13077224.0,13039716.0
112,13122844.0,13235616.0,13054816.0,13004888.0
113,13125260.0,13206804.0,13033608.0,13006352.0
114,13140796.0,13209648.0,13083420.0,13040488.0
115,13135404.0,13263364.0,13045556.0,13007356.0
116,13127424.0,13209000.0,13043556.0,13027616.0
117,13139836.0,13208364.0,13089376.0,13035300.0
118,13144892.0,13239740.0,13033696.0,13002224.0
119,13116404.0,13199844.0,13038236.0,13031868.0
120,13161008.0,13233624.0,13086116.0,13033088.0
121,13127296.0,13240924.0,13043384.0,13020136.0
122,13146540.0,13216556.0,13043748.0,13066208.0
123,13160888.0,13236500.0,13106060.0,13035212.0
124,13138048.0,13251600.0,13058500.0,13017312.0
125,13171720.0,13209160.0,13076348.0,13052184.0
126,13175360.0,13215712.0,13082584.0,13027244.0
127,13137172.0,13252172.0,13060756.0,13073196.0
128,13167920.0,13225896.0,13096652.0,13018884.0
129,13149160.0,13257192.0,13070620.0,13017012.0
130,13141372.0,13255116.0,13048380.0,13045700.0
131,13191004.0,13222100.0,13092312.0,13008872.0
132,13150460.0,13228988.0,13064456.0,13048436.0
133,13165496.0,13256660.0,13051136.0,13053384.0
134,13179660.0,13235136.0,13101056.0,13027912.0
135,13153220.0,13226760.0,13043988.0,13066400.0
136,13192304.0,13271736.0,13037632.0,13040580.0
137,13173396.0,13235276.0,13055232.0,13032892.0
138,13159184.0,13300608.0,13043552.0,13080880.0
139,13186276.0,13281964.0,13059944.0,13030248.0
140,13172772.0,13283180.0,13073512.0,13071308.0
141,13199120.0,13306024.0,13040732.0,13044656.0
142,13183248.0,13293760.0,13047580.0,13058752.0
143,13174144.0,13294392.0,13074460.0,13084296.0
144,13195780.0,13311732.0,13065488.0,13069572.0
145,13178436.0,13292336.0,13059616.0,13090236.0
146,13228244.0,13322676.0,13104112.0,13078412.0
147,13171068.0,13289108.0,13080888.0,13050868.0
148,13159696.0,13281424.0,13063508.0,13104000.0
149,13199188.0,13301096.0,13107784.0,13074360.0
150,13164760.0,13274720.0,13083236.0,13107712.0
151,13213424.0,13275532.0,13075344.0,13100432.0
152,13198600.0,13316420.0,13101272.0,13067660.0
153,13163528.0,13297364.0,13097156.0,13062168.0
154,13163296.0,13291168.0,13115308.0,13059936.0
155,13207788.0,13302444.0,13148156.0,13040232.0
156,13178352.0,13315176.0,13074104.0,13066032.0
157,13199068.0,13269284.0,13068684.0,13076216.0
158,13197244.0,13313704.0,13112744.0,13053456.0
159,13164636.0,13283800.0,13072128.0,13086724.0
160,13206276.0,13274708.0,13062276.0,13069308.0
161,13177740.0,13298560.0,13115108.0,13060284.0
162,13160416.0,13287636.0,13066560.0,13083400.0
163,13183044.0,13291640.0,13080116.0,13064256.0
164,13177288.0,13312640.0,13102888.0,13085416.0
165,13161120.0,13284324.0,13054476.0,13079452.0
166,13186372.0,13280056.0,13093948.0,13056424.0
167,13176300.0,13329160.0,13094864.0,13068612.0
168,13164648.0,13288464.0,13066328.0,13099312.0
169,13210744.0,13329252.0,13082304.0,13064708.0
170,13180876.0,13314760.0,13113564.0,13087700.0
171,13180064.0,13285848.0,13088084.0,13103712.0
172,13240736.0,13304640.0,13143392.0,13069884.0
173,13199676.0,13331632.0,13122584.0,13072080.0
174,13208216.0,13292952.0,13100008.0,13106276.0
175,13225772.0,13336324.0,13148240.0,13069456.0
176,13200092.0,13324624.0,13094220.0,13095672.0
177,13255024.0,13300888.0,13092312.0,13094084.0
178,13207212.0,13328972.0,13130044.0,13063432.0
179,13195636.0,13312424.0,13088112.0,13097768.0
180,13222912.0,13301080.0,13094016.0,13079708.0
181,13185536.0,13341400.0,13125340.0,13067152.0
182,13229964.0,13317832.0,13111256.0,13099044.0
183,13207060.0,13345920.0,13127424.0,13077624.0
184,13195368.0,13355112.0,13140268.0,13083232.0
185,13229284.0,13327124.0,13091752.0,13108148.0
186,13201152.0,13356716.0,13118936.0,13082784.0
187,13199032.0,13344836.0,13135520.0,13088600.0
188,13245384.0,13384400.0,13105228.0,13089468.0
189,13214520.0,13365292.0,13114924.0,13076124.0
190,13221632.0,13344164.0,13132508.0,13131988.0
