kbcached,aceph01,aceph02,aceph03,aceph04
0,413352.0,370224.0,425428.0,445676.0
1,434304.0,390904.0,447300.0,499820.0
2,451300.0,424532.0,470456.0,506092.0
3,472312.0,435580.0,484296.0,541132.0
4,497264.0,470732.0,495728.0,549928.0
5,523528.0,500264.0,513824.0,602140.0
6,555224.0,532420.0,528944.0,640332.0
7,587116.0,554312.0,538540.0,664284.0
8,600440.0,561624.0,548888.0,707956.0
9,631780.0,572296.0,565820.0,732392.0
10,690200.0,586888.0,582484.0,749892.0
11,707876.0,610404.0,592572.0,745164.0
12,693388.0,628184.0,611036.0,756924.0
13,706516.0,653232.0,621752.0,772104.0
14,715016.0,612984.0,643204.0,771852.0
15,753116.0,623572.0,645912.0,765088.0
16,781496.0,635468.0,668164.0,775364.0
17,782920.0,651804.0,683532.0,794628.0
18,810496.0,677044.0,701284.0,810540.0
19,800456.0,716024.0,727660.0,811204.0
20,824108.0,717644.0,739528.0,827596.0
21,812476.0,731632.0,741804.0,834168.0
22,825524.0,747312.0,746520.0,851420.0
23,828332.0,742436.0,763528.0,861796.0
24,851540.0,754260.0,775212.0,879212.0
25,882344.0,765656.0,796992.0,892548.0
26,902380.0,782544.0,788496.0,921348.0
27,926552.0,794472.0,796916.0,917324.0
28,946424.0,812504.0,802184.0,939616.0
29,993456.0,806632.0,819136.0,964868.0
30,992404.0,825096.0,830520.0,978820.0
31,1011556.0,838108.0,847692.0,975332.0
32,1011476.0,858228.0,860656.0,999344.0
33,1022200.0,881892.0,878420.0,1005176.0
34,1048156.0,884764.0,890124.0,1018276.0
35,1050656.0,909364.0,916908.0,1035048.0
36,1072816.0,939128.0,924828.0,1041024.0
37,1091236.0,942436.0,934604.0,1050908.0
38,1081960.0,940792.0,952708.0,1059344.0
39,1105220.0,955600.0,952988.0,1070064.0
40,1110928.0,968708.0,967564.0,1077364.0
41,1132468.0,982556.0,974936.0,1093620.0
42,1153148.0,1001640.0,999600.0,1113328.0
43,1166956.0,1047064.0,1016740.0,1122528.0
44,1176796.0,1077516.0,1037900.0,1138848.0
45,1198700.0,1090856.0,1070184.0,1162160.0
46,1189312.0,1085848.0,1060852.0,1178104.0
47,1211948.0,1110100.0,1067116.0,1198856.0
48,1236920.0,1136216.0,1072580.0,1224180.0
49,1251800.0,1124596.0,1082240.0,1214440.0
50,1254540.0,1157356.0,1098944.0,1210236.0
51,1269112.0,1187440.0,1110308.0,1206708.0
52,1283548.0,1201520.0,1121240.0,1236188.0
53,1305696.0,1146796.0,1142144.0,1269392.0
54,1326524.0,1158256.0,1165652.0,1289084.0
55,1347624.0,1174080.0,1193092.0,1314528.0
56,1370712.0,1185616.0,1213676.0,1338532.0
57,1400068.0,1190152.0,1225756.0,1317940.0
58,1368452.0,1214608.0,1242748.0,1340344.0
59,1406316.0,1233380.0,1262992.0,1350796.0
60,1417460.0,1238880.0,1282084.0,1346100.0
61,1432392.0,1267792.0,1299356.0,1326576.0
62,1443700.0,1250588.0,1329040.0,1335716.0
63,1431252.0,1267508.0,1312196.0,1347700.0
64,1450856.0,1273620.0,1324212.0,1363908.0
65,1468092.0,1288980.0,1328176.0,1380696.0
66,1471616.0,1297224.0,1352040.0,1391568.0
67,1456520.0,1311484.0,1326972.0,1409008.0
68,1474704.0,1320256.0,1343428.0,1420796.0
69,1494520.0,1322560.0,1355008.0,1431644.0
70,1498320.0,1334700.0,1371072.0,1444444.0
71,1511940.0,1349884.0,1389572.0,1454464.0
72,1524024.0,1361972.0,1374680.0,1470652.0
73,1530856.0,1385340.0,1391180.0,1474440.0
74,1552872.0,1412316.0,1407780.0,1491008.0
75,1562900.0,1438516.0,1407340.0,1502756.0
76,1586060.0,1450868.0,1408020.0,1518964.0
77,1606752.0,1475148.0,1420708.0,1535492.0
78,1626428.0,1508156.0,1435016.0,1551656.0
79,1630884.0,1473652.0,1453124.0,1559600.0
