kbmemfree,aceph01,aceph02,aceph03,aceph04
0,14306952.0,14316344.0,14230620.0,14337956.0
1,14272336.0,14272344.0,14199968.0,14286652.0
2,14221216.0,14210272.0,14139948.0,14304508.0
3,14231752.0,14234248.0,14156204.0,14238304.0
4,14168616.0,14156640.0,14141572.0,14238400.0
5,14139396.0,14147528.0,14094672.0,14206600.0
6,14145880.0,14125864.0,14105012.0,14122604.0
7,14110372.0,14079404.0,14096904.0,14128208.0
8,14055052.0,14106024.0,14053232.0,14097600.0
9,14065892.0,14069808.0,14069088.0,14025380.0
10,13993896.0,14044688.0,14050260.0,14055076.0
11,13942036.0,14038508.0,14003080.0,14034168.0
12,13997360.0,14039068.0,14007700.0,14015536.0
13,13959228.0,13981032.0,14008356.0,14030800.0
14,13948520.0,14054260.0,13940168.0,13996960.0
15,13938512.0,14046636.0,13963736.0,14037440.0
16,13866876.0,13983740.0,13962988.0,14014068.0
17,13891184.0,13995512.0,13900276.0,13968040.0
18,13876944.0,13993344.0,13906520.0,13999656.0
19,13863668.0,13916832.0,13899644.0,13980568.0
20,13868396.0,13919144.0,13852952.0,13954992.0
21,13846364.0,13939216.0,13869892.0,13973100.0
22,13846164.0,13879176.0,13871640.0,13941900.0
23,13862024.0,13907496.0,13833416.0,13905676.0
24,13794904.0,13914148.0,13833396.0,13927688.0
25,13807688.0,13876904.0,13798272.0,13903944.0
26,13739692.0,13862188.0,13781904.0,13861236.0
27,13744284.0,13873464.0,13807488.0,13888400.0
28,13731772.0,13822388.0,13800724.0,13812916.0
29,13646068.0,13829224.0,13756240.0,13812700.0
30,13689560.0,13844108.0,13768552.0,13825492.0
31,13630672.0,13808720.0,13704724.0,13792100.0
32,13652108.0,13780872.0,13695280.0,13799264.0
33,13623264.0,13780124.0,13712400.0,13762040.0
34,13582200.0,13749940.0,13686984.0,13752944.0
35,13618116.0,13733128.0,13629896.0,13752708.0
36,13556740.0,13715044.0,13658804.0,13682556.0
37,13540048.0,13675084.0,13613940.0,13701248.0
38,13578904.0,13707476.0,13583028.0,13720488.0
39,13518268.0,13689960.0,13621772.0,13671124.0
40,13529536.0,13642492.0,13575380.0,13694432.0
41,13517972.0,13636116.0,13561312.0,13677216.0
42,13466896.0,13636252.0,13568744.0,13630836.0
43,13481152.0,13557504.0,13509292.0,13641460.0
44,13418276.0,13536664.0,13496400.0,13618408.0
45,13428088.0,13537708.0,13490188.0,13561244.0
46,13446248.0,13509936.0,13454996.0,13572344.0
47,13380488.0,13511468.0,13466356.0,13522288.0
48,13398972.0,13483272.0,13479716.0,13511384.0
49,13343192.0,13442592.0,13449972.0,13520984.0
50,13334080.0,13448076.0,13417208.0,13487688.0
51,13357376.0,13422800.0,13432956.0,13525464.0
52,13315052.0,13379708.0,13405792.0,13478872.0
53,13302776.0,13436356.0,13363444.0,13440908.0
54,13289700.0,13446800.0,13371084.0,13442228.0
55,13228104.0,13420044.0,13299316.0,13369964.0
56,13225528.0,13381188.0,13290212.0,13366616.0
57,13203260.0,13410220.0,13304304.0,13393716.0
58,13198016.0,13374916.0,13249276.0,13329240.0
59,13195896.0,13337028.0,13253700.0,13364228.0
60,13151368.0,13350924.0,13238784.0,13353248.0
61,13134900.0,13295096.0,13180080.0,13366304.0
62,13148756.0,13315780.0,13186104.0,13371204.0
63,13128088.0,13317008.0,13165560.0,13339496.0
64,13127888.0,13287928.0,13154048.0,13342748.0
65,13113400.0,13264036.0,13172540.0,13320512.0
66,13075636.0,13280604.0,13118484.0,13272796.0
67,13118884.0,13218500.0,13154616.0,13286636.0
68,13062196.0,13247488.0,13151108.0,13251464.0
69,13053100.0,13237296.0,13122028.0,13221844.0
70,13067340.0,13194400.0,13121044.0,13243096.0
71,13011028.0,13214428.0,13077400.0,13205096.0
72,13031332.0,13160660.0,13063692.0,13180756.0
73,13022608.0,13141128.0,13095604.0,13201696.0
74,12969100.0,13141180.0,13049468.0,13151088.0
75,12984192.0,13085248.0,13028552.0,13144156.0
76,12956708.0,13097464.0,13055796.0,13150232.0
77,12914372.0,13053100.0,13052832.0,13099708.0
78,12920716.0,13008704.0,12992408.0,13112460.0
79,12880888.0,13065840.0,12999508.0,13099816.0
80,12884924.0,13041140.0,12994944.0,13057112.0
