%ifutil,aceph01,aceph02,aceph03,aceph04
0,8.89,8.37,8.63,7.97
1,8.42,7.9,8.09,8.69
2,8.62,8.39,8.94,8.36
3,9.56,8.99,8.59,8.33
4,8.83,8.37,8.25,8.86
5,8.69,8.3,8.4,8.32
6,8.42,8.25,8.39,8.07
7,8.06,8.13,8.58,8.93
8,9.44,9.03,8.36,8.28
9,8.81,8.06,8.3,8.45
10,8.44,7.96,8.15,8.28
11,8.47,8.37,8.5,8.24
12,8.23,8.26,8.39,8.45
13,9.31,8.78,8.34,8.71
14,8.81,8.47,8.61,8.64
15,8.7,8.26,8.39,8.38
16,8.45,8.32,8.6,8.35
17,8.5,8.4,8.54,8.23
18,9.08,8.78,8.62,8.38
19,9.05,8.29,8.46,8.67
20,8.3,8.52,8.43,8.4
21,9.14,8.17,8.51,8.5
22,8.29,8.25,8.61,8.67
23,9.15,8.91,8.65,8.65
24,9.0,8.49,8.68,8.44
25,8.42,8.33,8.38,8.53
26,8.76,8.0,8.45,8.43
27,8.25,8.47,8.58,8.37
28,9.01,8.66,8.23,8.47
29,8.98,8.41,8.4,8.54
30,8.57,8.23,8.73,8.6
31,8.7,8.24,8.39,8.49
32,8.46,8.3,8.7,8.4
33,9.06,8.82,8.35,8.33
34,8.5,8.05,8.33,8.53
35,8.8,8.3,8.51,8.33
36,8.56,7.81,8.35,8.2
37,8.24,8.08,8.3,8.38
38,9.01,8.5,8.45,8.1
39,8.45,8.07,8.37,8.52
40,8.23,7.87,8.07,8.52
41,8.94,8.11,8.4,8.14
42,8.25,7.81,8.31,8.06
43,9.01,8.6,8.32,8.48
44,8.71,8.53,8.49,8.18
45,8.35,8.0,8.14,8.61
46,8.78,8.01,8.42,8.21
47,8.31,8.08,8.34,8.26
48,8.85,8.52,7.89,8.0
49,8.4,8.14,7.97,8.22
50,8.52,7.81,8.27,8.31
51,8.58,8.03,8.4,7.84
52,8.32,7.89,8.05,8.22
53,9.26,8.77,8.44,8.02
54,8.54,8.23,8.5,8.29
55,8.27,8.0,8.39,8.68
56,8.86,8.15,8.38,8.07
57,8.12,7.97,8.09,8.1
58,8.71,8.44,8.33,8.48
59,8.78,8.36,8.79,8.49
60,8.64,7.83,8.2,8.58
61,8.47,8.09,8.33,8.31
62,8.48,8.29,8.5,7.88
63,8.92,8.51,8.2,8.23
64,8.67,8.23,8.36,8.56
65,8.58,7.97,8.32,8.45
66,8.74,8.21,8.31,8.5
67,8.28,8.44,8.6,8.24
68,8.96,8.49,8.33,8.34
69,8.38,8.42,8.46,8.76
70,8.51,8.4,8.38,8.35
71,8.56,8.04,8.61,8.44
72,8.03,7.95,8.2,8.33
73,9.07,8.54,8.49,8.15
74,8.35,8.17,8.32,8.46
75,8.31,8.12,8.37,8.64
76,8.37,7.91,8.23,8.12
77,8.09,7.97,8.09,8.15
78,8.99,8.85,8.27,8.25
79,8.8,8.3,8.24,8.11
80,8.43,8.08,8.11,8.44
81,8.68,8.16,8.29,8.21
82,8.12,8.01,8.24,8.08
83,8.63,8.59,8.06,8.31
84,8.74,8.51,8.35,7.95
85,8.75,7.68,7.95,8.29
86,8.23,7.97,8.45,8.49
87,8.42,7.93,8.32,8.08
88,8.83,8.77,8.47,8.09
89,8.7,7.67,8.23,9.06
90,8.61,8.27,8.65,8.18
91,8.55,7.84,8.14,8.2
92,8.24,7.98,8.56,8.36
93,8.92,8.67,8.45,8.17
94,8.19,7.93,8.12,8.17
95,8.44,8.0,8.12,8.38
96,8.6,7.91,8.28,7.82
97,7.79,7.49,7.99,7.8
98,8.7,8.29,8.07,8.19
99,8.44,8.05,8.1,8.02
100,8.54,7.82,7.91,8.36
101,8.49,7.93,8.68,7.66
102,8.24,7.91,8.06,8.08
103,8.79,8.45,8.32,8.29
104,8.95,8.47,8.57,8.4
105,8.24,7.78,7.97,8.24
106,8.49,7.99,8.32,8.42
107,8.24,8.02,8.45,7.94
108,8.79,8.3,8.31,8.28
109,8.68,8.71,8.44,8.69
110,8.36,7.97,8.21,8.35
111,8.48,7.71,8.47,8.1
112,8.01,8.05,8.59,8.17
113,8.68,8.5,8.45,8.17
114,8.28,7.99,8.03,8.71
115,8.83,8.44,8.36,8.16
116,8.51,7.72,8.49,8.1
117,8.0,7.78,8.05,8.44
118,9.21,9.01,8.34,8.28
119,8.71,7.91,8.32,8.4
120,8.39,8.02,8.08,8.43
121,8.7,7.87,8.54,7.94
122,7.93,7.58,8.11,8.0
123,8.95,8.52,8.04,7.75
124,8.55,7.95,7.92,7.86
125,8.38,7.77,7.89,8.38
126,8.48,7.72,8.38,7.94
127,7.88,7.85,8.21,8.05
128,8.57,8.33,8.06,8.16
129,8.44,8.43,8.34,8.23
130,8.34,7.73,7.84,8.55
131,8.53,7.87,8.63,8.15
132,8.25,8.08,8.31,7.96
133,8.66,8.44,8.06,8.24
134,8.53,8.75,8.64,8.09
135,8.52,7.9,8.04,8.12
136,8.57,7.88,8.21,8.04
137,8.3,8.03,8.25,8.07
138,8.49,8.29,7.81,8.16
139,8.64,8.2,8.45,8.42
140,8.1,7.9,7.8,8.39
141,8.54,7.69,8.18,7.7
142,8.15,8.17,8.12,7.97
143,8.24,8.12,7.98,8.34
144,8.73,8.47,8.48,8.02
145,8.22,7.72,8.08,8.26
146,8.4,7.49,8.14,8.15
147,8.46,8.21,8.11,7.78
148,8.31,8.12,7.8,8.15
149,8.82,8.05,8.3,8.37
150,8.41,7.83,8.55,8.03
151,8.36,7.65,7.79,8.16
152,8.31,7.94,8.05,8.23
153,8.72,8.52,8.6,7.81
154,8.36,7.86,7.83,8.12
155,8.42,7.61,8.15,8.59
156,8.63,8.17,8.12,7.76
157,8.05,7.66,7.97,8.27
158,8.73,8.73,8.21,8.2
159,8.17,8.35,8.13,8.38
160,8.04,7.43,8.06,8.37
161,8.79,7.89,8.38,8.49
162,7.67,8.0,8.49,8.22
163,8.36,8.25,8.04,8.36
164,8.77,8.6,8.36,8.42
165,8.33,7.94,8.26,8.22
166,8.68,7.79,7.83,8.19
167,8.72,8.12,8.2,8.27
168,8.71,8.22,8.39,7.74
169,8.28,8.29,8.42,8.47
170,8.45,8.05,8.0,8.46
171,8.29,7.71,8.34,8.15
172,7.92,7.72,8.32,8.06
173,8.73,8.58,8.25,7.65
174,8.27,7.95,7.97,8.5
175,8.63,8.23,8.27,8.2
176,8.8,8.04,8.23,7.88
177,7.86,7.81,8.15,8.16
178,8.79,8.81,8.35,8.17
179,8.68,8.15,7.94,8.11
180,8.06,7.79,7.97,8.22
181,8.75,7.97,8.42,7.86
182,8.19,7.93,8.01,8.03
183,8.57,8.43,8.27,8.16
184,8.7,8.34,8.44,8.38
185,8.23,8.02,7.86,8.29
186,8.61,7.83,8.28,7.66
187,8.08,7.82,8.22,8.22
188,8.51,8.63,7.82,8.24
189,8.61,8.02,8.16,8.02
190,8.35,7.68,7.88,7.96
191,8.37,7.78,8.08,7.75
192,7.7,7.59,7.88,7.99
193,7.97,7.88,7.74,8.3
194,8.6,8.3,8.19,8.31
195,8.19,7.68,8.22,7.93
196,8.6,7.82,7.99,8.02
197,7.68,8.13,8.06,8.06
