rxkB/s,aceph01,aceph02,aceph03,aceph04
0,15096.3,14402.0,14747.2,13498.1
1,14319.4,13592.4,13565.2,14958.0
2,14750.9,14436.1,15170.6,14254.6
3,16044.4,14463.7,14504.4,14077.1
4,14904.7,14025.5,13905.1,14543.8
5,14704.8,14283.3,14328.8,14075.3
6,14281.2,14196.5,14037.9,13904.6
7,13800.3,13993.3,14525.5,15235.0
8,15816.9,14566.6,14125.5,13975.6
9,14874.2,13499.8,13995.6,13824.3
10,14330.7,13700.1,13870.3,14019.6
11,14337.6,14399.1,14233.8,14169.3
12,14086.6,14221.0,14209.9,14414.8
13,15592.1,14088.8,14091.2,14722.2
14,14868.6,14218.1,14524.4,14166.9
15,14761.2,14204.9,14307.4,14175.1
16,14297.4,14326.4,14413.1,14382.2
17,14561.0,14456.8,14450.9,14040.3
18,15196.0,14120.7,14575.4,14148.5
19,15271.9,13863.0,14263.1,14356.4
20,14114.9,14673.2,14355.4,14077.1
21,15441.1,14067.2,14251.2,14621.8
22,14199.9,14201.9,14597.8,14796.5
23,15317.8,14297.8,14617.4,14619.0
24,15204.3,14248.3,14644.6,13984.2
25,14339.4,14320.6,14297.8,14309.0
26,14802.1,13764.8,14153.1,14511.8
27,14129.3,14571.2,14525.7,14268.6
28,15073.1,13930.5,13892.1,14290.6
29,15172.5,14088.4,14161.4,14286.3
30,14594.7,14160.3,14877.0,14265.2
31,14693.3,14191.0,14044.1,14606.3
32,14494.4,14286.5,14738.5,14318.0
33,15163.1,14174.9,14088.2,14056.7
34,14342.4,13471.8,14050.8,14277.7
35,14968.2,14287.5,14512.4,13799.0
36,14436.9,13448.8,13977.3,14128.0
37,14108.2,13904.2,14044.7,14291.1
38,15075.5,13651.4,14277.5,13667.1
39,14247.2,13494.0,14108.2,14272.6
40,14001.2,13549.5,13746.0,14103.7
41,15092.5,13966.8,14059.7,13997.1
42,14125.1,13435.1,14072.6,13729.8
43,15093.6,13789.0,14050.7,14307.9
44,14715.5,14323.3,14315.2,13678.1
45,14203.1,13770.1,13883.7,14277.6
46,14822.0,13780.1,14092.3,14137.5
47,14216.9,13900.7,14119.6,14083.7
48,14795.9,13695.1,13321.0,13484.6
49,14199.6,13632.1,13422.4,13731.9
50,14453.4,13446.7,14089.2,13774.8
51,14498.0,13828.2,14050.4,13490.0
52,14243.9,13589.7,13613.6,14020.9
53,15524.6,14096.5,14276.4,13675.5
54,14446.7,13814.7,14335.2,13726.7
55,14026.2,13753.7,14311.5,14410.6
56,14969.8,14034.0,14042.5,13894.4
57,13899.6,13726.2,13698.6,13811.6
58,14575.7,13564.2,14075.1,14474.2
59,14865.8,14002.1,14859.6,14038.4
60,14650.7,13485.9,13956.8,14227.3
61,14309.0,13925.1,13957.2,14291.0
62,14521.0,14261.0,14412.7,13422.0
63,14943.0,13643.1,13832.6,14033.9
64,14681.3,13806.7,14109.1,14197.3
65,14566.8,13707.4,14191.3,14017.5
66,14753.4,14140.1,13902.3,14631.3
67,14166.5,14532.5,14573.5,14050.3
68,14997.3,13642.7,14072.0,14228.3
69,14159.2,14090.9,14251.3,14520.6
70,14443.7,14440.7,14283.2,13851.5
71,14452.1,13847.8,14410.1,14520.6
72,13744.9,13675.9,13876.8,14200.0
73,15183.0,13680.7,14357.8,13907.2
74,14129.7,13708.1,14018.7,13997.4
75,14081.7,13970.8,14272.5,14342.9
76,14109.6,13610.3,13778.3,13978.1
77,13848.4,13723.4,13676.6,13891.2
78,15066.4,14230.5,13949.3,14070.2
79,14906.1,13913.4,13895.2,13409.0
80,14301.3,13917.0,13814.3,14019.0
81,14659.1,14043.3,13865.0,14134.3
82,13900.9,13784.0,13971.7,13770.8
83,14427.1,13787.7,13603.7,14173.9
84,14800.1,14286.6,14075.7,13141.2
85,14852.0,13222.3,13551.2,13707.1
86,13886.9,13721.2,14138.9,14602.4
87,14417.1,13644.0,14076.2,13778.7
88,14775.2,14078.5,14294.2,13791.0
89,14728.3,12834.2,13877.9,15045.7
90,14619.0,14232.6,14761.5,13570.4
91,14438.3,13494.8,13609.0,14106.0
