rxpck/s,aceph01,aceph02,aceph03,aceph04
0,14218.0,14085.0,14422.0,12505.0
1,12552.0,12392.0,12833.0,12508.0
2,12812.0,12756.0,13050.0,12707.0
3,13360.0,12922.0,12794.0,12157.0
4,12962.0,12557.0,11956.0,11838.0
5,12001.0,12129.0,12125.0,11430.0
6,12031.0,11989.0,12036.0,11566.0
7,11583.0,12024.0,11923.0,12441.0
8,13036.0,12899.0,11935.0,11786.0
9,12226.0,11742.0,11817.0,12060.0
10,12214.0,11733.0,11795.0,11698.0
11,11761.0,12405.0,11848.0,11760.0
12,11641.0,11464.0,11534.0,12342.0
13,12417.0,12341.0,12055.0,12290.0
14,12355.0,12140.0,12081.0,12042.0
15,11943.0,11848.0,11823.0,11968.0
16,11397.0,11839.0,11752.0,12296.0
17,12498.0,12481.0,12271.0,11616.0
18,12358.0,11472.0,11713.0,12175.0
19,12584.0,12233.0,11966.0,12146.0
20,12441.0,12870.0,12175.0,12487.1
21,12502.0,12277.0,12041.0,11831.0
22,12620.0,12112.0,11958.0,12286.0
23,12796.0,12799.0,12796.0,11891.0
24,12641.0,12052.0,12196.0,12619.0
25,12017.0,12414.0,12153.0,12073.0
26,12274.0,12162.4,12019.0,12359.0
27,12475.0,12656.0,12709.0,12276.0
28,12696.0,12381.0,12011.0,11620.0
29,12208.0,12257.0,12065.0,12201.0
30,12176.0,12055.0,12585.0,12455.0
31,12674.0,12296.0,12057.0,12008.0
32,12313.0,12505.0,12505.0,12483.0
33,13171.0,12774.0,12794.0,12239.0
34,12087.0,11835.0,11835.0,12512.0
35,12493.0,12244.0,12041.0,11992.0
36,12140.0,11586.0,11666.0,11924.0
37,11945.0,11967.0,11875.2,11899.0
38,12136.0,12012.0,11885.0,12055.0
39,11880.0,12000.0,12091.0,12572.0
40,12213.9,11755.0,11870.0,12037.0
41,12533.0,11739.0,12273.0,12031.0
42,11957.0,11826.0,11834.0,11991.0
43,12515.0,11706.0,11551.0,11881.0
44,12326.0,12267.0,12196.0,11194.0
45,12411.0,11428.0,11932.0,11867.0
46,12180.0,12176.0,11962.0,11849.0
47,11757.0,12060.0,11901.0,12329.0
48,12628.0,11834.0,11682.0,11909.0
49,11657.0,12007.0,11206.0,11261.0
50,11468.0,11431.0,11912.0,11928.0
51,11799.0,12042.0,11861.0,11823.0
52,11967.0,12100.0,11367.0,11790.0
53,13040.0,11849.0,12089.0,11913.0
54,11962.0,11704.0,11934.0,11046.0
55,11569.0,11221.0,11313.0,12657.0
56,12945.0,12456.0,12679.0,12125.0
57,11664.0,11736.0,11825.0,12256.0
58,12723.0,12332.0,11892.0,12117.0
59,12062.0,12325.0,12707.0,12240.0
60,11773.0,12212.0,11866.0,12078.0
61,12055.0,11672.0,11824.0,12129.0
62,12017.0,12459.0,12615.0,11564.0
63,12447.0,11946.0,11620.0,12011.0
64,12414.0,11999.0,12320.0,12637.0
65,12379.0,12594.0,12034.0,11629.0
66,12301.0,11713.0,11771.0,12224.0
67,12315.0,12470.0,12672.0,12085.0
68,12972.0,12320.0,11966.0,12063.0
69,12211.0,11989.1,12063.0,12445.0
70,12102.0,12163.0,12640.0,11894.0
71,12455.0,12343.0,12131.0,12600.0
72,12307.0,12621.0,12346.0,12655.0
73,12268.0,12028.0,12468.0,12141.0
74,12438.0,12768.0,12417.0,12324.0
75,11869.0,12284.0,12086.0,12397.0
76,11748.0,12324.0,12467.0,12496.0
77,12288.0,12168.0,12033.0,11983.0
78,12456.0,12452.0,11823.0,12364.0
79,12197.0,12485.0,12197.0,12046.5
80,12396.0,12439.0,12039.0,12251.0
81,12453.0,12728.0,12707.0,11935.0
82,12221.0,11914.0,12191.0,11571.0
83,12439.0,12442.0,11705.0,12333.0
84,12791.0,13137.0,12192.0,11694.0
85,12269.0,11829.0,11684.0,11459.0
86,11853.0,11829.0,11810.0,12054.0
87,12364.0,12114.0,11434.0,12198.0
88,13139.0,12292.0,12554.0,11945.0
89,11382.0,11199.0,11329.0,13099.0
90,12757.0,12899.0,12842.0,11635.0
91,11856.0,11343.0,11979.0,12530.0
92,12329.0,12001.0,12533.0,11470.0
93,11839.0,12061.0,11696.0,11766.0
94,11880.0,11814.0,11633.0,11741.0
95,11618.8,11980.0,11515.0,11759.0
96,12261.0,11442.0,12149.0,11709.0
97,11811.0,11945.0,11863.4,11571.0
98,11799.0,11378.0,10982.0,12220.0
99,12563.0,12352.0,12154.0,12180.0
100,12401.0,11972.0,11706.0,11310.0
101,12195.0,11874.0,12103.0,11555.0
102,11942.0,11583.0,12532.0,11761.0
103,12652.0,11987.0,11926.0,12192.0
104,12379.0,11930.0,11897.0,11992.0
105,11764.0,11231.0,12030.0,12686.0
106,12819.0,12677.0,12560.0,12495.0
107,12374.0,12374.0,12283.0,11379.0
108,12200.0,11913.0,11965.0,12267.0
109,11921.0,12095.0,11965.0,11968.0
110,12171.0,12155.0,12499.0,12008.0
111,12215.0,11290.0,11806.0,11966.0
112,12153.0,11594.1,12622.0,12382.0
113,12416.0,12502.0,12167.0,11642.0
114,11734.0,11100.0,11564.0,13285.0
115,13110.0,12895.0,12781.0,11883.0
116,12212.0,11865.0,11962.0,12008.0
117,11226.0,11337.0,12098.0,12344.0
118,12918.0,12487.0,12326.0,11830.0
119,12266.0,11741.0,11993.0,11836.0
120,12046.0,12098.0,11944.0,12304.0
121,12157.0,11817.0,11698.0,11978.0
122,11840.0,11832.0,12101.0,12178.0
123,12877.0,11715.0,11701.0,11147.0
124,11717.0,11395.0,11238.0,11139.0
125,11923.0,11402.0,10866.0,11805.0
126,12167.0,11251.0,11798.0,11350.0
127,11346.0,11159.0,12278.0,11413.0
128,12382.0,12304.0,11996.0,12001.0
129,11947.0,11705.0,11820.0,11846.0
130,11528.0,12075.0,12080.0,12763.0
131,12629.0,12418.0,12736.0,11630.0
132,12195.0,11707.0,11993.0,11696.0
133,12171.0,11697.0,11587.0,12250.0
134,12667.0,12544.0,12183.0,11589.0
135,11979.0,11215.0,11313.0,11817.0
136,11743.0,12117.0,11759.0,11687.0
137,11702.0,11186.0,11249.0,12068.0
138,12251.0,12313.0,12222.0,12558.0
139,12848.0,12391.0,12613.0,11921.0
140,11944.0,11728.0,11830.0,11736.0
141,11838.0,11737.0,11691.0,12052.0
142,11695.0,11832.0,11359.0,12109.0
143,12003.0,11993.0,12330.0,11809.0
144,12099.0,12683.0,11812.0,11936.0
145,11852.0,11384.0,11555.0,11535.0
146,11913.0,11244.0,11221.0,12175.0
