avgqu-sz,aceph01,aceph02,aceph03,aceph04
0,70.915,8.598,11.472,60.936
1,109.424,37.613,3.056,24.49
2,100.525,84.132,39.335,31.578
3,35.557,70.284,52.747,28.726
4,9.034,104.958,63.911,29.105
5,22.376,103.929,68.097,56.719
6,42.878,113.513,85.683,104.489
7,35.847,101.833,72.817,101.925
8,32.993,79.816,95.709,115.372
9,48.209,83.045,96.004,107.678
10,51.906,76.665,87.871,90.064
11,66.681,77.997,96.604,99.383
12,74.92,72.708,89.626,111.904
13,77.095,60.938,88.842,113.501
14,113.563,47.002,90.392,101.65
15,143.557,38.273,81.154,100.651
16,143.849,28.968,84.712,96.028
17,119.714,43.563,79.097,76.662
18,115.632,54.986,96.958,70.379
19,114.678,84.598,103.722,64.205
20,115.342,104.185,118.561,57.92
21,119.8,114.842,136.754,77.328
22,126.71,114.982,127.362,86.727
23,135.89,116.832,117.941,104.012
24,125.303,119.988,128.269,113.839
25,129.178,113.737,141.719,138.84
26,126.018,119.582,154.302,125.271
27,124.321,130.029,140.162,119.279
28,143.756,131.95,127.142,124.233
29,147.833,143.356,115.505,132.273
30,144.096,143.461,117.79,136.178
31,143.843,150.648,106.168,143.522
32,145.64,159.04,96.258,143.58
33,143.771,159.906,112.765,143.205
34,131.315,158.256,118.403,143.412
35,136.845,159.988,137.136,141.776
36,127.264,151.425,129.176,147.094
37,91.001,145.07,135.603,129.865
38,85.549,156.359,136.418,142.108
39,83.551,171.461,130.823,142.678
40,74.103,164.88,128.804,134.195
41,58.697,161.311,128.101,129.157
42,71.836,158.59,119.181,138.434
43,70.565,157.72,115.07,135.711
44,63.774,166.743,120.121,138.413
45,72.404,161.586,120.901,120.058
46,89.606,157.734,119.248,124.53
47,111.566,157.831,117.121,140.162
48,129.026,164.638,115.147,147.401
49,135.373,175.662,120.143,147.451
50,148.265,174.129,140.633,164.414
51,149.65,188.22,151.356,158.095
52,138.529,189.443,145.122,160.181
53,141.122,187.454,136.95,171.926
54,144.238,187.268,122.95,183.317
55,157.641,177.461,130.026,184.975
56,168.815,170.634,132.474,180.66
57,171.688,170.685,140.006,171.529
58,171.839,167.155,144.088,155.844
59,172.124,132.797,146.403,138.771
60,172.218,120.046,140.263,158.445
61,162.993,101.447,159.18,160.701
62,166.599,98.84,171.273,147.974
63,159.028,90.658,178.707,137.925
64,158.464,83.002,166.048,122.079
65,159.017,77.296,160.216,113.62
66,157.911,82.085,146.444,105.578
67,166.376,90.704,131.333,123.825
68,176.304,85.372,140.463,117.349
69,180.301,94.557,143.213,116.168
70,165.714,114.978,121.235,116.447
71,170.995,127.821,114.561,118.803
72,159.071,137.093,115.056,113.109
73,159.549,155.981,115.251,127.995
74,171.856,154.546,118.778,141.93
75,180.848,145.709,119.438,136.193
76,170.519,129.583,118.678,132.815
77,162.349,137.755,143.254,130.843
78,170.973,145.208,145.291,129.894
79,171.696,149.999,157.53,129.178
80,186.362,144.039,166.789,145.422
81,167.237,146.27,188.019,159.543
82,149.878,146.097,200.971,158.06
83,183.983,140.894,200.94,158.218
84,183.045,141.929,181.99,157.309
85,174.787,143.54,185.589,145.507
86,171.948,144.422,197.857,168.59
87,172.237,144.74,197.169,174.747
88,151.814,143.713,205.441,166.149
89,142.807,143.695,201.666,158.429
90,143.765,144.33,191.496,160.289
91,157.582,143.617,181.47,158.034
92,185.63,143.828,196.956,157.605
93,173.587,144.994,201.509,149.057
94,186.54,145.134,196.642,144.614
95,189.928,144.728,192.174,143.748
96,201.655,143.81,183.441,143.43
97,201.298,149.235,158.464,144.135
98,196.401,173.087,169.71,142.802
99,185.385,162.643,167.067,157.4
100,170.963,165.156,159.625,158.725
101,157.928,158.495,155.486,158.139
102,149.41,170.675,148.64,161.816
103,159.313,173.516,136.677,160.874
104,155.079,171.792,133.42,171.664
105,149.692,182.706,151.725,172.264
106,146.592,186.253,160.366,155.901
107,141.18,172.802,167.712,152.316
108,143.341,179.932,169.983,185.309
109,143.862,180.732,152.19,199.95
110,144.482,177.611,163.357,198.435
111,145.411,183.337,173.656,211.579
112,144.248,185.647,172.802,205.562
113,146.785,200.033,172.314,189.791
114,147.026,200.952,163.388,200.446
115,144.029,177.464,159.106,185.439
116,144.016,172.588,157.602,205.556
117,144.103,172.928,167.171,209.666
118,148.216,171.699,159.485,200.362
119,159.521,172.601,158.246,210.043
120,158.021,172.205,162.739,204.057
121,157.662,176.613,164.796,197.222
122,162.582,195.428,179.129,179.776
123,173.192,200.327,191.896,173.94
124,182.764,188.243,193.74,201.135
125,185.095,190.166,200.442,189.715
126,174.608,191.044,196.399,188.481
127,198.038,190.745,180.14,185.564
128,201.659,179.143,186.036,185.829
129,187.044,180.65,172.944,187.733
130,175.715,186.321,185.923,175.073
131,162.2,186.257,181.486,172.665
132,158.032,182.323,168.492,183.903
133,153.088,172.807,160.029,183.105
134,157.907,172.7,160.783,175.423
135,158.013,171.921,148.602,172.67
136,158.56,161.41,144.022,173.054
137,158.231,156.885,144.062,160.815
138,158.397,158.14,146.082,143.27
