avgrq-sz,aceph01,aceph02,aceph03,aceph04
0,46.358,111.852,170.363,49.971
1,41.487,89.326,139.38,30.246
2,4.8,35.786,4.0,25.82
3,10.81,107.588,4.8,85.539
4,21.879,10.8,4.8,92.655
5,9.613,6.4,42.48,41.333
6,33.203,7.47,4.8,13.6
7,47.101,28.339,24.425,5.6
8,2.468,43.155,6.4,7.42
9,3.203,4.8,8.494,7.289
10,3.2,5.108,14.0,26.528
11,3.2,4.8,28.275,26.425
12,5.6,28.0,5.6,6.4
13,8.0,27.483,33.14,6.4
14,8.41,3.2,5.471,8.171
15,8.949,26.52,5.256,5.646
16,9.079,16.87,32.822,5.6
17,37.068,4.888,7.244,32.291
18,7.791,11.86,6.082,35.503
19,7.744,9.627,8.597,33.583
20,7.178,11.962,8.81,32.884
21,7.439,11.236,9.002,7.848
22,8.407,11.199,8.791,7.666
23,7.424,10.221,24.396,9.925
24,7.715,9.429,15.571,13.018
25,9.609,8.17,10.372,12.345
26,9.064,9.109,11.725,12.607
27,9.847,8.33,10.86,10.066
28,8.655,8.463,10.092,8.516
29,8.808,8.44,12.79,8.393
30,9.719,8.817,8.777,8.662
31,12.682,8.329,8.879,8.365
32,8.74,9.002,7.53,8.619
33,8.798,9.433,36.836,10.101
34,9.049,9.316,7.726,9.571
35,9.795,9.295,7.509,9.519
36,9.132,8.983,30.27,44.581
37,22.614,36.862,7.051,12.514
38,5.525,9.991,7.94,10.664
39,5.153,9.213,7.924,10.342
40,7.37,10.601,7.857,10.5
41,7.836,9.579,7.219,39.045
42,4.501,9.162,9.011,9.813
43,5.294,9.298,8.323,10.299
44,10.58,11.622,6.859,7.49
45,10.098,11.389,7.782,8.821
46,7.093,10.274,7.68,8.424
47,10.417,10.431,8.28,11.739
48,10.288,12.443,12.445,11.084
49,11.111,12.293,9.774,12.771
50,12.039,11.022,10.573,11.184
51,11.999,12.298,10.172,10.497
52,12.159,11.571,10.057,10.793
53,10.835,29.549,9.417,11.058
54,9.891,9.706,10.592,12.067
55,9.792,10.733,36.82,12.312
56,10.535,26.839,11.856,15.091
57,11.049,10.154,12.787,10.571
58,11.843,11.253,12.261,10.931
59,11.647,11.147,10.069,10.719
60,11.467,7.695,10.617,9.237
61,13.446,8.097,13.365,10.593
62,11.974,16.524,12.796,20.436
63,11.498,8.097,15.022,13.288
64,11.077,22.042,12.862,17.387
65,12.2,11.191,11.752,19.759
66,11.273,6.568,11.817,10.573
67,11.387,6.885,10.794,9.986
68,12.284,5.367,20.646,10.087
69,11.175,7.433,10.799,8.918
70,11.773,7.791,9.687,8.19
71,11.394,9.851,29.644,34.3
72,11.079,9.837,8.577,7.605
73,32.835,10.271,8.19,8.862
74,10.777,10.537,8.756,9.832
75,12.242,11.326,8.305,9.143
76,12.643,11.706,9.155,8.782
77,12.82,9.674,9.859,8.144
78,13.187,11.046,11.42,9.112
79,13.893,12.209,11.335,8.419
80,12.297,11.353,12.728,10.403
81,13.466,12.32,13.714,11.548
82,10.228,12.503,13.477,27.776
83,10.732,12.753,13.769,11.12
84,11.493,12.672,13.5,11.056
85,11.622,11.835,12.687,11.988
86,10.657,11.825,13.184,11.052
87,10.954,11.962,12.48,11.58
88,11.289,11.784,13.419,12.895
89,9.766,12.318,14.085,11.164
90,9.687,12.224,14.75,11.037
91,10.134,11.551,13.609,10.785
92,11.054,12.74,13.795,11.447
93,10.364,12.779,14.355,11.77
94,11.125,12.935,14.147,12.636
95,13.199,12.747,14.02,12.203
96,13.522,12.255,13.783,11.713
97,13.633,12.751,12.606,12.199
98,14.326,12.548,12.736,11.63
99,35.816,13.377,12.554,13.518
100,12.686,12.543,32.325,12.389
101,35.851,14.592,11.703,11.916
102,11.148,13.858,11.96,12.137
103,10.871,13.832,10.83,12.46
104,10.515,13.989,10.368,13.749
105,11.976,14.494,10.516,12.772
106,11.482,14.697,10.122,12.228
107,11.336,13.615,10.545,13.503
108,13.002,15.277,11.345,12.37
109,12.678,13.783,12.838,13.32
110,12.402,12.934,10.668,13.461
111,12.15,13.624,12.251,14.764
112,11.993,14.142,12.783,14.27
113,12.016,14.105,12.748,14.499
114,11.948,14.283,12.424,14.026
115,12.414,14.557,12.277,13.214
116,12.152,11.257,11.827,12.676
117,12.292,12.591,13.305,14.415
118,11.785,12.735,11.972,13.534
119,11.911,12.865,11.248,13.916
120,11.485,13.081,11.364,14.003
121,11.564,12.258,11.366,13.873
122,13.451,14.042,13.182,12.962
123,13.93,14.909,13.394,13.207
124,13.422,13.975,12.689,13.021
125,13.313,13.337,13.706,11.615
126,13.762,11.418,13.158,12.685
127,14.341,10.978,12.435,11.502
128,15.033,11.03,12.971,12.295
129,15.601,11.15,12.289,12.563
130,14.164,10.558,12.014,13.415
131,13.127,10.796,12.767,12.089
132,11.297,11.538,10.906,13.152
133,11.294,10.712,10.359,12.919
134,14.586,10.543,10.318,12.624
135,11.454,9.797,10.125,11.433
136,11.973,10.911,10.208,11.54
137,11.813,10.134,9.784,11.64
138,11.044,9.873,10.27,10.65
139,11.832,12.247,10.556,11.503
140,11.051,10.869,10.037,10.448
141,11.544,10.76,11.453,11.2
142,11.593,12.518,10.666,10.475
143,12.87,13.046,11.787,10.902
144,12.41,13.371,10.419,11.684
145,11.931,13.309,10.607,11.974
146,12.821,12.793,11.517,12.944
147,13.007,13.221,12.79,13.437
148,12.726,13.022,14.061,13.32
149,12.909,14.144,13.244,12.951
150,13.631,14.029,13.769,13.32
151,13.076,13.519,13.186,12.539
152,12.771,12.859,13.447,13.835
153,12.85,12.634,14.263,13.878
154,12.384,11.48,14.482,14.452
155,12.176,11.101,17.407,14.376
156,12.099,10.398,14.923,12.612
157,11.374,9.489,12.726,12.213
158,11.913,9.89,11.95,11.717
159,11.713,10.19,13.152,11.613
160,12.067,10.676,12.072,12.104
161,11.898,10.798,12.152,12.674
162,11.94,10.735,11.584,12.23
163,11.345,9.926,11.084,11.349
164,11.92,9.812,11.891,10.839
165,11.178,10.145,11.259,10.579
166,12.539,10.08,11.577,9.236
167,12.924,10.314,10.861,9.527
168,12.608,10.628,10.758,9.297
169,13.16,10.231,10.759,10.62
170,13.107,11.964,10.336,10.944
171,12.725,11.821,10.511,11.808
172,11.927,12.06,12.271,11.423
173,11.897,14.429,11.369,11.266
174,12.012,13.736,11.731,12.268
175,12.892,13.896,11.705,11.861
176,13.549,14.455,11.406,12.427
177,12.622,13.188,12.895,12.747
178,11.819,13.473,12.276,13.058
179,11.974,14.682,13.465,13.422
180,11.324,12.573,13.032,12.593
181,11.744,12.749,12.85,13.586
182,10.169,12.005,12.729,13.633
183,11.08,11.081,12.467,12.755
184,11.425,11.482,12.44,13.057
185,10.838,13.377,12.978,12.905
186,11.808,10.82,13.107,13.518
187,12.577,11.378,13.592,13.175
188,13.101,12.176,12.896,12.914
189,13.187,11.134,13.23,12.934
190,13.263,10.977,13.369,12.992
191,12.719,11.499,12.931,12.417
192,12.578,12.55,13.639,12.358
193,12.888,12.075,13.257,12.27
194,12.973,11.163,13.266,12.576
195,14.853,11.636,13.767,11.847
196,13.462,12.492,12.538,11.903
197,13.916,11.559,14.419,12.399
198,13.248,11.904,13.623,11.72
199,13.881,11.285,13.466,12.667
200,14.562,12.074,12.658,12.301
201,12.958,14.549,11.98,11.577
