await,aceph01,aceph02,aceph03,aceph04
0,142.312,78.34,101.733,209.066
1,390.175,88.371,71.866,260.067
2,414.831,283.902,93.495,162.448
3,533.242,229.052,185.919,101.809
4,143.6,320.176,258.116,96.178
5,62.923,417.816,231.412,164.442
6,113.55,428.205,307.167,333.683
7,186.148,500.644,334.783,400.338
8,112.209,462.712,310.307,402.109
9,166.592,275.661,430.184,429.391
10,161.769,333.69,421.711,439.656
11,194.572,293.715,373.418,393.415
12,275.415,333.322,370.532,384.902
13,292.924,271.772,354.055,434.312
14,428.234,258.301,367.701,450.779
15,534.766,215.907,312.458,377.624
16,517.272,113.816,350.55,380.525
17,531.863,114.531,364.583,403.134
18,417.624,214.67,316.377,337.106
19,402.43,239.266,405.82,268.283
20,393.002,273.098,431.206,212.731
21,414.024,322.772,393.353,199.447
22,430.53,297.103,451.169,244.69
23,419.02,327.001,491.163,273.376
24,464.277,354.808,445.192,301.718
25,597.139,382.091,414.931,388.29
26,416.548,379.196,389.306,393.107
27,429.314,465.769,520.12,392.35
28,408.369,446.528,494.085,398.101
29,452.068,525.914,414.891,472.054
30,530.13,520.88,401.49,484.101
31,635.848,534.439,448.873,523.823
32,438.497,666.617,429.969,536.168
33,418.582,533.241,387.783,555.466
34,612.265,532.94,362.408,482.293
35,501.261,503.759,417.97,510.613
36,501.654,649.659,464.77,534.923
37,636.188,586.185,408.187,463.529
38,307.601,479.337,436.363,421.558
39,307.22,506.277,431.571,457.836
40,385.154,607.185,502.518,432.678
41,286.935,607.471,450.448,458.853
42,224.711,504.043,467.144,385.251
43,242.783,529.019,458.186,419.505
44,357.159,491.471,412.638,427.636
45,208.955,529.954,447.856,454.191
46,222.238,512.914,419.34,389.217
47,271.519,505.408,489.779,501.235
48,348.053,602.029,448.35,483.735
49,352.204,518.709,398.445,559.879
50,435.143,525.133,432.111,455.165
51,460.667,699.253,447.77,529.449
52,509.064,617.502,475.448,569.077
53,525.629,547.34,490.262,512.424
54,463.898,524.905,532.004,492.084
55,467.365,537.674,449.384,533.934
56,605.861,473.133,353.734,609.441
57,497.336,417.349,388.588,520.55
58,488.491,421.25,474.148,685.944
59,455.964,704.387,436.238,677.251
60,508.424,541.66,465.751,515.076
61,695.9,352.284,359.664,411.195
62,475.618,522.405,413.645,563.776
63,592.181,388.934,503.047,514.526
64,462.674,268.505,434.664,389.953
65,489.528,293.485,512.949,303.171
66,451.818,212.853,408.305,352.325
67,574.03,341.856,483.991,355.591
68,520.725,266.891,480.437,427.585
69,544.084,284.507,397.971,321.01
70,546.623,322.461,546.778,299.954
71,520.729,394.771,427.762,322.372
72,432.25,404.064,384.615,442.368
73,424.869,491.287,372.92,459.211
74,368.974,497.374,374.665,397.715
75,387.992,495.818,391.301,514.42
76,441.974,575.383,409.483,465.384
77,392.201,416.65,457.175,464.36
78,385.29,410.638,478.583,453.479
79,547.55,471.46,434.558,475.774
80,574.375,410.14,427.715,469.224
81,504.174,480.956,417.39,479.624
82,620.329,499.559,487.928,462.449
83,488.132,352.513,477.556,475.415
84,530.368,480.202,686.255,420.055
85,542.213,419.006,586.038,545.967
86,482.336,460.524,620.313,588.987
87,584.948,441.043,561.046,527.351
88,597.619,443.365,496.868,469.321
89,486.806,454.095,628.845,485.535
90,475.51,430.685,540.594,629.208
91,485.303,436.231,557.438,510.54
92,493.19,436.739,513.802,503.112
93,600.344,446.103,495.872,490.992
94,466.351,404.381,585.381,466.05
95,542.553,404.065,434.052,445.021
96,476.873,451.435,573.719,419.081
97,444.183,412.077,768.313,450.035
98,519.372,438.167,426.94,451.001
99,540.279,493.597,478.926,469.197
100,527.329,530.869,519.723,452.085
101,425.592,555.341,444.193,486.863
102,424.224,430.62,437.013,488.779
103,460.516,429.477,475.157,451.504
104,506.12,426.389,526.846,520.82
105,530.145,522.24,421.46,477.793
106,443.374,475.504,462.086,539.279
107,452.648,576.296,506.848,469.961
108,480.243,555.306,463.159,511.358
109,400.756,530.711,643.729,498.321
110,426.696,474.235,552.474,681.474
111,507.533,561.635,552.916,533.262
112,418.634,558.041,434.351,594.278
113,455.204,477.535,462.354,589.543
114,463.72,460.869,547.835,531.815
115,466.474,528.575,622.982,677.335
116,449.776,639.015,502.628,572.842
117,476.703,510.29,477.462,518.406
118,456.942,466.813,549.366,714.686
119,454.923,424.782,440.855,513.474
120,493.794,442.085,506.145,518.792
121,439.007,475.518,477.897,515.545
122,620.279,471.822,462.356,536.546
123,511.116,482.859,522.983,637.113
124,428.443,511.568,566.537,559.216
125,444.073,451.372,566.613,631.473
126,579.404,685.844,600.344,513.666
127,433.086,527.076,563.953,568.665
128,550.491,542.251,490.302,521.575
129,525.261,715.54,556.794,487.116
130,483.164,520.376,532.817,535.673
131,584.081,515.572,479.793,527.814
132,556.733,559.458,583.118,441.749
133,506.608,650.7,628.857,427.143
134,510.639,546.629,575.347,534.668
135,474.325,575.338,611.666,563.891
136,431.304,560.478,491.886,537.212
137,509.318,503.116,493.015,593.373
138,542.02,553.54,491.02,550.174
139,500.099,601.034,522.312,534.729
140,479.899,542.886,493.592,506.254
141,429.112,495.186,504.573,496.637
142,492.572,521.158,483.062,483.73
143,431.224,548.07,503.033,537.451
144,468.682,501.7,495.707,537.154
145,502.576,592.448,556.379,482.106
146,479.4,549.625,500.511,506.81
147,463.602,592.266,466.216,484.832
148,555.047,631.629,539.231,557.126
149,566.72,474.063,504.249,637.657
150,472.244,509.719,435.153,548.265
151,609.975,557.464,505.411,564.364
152,524.645,596.641,439.362,498.333
153,528.51,591.933,489.673,455.603
