svctm,aceph01,aceph02,aceph03,aceph04
0,5.788,2.716,3.198,2.272
1,3.431,12.422,4.484,7.956
2,2.167,2.799,1.015,3.677
3,9.032,2.495,1.646,13.097
4,16.734,2.239,2.655,2.165
5,1.751,2.605,1.797,1.651
6,1.479,3.52,2.207,2.972
7,2.23,8.526,13.922,2.606
8,0.744,28.304,2.359,2.799
9,1.263,2.073,4.824,3.22
10,1.309,2.202,5.202,9.586
11,1.419,2.129,3.387,4.433
12,1.876,13.2,2.969,2.797
13,2.395,10.507,6.18,2.785
14,3.694,2.665,2.16,4.155
15,3.906,3.062,2.171,2.597
16,3.374,18.045,15.069,2.612
17,26.417,1.091,2.7,15.55
18,2.693,3.853,2.843,6.911
19,2.687,1.778,2.964,8.349
20,2.829,2.185,2.96,6.795
21,3.111,2.034,2.804,1.538
22,2.69,2.129,3.076,1.79
23,3.131,2.257,13.527,1.818
24,2.93,2.468,5.549,2.368
25,3.206,2.696,2.541,2.548
26,2.982,3.231,2.496,2.99
27,2.768,3.071,3.482,2.546
28,3.01,3.401,2.644,2.895
29,3.067,3.547,9.314,4.219
30,5.6,3.956,2.752,3.35
31,4.268,3.714,2.947,3.619
32,2.538,4.929,3.463,3.879
33,2.539,3.353,15.321,4.342
34,3.424,3.521,2.453,3.26
35,2.732,3.417,2.838,3.565
36,4.623,4.49,18.955,12.434
37,18.281,4.594,2.381,5.464
38,1.892,3.079,2.471,2.76
39,2.099,2.991,2.555,2.842
40,5.171,3.623,3.149,3.003
41,4.198,3.553,2.704,10.406
42,1.676,2.942,3.884,2.506
43,1.704,2.96,2.615,2.447
44,4.016,3.096,2.81,2.221
45,3.342,3.254,3.046,2.939
46,1.599,3.111,3.021,2.564
47,1.899,3.477,4.193,3.38
48,2.306,4.051,3.57,3.168
49,2.468,4.314,3.291,4.478
50,2.845,3.452,2.916,3.044
51,2.922,3.796,2.89,3.745
52,3.377,2.932,2.98,3.687
53,3.627,8.052,2.888,3.428
54,3.218,2.401,5.212,3.098
55,3.59,2.429,11.421,3.505
56,3.255,14.038,2.743,5.295
57,3.496,1.828,2.78,3.001
58,2.902,2.155,2.441,3.462
59,3.031,2.683,2.385,4.079
60,2.964,2.723,2.659,2.497
61,4.979,2.369,2.184,2.521
62,2.773,23.364,2.376,7.121
63,3.929,3.419,2.81,2.846
64,3.038,14.136,2.267,13.087
65,3.159,6.737,3.007,17.272
66,3.163,1.497,2.654,2.404
67,3.67,2.151,3.236,2.397
68,3.062,1.783,4.582,2.955
69,3.1,2.007,2.963,2.142
70,4.571,2.264,3.193,2.148
71,2.658,2.632,16.025,18.318
72,3.559,2.812,2.641,2.084
73,6.403,3.121,2.754,2.469
74,2.458,3.542,2.531,2.629
75,2.103,3.352,2.561,3.088
76,1.942,3.254,2.799,3.191
77,2.242,2.96,3.403,4.038
78,2.196,3.114,3.823,2.915
79,2.752,3.103,2.647,3.142
80,2.318,2.906,3.839,3.284
81,2.937,2.89,2.514,3.467
82,3.228,3.065,2.883,6.814
83,3.057,2.594,2.781,3.14
84,3.152,3.368,3.199,3.275
85,3.077,2.969,3.987,2.955
86,3.408,3.077,2.773,3.724
87,3.196,3.05,3.536,3.586
88,3.345,3.077,3.301,3.0
89,3.247,3.128,2.967,3.317
90,3.335,2.935,2.864,3.644
91,3.917,3.444,3.245,3.187
92,3.044,3.745,2.744,3.354
93,3.438,2.91,2.653,3.869
94,3.02,2.87,2.889,2.934
95,3.434,2.883,2.614,3.13
96,2.797,3.053,2.859,3.005
97,2.672,2.801,3.896,3.026
98,3.566,3.027,2.797,3.627
99,11.031,2.943,3.212,3.53
100,2.407,3.388,20.862,2.868
101,12.482,3.295,2.549,3.087
102,2.199,3.197,2.724,3.043
103,2.575,2.609,2.939,2.905
104,3.418,2.872,3.496,3.884
105,3.139,3.45,2.738,2.779
106,2.801,3.045,2.871,3.087
107,2.585,2.871,2.822,3.29
108,2.848,3.902,2.834,3.536
109,2.874,2.843,3.883,2.811
110,3.113,3.612,3.236,4.392
111,3.64,3.232,3.576,2.692
112,2.87,2.803,2.916,3.097
113,3.386,2.993,3.064,3.302
114,3.237,2.549,3.487,2.98
115,2.935,2.931,3.329,3.249
116,4.141,3.501,4.48,4.014
117,3.151,2.809,3.084,2.652
118,3.288,3.03,3.057,3.451
119,3.527,2.867,3.029,3.05
120,3.172,2.772,3.138,2.664
121,3.082,3.004,3.334,2.67
122,4.867,3.252,3.303,2.869
123,2.75,2.982,4.161,4.841
124,2.777,2.85,3.471,2.894
125,2.644,2.953,2.894,4.342
126,3.955,3.035,2.707,2.683
127,2.507,3.169,3.362,3.294
128,3.176,3.431,2.782,2.905
129,2.533,3.832,3.237,3.385
130,2.978,3.196,2.91,2.969
131,3.17,3.403,2.995,2.85
132,2.866,3.082,3.138,2.871
133,3.307,3.826,3.858,2.869
134,5.243,3.171,3.781,3.041
135,3.037,3.504,3.853,2.982
136,2.9,3.432,3.305,3.249
137,3.675,3.199,3.62,3.372
138,3.085,3.399,3.342,3.658
139,3.033,5.311,3.492,3.42
140,3.275,3.142,3.485,4.246
141,3.038,3.834,3.392,3.069
142,3.109,3.899,3.25,3.336
143,3.211,2.787,3.257,4.21
144,3.494,2.801,3.214,3.263
145,2.824,2.86,3.568,3.577
146,3.101,2.837,3.117,3.091
147,2.851,2.731,3.896,2.99
148,3.274,2.734,2.817,2.808
149,3.489,2.539,2.937,3.483
150,2.946,2.597,2.706,3.418
151,3.004,2.852,3.017,2.709
152,3.682,3.754,2.71,2.923
153,2.842,3.291,3.312,2.67
154,2.994,3.524,2.566,4.054
155,3.284,3.214,3.695,2.693
156,3.547,3.512,2.742,3.223
157,2.907,3.665,2.992,2.848
158,3.81,3.255,3.704,3.253
159,3.578,3.352,2.744,3.486
160,2.878,4.977,3.244,2.855
161,2.882,3.295,2.985,3.056
162,2.898,3.308,2.955,3.295
163,2.986,3.36,3.157,2.896
164,3.504,3.309,3.468,3.903
165,3.941,3.506,3.181,3.12
166,3.41,3.262,3.052,3.34
167,2.692,3.244,3.237,3.483
168,2.88,3.203,3.159,3.618
169,2.792,3.321,3.369,3.297
170,2.75,5.654,3.534,3.215
171,3.109,2.933,3.686,4.142
172,2.916,3.58,3.022,3.163
173,3.104,3.3,3.158,3.476
174,3.118,2.639,3.005,3.098
175,3.391,2.713,3.189,3.376
176,3.289,2.729,4.315,2.859
177,3.794,2.729,3.079,3.611
178,3.25,2.67,3.458,3.143
179,3.177,3.045,2.862,2.923
180,3.199,2.849,2.975,3.647
181,3.561,2.953,2.812,2.735
182,3.533,3.21,2.957,2.849
183,3.218,3.469,3.122,2.82
184,3.224,4.371,3.667,3.611
185,3.201,3.834,2.847,2.849
186,3.356,3.588,2.842,2.863
187,2.82,3.042,2.813,3.444
188,3.053,3.932,2.797,2.909
189,2.834,2.999,2.783,3.449
190,2.759,3.8,2.918,2.709
191,2.785,3.474,2.914,3.611
192,2.946,2.929,3.041,2.744
193,2.984,2.947,2.73,3.155
194,3.286,3.273,2.817,3.176
195,2.73,3.206,2.843,2.938
196,3.162,3.107,2.825,3.835
197,2.727,4.461,2.991,3.197
198,3.584,2.786,3.126,3.088
199,2.844,2.993,3.383,2.946
