%util,aceph01,aceph02,aceph03,aceph04
0,55.44,11.6,20.88,40.96
1,68.24,32.08,9.04,32.2
2,60.0,72.08,32.64,45.64
3,61.72,45.4,41.4,24.52
4,29.04,62.44,40.72,20.68
5,16.04,70.4,45.24,39.32
6,30.4,85.6,57.12,64.2
7,29.32,84.6,54.84,70.0
8,23.0,66.96,63.76,80.0
9,36.28,52.0,79.4,79.96
10,36.2,54.72,70.4,74.52
11,40.0,54.099,65.84,66.64
12,53.32,56.92,70.0,72.2
13,63.68,45.4,61.84,76.64
14,80.88,39.96,60.0,78.8
15,99.72,31.4,59.96,70.0
16,99.96,26.96,64.2,69.92
17,98.16,31.6,55.12,67.32
18,80.0,45.56,64.0,57.08
19,80.0,58.88,73.76,54.64
20,80.0,72.92,83.76,44.52
21,80.04,80.0,89.6,53.48
22,80.08,80.0,89.44,60.0
23,80.0,80.0,89.08,67.68
24,80.0,80.0,88.2,74.12
25,86.08,80.0,80.0,90.0
26,85.6,82.96,88.36,86.32
27,82.32,90.0,90.0,82.36
28,90.0,91.84,90.0,86.32
29,90.0,100.0,87.4,95.52
30,90.0,100.0,80.0,95.2
31,88.795,100.0,71.04,100.0
32,80.0,100.0,70.0,100.0
33,80.0,100.4,75.24,100.0
34,85.76,100.0,73.96,99.41
35,81.64,100.0,79.8,99.96
36,89.36,99.68,76.68,96.52
37,73.68,90.103,70.0,88.64
38,60.0,90.0,75.64,89.08
39,60.0,90.0,72.201,90.0
40,60.8,90.0,80.0,89.64
41,51.68,90.0,80.0,83.96
42,50.0,90.36,85.4,80.0
43,50.12,90.0,74.48,74.8
44,56.84,96.24,80.0,70.0
45,50.2,100.0,85.92,76.16
46,56.04,100.0,84.0,77.88
47,67.76,100.0,89.92,96.0
48,80.0,100.0,80.32,100.0
49,84.12,99.28,84.32,100.0
50,94.04,90.0,90.0,100.0
51,93.44,90.0,90.0,100.0
52,91.64,89.96,90.0,100.0
53,93.48,82.32,90.0,100.0
54,92.6,80.0,89.92,100.0
55,100.2,79.96,83.6,100.0
56,100.0,74.84,81.68,99.56
57,100.0,70.0,84.68,90.0
58,100.0,73.52,81.24,89.64
59,100.0,72.12,80.0,80.28
60,100.0,70.0,80.0,80.0
61,100.0,70.32,84.0,85.84
62,100.0,73.56,90.0,83.08
63,100.0,57.96,96.16,87.88
64,100.0,53.8,90.0,82.8
65,100.0,54.08,90.0,74.64
66,100.0,48.04,90.36,74.0
67,100.0,57.863,89.96,80.0
68,100.0,50.0,87.88,72.72
69,100.0,56.44,90.0,70.0
70,98.48,70.0,89.32,69.88
71,90.0,78.64,85.36,72.08
72,89.8,87.96,80.0,63.56
73,81.76,98.64,80.0,76.24
74,80.0,100.0,80.0,82.8
75,80.0,100.0,80.0,87.44
76,80.0,94.72,81.08,90.0
77,80.0,90.0,90.0,90.0
78,80.2,91.04,90.0,90.0
79,76.64,95.72,90.0,90.0
80,84.991,90.0,96.16,94.48
81,90.04,90.0,94.44,99.88
82,96.64,90.0,100.0,91.6
83,97.76,90.0,100.0,90.0
84,100.0,99.36,100.0,90.0
85,100.0,100.0,100.0,91.84
86,100.0,100.0,100.0,100.0
87,100.0,100.0,100.0,100.0
88,100.0,100.0,100.4,100.0
89,100.0,100.0,100.0,100.0
90,100.0,100.0,100.0,100.0
91,100.0,100.0,100.0,100.0
92,100.0,100.0,100.0,100.0
93,100.0,100.0,100.0,100.0
94,100.0,100.0,100.0,100.08
95,100.0,100.32,99.01,99.92
96,100.0,100.08,100.0,100.0
97,100.0,100.0,100.0,100.2
98,99.96,100.0,100.0,99.8
99,93.52,100.0,99.6,100.24
100,90.0,100.0,97.28,100.0
101,86.24,100.0,90.0,100.0
102,80.0,100.0,90.0,100.16
103,89.84,100.0,90.0,100.0
104,90.0,100.0,90.0,100.0
105,90.0,100.0,90.0,100.0
106,90.0,100.0,90.0,100.0
107,90.0,100.0,90.0,100.0
108,96.08,99.41,90.0,100.0
109,100.0,100.0,96.16,100.0
110,100.0,100.0,100.0,100.0
111,100.0,100.0,100.0,100.0
112,100.0,100.0,100.0,100.0
113,100.0,100.0,100.0,100.0
114,100.12,100.0,100.0,100.0
115,100.0,100.0,100.0,100.0
