wMB/s,aceph01,aceph02,aceph03,aceph04
0,0.944,0.083,0.196,0.494
1,0.717,0.553,0.143,0.217
2,0.65,1.049,0.589,0.707
3,0.502,0.528,0.567,0.267
4,0.458,0.77,0.436,0.27
5,0.586,0.804,0.538,0.574
6,0.591,0.888,0.624,0.737
7,0.355,0.854,0.576,0.734
8,0.368,0.639,0.827,1.166
9,0.456,0.591,0.834,0.983
10,0.442,0.634,0.736,0.907
11,0.441,0.601,0.798,0.787
12,0.767,0.581,0.685,0.817
13,1.016,0.486,0.658,0.871
14,0.937,0.294,0.765,0.799
15,1.235,0.553,0.727,0.736
16,1.414,0.348,0.778,0.733
17,1.09,0.846,0.737,0.587
18,1.208,1.184,0.735,1.286
19,1.185,1.699,1.537,1.261
20,1.021,2.524,1.509,1.129
21,1.009,2.832,1.718,1.521
22,1.295,2.74,1.471,1.694
23,1.023,2.253,1.567,2.642
24,1.074,1.828,1.838,2.797
25,1.663,1.246,1.97,3.367
26,1.71,1.193,2.751,2.632
27,1.636,1.253,2.169,2.099
28,1.457,1.1,2.215,1.58
29,1.381,1.179,1.93,1.108
30,1.199,1.078,1.499,1.237
31,1.733,1.132,0.861,1.158
32,1.47,0.972,0.895,1.128
33,1.465,1.563,1.39,1.312
34,1.231,1.368,1.194,1.553
35,1.481,1.391,1.093,1.351
36,0.905,1.178,1.251,1.379
37,0.981,1.247,1.079,1.294
38,0.969,1.509,1.297,2.537
39,0.734,1.491,1.179,2.352
40,0.744,1.409,1.06,2.359
41,0.645,1.457,1.141,2.245
42,0.669,1.504,1.028,2.117
43,0.7,1.501,1.254,1.596
44,0.862,2.279,1.014,1.289
45,1.424,2.234,1.102,1.293
46,1.537,1.838,1.066,1.319
47,2.682,1.722,0.965,2.165
48,2.681,1.652,1.148,2.349
49,2.739,1.869,1.592,2.053
50,2.717,1.806,2.114,2.217
51,2.62,1.831,1.956,1.585
52,1.573,2.063,1.763,1.666
53,1.507,1.99,1.598,1.832
54,1.516,1.69,1.238,2.12
55,1.499,1.99,2.091,2.008
56,1.704,2.064,2.015,2.133
57,1.967,2.054,2.058,1.643
