w/s,aceph01,aceph02,aceph03,aceph04
0,236.1,21.3,46.9,126.2
1,183.2,128.4,23.3,51.0
2,166.3,268.8,150.6,170.4
3,109.5,135.3,145.4,56.1
4,50.4,197.0,111.7,68.9
5,92.4,205.6,137.8,147.1
6,96.3,226.8,159.6,188.8
7,59.2,196.8,137.7,188.1
8,90.7,140.3,211.7,237.3
9,116.6,150.9,205.8,211.3
10,113.1,150.5,187.3,194.7
11,112.8,153.566,193.4,191.9
12,196.4,131.5,175.3,209.4
13,260.1,106.8,151.4,222.7
14,233.5,75.3,167.8,191.7
15,285.1,92.3,167.1,188.7
16,305.3,62.8,162.5,187.5
17,209.3,125.9,147.6,123.8
18,245.6,173.3,181.8,181.7
19,243.3,243.7,268.0,175.9
20,228.8,314.3,279.0,152.4
21,216.1,364.6,313.8,224.8
22,243.5,349.6,280.0,233.9
23,221.4,322.0,263.1,322.0
24,228.6,283.0,264.4,334.8
25,278.9,243.7,283.4,413.0
26,294.5,244.4,370.0,334.8
27,279.2,269.7,312.1,320.8
28,286.0,265.4,344.8,292.4
29,272.2,283.2,285.0,265.5
30,236.6,258.9,246.6,286.0
31,257.923,274.0,186.6,279.5
32,261.8,235.5,174.7,266.9
33,259.1,315.0,238.1,268.0
34,246.5,289.2,246.2,315.745
35,266.0,296.8,229.3,284.0
36,195.1,260.3,224.5,263.6
37,174.2,250.695,209.7,245.6
38,201.9,267.8,252.6,347.8
39,172.8,280.7,229.109,334.1
40,171.3,257.0,220.0,329.8
41,130.0,266.1,247.2,293.9
42,153.3,287.3,231.6,291.6
43,155.8,281.8,234.7,251.6
44,144.4,349.7,234.8,230.7
45,211.6,349.2,256.6,239.8
46,233.1,339.9,251.0,275.4
47,338.3,309.2,220.4,327.8
48,335.4,284.9,233.1,365.3
49,357.1,307.8,268.4,323.7
50,373.0,283.2,314.1,362.1
51,363.2,264.9,309.4,289.9
52,289.7,311.5,291.2,304.8
53,276.4,291.8,294.2,315.1
54,297.7,274.2,207.3,336.3
55,303.6,286.1,301.9,322.6
56,316.7,271.6,293.8,322.5
57,324.2,279.5,287.8,277.2
58,374.7,284.4,294.6,252.4
59,356.1,237.7,272.5,222.4
60,360.8,220.3,259.4,262.2
61,272.3,233.5,368.6,322.7
62,376.8,158.8,374.4,311.8
63,285.6,166.6,402.1,383.8
64,351.1,185.7,387.2,377.5
65,327.7,164.4,325.3,329.7
66,323.8,190.3,339.3,292.7
67,306.8,195.446,306.7,301.8
68,340.2,147.4,295.1,210.9
69,330.0,193.5,296.5,239.3
70,291.3,229.6,262.0,236.0
71,313.1,279.4,248.7,234.8
72,313.9,293.8,245.6,225.4
73,355.9,329.1,239.9,254.7
74,335.7,309.0,259.2,294.6
75,371.0,304.5,255.0,258.5
76,367.0,298.4,255.8,263.1
77,335.0,279.8,257.3,231.2
78,329.8,327.2,302.1,285.4
79,309.3,341.0,340.7,265.0
80,352.279,309.6,336.9,290.9
81,310.2,316.0,410.7,346.6
82,309.2,309.1,363.6,313.0
83,339.8,349.6,394.8,324.1
