bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,116612429944,134375624770,131035103850,113420655639,136724446321,116790539191,119591302221,144553928293,132383053746,130366688290,119725890909,135590586656,111916024725,127991131072,141463980110,133332256399,126572228254,129612086442,111488682133,115077728544,137600068495,126668837798,125011455851,142167319266,123258319793,130732056183,127478338239,134543069141,126387487195,127852054128,118240115599,145209986262,128625234619,120560109933,123573610030,117416254557,127138260201,141640687444,138111843163,112102640746
1,116613905399,134377005269,131036563610,113421899699,136725863951,116791484030,119592366334,144554916728,132383058913,130367919521,119727434217,135592159993,111917690169,127992493674,141465156323,133333349807,126573398058,129613240515,111489644115,115078911916,137601923160,126668838746,125011456799,142169006848,123259913799,130733566635,127479509467,134543070090,126387488144,127853938854,118241889568,145209990673,128625239293,120561740373,123575269046,117417795017,127138265274,141641998635,138113508604,112104094812
2,116616604929,134379583414,131039045348,113424749957,136728278556,116794447830,119594639526,144557676281,132383058913,130370709758,119729816668,135595154522,111920680389,127995094662,141467676599,133336272192,126575861226,129615800109,111492065127,115081225134,137604219199,126668838746,125011456799,142171868507,123262578332,130735887675,127482020471,134543070090,126387488144,127855732843,118244959765,145209990673,128625239293,120564601317,123577915051,117419888247,127138265274,141644380328,138116297451,112107374294
3,116618981680,134382107984,131041247846,113427071711,136730491071,116796945989,119596963422,144559763074,132383058913,130373121498,119731962758,135598138315,111923367803,127997752779,141470329033,133338732510,126578070881,129618188979,111494971785,115083811159,137606428839,126668838746,125011456799,142174714481,123264706537,130738460117,127484483634,134543070090,126387488144,127858370291,118247328642,145209990673,128625239293,120566797391,123580574637,117422808507,127138265274,141646846333,138118129274,112109428966
4,116621688363,134384859666,131043980988,113429849098,136733504875,116800146208,119600025094,144562722623,132383058913,130376308142,119734425929,135600557230,111926470856,128000575875,141472540798,133340922160,126580901128,129620854240,111497892034,115086608564,137609177657,126668838746,125011456799,142177862536,123267542496,130741011136,127487461712,134543070090,126387488144,127861694762,118250483098,145209990673,128625239293,120570019740,123583239197,117425505909,127138265274,141649128770,138120386039,112111808595
5,116624650009,134387760619,131046681973,113432836455,136735931615,116802348729,119602259748,144565969967,132383058913,130379037687,119736827675,135603188250,111929332527,128003533934,141475248936,133343603883,126583604956,129623567347,111501087187,115088811060,137611206594,126668838746,125011456799,142180265001,123270114914,130743441440,127490084855,134543070090,126387488144,127863855118,118253035490,145209990673,128625239293,120572767825,123585746639,117427567001,127138265274,141651517645,138122812770,112114396761
6,116626894625,134389995228,131048795226,113435231738,136738432622,116804628379,119604879328,144567635397,132383058913,130381577246,119739395812,135605846387,111932051334,128006591992,141477759212,133347362574,126585898872,129625718407,111504041675,115091627018,137613553334,126668838746,125011456799,142182878881,123272241020,130745792487,127492381601,134543070090,126387488144,127866424713,118255934332,145209990673,128625239293,120575466684,123588437620,117430582220,127138265274,141654358554,138125667298,112117437708
7,116629387066,134392245527,131050833450,113437514192,136740786538,116806606621,119606055559,144569599355,132383058913,130383985407,119741714009,135608840925,111934481643,128009525055,141480570165,133349667930,126588733431,129628621453,111505909208,115094492978,137616241430,126668838746,125011456799,142185834838,123274819879,130748497753,127495384664,134543070090,126387488144,127869072158,118258657424,145209990673,128625239293,120578299788,123590987925,117432582600,127138265274,141656574611,138128350449,112119547357
8,116631906679,134395102220,131053925803,113440273736,136743588962,116808739150,119609132187,144571766859,132383058913,130387850483,119743920087,135611739026,111937618978,128012428842,141483525399,133352593160,126591273722,129631742386,111509420753,115097290387,137618463206,126668838746,125011456799,142188787245,123277897949,130751110851,127497658565,134543070090,126387488144,127871837414,118261526963,145209990673,128625239293,120581427171,123593721053,117435229301,127138265274,141659194152,138131141410,112122252672
9,116634341291,134397638942,131055862647,113442751174,136745602924,116811597986,119611266840,144574397162,132383058913,130389688731,119745665496,135613600159,111939271573,128014435656,141485299376,133354577864,126593574071,129633072875,111511025498,115099206500,137620648595,126668838746,125013145088,142191680324,123280425396,130753624712,127500364516,134543070090,126388591522,127874454120,118264382198,145211576148,128625239293,120583607526,123596219939,117437898876,127139393661,141661361625,138133241790,112125270048
