ops,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,1091532,1045870,977896,827443,881727,1070647,1139969,1575484,920236,1055835,1058593,1145622,990141,990459,1097365,734640,909224,1030167,689418,981809,896147,1206792,809659,1187891,838370,991838,1142638,1270014,1076980,1092062,1090246,989574,910784,754841,1085449,874479,1113904,1111487,1271994,909273
1,1091761,1046082,978122,827636,881947,1070794,1140134,1575635,920237,1056026,1058832,1145864,990398,990671,1097548,734809,909406,1030346,689566,981992,896435,1206793,809660,1188153,838618,992073,1142818,1270015,1076981,1092353,1090522,989575,910785,755093,1085706,874717,1113905,1111691,1272252,909497
2,1092181,1046482,978507,828075,882321,1071254,1140486,1576061,920237,1056459,1059201,1146326,990862,991074,1097939,735262,909787,1030742,689941,982348,896790,1206793,809660,1188596,839032,992433,1143207,1270015,1076981,1092631,1090998,989575,910785,755537,1086116,875041,1113905,1112061,1272682,910005
3,1092548,1046872,978848,828434,882663,1071641,1140847,1576384,920237,1056832,1059531,1146788,991279,991487,1098350,735642,910128,1031112,690391,982747,897131,1206793,809660,1189036,839362,992831,1143588,1270015,1076981,1093038,1091366,989575,910785,755877,1086527,875492,1113905,1112443,1272967,910323
4,1092968,1047299,979271,828865,883128,1072135,1141320,1576840,920237,1057325,1059912,1147161,991759,991924,1098693,735981,910565,1031525,690842,983180,897557,1206793,809660,1189523,839801,993224,1144048,1270015,1076981,1093553,1091854,989575,910785,756375,1086941,875910,1113905,1112797,1273317,910690
5,1093426,1047747,979689,829327,883505,1072476,1141666,1577343,920237,1057748,1060284,1147567,992202,992382,1099111,736396,910984,1031946,691338,983521,897871,1206793,809660,1189894,840199,993601,1144455,1270015,1076981,1093888,1092250,989575,910785,756802,1087330,876229,1113905,1113167,1273694,911092
6,1093773,1048093,980015,829698,883893,1072829,1142073,1577601,920237,1058142,1060683,1147980,992625,992855,1099501,736978,911337,1032279,691796,983958,898235,1206793,809660,1190299,840527,993964,1144809,1270015,1076981,1094285,1092696,989575,910785,757218,1087747,876697,1113905,1113609,1274137,911564
7,1094158,1048442,980331,830052,884257,1073134,1142256,1577906,920237,1058515,1061042,1148442,993002,993308,1099935,737335,911773,1032729,692086,984400,898651,1206793,809660,1190755,840926,994381,1145274,1270015,1076981,1094693,1093118,989575,910785,757656,1088141,877006,1113905,1113951,1274550,911890
8,1094545,1048882,980811,830478,884688,1073463,1142733,1578241,920237,1059113,1061383,1148889,993489,993757,1100392,737789,912166,1033209,692629,984833,898995,1206793,809660,1191206,841401,994787,1145625,1270015,1076981,1095121,1093560,989575,910785,758137,1088564,877415,1113905,1114358,1274982,912307
9,1094921,1049275,981109,830859,884998,1073905,1143064,1578648,920237,1059399,1061654,1149178,993745,994067,1100668,738095,912520,1033416,692877,985130,899330,1206793,809921,1191655,841792,995177,1146046,1270015,1077151,1095527,1094002,989820,910785,758474,1088950,877827,1114080,1114693,1275306,912772
