loadavg,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,10,10,10,11,10,10,10,11,11,10,2,2,2,2,2,2,2,2,2,2,34,34,11,11,11,11,11,11,34,11,8,8,8,8,9,8,8,8,9,9
1,9,9,9,10,9,9,9,10,10,9,706,706,706,706,706,706,706,706,706,706,71,71,34,34,34,34,34,71,71,34,16,16,16,16,8,16,16,16,8,8
2,9,9,9,10,9,9,9,10,10,9,706,706,706,706,706,706,706,706,706,706,71,71,34,34,34,34,34,71,71,34,16,16,16,16,8,16,16,16,8,8
3,80,9,9,10,9,9,9,10,10,9,706,706,706,706,706,1314,1314,706,1314,706,71,71,34,34,34,34,34,71,71,34,16,16,14,16,8,16,16,16,8,8
4,80,9,9,10,9,80,9,10,10,80,1314,1314,1314,706,706,1314,1314,1314,1314,706,71,73,71,34,34,34,34,71,71,34,16,16,14,16,8,16,16,16,8,16
5,80,9,9,10,9,80,9,10,10,80,1314,1314,1314,1314,1314,1314,1314,1314,1314,706,71,73,71,34,34,71,34,71,71,34,14,16,14,16,16,14,16,16,8,16
6,80,80,9,10,9,786,9,10,10,786,1314,1314,1314,1314,1314,1834,1834,1834,1314,1834,73,73,71,34,34,71,71,73,73,34,14,16,14,16,16,14,16,14,8,16
7,786,80,80,10,80,786,80,10,9,786,1834,1834,1314,1314,1314,1834,1834,1834,1834,1834,73,73,71,71,34,71,71,73,73,73,14,16,14,14,16,566,16,14,8,16
8,786,786,80,9,80,786,786,9,9,786,1834,1834,1834,1314,1834,1834,1834,1834,1834,1834,73,884,71,71,73,71,71,73,73,73,14,14,14,14,16,566,14,14,14,14
9,786,786,80,9,80,786,786,9,9,1276,1834,1834,1834,1314,1834,1834,1834,1834,1834,1834,884,884,71,71,73,73,71,73,884,73,14,14,566,14,16,566,14,14,14,14
10,786,786,786,9,786,1276,786,9,9,1276,1834,1895,1895,1834,1834,1895,1895,1895,1895,1895,884,1022,73,71,73,73,73,884,884,73,566,566,566,14,14,566,14,14,14,14
11,1276,786,786,80,1276,1276,786,9,80,1276,1834,1895,1895,1834,1834,1895,1895,1895,1895,1895,884,1022,73,73,73,73,73,884,884,73,566,566,566,14,14,944,14,566,14,14
12,1276,786,1276,80,1276,1276,1276,80,80,1276,1834,1895,1895,1834,1895,1895,1895,1895,1895,1895,1022,1022,73,73,73,73,73,884,884,884,944,566,944,566,566,944,566,944,14,566
13,1276,1276,1276,80,1276,1276,1276,80,80,1734,2400,2400,2400,1895,1895,1895,2400,2400,2400,2400,1022,1022,884,73,884,884,884,1022,884,884,944,566,944,566,566,944,566,944,14,566
14,1276,1276,1276,80,1276,1734,1276,80,80,1734,2400,2400,2400,2400,1895,2400,2400,2400,2400,2400,1332,1332,884,884,884,884,884,1022,1022,884,944,944,1526,566,566,1526,944,944,566,566
15,1276,1734,1276,786,1276,1734,1276,786,786,2396,2400,2400,2400,2400,1895,2400,2784,2400,2400,2400,1332,1332,884,884,884,884,884,1022,1022,1022,944,944,1526,944,566,1526,944,944,566,944
16,1734,1734,1734,786,1734,2396,1734,786,786,2396,2784,2400,2400,2400,1895,2400,2784,2784,2400,2400,1332,1332,1022,1022,884,1022,884,1022,1332,1022,944,944,1526,1526,944,2156,1526,1526,566,944
17,1734,1734,1734,786,1734,2396,1734,786,786,2396,2784,2400,2784,2400,2400,2400,2784,2784,2400,2400,1332,2058,1022,1022,1022,1022,1022,1022,1332,1022,1526,944,2156,1526,944,2156,1526,1526,566,944
18,1734,1734,1734,1276,1734,2396,1734,1276,1276,2396,2784,2784,2784,2784,2400,2784,2784,3514,2784,2400,1332,2058,1022,1022,1022,1022,1022,1332,1332,1022,1526,944,2156,1526,1526,2156,1526,1526,944,944
19,2396,1734,1734,1276,2396,2396,2396,1276,1276,2396,2784,3514,3514,2784,2784,2784,3514,3514,2784,2784,2058,2058,1022,1022,1332,1022,1022,1332,2058,1022,1526,2156,2156,1526,1526,2156,2156,1526,944,944
20,2989,2396,2396,1276,2396,2396,2396,1276,1276,2989,2784,3514,3514,2784,2784,2784,3514,3514,2784,2784,2058,2550,1022,1022,1332,1022,1332,1332,2058,1332,2156,2156,2156,1526,1526,2560,2156,1526,944,944
21,2989,2396,2989,1734,2989,2396,2396,1276,1734,2989,2784,3514,3514,2784,2784,3514,3514,3514,3514,3514,2058,2550,1332,1332,1332,1022,1332,1332,2058,1332,2156,2156,2560,2156,1526,2560,2156,2156,1526,1526
