op,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,686778,555113,633303,418018,445670,440421,453629,536552,777920,627652,663329,807380,592193,445076,725353,485264,464304,653223,393335,526601,490992,742529,698119,659046,511433,845973,519004,753238,811686,620999,426516,735554,788525,676989,884559,681506,275470,404454,1192081,590212
1,686779,555114,633304,418019,445672,440422,453630,536553,777923,627653,663331,807381,592194,445077,725354,485265,464307,653224,393336,526602,490993,742532,698121,659047,511434,846326,519005,753239,811687,621000,426518,735797,788526,676991,884560,681508,275474,404455,1192082,590213
2,686780,555114,633304,418019,445672,440422,453630,536555,777924,627654,663333,807382,592195,445077,725355,485266,464307,653224,393336,526605,490993,742534,698121,659049,511437,846516,519007,753241,811688,621001,426518,736021,788526,676993,884560,681510,275476,404456,1192082,590215
3,686780,555115,633304,418019,445675,440422,453631,536555,777924,627655,663333,807385,592196,445082,725355,485267,464308,653224,393337,526605,490994,742535,698121,659050,511438,846792,519007,753241,811689,621002,426518,736166,788526,676995,884562,681512,275476,404456,1192082,590216
4,686780,555115,633304,418019,445675,440422,453631,536558,777928,627656,663334,807385,592198,445083,725355,485268,464308,653224,393337,526607,490994,742536,698123,659055,511439,846989,519009,753244,811690,621002,426519,736484,788527,676995,884563,681514,275479,404456,1192082,590217
5,686780,555115,633306,418020,445676,440423,453631,536560,777932,627657,663334,807387,592198,445083,725357,485268,464310,653224,393337,526609,490996,742538,698124,659057,511439,847172,519012,753246,811690,621002,426520,736737,788527,676998,884563,681518,275481,404456,1192082,590218
6,686781,555116,633306,418020,445677,440423,453632,536561,777933,627657,663336,807388,592199,445084,725358,485269,464312,653225,393338,526610,490996,742541,698126,659057,511441,847347,519012,753246,811691,621003,426521,736917,788528,676999,884564,681519,275484,404458,1192083,590218
7,686782,555116,633306,418194,445679,440423,453632,536562,777934,627658,663338,807390,592201,445086,725358,485270,464312,653225,393338,526612,490996,742542,698126,659059,511443,847566,519014,753248,811692,621004,426521,737097,788528,677001,884564,681521,275486,404458,1192083,590220
8,686782,555117,633306,418486,445680,440423,453633,536562,777935,627660,663339,807392,592202,445090,725358,485272,464313,653225,393339,526612,490997,742544,698127,659060,511444,847751,519014,753248,811693,621005,426521,737302,788529,677003,884566,681522,275486,404458,1192083,590221
9,686782,555119,633306,418700,445680,440423,453633,536565,777939,627660,663339,807392,592203,445090,725358,485272,464313,653322,393339,526614,490998,742544,698129,659065,511445,847939,519017,753251,811694,621005,426522,737511,788529,677003,884567,681524,275489,404458,1192231,590222
10,686782,555434,633308,418952,445682,440424,453714,536567,777943,627825,663718,807394,592204,445268,725360,485272,464315,653638,393437,526616,490999,742548,698130,659067,511644,848084,519019,753253,811926,621319,426523,737740,788529,677006,884724,681528,275491,404645,1192466,590515
11,687077,555639,633574,419166,446049,440574,454054,536642,778101,628151,664084,807521,592593,445555,725810,485398,464430,653875,393709,526874,491299,742857,698269,659236,511867,848275,519202,753328,812094,621474,426885,737914,789078,677228,884954,681771,275584,404974,1192596,590911
12,687378,555850,634074,419348,446497,440803,454286,536879,778438,628305,664247,807924,592866,445775,726086,485633,464708,654080,394090,527159,491443,743301,698580,659773,512130,848481,519583,753595,812248,621830,427133,738151,789439,677441,885176,681976,275815,405255,1192785,591108
13,687564,556082,634374,419647,446635,441006,454509,537220,778603,628514,664459,808256,593106,446013,726293,485854,464891,654293,394352,527440,491589,743483,698900,660129,512442,848649,519791,753869,812427,622111,427332,738375,789723,677598,885381,682210,276098,405416,1192982,591372
14,687780,556263,634586,419862,446927,441255,454674,537432,778808,628693,664672,808450,593371,446224,726559,486034,465134,654455,394632,527677,491775,743723,699114,660393,512647,848814,520196,754059,812595,622278,427572,738554,789943,677837,885578,682492,276262,405591,1193200,591571
15,688042,556446,634808,420049,447194,441446,454858,537750,778963,628866,664881,808657,593613,446490,726790,486240,465357,654685,394867,527941,491928,743891,699276,660579,512826,849015,520413,754230,812764,622483,427770,738783,790121,678048,885778,682648,276457,405803,1193400,591827
16,688237,556613,634964,420263,447401,441624,454953,537874,779122,629029,665075,808845,593860,446767,727010,486558,465553,654918,395041,528175,492081,744107,699463,660778,513045,849281,520684,754423,812915,622688,427974,738959,790330,678284,885980,682879,276654,405948,1193617,591986
