op_r_out_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,105865698575,50356425441,77546521421,95066282907,59796292720,62567625606,47178589488,59783749430,74971811969,52900774584,28662561717,74882023925,59741429754,38411826968,132380115177,60710865952,37263938729,79692447946,53231131477,66803645809,47205673565,58148328960,100308017210,47216009511,72601161032,85501448594,40402640442,81435520235,74978853037,52056809628,52195017008,105992551399,62002139407,74801938863,110346770817,75963643512,64561472635,68593462540,119295716071,40859436183
1,105866440175,50356433681,77547197101,95066596027,59796296840,62567938726,47179252808,59783778270,74972133329,52901133024,28663608197,74882089845,59742513314,38412140088,132381520097,60710977192,37263967569,79692476786,53231217997,66804300889,47206361605,58149004640,100308025450,47216190791,72601482392,85502433274,40403011242,81435549075,74979479277,52057501788,52195960488,105992979879,62003845087,74802309663,110346886177,75964133792,64561501475,68593816860,119295773751,40860194263
2,105866852175,50357397761,77548416621,95066950347,59797363920,62567942846,47179578288,59783938950,74972578289,52901821064,28664308597,74882876765,59742566874,38412457328,132381841457,60710977192,37264288929,79692950586,53231559957,66804712889,47206361605,58149968720,100308606370,47217484471,72601552432,85502466234,40403736362,81435907515,74979549317,52057514148,52196030528,105993016959,62004644367,74802309663,110346989177,75964339792,64561546795,68594443100,119295810831,40860746343
3,105866856295,50357525481,77548886301,95067135747,59798472200,62567967566,47179582408,59784680550,74972578289,52901829304,28664308597,74883189885,59742591594,38412490288,132381857937,60710977192,37264288929,79693189546,53232252117,66804984809,47206361605,58149968720,100309104890,47218127191,72601857312,85502808194,40403802282,81436220635,74979549317,52058095068,52196047008,105993033439,62004809167,74802334383,110346989177,75964339792,64561892875,68594875700,119295810831,40860890543
4,105866860415,50357529601,77548886301,95067288187,59798686440,62567967566,47179582408,59784729990,74972578289,52901833424,28664308597,74883189885,59742591594,38412498528,132382084537,60710977192,37264288929,79693189546,53232515797,66804984809,47206361605,58149968720,100309104890,47218127191,72602170432,85502808194,40404387322,81436220635,74979549317,52058156868,52196063488,105993367159,62004809167,74802425023,110346989177,75964644672,64561892875,68594875700,119295810831,40861145983
5,105866868655,50357550201,77548886301,95067296427,59798715280,62567967566,47179582408,59785034870,74972578289,52901845784,28664308597,74883189885,59742591594,38412498528,132382162817,60710977192,37264288929,79693189546,53232544637,66805289689,47206361605,58149968720,100309104890,47218127191,72602170432,85502808194,40404387322,81436220635,74979549317,52058156868,52196063488,105993672039,62004809167,74802470343,110346989177,75964644672,64561892875,68594875700,119295810831,40861145983
6,105866876895,50357550201,77548886301,95067312907,59798991320,62567967566,47179582408,59785034870,74972578289,52901845784,28664308597,74883189885,59742591594,38412531488,132382162817,60710977192,37264288929,79693189546,53232569357,66805289689,47206361605,58149968720,100309104890,47218127191,72602170432,85502808194,40404692202,81436220635,74979549317,52058156868,52196067608,105993672039,62004809167,74802565103,110346989177,75964644672,64561892875,68594875700,119295810831,40861145983
7,105866876895,50357550201,77548886301,95067811427,59798991320,62567967566,47179582408,59785034870,74972578289,52901845784,28664308597,74883189885,59742591594,38412688048,132382162817,60710977192,37264288929,79693189546,53232783597,66805289689,47206361605,58149968720,100309104890,47218127191,72602170432,85502808194,40404692202,81436220635,74979549317,52058156868,52196067608,105993672039,62004813287,74802598063,110346989177,75964644672,64561892875,68594875700,119295810831,40861145983
8,105866876895,50357550201,77548886301,95067864987,59798991320,62567967566,47179582408,59785034870,74972578289,52901845784,28664308597,74883189885,59742591594,38412803408,132382162817,60710977192,37264288929,79693189546,53232820677,66805289689,47206361605,58149968720,100309104890,47218127191,72602170432,85502808194,40404692202,81436220635,74979549317,52058156868,52196067608,105993672039,62004817407,74802622783,110346989177,75964644672,64561892875,68594875700,119295810831,40861145983
9,105866876895,50357550201,77548886301,95067864987,59798991320,62567967566,47179582408,59785034870,74972578289,52901845784,28664308597,74883189885,59742591594,38412803408,132382162817,60710977192,37264288929,79693189546,53232820677,66805289689,47206361605,58149968720,100309104890,47218127191,72602170432,85502808194,40404692202,81436220635,74979549317,52058156868,52196067608,105993672039,62004821527,74802635143,110346989177,75964644672,64561892875,68594875700,119295810831,40861145983
