op_rw,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,204288,197613,186579,119432,145384,184618,102655,254463,236799,332393,334512,260282,288943,125988,204714,179733,217050,149407,72769,200141,221880,373423,115754,279720,197902,220786,382026,298423,282990,144800,334387,274147,280423,118125,114378,92950,415979,209473
1,204289,197614,186580,119433,145386,184619,102656,254464,236802,332394,334514,260283,288944,125989,204715,179734,217053,149408,72770,200142,221881,373426,115756,279721,197903,220787,382027,298424,282991,144802,334388,274149,280424,118127,114382,92951,415980,209474
2,204290,197614,186580,119433,145386,184619,102656,254466,236803,332395,334516,260284,288945,125989,204716,179735,217053,149408,72770,200145,221881,373428,115756,279723,197906,220789,382029,298425,282992,144802,334388,274151,280424,118129,114384,92952,415980,209476
3,204290,197615,186580,119433,145389,184619,102657,254466,236803,332396,334516,260287,288946,125994,204716,179736,217054,149408,72771,200145,221882,373429,115756,279724,197907,220789,382029,298426,282993,144802,334388,274153,280426,118131,114384,92952,415980,209477
4,204290,197615,186580,119433,145389,184619,102657,254469,236807,332397,334517,260287,288948,125995,204716,179737,217054,149408,72771,200147,221882,373430,115758,279729,197908,220791,382032,298427,282993,144803,334389,274153,280427,118133,114387,92952,415980,209478
5,204290,197615,186582,119434,145390,184620,102657,254471,236811,332398,334517,260289,288948,125995,204718,179737,217056,149408,72771,200149,221884,373432,115759,279731,197908,220794,382034,298427,282993,144804,334389,274156,280427,118137,114389,92952,415980,209479
6,204291,197616,186582,119434,145391,184620,102658,254472,236812,332398,334519,260290,288949,125996,204719,179738,217058,149409,72772,200150,221884,373435,115761,279731,197910,220794,382034,298428,282994,144805,334390,274157,280428,118138,114392,92954,415981,209479
7,204292,197616,186582,119434,145393,184620,102658,254473,236813,332399,334521,260292,288951,125998,204719,179739,217058,149409,72772,200152,221884,373436,115761,279733,197912,220796,382036,298429,282995,144805,334390,274159,280428,118140,114394,92954,415981,209481
8,204292,197617,186582,119434,145394,184620,102659,254473,236814,332401,334522,260294,288952,126002,204719,179741,217059,149409,72773,200152,221885,373438,115762,279734,197913,220796,382036,298430,282996,144805,334391,274161,280430,118141,114394,92954,415981,209482
9,204292,197617,186582,119435,145394,184620,102659,254476,236818,332401,334522,260294,288953,126002,204719,179741,217059,149409,72773,200154,221886,373438,115764,279739,197914,220799,382039,298431,282996,144806,334391,274161,280431,118143,114397,92954,415981,209483
