subop_w_in_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,73116013097,96932214872,87105820461,78028492487,91825082985,75598082432,76579887697,103935755029,92723713870,84337036208,76980987587,80227404217,67960528025,88288441770,82199714941,85444553835,86040483332,84572228299,72292567820,76032337971,88460959056,85789140343,79234308249,93281745175,74736055801,87203534561,81830282567,93856751934,81944244600,87051831255,76856909818,95910678054,80518734939,77334880865,81946909164,76878626937,89158207095,102992703888,83360009671,76288826078
1,73116558809,96932853170,87106385662,78028940743,91825628706,75598423504,76580301856,103936164320,92724244970,84337591666,76981552789,80228032774,67961137076,88288958244,82200070625,85444899782,86040848771,84572657066,72292913760,76032742379,88461704524,85789798125,79234917309,93282349363,74736659984,87204114376,81830701600,93857117363,81944678243,87052450082,76857606570,95911194541,80519309897,77335450930,81947532844,76879187287,89158665107,102993200873,83360608995,76289391288
2,73117582023,96933798435,87107248102,78030071150,91826554474,75599539301,76581125291,103937260623,92725292553,84338926705,76982371356,80229260662,67962145680,88289893770,82200996396,85445932749,86041735563,84573577969,72293800525,76033551217,88462727740,85790714168,79235813839,93283484637,74737649072,87204957305,81831593258,93858184434,81945496819,87053151721,76858751593,95912120308,80520152838,77336610568,81948487862,76879918164,89159678581,102994126607,83361593230,76290585060
3,73118512667,96934826521,87108052062,78031006650,91826905286,75600469955,76582138765,103938074318,92726218313,84340003507,76983189933,80230244914,67963037334,88290887758,82201863701,85446731837,86042471318,84574523210,72294950416,76034476989,88463668131,85791420674,79236720113,93284629669,74738375060,87205970783,81832499540,93859095579,81946281293,87054092113,76859614014,95912880418,80521224782,77337521717,81949447752,76881082709,89160789511,102995130312,83362304603,76291345165
4,73119482284,96935796153,87109089909,78032054226,91828678874,75601639355,76583386125,103939336297,92727173294,84341401908,76984032861,80231151204,67964050807,88291901240,82202628678,85447506555,86043436072,84575502564,72296012618,76035436876,88464847277,85792443904,79237792072,93285735711,74739383662,87206925782,81833508144,93859919024,81947333750,87055276135,76860851594,95914269078,80522218764,77338890885,81950461222,76882110810,89161617831,102996085285,83363128044,76292168611
5,73120486013,96936965551,87110040050,78033194374,91829541308,75602414083,76584263182,103940608030,92728152648,84342576163,76984827078,80232154958,67965064278,88293114490,82203671385,85448515166,86044415449,84576545264,72297284316,76036148259,88465646365,85793330693,79238610643,93286671210,74740319152,87207871030,81834409552,93860688862,81948069500,87056114196,76861830935,95915165621,80523076316,77340026148,81951411354,76882900163,89162460770,102997035388,83364014830,76293143108
6,73121241242,96937896195,87110873258,78034222438,91830447592,75603252159,76585354617,103941260935,92729244060,84343682190,76985762578,80233197672,67965955931,88294132845,82204494822,85449830734,86045175555,84577402807,72298414709,76037205591,88466650098,85794207753,79239551046,93287684685,74741040283,87208762680,81835213498,93861570779,81948970906,87057049722,76863019806,95916135243,80524177484,77341034757,81952483305,76884089074,89163479118,102998170643,83365116006,76294210183
7,73122191381,96938792712,87111638244,78035079972,91831227185,75603983013,76585788267,103942060030,92729896965,84344622565,76986571410,80234415803,67966779394,88295219401,82205415711,85450668807,86046008750,84578464984,72299218659,76038204451,88467736648,85795206607,79240476828,93288878434,74741961169,87209751779,81836304921,93862623230,81949779738,87058038849,76864052746,95917173090,80525035028,77342038479,81953423693,76884863793,89164497464,102999125634,83366158709,76294999522
8,73123126893,96939893894,87112749188,78036127530,91832182187,75604738249,76587025861,103942937070,92731115081,84346245084,76987297408,80235429289,67967924433,88296174401,82206404819,85451711526,86046793209,84579673350,72300500095,76039208181,88468652688,85796020314,79241407480,93290047816,74742998983,87210833447,81837079631,93863568489,81950822445,87059003599,76865178260,95918011156,80526194674,77343256589,81954490760,76885896769,89165774046,103000197563,83367191679,76296032496
9,73123955214,96940863524,87113363129,78037126354,91832898440,75605868670,76587873676,103944033391,92732055463,84347141613,76987964932,80236155291,67968528624,88296939379,82207091847,85452374188,86047519211,84580141106,72301045800,76039900078,88469563845,85796921723,79242406322,93291226940,74743861405,87211812809,81838185688,93864426033,81951699486,87060065800,76866255061,95918819982,80527037604,77344201843,81955426267,76886783579,89166670579,103001059966,83367951789,76297060586
10,73124866357,96941901356,87114556895,78038081351,91834014223,75606901635,76588911519,103945022512,92733166380,84348510788,76988915075,80237217510,67969712641,88297796937,82207964021,85453314591,86048420613,84581256892,72302083619,76040957394,88470665022,85797730553,79243283370,93292274510,74744694599,87212514433,81839204032,93865395656,81952435236,87060679735,76867380587,95919804228,80528085188,77345429697,81956522572,76887870151,89167766895,103001868780,83369072447,76297976606
11,73125909045,96942983024,87115521641,78039158153,91834988724,75607739695,76589915252,103945997025,92734194461,84349592458,76989611846,80238221255,67970657883,88298649625,82208748488,85454367052,86049161237,84581783112,72303316352,76041941632,88471673625,85798617365,79244121434,93293560823,74745493671,87213688692,81840363693,93866262969,81953214820,87061537310,76868632773,95920617939,80529132758,77346530872,81957570150,76888776439,89168726777,103003208690,83370012853,76298731841
12,73126942007,96943903917,87116437668,78040093672,91835880393,75608568025,76590626638,103946732753,92735168946,84350605938,76990537620,80239278589,67971515436,88299775168,82209825308,85455253846,86050208831,84582962227,72304407779,76042867401,88472696843,85799479799,79245130041,93294657120,74746399951,87214843447,81841401525,93867057174,81954252636,87062653104,76869884985,95921529092,80530180325,77347651532,81958646964,76889858155,89169852321,103004270873,83371099411,76299716094
