subop_w_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,0.005,0.004,0.007,0.004,0.007,0.004,0.004,0.004,0.004,0.004,0.006,0.005,0.013,0.009,0.006,0.004,0.005,0.004,0.003,0.005,0.011,0.011,0.012,0.008,0.007,0.005,0.004,0.002,0.004,0.007,0.016,0.011,0.012,0.009,0.007,0.011,0.005,0.005,0.007,0.01
1,0.021,0.013,0.018,0.015,0.028,0.018,0.012,0.006,0.022,0.012,0.011,0.023,0.039,0.026,0.054,0.021,0.029,0.038,0.016,0.027,0.016,0.034,0.024,0.039,0.027,0.019,0.018,0.01,0.009,0.024,0.047,0.073,0.023,0.042,0.043,0.011,0.054,0.032,0.052,0.046
2,0.035,0.035,0.018,0.027,0.045,0.04,0.054,0.059,0.028,0.047,0.012,0.017,0.031,0.04,0.082,0.032,0.034,0.015,0.08,0.025,0.016,0.016,0.022,0.041,0.045,0.018,0.048,0.024,0.034,0.044,0.034,0.09,0.048,0.1,0.025,0.031,0.028,0.02,0.031,0.063
3,0.087,0.008,0.018,0.043,0.577,0.058,0.018,0.01,0.022,0.068,0.012,0.013,0.014,0.02,0.025,0.014,0.03,0.025,0.04,0.026,0.031,0.022,0.035,0.009,0.018,0.009,0.049,0.012,0.007,0.022,0.071,0.298,0.032,0.108,0.009,0.018,0.011,0.009,0.033,0.049
4,0.105,0.053,0.143,0.078,0.086,0.019,0.037,0.051,0.205,0.043,0.013,0.035,0.027,0.026,0.086,0.073,0.047,0.016,0.043,0.04,0.015,0.015,0.011,0.007,0.026,0.011,0.03,0.006,0.014,0.013,0.045,0.013,0.044,0.066,0.017,0.013,0.028,0.026,0.037,0.012
5,0.009,0.06,0.035,0.059,0.043,0.049,0.03,0.011,0.146,0.015,0.01,0.024,0.037,0.032,0.038,0.055,0.069,0.013,0.056,0.07,0.055,0.011,0.015,0.004,0.011,0.011,0.01,0.004,0.005,0.014,0.026,0.055,0.075,0.045,0.069,0.025,0.063,0.007,0.01,0.019
6,0.011,0.054,0.027,0.052,0.085,0.009,0.008,0.009,0.113,0.012,0.007,0.082,0.052,0.061,0.078,0.032,0.023,0.036,0.056,0.029,0.011,0.018,0.013,0.006,0.027,0.009,0.016,0.007,0.006,0.01,0.024,0.005,0.046,0.031,0.021,0.024,0.046,0.014,0.033,0.037
7,0.007,0.042,0.011,0.049,0.023,0.047,0.013,0.004,0.109,0.064,0.031,0.02,0.13,0.02,0.038,0.026,0.033,0.027,0.088,0.032,0.004,0.01,0.009,0.007,0.042,0.007,0.016,0.004,0.008,0.014,0.048,0.028,0.075,0.034,0.027,0.089,0.074,0.02,0.007,0.094
8,0.024,0.019,0.014,0.016,0.272,0.096,0.022,0.003,0.106,0.055,0.038,0.01,0.009,0.016,0.011,0.007,0.025,0.01,0.022,0.028,0.005,0.008,0.017,0.01,0.019,0.008,0.013,0.003,0.004,0.015,0.072,0.068,0.067,0.058,0.063,0.026,0.116,0.016,0.039,0.051
9,0.059,0.049,0.411,0.012,0.065,0.013,0.02,0.019,0.061,0.018,0.004,0.009,0.017,0.021,0.01,0.012,0.014,0.008,0.007,0.012,0.008,0.008,0.008,0.006,0.01,0.005,0.007,0.004,0.009,0.012,0.078,0.051,0.021,0.035,0.06,0.014,0.011,0.067,0.009,0.035
10,0.044,0.022,0.047,0.03,0.037,0.025,0.016,0.017,0.061,0.182,0.003,0.017,0.025,0.056,0.036,0.034,0.033,0.036,0.034,0.025,0.006,0.023,0.04,0.019,0.033,0.017,0.018,0.005,0.031,0.024,0.118,0.033,0.008,0.028,0.033,0.041,0.036,0.104,0.007,0.03
11,0.103,0.038,0.039,0.104,0.014,0.043,0.003,0.022,0.032,0.098,0.008,0.02,0.014,0.054,0.013,0.015,0.016,0.009,0.011,0.031,0.022,0.039,0.022,0.017,0.016,0.03,0.018,0.013,0.012,0.042,0.018,0.026,0.023,0.023,0.059,0.03,0.065,0.076,0.012,0.033
12,0.038,0.049,0.061,0.066,0.041,0.046,0.025,0.022,0.028,0.098,0.006,0.009,0.012,0.006,0.033,0.008,0.03,0.007,0.01,0.012,0.031,0.012,0.1,0.022,0.016,0.01,0.057,0.024,0.02,0.025,0.052,0.017,0.012,0.021,0.034,0.014,0.086,0.015,0.026,0.045
13,0.056,0.013,0.04,0.059,0.038,0.063,0.054,0.034,0.022,0.108,0.005,0.031,0.052,0.019,0.066,0.018,0.014,0.036,0.012,0.014,0.007,0.043,0.055,0.043,0.036,0.065,0.041,0.007,0.122,0.064,0.036,0.02,0.034,0.019,0.014,0.019,0.015,0.045,0.011,0.029
14,0.04,0.011,0.094,0.051,0.12,0.058,0.025,0.033,0.036,0.147,0.015,0.007,0.02,0.087,0.031,0.032,0.012,0.018,0.054,0.025,0.043,0.018,0.043,0.043,0.055,0.048,0.027,0.011,0.024,0.022,0.037,0.012,0.029,0.033,0.034,0.054,0.033,0.008,0.018,0.049
15,0.023,0.063,0.055,0.066,0.152,0.071,0.037,0.152,0.039,0.11,0.038,0.009,0.042,0.019,0.046,0.013,0.01,0.054,0.08,0.105,0.016,0.088,0.09,0.05,0.013,0.032,0.011,0.003,0.029,0.035,0.02,0.029,0.012,0.034,0.008,0.007,0.045,0.029,0.066,0.011
16,0.108,0.112,0.036,0.058,0.082,0.074,0.024,0.073,0.054,0.054,0.022,0.017,0.042,0.021,0.046,0.017,0.019,0.011,0.101,0.134,0.035,0.107,0.02,0.024,0.018,0.038,0.033,0.004,0.009,0.049,0.052,0.05,0.043,0.041,0.023,0.021,0.04,0.011,0.009,0.031
17,0.048,0.043,0.097,0.123,0.034,0.076,0.037,0.104,0.026,0.044,0.012,0.038,0.047,0.031,0.034,0.021,0.064,0.039,0.04,0.048,0.01,0.117,0.083,0.017,0.029,0.028,0.067,0.004,0.035,0.019,0.039,0.044,0.034,0.063,0.041,0.024,0.042,0.091,0.021,0.037
18,0.095,0.03,0.098,0.093,0.034,0.038,0.053,0.062,0.02,0.028,0.012,0.021,0.041,0.014,0.029,0.038,0.064,0.013,0.044,0.014,0.016,0.078,0.057,0.038,0.058,0.052,0.04,0.02,0.014,0.049,0.021,0.08,0.035,0.028,0.044,0.08,0.044,0.029,0.043,0.098
19,0.087,0.05,0.135,0.031,0.053,0.025,0.115,0.099,0.054,0.125,0.011,0.023,0.028,0.013,0.011,0.097,0.014,0.06,0.004,0.027,0.008,0.01,0.022,0.055,0.063,0.019,0.082,0.027,0.031,0.1,0.058,0.096,0.036,0.045,0.016,0.027,0.097,0.004,0.024,0.1
20,0.013,0.098,0.042,0.111,0.09,0.058,0.049,0.022,0.102,0.068,0.017,0.018,0.069,0.029,0.037,0.01,0.022,0.012,0.018,0.031,0.006,0.03,0.04,0.055,0.036,0.024,0.031,0.008,0.008,0.155,0.077,0.167,0.087,0.038,0.026,0.043,0.06,0.013,0.051,0.051
21,0.014,0.03,0.061,0.038,0.048,0.104,0.056,0.072,0.096,0.044,0.037,0.011,0.045,0.017,0.026,0.026,0.023,0.014,0.026,0.042,0.006,0.05,0.033,0.021,0.067,0.156,0.021,0.004,0.004,0.028,0.101,0.123,0.03,0.062,0.073,0.034,0.039,0.035,0.015,0.011
22,0.058,0.054,0.074,0.031,0.041,0.07,0.051,0.067,0.204,0.026,0.032,0.013,0.043,0.042,0.027,0.024,0.009,0.013,0.079,0.035,0.041,0.062,0.034,0.017,0.11,0.022,0.054,0.003,0.021,0.026,0.068,0.027,0.055,0.092,0.036,0.027,0.037,0.077,0.008,0.077
23,0.029,0.067,0.137,0.071,0.04,0.034,0.079,0.052,0.067,0.211,0.022,0.044,0.024,0.049,0.029,0.031,0.044,0.027,0.038,0.087,0.04,0.031,0.118,0.016,0.055,0.011,0.019,0.008,0.005,0.039,0.07,0.015,0.043,0.142,0.018,0.019,0.057,0.107,0.037,0.021
24,0.037,0.141,0.134,0.068,0.027,0.025,0.076,0.033,0.083,0.09,0.006,0.064,0.021,0.037,0.059,0.025,0.055,0.023,0.064,0.041,0.011,0.048,0.054,0.03,0.044,0.026,0.011,0.018,0.009,0.015,0.073,0.082,0.02,0.03,0.031,0.042,0.058,0.077,0.03,0.027
25,0.038,0.013,0.113,0.04,0.047,0.076,0.023,0.021,0.158,0.094,0.009,0.013,0.03,0.02,0.02,0.017,0.061,0.07,0.016,0.055,0.011,0.054,0.025,0.041,0.046,0.028,0.029,0.033,0.007,0.024,0.078,0.053,0.057,0.031,0.088,0.047,0.014,0.094,0.026,0.037
26,0.013,0.026,0.063,0.028,0.038,0.047,0.24,0.023,0.04,0.078,0.01,0.027,0.02,0.041,0.022,0.032,0.011,0.006,0.028,0.032,0.026,0.016,0.027,0.065,0.008,0.032,0.024,0.022,0.004,0.074,0.055,0.015,0.016,0.06,0.046,0.017,0.017,0.078,0.033,0.068
27,0.029,0.083,0.065,0.074,0.121,0.016,0.05,0.28,0.047,0.04,0.003,0.007,0.014,0.025,0.012,0.01,0.006,0.01,0.031,0.018,0.006,0.008,0.031,0.006,0.055,0.109,0.026,0.023,0.01,0.069,0.069,0.047,0.045,0.044,0.029,0.062,0.03,0.097,0.012,0.076
28,0.085,0.082,0.077,0.029,0.062,0.049,0.02,0.07,0.058,0.024,0.006,0.009,0.018,0.009,0.013,0.019,0.008,0.008,0.005,0.008,0.008,0.064,0.029,0.023,0.014,0.027,0.035,0.067,0.003,0.117,0.051,0.008,0.019,0.092,0.024,0.023,0.033,0.067,0.025,0.04
