%guest,client01,client02,client03,client04
0,21.53,2.28,19.53,22.42
1,6.69,25.34,4.51,1.71
2,0.86,2.23,1.71,1.68
3,0.83,1.92,1.68,1.76
4,0.91,1.85,1.73,1.68
5,0.96,1.78,1.68,1.78
6,0.78,1.6,1.65,27.15
7,26.93,20.96,21.99,2.38
8,3.17,6.43,4.06,27.18
9,24.21,25.42,20.19,1.93
10,1.06,1.98,2.01,1.65
11,0.88,1.96,1.71,1.65
12,0.88,1.81,1.58,1.75
13,0.91,1.67,1.71,1.68
14,0.96,1.76,1.65,11.33
15,24.55,3.7,21.8,17.91
16,3.13,23.28,2.16,1.63
17,0.96,2.11,1.66,1.68
18,0.91,1.81,1.68,1.73
19,0.88,1.81,1.68,1.66
20,0.86,1.63,1.68,1.78
21,0.91,1.81,1.76,26.61
22,25.57,24.25,22.32,2.16
23,1.16,3.03,2.03,1.65
24,1.03,1.76,1.73,1.78
25,1.06,1.49,1.68,1.68
26,0.91,1.68,1.73,1.63
27,1.06,1.72,1.76,1.68
28,8.42,1.77,9.38,27.42
29,19.2,24.84,14.99,2.01
30,1.11,1.59,1.88,1.73
31,0.93,1.58,1.68,1.68
32,0.91,1.83,1.68,1.73
33,0.83,1.98,1.71,1.71
34,0.8,1.83,1.65,16.79
35,23.77,6.3,20.07,12.07
36,1.91,19.8,2.03,1.73
37,0.83,2.22,1.71,1.63
38,0.88,1.92,1.73,1.7
39,0.78,1.78,1.71,1.73
40,0.98,1.8,1.65,1.7
41,0.88,1.75,1.63,27.2
42,26.78,24.75,22.22,2.01
43,1.01,2.47,2.01,1.65
44,0.86,1.77,1.66,1.6
45,0.81,1.8,1.63,1.76
46,0.78,1.73,1.63,1.81
47,0.86,1.98,1.73,1.73
48,10.32,1.76,11.79,27.53
49,17.2,24.75,12.1,2.11
50,0.96,2.05,1.71,1.71
51,0.83,1.98,1.65,1.68
52,0.81,2.01,1.65,1.65
53,0.88,2.06,1.68,1.76
54,1.06,1.78,1.71,20.8
55,26.28,10.96,22.18,8.32
56,1.09,15.83,1.93,1.53
57,0.78,1.86,1.65,1.6
58,1.01,1.84,1.63,1.63
59,0.84,1.63,1.73,1.65
60,0.91,1.87,1.71,1.53
61,1.04,1.81,1.7,27.44
62,26.67,25.07,22.14,2.01
63,1.06,2.17,1.98,1.73
64,0.86,1.66,1.68,1.68
65,0.91,1.72,1.71,1.65
66,0.81,1.93,1.71,1.55
67,1.01,1.78,1.65,2.38
68,13.57,1.89,13.28,25.43
69,12.43,23.11,8.77,3.13
70,0.96,2.0,1.8,1.68
71,0.94,1.78,1.66,1.65
72,0.89,1.68,1.65,1.58
73,0.81,1.53,1.68,1.6
74,0.88,1.8,1.76,23.13
75,26.45,13.28,21.89,6.29
76,1.19,13.03,2.01,1.78
77,0.91,1.7,1.73,1.65
78,0.91,1.66,1.65,1.68
79,0.78,1.63,1.68,1.65
80,0.78,1.48,1.73,1.81
81,1.06,1.79,1.86,26.46
82,25.71,23.86,21.34,2.08
83,1.13,1.91,2.03,1.81
84,0.83,1.67,1.63,1.68
85,1.0,1.73,1.65,1.73
86,0.91,1.86,1.73,1.8
87,0.86,1.81,1.7,4.11
88,20.17,1.84,19.33,24.71
89,7.2,24.34,4.86,2.06
90,0.93,1.88,1.65,1.68
91,0.8,1.81,1.68,1.71
92,1.01,1.73,1.68,1.73
93,1.03,1.74,1.68,1.71
94,1.03,1.76,1.7,26.8
95,26.56,19.22,22.24,2.38
96,0.84,7.04,2.01,1.61
97,1.03,1.93,1.65,1.75
98,0.73,1.8,1.73,1.73
99,0.83,1.57,1.68,1.63
100,0.98,1.19,1.71,1.73
101,1.94,1.7,3.08,27.42
102,25.2,24.42,20.92,2.11
103,1.13,2.18,1.96,1.78
104,0.91,1.9,1.73,1.68
105,0.81,1.82,1.61,1.71
106,0.88,1.96,1.76,1.65
107,0.86,1.71,1.76,9.77
108,24.23,3.12,21.5,19.52
109,3.68,23.28,2.76,1.63
110,0.81,1.83,1.65,1.65
111,0.83,1.78,1.66,1.78
112,0.93,1.77,1.71,1.6
113,0.96,1.85,1.76,1.68
114,0.86,1.68,1.68,27.27
115,26.6,22.62,22.11,2.03
116,1.06,4.16,1.98,1.71
117,0.83,1.93,1.65,1.76
118,0.88,1.8,1.75,1.73
119,0.93,1.58,1.73,1.63
120,0.93,1.24,1.71,1.65
121,6.31,1.8,8.13,27.44
122,20.98,24.82,16.1,1.96
123,0.98,1.93,1.81,1.7
124,0.73,1.83,1.71,1.61
125,0.78,1.52,1.71,1.68
126,0.96,1.6,1.73,1.68
127,0.94,1.76,1.71,17.59
128,25.98,7.94,21.75,11.65
129,1.21,18.57,1.98,1.71
130,0.91,1.5,1.65,1.5
131,0.91,1.5,1.68,1.63
132,0.76,1.53,1.71,1.68
133,0.71,1.71,1.68,1.66
134,0.86,1.58,1.6,27.06
135,25.13,21.81,20.27,2.18
136,0.99,2.11,1.96,1.68
137,0.83,1.78,1.65,1.63
138,0.91,1.48,1.65,1.58
139,0.88,1.5,1.66,1.71
140,0.86,1.57,1.68,1.75
141,9.4,1.57,11.06,27.22
142,17.66,24.47,12.88,1.93
143,0.76,1.91,1.81,1.73
144,0.88,1.85,1.65,1.68
145,0.71,1.65,1.6,1.68
146,0.78,1.89,1.71,1.65
147,0.86,1.9,1.66,20.65
148,26.45,10.32,22.14,8.54
149,0.86,16.47,1.96,1.76
150,0.78,1.73,1.68,1.65
151,0.78,1.58,1.65,1.73
152,0.78,1.66,1.73,1.7
153,0.78,1.76,1.68,1.68
154,0.98,1.73,1.78,27.52
155,26.58,24.75,22.24,1.96
156,1.23,1.91,1.98,1.68
157,0.81,1.71,1.71,1.73
158,0.81,1.63,1.63,1.68
159,0.93,1.45,1.6,1.71
160,0.98,1.8,1.55,2.18
161,12.27,1.89,11.25,26.33
162,13.49,23.43,10.3,2.33
163,1.01,1.99,1.73,1.78
164,0.93,1.43,1.61,1.76
165,0.93,1.37,1.63,1.63
166,0.88,1.73,1.68,1.71
167,0.93,1.86,1.58,20.59
168,26.68,9.89,21.98,9.02
169,1.14,16.96,1.96,1.86
170,0.96,1.59,1.71,1.78
171,1.03,1.57,1.71,1.71
172,1.03,1.45,1.6,1.73
173,0.86,1.69,1.65,1.75
174,1.01,1.71,1.73,27.78
175,26.24,24.27,22.07,2.08
176,1.11,2.01,2.01,1.76
177,0.91,1.63,1.68,1.78
178,0.88,1.68,1.68,1.73
179,0.98,1.7,1.65,1.71
180,0.86,1.62,1.63,1.78
181,13.25,1.68,14.76,27.03
182,14.19,24.56,9.63,1.96
183,1.03,2.06,1.68,1.76
184,0.98,1.73,1.68,1.68
185,0.96,1.72,1.68,1.71
186,1.05,1.72,1.61,1.73
187,0.9,1.77,1.63,22.95
188,26.39,12.95,22.19,6.64
189,1.18,13.54,1.96,1.7
190,0.86,1.78,1.68,1.73
191,0.78,1.83,1.71,1.65
192,0.86,1.4,1.65,1.71
193,0.86,1.27,1.65,1.73
194,1.13,1.62,1.78,27.34
195,26.14,24.79,22.29,2.01
196,0.98,1.98,2.08,1.73
197,1.0,1.78,1.73,1.71
198,1.06,1.53,1.6,1.75
199,0.88,1.42,1.71,1.68
200,1.13,1.29,1.71,2.68
201,18.48,1.47,18.52,25.91
202,8.9,24.53,5.69,1.93
203,0.93,2.06,1.73,1.63
