%idle,client01,client02,client03,client04
0,72.54,94.01,76.11,73.93
1,88.96,71.1,91.1,93.91
2,97.36,94.67,93.73,94.06
3,97.5,95.16,93.86,93.78
4,97.17,91.74,93.98,94.23
5,96.81,94.88,94.08,94.08
6,96.53,95.54,93.91,69.25
7,67.26,76.38,74.46,93.25
8,91.52,91.07,92.07,69.04
9,68.44,70.61,76.18,94.13
10,96.52,89.85,93.56,94.68
11,97.75,95.21,93.9,94.43
12,97.78,95.38,94.21,94.11
13,97.38,95.46,93.93,94.48
14,96.47,94.96,94.06,84.95
15,69.34,93.44,74.44,78.21
16,93.24,73.79,93.88,94.26
17,97.6,95.19,94.03,94.31
18,97.51,95.27,94.16,94.03
19,97.08,94.8,94.01,94.38
20,97.04,90.97,94.16,94.06
21,96.14,95.61,93.83,68.76
22,68.33,73.04,73.9,93.43
23,96.57,94.19,93.63,94.18
24,96.6,94.64,93.93,94.16
25,95.18,86.07,94.13,94.21
26,97.6,94.95,93.83,94.43
27,97.48,94.72,93.9,94.28
28,87.16,94.85,86.43,68.6
29,71.58,70.56,81.03,93.73
30,94.93,80.72,93.78,94.03
31,97.41,93.26,93.93,94.08
32,97.61,94.98,94.08,94.36
33,97.58,95.19,94.06,94.03
34,97.23,93.76,94.08,78.95
35,69.68,86.71,76.35,79.85
36,94.34,77.09,93.51,94.28
37,97.58,95.06,94.31,94.36
38,97.58,94.96,93.86,94.38
39,97.4,94.58,93.98,94.23
40,97.2,88.89,94.41,94.38
41,96.17,95.25,94.43,68.96
42,67.2,72.04,74.22,93.83
43,96.67,94.9,93.68,94.21
44,97.4,93.81,94.18,94.64
45,96.6,90.49,94.36,94.26
46,97.68,95.29,94.56,94.13
47,97.58,95.44,94.13,94.13
48,85.26,95.82,84.28,68.71
49,77.68,71.94,84.35,93.83
50,97.08,92.02,94.23,94.33
51,97.38,95.39,94.56,94.28
52,97.58,95.32,94.03,94.49
53,97.58,95.32,94.18,94.18
54,97.26,95.04,94.18,75.31
55,67.26,85.62,74.24,87.47
56,95.88,81.28,94.26,94.33
57,97.53,95.29,94.36,94.49
58,97.5,95.46,94.16,94.36
59,97.54,94.35,93.96,94.56
60,95.89,90.76,94.33,94.26
61,95.96,94.9,94.26,68.85
62,67.21,72.23,74.1,93.86
63,97.15,95.04,94.06,93.86
64,96.74,94.55,94.38,93.88
65,95.79,86.08,93.85,94.18
66,97.8,95.02,94.03,94.43
67,97.53,95.59,94.28,93.38
68,82.03,95.39,82.93,62.86
69,82.05,73.22,87.47,92.08
70,97.24,87.97,93.93,94.41
71,97.82,94.96,94.23,94.46
72,97.82,95.79,94.13,94.43
73,97.7,95.97,93.96,94.38
74,97.35,94.87,94.23,72.83
75,66.41,83.48,74.6,89.8
76,95.66,84.27,93.88,94.08
77,97.55,95.45,93.98,94.23
78,97.9,95.87,94.21,94.21
79,97.17,95.06,94.13,94.23
80,97.08,90.47,94.06,93.93
81,95.86,95.77,94.31,68.78
82,68.34,73.45,75.26,93.66
83,97.08,95.64,93.61,93.83
84,96.42,94.29,94.51,93.93
85,97.04,91.39,94.31,94.13
86,97.46,95.46,94.38,93.86
87,97.6,95.69,94.08,91.72
88,74.51,95.78,76.81,71.63
89,87.45,72.31,91.13,93.73
90,97.21,90.41,94.21,94.38
91,97.28,95.45,94.16,94.26
92,97.38,95.49,94.18,94.21
93,97.36,95.89,94.43,94.31
94,95.79,94.72,93.88,69.57
95,66.0,72.99,74.2,93.53
96,96.56,89.44,93.96,94.53
97,97.26,94.92,94.28,94.13
