%irq,client01,client02,client03,client04
0,0.0,0.0,0.48,0.4
1,0.0,0.0,0.58,0.58
2,0.0,0.0,0.58,0.58
3,0.0,0.0,0.58,0.58
4,0.0,0.0,0.55,0.55
5,0.0,0.0,0.55,0.53
6,0.0,0.0,0.58,0.38
7,0.0,0.0,0.38,0.6
8,0.03,0.0,0.48,0.4
9,0.0,0.0,0.43,0.53
10,0.0,0.0,0.6,0.48
11,0.0,0.0,0.58,0.53
12,0.0,0.0,0.55,0.55
13,0.0,0.0,0.55,0.5
14,0.0,0.0,0.55,0.43
15,0.0,0.03,0.4,0.48
16,0.0,0.0,0.5,0.53
17,0.0,0.03,0.58,0.55
18,0.0,0.0,0.55,0.55
19,0.0,0.03,0.55,0.53
20,0.0,0.0,0.55,0.55
21,0.0,0.0,0.6,0.35
22,0.0,0.03,0.4,0.58
23,0.0,0.0,0.58,0.55
24,0.0,0.0,0.55,0.55
25,0.0,0.0,0.55,0.55
26,0.0,0.0,0.58,0.5
27,0.0,0.03,0.55,0.55
28,0.03,0.03,0.5,0.4
29,0.0,0.0,0.48,0.58
30,0.0,0.0,0.58,0.55
31,0.0,0.0,0.58,0.55
32,0.0,0.03,0.55,0.53
33,0.0,0.0,0.55,0.55
34,0.0,0.0,0.55,0.48
35,0.0,0.0,0.43,0.38
36,0.0,0.0,0.6,0.5
37,0.0,0.0,0.53,0.53
38,0.0,0.0,0.58,0.53
39,0.0,0.0,0.55,0.53
40,0.0,0.03,0.5,0.53
41,0.0,0.0,0.5,0.38
42,0.0,0.0,0.38,0.55
43,0.0,0.0,0.55,0.55
44,0.0,0.0,0.55,0.48
45,0.03,0.0,0.53,0.53
46,0.0,0.0,0.5,0.53
47,0.0,0.05,0.53,0.55
48,0.0,0.0,0.45,0.38
49,0.0,0.0,0.45,0.55
50,0.0,0.0,0.53,0.53
51,0.0,0.0,0.5,0.53
52,0.0,0.0,0.55,0.53
53,0.0,0.0,0.55,0.53
54,0.0,0.0,0.53,0.45
55,0.0,0.0,0.38,0.53
56,0.0,0.0,0.5,0.53
57,0.0,0.0,0.5,0.53
58,0.0,0.0,0.55,0.53
59,0.0,0.0,0.58,0.5
60,0.0,0.0,0.5,0.55
61,0.0,0.03,0.53,0.38
62,0.0,0.0,0.4,0.55
63,0.0,0.0,0.53,0.55
64,0.0,0.0,0.5,0.58
65,0.0,0.0,0.55,0.55
66,0.0,0.0,0.55,0.53
67,0.0,0.0,0.53,0.55
68,0.0,0.03,0.45,0.33
69,0.0,0.0,0.48,0.58
70,0.0,0.0,0.58,0.53
71,0.0,0.0,0.55,0.53
72,0.0,0.0,0.55,0.53
73,0.0,0.0,0.58,0.53
74,0.0,0.0,0.55,0.45
75,0.0,0.0,0.38,0.5
76,0.0,0.03,0.55,0.55
77,0.0,0.0,0.55,0.55
78,0.0,0.0,0.55,0.55
79,0.0,0.0,0.53,0.55
80,0.0,0.0,0.55,0.55
81,0.0,0.0,0.5,0.38
82,0.0,0.0,0.38,0.58
83,0.0,0.0,0.58,0.55
84,0.0,0.0,0.5,0.58
85,0.0,0.0,0.53,0.55
86,0.0,0.03,0.5,0.58
87,0.0,0.0,0.55,0.53
88,0.0,0.0,0.45,0.4
89,0.0,0.0,0.53,0.53
90,0.0,0.0,0.55,0.53
91,0.0,0.03,0.55,0.53
92,0.0,0.0,0.55,0.55
93,0.0,0.0,0.5,0.5
94,0.0,0.0,0.58,0.38
95,0.0,0.0,0.38,0.53
96,0.0,0.0,0.53,0.5
97,0.0,0.0,0.53,0.55
98,0.0,0.0,0.53,0.5
99,0.0,0.03,0.55,0.5
100,0.0,0.0,0.55,0.55
101,0.0,0.0,0.5,0.4
102,0.0,0.0,0.43,0.55
103,0.0,0.0,0.55,0.55
104,0.0,0.0,0.55,0.5
105,0.0,0.0,0.55,0.55
106,0.0,0.0,0.6,0.5
107,0.0,0.0,0.53,0.5
108,0.0,0.0,0.4,0.48
109,0.0,0.0,0.53,0.5
110,0.0,0.03,0.55,0.53
111,0.0,0.0,0.5,0.6
112,0.0,0.0,0.58,0.5
113,0.0,0.0,0.58,0.5
114,0.0,0.0,0.55,0.38
115,0.0,0.0,0.4,0.55
116,0.0,0.0,0.53,0.53
117,0.0,0.0,0.55,0.55
118,0.0,0.0,0.58,0.5
119,0.0,0.0,0.55,0.53
120,0.0,0.0,0.53,0.53
121,0.0,0.0,0.43,0.38
122,0.0,0.03,0.45,0.53
123,0.0,0.0,0.53,0.48
124,0.0,0.03,0.5,0.48
125,0.0,0.0,0.53,0.45
126,0.0,0.0,0.53,0.5
127,0.0,0.0,0.55,0.43
128,0.0,0.0,0.38,0.48
129,0.0,0.0,0.5,0.53
130,0.0,0.0,0.55,0.55
131,0.03,0.0,0.53,0.55
132,0.0,0.0,0.53,0.53
133,0.0,0.0,0.55,0.5
134,0.0,0.03,0.53,0.38
135,0.0,0.0,0.43,0.38
136,0.0,0.03,0.55,0.48
137,0.0,0.0,0.5,0.5
138,0.0,0.0,0.5,0.53
139,0.0,0.0,0.53,0.5
140,0.0,0.0,0.53,0.53
141,0.03,0.0,0.48,0.33
