%usr,client01,client02,client03,client04
0,3.38,1.45,1.45,1.2
1,2.72,1.34,1.38,1.4
2,0.73,1.45,1.48,1.33
3,0.73,1.27,1.4,1.43
4,0.66,1.04,1.35,1.23
5,0.78,1.09,1.33,1.28
6,1.54,1.45,1.4,1.2
7,3.61,1.14,1.18,1.38
8,2.94,1.22,1.18,1.25
9,3.68,1.04,1.2,1.2
10,0.81,0.99,1.38,1.13
11,0.58,1.2,1.38,1.2
12,0.53,1.15,1.3,1.28
13,0.71,1.37,1.38,1.18
14,0.66,1.2,1.38,1.18
15,3.76,1.02,1.25,1.25
16,2.2,1.31,1.23,1.28
17,0.66,1.07,1.35,1.23
18,0.68,1.32,1.28,1.3
19,0.71,1.05,1.35,1.23
20,0.73,0.94,1.3,1.28
21,1.89,1.25,1.35,2.23
22,3.66,1.19,1.28,1.38
23,1.14,1.32,1.33,1.28
24,0.78,1.07,1.35,1.23
25,0.53,0.51,1.28,1.23
26,0.5,1.17,1.38,1.23
27,0.6,1.21,1.33,1.2
28,2.5,1.26,1.35,1.3
29,3.08,0.96,1.28,1.3
30,0.63,0.86,1.33,1.3
31,0.5,1.17,1.38,1.35
32,0.68,1.37,1.33,1.18
33,0.63,1.34,1.33,1.3
34,0.63,1.52,1.33,1.28
35,3.78,1.32,1.15,1.03
36,1.99,1.42,1.43,1.23
37,0.71,1.32,1.2,1.23
38,0.63,1.44,1.38,1.18
39,0.63,0.94,1.35,1.25
40,0.55,1.16,1.2,1.18
41,1.69,1.37,1.23,1.3
42,3.73,1.34,1.2,1.28
43,0.96,1.2,1.35,1.28
44,0.68,1.55,1.3,1.13
45,0.61,1.12,1.25,1.23
46,0.63,1.27,1.15,1.25
47,0.61,1.09,1.28,1.28
48,2.8,1.04,1.28,1.25
49,2.8,1.16,1.08,1.25
50,0.81,1.24,1.28,1.23
51,0.81,1.17,1.15,1.25
52,0.68,1.32,1.35,1.18
53,0.53,1.22,1.28,1.25
54,0.63,1.27,1.28,1.25
55,4.09,1.34,1.18,1.33
56,1.77,1.34,1.15,1.28
57,0.83,1.48,1.23,1.15
58,0.55,1.43,1.3,1.2
59,0.53,1.42,1.3,1.13
60,0.58,1.34,1.23,1.3
61,1.67,1.22,1.2,1.25
62,3.92,0.99,1.25,1.25
63,0.71,1.38,1.18,1.33
64,0.66,1.1,1.18,1.4
65,0.71,0.84,1.4,1.25
66,0.53,1.4,1.33,1.23
67,0.58,1.25,1.25,1.33
68,2.83,1.25,1.2,1.05
69,3.0,1.09,1.15,1.3
70,0.56,1.01,1.33,1.18
71,0.53,1.32,1.25,1.18
72,0.56,1.07,1.33,1.23
73,0.56,1.02,1.38,1.23
74,0.58,1.3,1.2,1.33
75,4.26,1.04,1.18,1.2
76,1.74,1.2,1.28,1.25
77,0.63,1.37,1.35,1.28
78,0.46,0.94,1.28,1.25
79,0.66,1.07,1.3,1.25
80,0.58,1.07,1.33,1.33
81,1.71,1.07,1.18,2.25
82,3.58,1.11,1.1,1.28
83,0.78,1.15,1.38,1.35
84,0.6,1.27,1.18,1.38
85,0.7,1.07,1.25,1.28
86,0.63,1.22,1.18,1.35
87,0.66,1.22,1.3,1.28
88,3.1,1.07,1.25,1.23
89,2.68,0.96,1.25,1.33
90,0.81,0.97,1.28,1.18
91,0.8,1.23,1.25,1.28
92,0.71,1.2,1.28,1.23
93,0.73,1.2,1.18,1.2
94,1.41,0.97,1.38,1.18
95,3.5,0.93,1.18,1.23
96,1.32,1.11,1.2,1.18
97,0.6,1.17,1.23,1.25
98,0.66,1.37,1.23,1.15
99,0.66,1.5,1.3,1.18
100,0.63,0.56,1.33,1.25
101,2.1,1.12,1.23,1.2
102,3.8,1.39,1.25,1.23
103,0.81,1.37,1.3,1.33
104,0.53,1.34,1.25,1.18
105,0.56,0.76,1.35,1.23
106,0.66,1.35,1.4,1.2
107,0.61,1.17,1.23,1.23
108,3.39,1.17,1.2,1.33
109,2.44,1.19,1.2,1.23
110,0.66,0.89,1.33,1.23
111,0.71,1.17,1.2,1.38
112,0.58,1.19,1.43,1.18
113,0.51,1.35,1.38,1.18
114,1.89,1.12,1.33,1.25
115,3.56,1.24,1.23,1.25
116,1.04,1.19,1.2,1.2
117,0.71,1.45,1.28,1.2
118,0.68,1.22,1.3,1.23
119,0.56,1.3,1.35,1.18
120,0.66,1.17,1.23,1.2
121,2.7,1.17,1.18,1.2
122,2.86,1.19,1.13,1.23
123,0.58,1.2,1.25,1.13
124,0.56,1.24,1.18,1.13
125,0.86,1.19,1.25,1.0
126,0.53,1.3,1.3,1.15
127,0.46,1.15,1.25,1.18
128,3.66,1.24,1.13,1.3
129,1.85,1.34,1.15,1.23
130,0.61,1.09,1.33,1.2
131,0.5,1.22,1.2,1.28
132,0.61,1.4,1.18,1.25
133,0.61,1.12,1.35,1.18
134,1.59,1.18,1.25,1.18
135,3.84,0.86,1.25,0.88
136,1.01,1.37,1.28,1.1
137,0.53,1.27,1.23,1.15
138,0.6,1.17,1.18,1.2
