%commit,client01,client02,client03,client04
0,33.07,63.57,67.47,54.9
1,33.14,64.32,67.62,54.9
2,33.14,64.63,67.73,54.9
3,33.15,64.79,67.69,54.83
4,33.15,64.86,67.7,54.83
5,33.15,64.92,67.7,54.83
6,33.17,65.01,67.69,54.83
7,33.18,65.38,67.69,54.83
8,33.17,65.46,67.65,54.83
9,33.16,65.72,67.62,54.82
10,33.16,65.95,67.62,54.82
11,33.22,66.03,67.63,54.82
12,33.22,66.13,67.64,54.82
13,33.28,66.14,67.68,54.82
14,33.28,66.12,67.67,54.82
15,33.33,66.12,67.67,54.82
16,33.34,66.12,67.67,54.82
17,33.34,66.12,67.67,54.82
18,33.34,66.12,67.67,54.82
19,33.34,66.12,67.63,54.82
20,33.34,66.03,67.62,54.82
21,33.34,66.03,67.62,54.82
22,33.34,66.03,67.62,54.82
23,33.34,66.03,67.63,54.82
24,33.34,66.1,67.64,54.82
25,33.34,66.11,67.64,54.82
26,33.35,66.11,67.83,54.82
27,33.35,66.11,68.09,54.82
28,33.37,66.11,68.29,55.29
29,33.46,66.24,68.38,55.44
30,33.47,66.4,68.5,55.76
31,33.47,66.4,68.57,55.76
32,33.47,66.4,68.59,55.76
33,33.47,66.4,68.59,55.76
34,33.47,66.4,68.59,55.76
35,33.46,66.46,68.59,55.76
36,33.46,66.46,68.6,55.76
37,33.46,66.46,68.6,55.76
38,33.46,66.46,68.57,55.75
39,33.46,66.46,68.55,55.75
40,33.46,66.46,68.55,55.75
41,33.49,66.46,68.55,55.75
42,33.51,66.46,68.55,55.75
43,33.49,66.46,68.55,55.73
44,33.49,66.47,68.55,55.72
45,33.49,66.47,68.55,55.72
46,33.49,66.5,68.55,55.72
47,33.49,66.5,68.56,55.72
48,33.49,66.5,68.53,55.71
49,33.55,66.5,68.49,55.71
50,33.55,66.5,68.49,55.71
51,33.55,66.5,68.49,55.71
52,33.55,66.5,68.49,55.71
53,33.55,66.51,68.42,55.71
54,33.55,66.47,68.41,55.71
55,33.49,66.47,68.39,55.71
56,33.49,66.47,68.39,55.71
57,33.49,66.47,68.39,55.71
58,33.49,66.47,68.4,55.71
59,33.48,66.46,68.41,55.71
60,33.48,66.46,68.41,55.71
61,33.5,66.46,68.42,55.71
62,33.48,66.46,68.43,55.71
63,33.46,66.46,68.43,55.72
64,33.46,66.46,68.44,55.72
65,33.46,66.5,68.44,55.72
66,33.46,66.5,68.44,55.72
67,33.46,66.5,68.44,55.72
68,33.48,66.5,68.44,55.72
69,33.45,66.5,68.44,55.72
70,33.45,66.5,68.44,55.72
71,33.45,66.51,68.44,55.72
72,33.45,66.51,68.44,55.72
73,33.45,66.51,68.46,55.72
74,33.9,66.51,68.46,55.72
