kbactive,client01,client02,client03,client04
0,16503872.0,15062180.0,17374828.0,16869692.0
1,16487292.0,15136720.0,17377668.0,16867672.0
2,16479276.0,15139316.0,17379112.0,16867788.0
3,16477512.0,15140816.0,17376464.0,16864408.0
4,16475728.0,15154356.0,17374048.0,16864112.0
5,16473960.0,15153888.0,17374408.0,16862204.0
6,16487308.0,15152372.0,17374780.0,16862356.0
7,16508140.0,15168420.0,17374768.0,16864932.0
8,16502392.0,15174692.0,17371604.0,16865504.0
9,16498216.0,15174596.0,17369084.0,16865620.0
10,16479508.0,15173292.0,17369276.0,16865664.0
11,16477848.0,15175336.0,17369376.0,16865608.0
12,16480156.0,15177700.0,17369552.0,16865776.0
13,16478316.0,15177840.0,17368080.0,16865696.0
14,16478568.0,15191940.0,17368124.0,16865896.0
15,16500856.0,15191372.0,17370028.0,16866280.0
16,16480616.0,15197020.0,17370132.0,16875752.0
17,16474180.0,15192936.0,17370380.0,16875436.0
18,16472552.0,15191576.0,17370444.0,16875516.0
19,16470648.0,15190632.0,17368812.0,16875592.0
20,16466532.0,15189860.0,17368564.0,16873580.0
21,16481952.0,15187684.0,17368796.0,16874104.0
22,16491712.0,15185604.0,17368924.0,16874476.0
23,16463572.0,15184476.0,17369216.0,16874656.0
24,16458952.0,15194048.0,17369388.0,16874776.0
25,16457300.0,15193448.0,17371816.0,16876932.0
26,16455500.0,15191588.0,17372132.0,16890292.0
27,16453744.0,15192768.0,17374336.0,16890216.0
28,16477980.0,15190940.0,17378808.0,16894768.0
29,16464368.0,15193452.0,17383252.0,16898480.0
30,16454596.0,15192904.0,17387572.0,16900956.0
31,16452820.0,15189332.0,17389928.0,16903256.0
32,16450616.0,15191140.0,17392132.0,16901144.0
33,16449040.0,15194904.0,17394456.0,16901236.0
34,16447924.0,15209576.0,17394460.0,16903392.0
35,16473492.0,15208540.0,17394584.0,16907928.0
36,16450912.0,15207628.0,17394704.0,16921872.0
37,16448420.0,15206416.0,17394940.0,16924140.0
38,16447892.0,15204856.0,17393008.0,16926216.0
39,16445612.0,15202948.0,17387300.0,16926320.0
40,16443552.0,15202460.0,17389360.0,16926600.0
41,16459428.0,15201808.0,17389368.0,16926860.0
42,16468600.0,15201364.0,17389784.0,16926936.0
43,16438284.0,15201576.0,17389812.0,16925128.0
44,16434228.0,15216648.0,17389924.0,16925252.0
45,16432548.0,15215424.0,17390108.0,16925404.0
46,16430428.0,15215880.0,17390288.0,16939016.0
47,16430584.0,15213284.0,17390388.0,16939024.0
48,16452672.0,15216960.0,17390516.0,16939500.0
49,16432044.0,15214084.0,17388556.0,16939596.0
50,16421336.0,15213428.0,17386492.0,16939100.0
51,16419492.0,15213080.0,17386752.0,16939252.0
52,16417604.0,15211700.0,17385100.0,16939212.0
53,16415864.0,15206604.0,17382712.0,16937340.0
54,16411640.0,15209932.0,17381132.0,16937220.0
55,16438956.0,15211188.0,17381100.0,16934052.0
56,16414496.0,15212828.0,17381276.0,16946224.0
57,16409596.0,15212944.0,17381224.0,16945772.0
58,16407740.0,15212628.0,17381448.0,16945904.0
59,16405852.0,15210572.0,17381628.0,16945944.0
60,16403996.0,15210416.0,17381692.0,16946092.0
61,16422292.0,15208592.0,17381884.0,16944492.0
62,16427424.0,15208608.0,17381960.0,16946716.0
63,16399460.0,15209636.0,17382064.0,16948860.0
64,16398280.0,15209752.0,17382140.0,16948960.0
65,16395984.0,15211828.0,17382268.0,16943012.0
66,16395984.0,15212156.0,17382524.0,16956900.0
67,16394800.0,15212324.0,17382576.0,16957492.0
68,16419720.0,15212412.0,17382844.0,16965144.0
69,16399572.0,15213108.0,17383020.0,16965180.0
70,16395796.0,15213824.0,17383048.0,16963376.0
71,16394472.0,15214032.0,17383256.0,16961856.0
72,16392856.0,15214184.0,17383400.0,16959992.0
73,16390816.0,15214228.0,17383452.0,16956044.0
74,16388856.0,15214392.0,17383660.0,16954988.0
75,16413644.0,15214712.0,17383804.0,16952116.0
76,16389864.0,15215144.0,17383972.0,16963660.0
77,16387432.0,15215412.0,17384084.0,16965096.0
78,16387592.0,15215604.0,17383996.0,16962820.0
79,16386908.0,15215676.0,17382204.0,16960956.0
80,16385864.0,15215964.0,17382484.0,16958904.0
81,16403304.0,15216032.0,17382636.0,16957244.0
82,16404140.0,15216768.0,17382784.0,16953276.0
83,16382216.0,15219348.0,17382756.0,16953364.0
84,16380500.0,15215216.0,17382864.0,16951676.0
85,16378556.0,15215376.0,17382840.0,16950040.0
86,16377124.0,15215536.0,17383124.0,16962148.0
87,16375672.0,15219700.0,17383380.0,16960524.0
88,16401756.0,15217148.0,17383500.0,16958908.0
89,16377496.0,15219872.0,17383620.0,16956548.0
90,16372684.0,15220660.0,17383764.0,16955276.0
91,16371732.0,15220632.0,17383884.0,16952880.0
92,16370124.0,15220716.0,17383948.0,16951464.0
93,16367220.0,15220584.0,17384104.0,16949596.0
94,16384212.0,15220440.0,17384224.0,16945608.0
95,16390928.0,15220684.0,17384152.0,16943456.0
96,16364936.0,15221604.0,17384308.0,16947396.0
97,16360804.0,15221744.0,17384716.0,16946436.0
98,16358880.0,15222004.0,17384824.0,16943724.0
99,16357012.0,15220004.0,17384988.0,16941876.0
100,16355952.0,15222076.0,17385224.0,16940100.0
101,16374652.0,15222104.0,17385400.0,16936804.0
102,16372752.0,15220308.0,17385484.0,16934472.0
103,16355604.0,15221372.0,17385668.0,16932784.0
104,16355088.0,15225084.0,17385696.0,16930924.0
105,16353660.0,15224904.0,17385944.0,16928984.0
106,16352808.0,15222832.0,17385924.0,16927052.0
107,16351108.0,15220752.0,17386116.0,16925284.0
108,16378892.0,15222772.0,17386180.0,16924116.0
109,16354324.0,15223044.0,17386400.0,16921528.0
110,16349816.0,15223832.0,17386492.0,16921892.0
111,16348528.0,15224084.0,17386516.0,16919900.0
112,16347388.0,15224080.0,17386796.0,16918620.0
113,16345316.0,15226496.0,17386804.0,16916104.0
114,16361028.0,15226588.0,17386956.0,16914244.0
115,16369672.0,15226908.0,17388992.0,16913472.0
116,16345064.0,15228228.0,17388904.0,16911420.0
117,16343416.0,15228188.0,17389192.0,16909588.0
118,16342916.0,15228272.0,17389564.0,16905492.0
119,16342444.0,15228192.0,17389560.0,16905468.0
120,16342332.0,15228532.0,17389808.0,16903200.0
121,16367808.0,15228560.0,17389828.0,16901704.0
122,16351360.0,15229444.0,17389952.0,16899264.0
123,16343772.0,15230300.0,17389924.0,16897576.0
124,16343808.0,15227716.0,17390016.0,16894016.0
125,16343792.0,15225824.0,17388320.0,16894976.0
126,16344072.0,15228092.0,17388312.0,16893580.0
127,16344204.0,15226152.0,17388576.0,16892192.0
128,16373376.0,15225952.0,17388680.0,16891164.0
129,16349272.0,15225808.0,17388900.0,16888916.0
130,16341944.0,15226576.0,17389116.0,16887080.0
131,16341784.0,15226112.0,17389224.0,16885672.0
132,16341768.0,15225944.0,17389256.0,16883392.0
133,16342120.0,15226248.0,17389360.0,16882256.0
134,16361180.0,15226396.0,17389524.0,16878088.0
135,16373100.0,15226408.0,17389616.0,16878036.0
136,16348656.0,15227992.0,17389708.0,16878888.0
137,16349012.0,15227756.0,17389860.0,16876184.0
138,16349256.0,15228284.0,17389984.0,16875736.0
139,16349172.0,15228072.0,17390160.0,16875816.0
140,16349488.0,15228316.0,17390300.0,16874720.0
141,16372500.0,15227512.0,17390492.0,16873064.0
142,16357700.0,15228188.0,17390700.0,16871756.0
143,16351300.0,15226888.0,17391012.0,16869464.0
144,16351320.0,15225948.0,17390848.0,16868720.0
145,16351392.0,15225164.0,17391040.0,16869000.0
146,16351552.0,15224728.0,17391140.0,16868388.0
147,16351660.0,15223808.0,17391240.0,16866532.0
148,16378268.0,15224024.0,17391392.0,16865572.0
149,16355592.0,15224032.0,17391596.0,16862824.0
150,16352948.0,15223668.0,17389508.0,16861616.0
151,16353108.0,15221604.0,17389624.0,16859552.0
152,16352712.0,15221764.0,17389704.0,16858384.0
153,16352556.0,15219272.0,17389856.0,16857468.0
154,16371488.0,15217888.0,17389916.0,16856236.0
155,16381112.0,15217844.0,17390160.0,16854716.0
156,16354548.0,15218376.0,17390124.0,16853656.0
157,16352644.0,15216088.0,17390440.0,16853056.0
158,16352868.0,15214688.0,17390544.0,16849948.0
159,16352824.0,15213896.0,17390748.0,16848200.0
160,16352324.0,15213824.0,17390888.0,16846748.0
161,16380124.0,15213536.0,17390992.0,16846708.0
162,16361952.0,15213148.0,17391196.0,16846228.0
163,16355388.0,15212600.0,17391356.0,16845248.0
164,16355092.0,15211224.0,17391508.0,16846076.0
165,16355192.0,15210592.0,17391628.0,16844480.0
166,16355336.0,15210488.0,17391728.0,16843128.0
167,16355504.0,15208620.0,17391828.0,16839788.0
168,16382788.0,15208032.0,17392016.0,16837232.0
169,16360256.0,15207496.0,17392120.0,16838416.0
170,16356772.0,15204412.0,17392284.0,16839076.0
171,16357120.0,15203772.0,17392224.0,16838276.0
172,16357236.0,15201476.0,17399552.0,16838188.0
173,16357348.0,15199684.0,17401400.0,16838064.0
174,16373532.0,15198256.0,17401340.0,16838512.0
175,16388992.0,15197160.0,17401624.0,16838352.0
176,16359728.0,15195748.0,17401620.0,16836972.0
177,16359824.0,15195036.0,17401884.0,16835504.0
178,16359804.0,15193368.0,17402224.0,16835624.0
179,16360000.0,15192152.0,17402192.0,16835776.0
180,16360124.0,15189428.0,17402308.0,16835908.0
181,16383808.0,15188388.0,17402440.0,16836184.0
182,16363948.0,15188816.0,17415988.0,16834516.0
183,16361764.0,15188420.0,17417680.0,16832940.0
184,16361924.0,15186100.0,17417900.0,16830756.0
185,16362016.0,15185164.0,17418008.0,16829060.0
186,16361368.0,15183900.0,17418220.0,16827880.0
187,16359564.0,15181660.0,17416444.0,16827508.0
188,16386472.0,15181908.0,17416408.0,16827108.0
189,16362684.0,15180548.0,17416600.0,16826468.0
190,16360444.0,15176652.0,17416812.0,16822816.0
191,16360488.0,15176360.0,17416852.0,16822328.0
192,16360656.0,15175784.0,17430436.0,16825708.0
193,16360712.0,15171368.0,17432480.0,16826908.0
194,16377096.0,15168384.0,17432564.0,16827064.0
195,16388072.0,15168084.0,17432816.0,16826604.0
196,16363052.0,15167484.0,17432836.0,16825720.0
197,16363072.0,15166152.0,17433012.0,16824676.0
198,16362288.0,15164024.0,17432960.0,16824164.0
199,16359504.0,15164112.0,17433260.0,16824056.0
200,16357892.0,15160596.0,17433304.0,16823548.0
201,16398656.0,15158488.0,17433476.0,16823448.0
202,16378624.0,15159648.0,17441340.0,16822900.0
203,16373064.0,15159268.0,17447400.0,16822652.0
204,16371036.0,15156912.0,17447356.0,16822140.0
205,16369224.0,15155688.0,17447664.0,16824132.0
206,16367468.0,15154296.0,17447836.0,16824028.0
207,16383376.0,15153148.0,17448084.0,16824312.0
208,16390644.0,15153764.0,17448088.0,16822780.0
209,16367320.0,15152076.0,17448156.0,16824948.0
210,16363412.0,15151220.0,17448384.0,16825108.0
211,16377884.0,15148808.0,17448496.0,16825188.0
212,16377100.0,15147372.0,17461964.0,16825292.0
213,16376304.0,15144772.0,17461952.0,16825452.0
214,16398176.0,15143516.0,17462072.0,16825736.0
215,16391860.0,15143276.0,17462152.0,16826112.0
216,16375908.0,15141528.0,17462272.0,16826304.0
217,16373816.0,15139884.0,17462432.0,16826432.0
218,16371704.0,15139104.0,17464648.0,16826588.0
219,16367892.0,15138684.0,17464676.0,16826804.0
220,16366004.0,15137036.0,17464936.0,16826968.0
221,16408660.0,15135200.0,17465196.0,16826864.0
222,16385600.0,15133392.0,17471352.0,16827444.0
223,16380032.0,15132028.0,17481148.0,16827616.0
224,16377728.0,15130668.0,17481568.0,16827740.0
225,16375716.0,15128912.0,17481676.0,16827764.0
226,16374032.0,15126732.0,17481612.0,16827964.0
227,16389828.0,15124864.0,17479748.0,16828024.0
228,16395224.0,15123160.0,17479996.0,16828464.0
229,16371236.0,15120636.0,17480096.0,16828812.0
230,16369332.0,15116360.0,17480076.0,16828836.0
231,16381492.0,15115528.0,17480184.0,16828908.0
232,16379164.0,15113076.0,17493616.0,16829016.0
233,16379560.0,15111876.0,17495628.0,16829032.0
234,16402144.0,15111448.0,17495584.0,16829364.0
235,16393068.0,15113012.0,17495768.0,16829340.0
236,16375888.0,15113204.0,17496040.0,16829236.0
237,16373704.0,15112544.0,17496320.0,16829396.0
238,16371880.0,15111052.0,17496192.0,16829528.0
239,16370064.0,15112088.0,17496376.0,16829464.0
240,16368040.0,15111192.0,17496356.0,16829620.0
241,16409220.0,15108484.0,17496432.0,16830356.0
242,16384540.0,15107732.0,17508640.0,16830528.0
243,16378384.0,15106340.0,17508744.0,16830612.0
244,16377472.0,15103972.0,17512932.0,16830564.0
245,16376180.0,15103692.0,17513072.0,16830632.0
246,16374692.0,15100456.0,17513192.0,16830704.0
