kbbuffers,client01,client02,client03,client04
0,956.0,1192.0,608.0,680.0
1,956.0,1216.0,608.0,680.0
2,956.0,1232.0,616.0,688.0
3,964.0,1248.0,616.0,696.0
4,964.0,1260.0,624.0,696.0
5,972.0,1264.0,624.0,696.0
6,972.0,1276.0,624.0,696.0
7,972.0,1276.0,632.0,704.0
8,980.0,1276.0,632.0,712.0
9,980.0,1284.0,640.0,712.0
10,988.0,1284.0,640.0,712.0
11,988.0,1292.0,640.0,712.0
12,988.0,1300.0,648.0,720.0
13,996.0,1300.0,648.0,728.0
14,996.0,1312.0,648.0,728.0
15,1004.0,1312.0,656.0,728.0
16,1004.0,1320.0,656.0,728.0
17,1004.0,1324.0,664.0,736.0
18,1012.0,1332.0,664.0,744.0
19,1012.0,1340.0,664.0,744.0
20,1020.0,1340.0,672.0,744.0
21,1020.0,1352.0,672.0,744.0
22,1020.0,1356.0,680.0,752.0
23,1028.0,1364.0,680.0,760.0
24,1028.0,1408.0,680.0,760.0
25,1036.0,1444.0,688.0,760.0
26,1036.0,1476.0,688.0,760.0
27,1036.0,1484.0,696.0,768.0
28,1044.0,1484.0,696.0,776.0
29,1044.0,1508.0,696.0,776.0
30,1052.0,1520.0,704.0,776.0
31,1052.0,1528.0,704.0,776.0
32,1052.0,1536.0,712.0,784.0
33,1060.0,1536.0,712.0,792.0
34,1060.0,1544.0,712.0,792.0
35,1068.0,1544.0,720.0,792.0
36,1068.0,1552.0,720.0,792.0
37,1068.0,1552.0,728.0,800.0
38,1076.0,1552.0,728.0,808.0
39,1076.0,1560.0,728.0,808.0
40,1084.0,1560.0,736.0,808.0
41,1084.0,1568.0,736.0,808.0
42,1084.0,1576.0,744.0,816.0
43,1092.0,1576.0,744.0,824.0
44,1092.0,1592.0,744.0,824.0
45,1100.0,1592.0,752.0,824.0
46,1100.0,1600.0,752.0,824.0
47,1100.0,1600.0,760.0,832.0
48,1108.0,1600.0,760.0,840.0
49,1108.0,1608.0,760.0,840.0
50,1116.0,1608.0,768.0,840.0
51,1116.0,1616.0,768.0,840.0
52,1116.0,1624.0,776.0,848.0
53,1124.0,1624.0,776.0,856.0
54,1124.0,1632.0,776.0,856.0
55,1132.0,1632.0,784.0,856.0
56,1132.0,1640.0,784.0,856.0
57,1132.0,1640.0,792.0,864.0
58,1140.0,1640.0,792.0,872.0
59,1140.0,1652.0,792.0,872.0
60,1148.0,1652.0,800.0,872.0
61,1148.0,1664.0,800.0,872.0
62,1148.0,1672.0,808.0,880.0
63,1156.0,1672.0,808.0,888.0
64,1156.0,1688.0,808.0,888.0
65,1164.0,1692.0,816.0,888.0
66,1164.0,1700.0,816.0,888.0
67,1164.0,1700.0,824.0,896.0
68,1172.0,1700.0,824.0,904.0
69,1172.0,1708.0,824.0,904.0
70,1180.0,1712.0,832.0,904.0
71,1180.0,1720.0,832.0,904.0
72,1180.0,1728.0,840.0,912.0
73,1188.0,1728.0,840.0,920.0
74,1188.0,1736.0,840.0,920.0
75,1196.0,1740.0,848.0,920.0
76,1196.0,1748.0,848.0,920.0
77,1196.0,1748.0,856.0,928.0
78,1204.0,1748.0,856.0,936.0
79,1204.0,1756.0,856.0,936.0
80,1212.0,1756.0,864.0,936.0
81,1212.0,1764.0,864.0,936.0
82,1212.0,1772.0,872.0,944.0
83,1220.0,1772.0,872.0,952.0
84,1220.0,1780.0,872.0,952.0
85,1228.0,1780.0,880.0,952.0
86,1228.0,1788.0,880.0,952.0
87,1228.0,1788.0,888.0,960.0
88,1236.0,1788.0,888.0,968.0
89,1236.0,1796.0,888.0,968.0
90,1244.0,1808.0,896.0,968.0
91,1244.0,1820.0,896.0,968.0
92,1244.0,1828.0,904.0,976.0
93,1252.0,1828.0,904.0,984.0
94,1252.0,1844.0,904.0,984.0
95,1260.0,1848.0,912.0,984.0
96,1260.0,1860.0,912.0,984.0
97,1260.0,1860.0,920.0,992.0
98,1268.0,1860.0,920.0,1000.0
99,1268.0,1868.0,920.0,1000.0
100,1276.0,1872.0,928.0,1000.0
101,1276.0,1884.0,928.0,1000.0
102,1276.0,1892.0,936.0,1008.0
103,1288.0,1892.0,936.0,1016.0
104,1288.0,1900.0,936.0,1016.0
105,1296.0,1904.0,944.0,1016.0
106,1296.0,1912.0,944.0,1016.0
107,1296.0,1912.0,952.0,1024.0
108,1304.0,1912.0,952.0,1032.0
109,1304.0,1920.0,952.0,1032.0
110,1312.0,1920.0,960.0,1032.0
111,1312.0,1928.0,960.0,1032.0
112,1312.0,1936.0,968.0,1040.0
113,1320.0,1936.0,968.0,1048.0
114,1320.0,1944.0,968.0,1048.0
115,1328.0,1944.0,976.0,1048.0
116,1328.0,1952.0,976.0,1048.0
117,1328.0,1952.0,984.0,1056.0
118,1336.0,1952.0,984.0,1064.0
119,1336.0,1960.0,984.0,1064.0
120,1336.0,1960.0,992.0,1064.0
121,1344.0,1968.0,992.0,1064.0
122,1344.0,1976.0,1000.0,1072.0
123,1352.0,1976.0,1000.0,1080.0
124,1352.0,1984.0,1000.0,1080.0
125,1352.0,1988.0,1008.0,1080.0
126,1360.0,1996.0,1008.0,1080.0
127,1360.0,2000.0,1016.0,1088.0
128,1368.0,2000.0,1016.0,1096.0
129,1368.0,2012.0,1016.0,1096.0
130,1368.0,2028.0,1024.0,1096.0
131,1376.0,2044.0,1024.0,1096.0
132,1376.0,2052.0,1032.0,1104.0
133,1384.0,2052.0,1032.0,1112.0
134,1384.0,2068.0,1032.0,1112.0
135,1384.0,2068.0,1040.0,1112.0
136,1392.0,2076.0,1040.0,1112.0
137,1392.0,2076.0,1048.0,1120.0
138,1400.0,2076.0,1048.0,1128.0
139,1400.0,2080.0,1048.0,1128.0
140,1400.0,2084.0,1056.0,1128.0
141,1408.0,2092.0,1056.0,1128.0
142,1408.0,2104.0,1064.0,1136.0
143,1416.0,2104.0,1064.0,1144.0
144,1416.0,2108.0,1064.0,1144.0
145,1416.0,2112.0,1072.0,1144.0
146,1424.0,2120.0,1072.0,1144.0
147,1424.0,2120.0,1080.0,1152.0
148,1432.0,2120.0,1080.0,1160.0
149,1432.0,2124.0,1080.0,1160.0
150,1432.0,2128.0,1088.0,1160.0
151,1440.0,2136.0,1088.0,1160.0
152,1440.0,2144.0,1096.0,1168.0
153,1448.0,2144.0,1096.0,1176.0
154,1448.0,2152.0,1096.0,1176.0
155,1448.0,2152.0,1104.0,1176.0
156,1456.0,2160.0,1104.0,1176.0
157,1456.0,2160.0,1112.0,1184.0
158,1464.0,2160.0,1112.0,1192.0
159,1464.0,2164.0,1112.0,1192.0
160,1464.0,2168.0,1120.0,1192.0
161,1472.0,2176.0,1120.0,1192.0
162,1472.0,2184.0,1128.0,1200.0
163,1480.0,2184.0,1128.0,1208.0
164,1480.0,2188.0,1128.0,1208.0
165,1480.0,2192.0,1136.0,1208.0
166,1488.0,2200.0,1136.0,1208.0
167,1488.0,2200.0,1144.0,1216.0
168,1496.0,2200.0,1144.0,1224.0
169,1632.0,2208.0,1144.0,1224.0
170,1632.0,2208.0,1152.0,1224.0
171,1640.0,2216.0,1152.0,1224.0
172,1640.0,2224.0,1160.0,1232.0
173,1648.0,2224.0,1160.0,1240.0
174,1648.0,2232.0,1160.0,1240.0
175,1648.0,2232.0,1168.0,1240.0
176,1656.0,2240.0,1168.0,1240.0
177,1656.0,2240.0,1176.0,1248.0
178,1664.0,2240.0,1176.0,1256.0
179,1668.0,2248.0,1176.0,1256.0
180,1668.0,2248.0,1184.0,1256.0
181,1676.0,2256.0,1184.0,1256.0
182,1676.0,2264.0,1192.0,1264.0
183,1684.0,2264.0,1192.0,1272.0
184,1684.0,2268.0,1192.0,1272.0
185,1684.0,2272.0,1200.0,1272.0
186,1692.0,2280.0,1200.0,1272.0
187,1692.0,2280.0,1208.0,1280.0
188,1700.0,2280.0,1208.0,1288.0
189,1700.0,2284.0,1208.0,1288.0
190,1700.0,2288.0,1216.0,1288.0
191,1708.0,2296.0,1216.0,1288.0
192,1708.0,2304.0,1224.0,1296.0
193,1716.0,2304.0,1224.0,1304.0
194,1716.0,2312.0,1224.0,1304.0
195,1716.0,2312.0,1232.0,1304.0
196,1724.0,2320.0,1232.0,1304.0
197,1724.0,2320.0,1240.0,1312.0
198,1732.0,2320.0,1240.0,1320.0
199,1732.0,2324.0,1240.0,1320.0
200,1732.0,2328.0,1248.0,1320.0
201,1740.0,2336.0,1248.0,1320.0
202,1740.0,2344.0,1256.0,1328.0
203,1748.0,2344.0,1256.0,1336.0
204,1748.0,2348.0,1256.0,1336.0
205,1748.0,2352.0,1264.0,1336.0
206,1756.0,2360.0,1264.0,1336.0
207,1756.0,2360.0,1272.0,1344.0
208,1764.0,2360.0,1272.0,1352.0
209,1764.0,2368.0,1272.0,1352.0
210,1764.0,2368.0,1280.0,1352.0
211,1772.0,2376.0,1280.0,1352.0
212,1772.0,2384.0,1288.0,1360.0
213,1780.0,2384.0,1288.0,1368.0
214,1780.0,2388.0,1288.0,1368.0
215,1780.0,2392.0,1296.0,1368.0
216,1788.0,2400.0,1296.0,1368.0
217,1788.0,2400.0,1304.0,1376.0
218,1796.0,2400.0,1304.0,1384.0
219,1796.0,2408.0,1304.0,1384.0
220,1796.0,2408.0,1312.0,1384.0
221,1804.0,2416.0,1312.0,1384.0
222,1804.0,2424.0,1320.0,1392.0
223,1812.0,2424.0,1320.0,1400.0
224,1812.0,2428.0,1320.0,1400.0
225,1812.0,2432.0,1328.0,1400.0
226,1820.0,2440.0,1328.0,1400.0
227,1820.0,2440.0,1336.0,1408.0
228,1828.0,2440.0,1336.0,1416.0
229,1828.0,2444.0,1336.0,1416.0
230,1828.0,2448.0,1344.0,1416.0
231,1836.0,2456.0,1344.0,1416.0
232,1836.0,2464.0,1352.0,1424.0
233,1844.0,2464.0,1352.0,1432.0
234,1844.0,2476.0,1352.0,1432.0
235,1844.0,2476.0,1360.0,1432.0
236,1852.0,2484.0,1360.0,1432.0
237,1852.0,2484.0,1368.0,1440.0
238,1860.0,2484.0,1368.0,1448.0
239,1860.0,2492.0,1368.0,1448.0
