kbcommit,client01,client02,client03,client04
0,43947144.0,36628728.0,47079836.0,38305760.0
1,44043100.0,37060652.0,47185672.0,38305760.0
2,44043100.0,37238736.0,47264192.0,38305760.0
3,44056432.0,37330768.0,47234208.0,38262536.0
4,44056432.0,37370048.0,47241404.0,38262536.0
5,44056432.0,37401856.0,47241404.0,38262536.0
6,44083844.0,37455268.0,47233208.0,38262536.0
7,44098908.0,37667236.0,47233208.0,38262536.0
8,44085396.0,37713248.0,47206864.0,38262536.0
9,44075756.0,37867444.0,47182276.0,38255812.0
10,44075756.0,37997484.0,47182276.0,38255812.0
11,44157556.0,38045836.0,47188784.0,38255812.0
12,44157556.0,38102832.0,47197672.0,38255812.0
13,44225728.0,38108512.0,47224600.0,38255812.0
14,44225728.0,38093256.0,47216404.0,38255812.0
15,44293348.0,38093256.0,47216404.0,38255812.0
16,44309756.0,38093256.0,47216404.0,38255812.0
17,44309756.0,38093256.0,47216232.0,38255812.0
18,44309756.0,38093256.0,47216232.0,38255812.0
19,44309756.0,38093256.0,47191640.0,38255812.0
20,44309756.0,38041808.0,47183444.0,38255812.0
21,44310264.0,38041808.0,47183444.0,38249088.0
22,44315212.0,38041808.0,47183444.0,38249088.0
23,44311068.0,38041808.0,47190816.0,38255572.0
24,44311068.0,38084992.0,47198660.0,38255572.0
25,44311068.0,38090724.0,47198660.0,38255572.0
26,44330336.0,38090724.0,47328900.0,38255572.0
27,44330336.0,38090724.0,47512136.0,38255572.0
28,44350792.0,38090724.0,47651968.0,38583160.0
29,44469132.0,38163596.0,47714352.0,38684684.0
30,44484324.0,38255060.0,47795548.0,38908804.0
31,44484324.0,38255060.0,47844328.0,38908804.0
32,44484324.0,38255060.0,47859928.0,38908804.0
33,44484324.0,38255060.0,47859928.0,38908804.0
34,44484324.0,38255060.0,47859928.0,38908804.0
35,44475372.0,38290344.0,47859928.0,38908804.0
36,44471696.0,38290344.0,47866424.0,38908804.0
37,44471696.0,38290344.0,47866424.0,38908804.0
38,44471696.0,38290344.0,47847260.0,38898932.0
39,44471696.0,38290344.0,47830868.0,38898932.0
40,44471696.0,38290344.0,47830868.0,38898932.0
41,44505492.0,38290344.0,47830868.0,38898932.0
42,44537124.0,38290344.0,47830868.0,38898932.0
43,44508912.0,38290344.0,47830868.0,38890564.0
44,44508912.0,38295972.0,47830868.0,38883884.0
45,44508912.0,38295972.0,47830868.0,38883884.0
46,44508912.0,38316600.0,47830868.0,38883884.0
47,44508912.0,38316600.0,47837332.0,38883884.0
48,44511484.0,38316600.0,47820936.0,38873940.0
49,44585528.0,38316600.0,47788152.0,38873940.0
50,44585528.0,38316600.0,47788152.0,38873940.0
51,44585528.0,38316600.0,47788152.0,38873940.0
52,44585528.0,38316600.0,47788152.0,38873940.0
53,44585528.0,38322256.0,47740488.0,38873940.0
54,44585528.0,38298296.0,47732688.0,38873940.0
55,44509356.0,38298296.0,47724492.0,38873940.0
56,44512620.0,38298296.0,47724492.0,38873940.0
57,44512620.0,38298296.0,47724492.0,38873940.0
58,44512620.0,38298296.0,47730984.0,38870548.0
59,44492676.0,38290100.0,47736608.0,38870832.0
60,44492676.0,38290100.0,47736608.0,38870832.0
61,44524920.0,38290100.0,47743096.0,38870832.0
62,44500384.0,38290100.0,47751292.0,38870832.0
63,44472732.0,38290100.0,47751292.0,38880216.0
64,44472732.0,38290100.0,47757724.0,38880216.0
65,44472732.0,38313728.0,47757724.0,38880216.0
66,44472732.0,38313728.0,47757724.0,38880216.0
67,44472732.0,38313728.0,47757724.0,38880216.0
68,44503052.0,38313728.0,47757724.0,38880216.0
69,44460980.0,38313728.0,47757724.0,38880216.0
70,44460980.0,38313728.0,47757724.0,38880216.0
71,44460980.0,38319424.0,47757724.0,38880216.0
72,44460980.0,38319424.0,47757724.0,38880216.0
73,44460980.0,38319424.0,47770016.0,38880216.0
74,45052668.0,38319192.0,47770016.0,38880216.0
75,44474900.0,38319192.0,47770016.0,38886708.0
76,44476508.0,38324856.0,47770016.0,38886708.0
77,44476508.0,38324856.0,47763240.0,38886708.0
78,44476508.0,38324856.0,47763240.0,38886708.0
79,44476508.0,38324856.0,47705868.0,38886708.0
80,44476508.0,38324856.0,47705868.0,38886708.0
81,44459884.0,38324856.0,47705868.0,38886708.0
82,44482620.0,38324856.0,47705868.0,38886708.0
83,44482620.0,38324856.0,47705868.0,38886708.0
84,44482620.0,38324856.0,47697672.0,38886708.0
85,44482620.0,38330540.0,47697672.0,38886708.0
86,44482620.0,38330540.0,47697672.0,38886708.0
87,44482620.0,38330540.0,47697672.0,38886708.0
88,44494032.0,38330540.0,47697672.0,38886708.0
89,44450296.0,38330540.0,47704104.0,38886708.0
90,44450296.0,38330540.0,47710544.0,38886708.0
91,44450296.0,38330540.0,47710544.0,38886708.0
92,44450296.0,38336240.0,47710544.0,38886708.0
93,44450296.0,38336240.0,47703816.0,38879968.0
94,44476188.0,38336240.0,47696008.0,38879968.0
95,44483208.0,38336240.0,47696008.0,38873516.0
96,44437660.0,38336240.0,47696008.0,38873516.0
97,44437660.0,38341868.0,47696008.0,38880008.0
98,44437660.0,38347576.0,47696008.0,38890980.0
99,44437660.0,38360620.0,47704204.0,38890980.0
100,44437660.0,38374700.0,47710636.0,38890980.0
101,44432828.0,38374700.0,47710636.0,38890980.0
102,44514660.0,38374700.0,47717644.0,38890980.0
103,44514660.0,38380332.0,47717644.0,38890980.0
104,44514660.0,38386024.0,47717644.0,38890980.0
