kbmemfree,client01,client02,client03,client04
0,112464616.0,40072756.0,36873556.0,46303408.0
1,112481912.0,39985700.0,36866768.0,46303244.0
2,112492784.0,39976072.0,36862928.0,46303452.0
3,112495320.0,39971476.0,36864916.0,46311128.0
4,112497124.0,39954016.0,36868084.0,46310876.0
5,112500596.0,39954116.0,36867800.0,46310696.0
6,112481596.0,39952524.0,36867052.0,46310556.0
7,112451480.0,39932660.0,36867144.0,46310372.0
8,112458688.0,39934216.0,36869936.0,46310836.0
9,112462540.0,39928980.0,36872240.0,46311616.0
10,112488388.0,39927728.0,36873112.0,46311352.0
11,112487352.0,39926080.0,36872464.0,46312484.0
12,112489024.0,39924372.0,36872060.0,46312776.0
13,112491992.0,39924272.0,36871532.0,46312496.0
14,112494124.0,39908156.0,36871796.0,46312976.0
15,112460452.0,39908140.0,36872180.0,46313332.0
16,112492796.0,39908980.0,36872268.0,46300972.0
17,112500824.0,39913652.0,36871756.0,46301052.0
18,112502708.0,39915196.0,36871892.0,46300892.0
19,112505256.0,39917804.0,36873120.0,46301368.0
20,112511580.0,39919208.0,36873816.0,46301700.0
21,112494300.0,39921440.0,36873112.0,46301492.0
22,112473144.0,39922436.0,36872524.0,46301520.0
23,112509004.0,39924220.0,36873128.0,46301156.0
24,112514012.0,39908504.0,36870808.0,46301392.0
25,112515396.0,39908636.0,36870796.0,46301628.0
26,112519216.0,39911368.0,36867516.0,46285600.0
27,112521896.0,39912324.0,36860340.0,46285600.0
28,112487524.0,39913660.0,36851656.0,46275408.0
29,112503100.0,39911256.0,36850792.0,46274128.0
30,112521540.0,39910004.0,36848500.0,46269168.0
31,112522960.0,39910712.0,36845560.0,46269284.0
32,112525576.0,39911068.0,36842876.0,46269568.0
33,112529176.0,39911528.0,36842892.0,46269508.0
34,112530100.0,39896328.0,36842724.0,46269412.0
35,112489448.0,39897636.0,36842480.0,46268176.0
36,112522804.0,39897804.0,36841952.0,46252032.0
37,112526464.0,39898568.0,36841520.0,46251668.0
38,112527216.0,39900460.0,36844380.0,46253992.0
39,112529780.0,39901368.0,36850560.0,46253368.0
40,112533560.0,39901356.0,36850864.0,46253184.0
41,112510368.0,39902092.0,36850968.0,46253336.0
42,112491512.0,39903584.0,36851864.0,46253712.0
43,112533844.0,39903596.0,36851916.0,46255396.0
44,112536900.0,39888316.0,36851196.0,46255840.0
45,112538224.0,39890120.0,36851684.0,46255592.0
46,112541324.0,39888908.0,36851548.0,46239400.0
47,112544560.0,39889328.0,36852180.0,46239360.0
48,112515576.0,39889868.0,36852360.0,46241524.0
49,112532660.0,39893084.0,36853848.0,46241184.0
50,112547444.0,39895720.0,36856488.0,46241464.0
51,112549148.0,39896024.0,36856056.0,46241788.0
52,112551848.0,39896760.0,36858268.0,46241680.0
53,112555508.0,39898064.0,36860776.0,46243596.0
54,112560368.0,39895124.0,36862184.0,46243780.0
55,112517468.0,39896404.0,36862200.0,46244180.0
56,112552592.0,39896632.0,36862112.0,46230960.0
57,112558380.0,39897356.0,36862200.0,46230680.0
58,112560584.0,39898024.0,36862040.0,46230636.0
59,112565168.0,39899316.0,36862032.0,46230536.0
60,112568016.0,39899824.0,36861900.0,46230544.0
61,112544288.0,39901384.0,36861244.0,46230472.0
62,112531496.0,39901988.0,36861856.0,46230228.0
63,112572680.0,39900928.0,36861276.0,46230668.0
64,112573108.0,39901404.0,36861796.0,46230500.0
65,112573468.0,39899840.0,36862092.0,46228436.0
66,112575640.0,39899852.0,36861684.0,46211868.0
67,112577720.0,39899980.0,36861844.0,46212212.0
68,112541044.0,39899700.0,36861408.0,46212768.0
69,112569744.0,39899768.0,36861380.0,46213100.0
70,112575964.0,39898760.0,36861788.0,46214232.0
71,112577164.0,39898892.0,36861004.0,46216164.0
72,112580360.0,39898556.0,36861008.0,46217444.0
73,112582660.0,39898152.0,36860980.0,46221200.0
74,112583680.0,39897852.0,36860780.0,46222348.0
75,112549652.0,39897264.0,36861192.0,46225232.0
76,112583996.0,39896304.0,36861444.0,46211140.0
77,112586324.0,39896412.0,36861484.0,46212556.0
78,112586092.0,39896596.0,36861168.0,46214612.0
79,112587736.0,39896568.0,36862332.0,46215964.0
80,112590080.0,39896220.0,36862120.0,46218744.0
81,112569260.0,39896028.0,36861404.0,46220208.0
82,112555784.0,39894528.0,36861272.0,46222536.0
83,112591316.0,39894096.0,36861220.0,46223948.0
84,112593564.0,39893732.0,36860816.0,46226372.0
85,112595808.0,39893124.0,36861032.0,46227628.0
86,112598976.0,39892812.0,36860420.0,46213204.0
87,112601152.0,39892388.0,36860508.0,46215416.0
88,112563176.0,39892740.0,36860604.0,46216852.0
89,112594312.0,39892252.0,36859876.0,46219332.0
90,112600464.0,39892268.0,36858932.0,46221032.0
91,112601260.0,39891652.0,36858812.0,46223796.0
92,112602684.0,39891712.0,36858976.0,46225220.0
93,112606620.0,39891516.0,36859288.0,46227504.0
94,112587188.0,39891764.0,36858888.0,46230160.0
95,112566968.0,39892040.0,36858468.0,46232360.0
96,112606508.0,39890780.0,36858388.0,46225852.0
97,112609324.0,39890780.0,36857532.0,46226616.0
98,112611732.0,39890104.0,36857484.0,46228920.0
99,112614720.0,39888628.0,36858020.0,46230444.0
100,112616256.0,39888144.0,36857528.0,46232184.0
101,112586532.0,39888652.0,36857644.0,46233628.0
102,112588544.0,39886552.0,36857660.0,46235432.0
103,112613708.0,39886156.0,36857544.0,46236868.0
104,112614172.0,39885888.0,36857376.0,46237188.0
105,112616056.0,39884200.0,36856584.0,46239556.0
106,112618512.0,39885324.0,36856660.0,46240488.0
107,112619696.0,39885380.0,36856904.0,46242004.0
108,112579924.0,39884628.0,36856692.0,46242372.0
109,112616760.0,39884196.0,36856544.0,46244968.0
110,112623732.0,39884592.0,36856328.0,46246724.0
111,112624728.0,39884144.0,36856012.0,46248488.0
112,112626804.0,39884212.0,36854188.0,46250764.0
113,112630608.0,39884960.0,36854412.0,46253564.0
114,112608712.0,39884072.0,36854472.0,46255608.0
115,112589028.0,39884164.0,36854332.0,46256936.0
116,112625624.0,39882744.0,36853604.0,46257180.0
117,112629284.0,39883272.0,36854008.0,46259068.0
118,112629976.0,39883032.0,36853484.0,46261576.0
119,112631556.0,39883052.0,36854036.0,46264268.0
120,112632796.0,39882452.0,36853300.0,46266484.0
121,112592532.0,39882020.0,36853920.0,46267712.0
122,112608980.0,39881292.0,36853384.0,46270468.0
123,112626784.0,39880220.0,36853436.0,46271756.0
124,112626552.0,39881324.0,36853508.0,46273956.0
125,112626984.0,39880544.0,36853856.0,46274628.0
126,112627872.0,39879316.0,36853520.0,46275060.0
127,112628472.0,39878688.0,36853788.0,46276448.0
128,112584576.0,39878568.0,36854304.0,46276944.0
129,112617732.0,39878212.0,36854416.0,46279176.0
130,112622968.0,39877924.0,36854012.0,46281380.0
131,112622836.0,39878592.0,36853804.0,46283108.0
132,112624488.0,39878844.0,36852812.0,46284900.0
133,112625160.0,39877488.0,36851984.0,46286024.0
134,112608460.0,39878380.0,36851740.0,46287548.0
135,112586988.0,39878036.0,36851488.0,46288200.0
136,112621980.0,39875820.0,36850896.0,46289016.0
137,112621160.0,39876180.0,36851368.0,46291408.0
138,112621296.0,39876344.0,36851584.0,46291128.0
139,112623328.0,39876608.0,36851504.0,46291848.0
140,112623376.0,39876620.0,36851188.0,46293852.0
141,112586736.0,39876788.0,36851200.0,46295492.0
142,112607516.0,39877796.0,36850592.0,46297060.0
143,112619020.0,39878204.0,36849684.0,46299936.0
144,112618760.0,39878684.0,36849948.0,46300684.0
145,112619408.0,39880292.0,36849508.0,46300844.0
146,112621580.0,39879740.0,36849368.0,46301888.0
147,112622076.0,39880780.0,36849464.0,46303928.0
148,112579036.0,39880788.0,36849156.0,46304984.0
149,112611276.0,39880620.0,36848716.0,46307216.0
150,112615864.0,39881332.0,36851040.0,46309360.0
151,112616244.0,39882140.0,36850944.0,46311192.0
152,112618488.0,39883452.0,36850424.0,46312576.0
153,112619644.0,39885732.0,36850256.0,46312736.0
154,112597372.0,39887984.0,36849988.0,46314672.0
155,112574024.0,39888892.0,36849804.0,46316960.0
156,112615200.0,39888736.0,36850216.0,46317016.0
157,112614524.0,39889396.0,36850120.0,46318100.0
158,112614808.0,39891804.0,36850416.0,46319108.0
159,112616796.0,39891872.0,36850496.0,46321112.0
160,112617604.0,39891580.0,36850580.0,46322500.0
161,112584304.0,39892796.0,36850588.0,46322388.0
162,112606772.0,39892348.0,36850632.0,46322316.0
163,112617736.0,39892224.0,36850716.0,46323128.0
164,112617936.0,39894028.0,36849860.0,46323516.0
165,112617596.0,39894592.0,36849588.0,46325204.0
166,112618900.0,39894560.0,36849196.0,46326696.0
167,112619344.0,39895616.0,36849412.0,46327184.0
168,112576268.0,39896148.0,36849664.0,46328188.0
169,112600700.0,39896804.0,36848924.0,46328684.0
170,112605596.0,39898492.0,36849252.0,46327916.0
171,112605660.0,39900204.0,36848208.0,46328628.0
172,112606736.0,39901380.0,36839032.0,46328536.0
173,112607808.0,39903152.0,36838688.0,46329068.0
174,112590036.0,39904264.0,36838896.0,46328504.0
175,112563448.0,39904852.0,36838828.0,46328936.0
176,112601924.0,39905592.0,36839628.0,46330604.0
177,112602132.0,39906124.0,36839020.0,46331684.0
178,112602036.0,39906680.0,36838008.0,46331376.0
179,112603148.0,39908020.0,36837952.0,46331128.0
180,112603904.0,39910608.0,36837732.0,46331576.0
181,112567452.0,39910980.0,36837564.0,46330716.0
182,112594980.0,39912280.0,36821972.0,46331876.0
183,112599992.0,39913616.0,36822464.0,46333016.0
184,112600196.0,39915956.0,36821628.0,46334988.0
185,112600736.0,39915432.0,36821900.0,46336400.0
186,112603588.0,39916404.0,36821856.0,46338228.0
187,112605160.0,39917656.0,36823092.0,46338864.0
188,112563116.0,39919124.0,36821932.0,46339252.0
189,112596180.0,39920224.0,36822040.0,46339544.0
190,112600256.0,39922232.0,36821964.0,46341344.0
191,112599816.0,39923956.0,36821864.0,46342440.0
192,112602116.0,39923176.0,36805484.0,46342520.0
193,112602652.0,39924868.0,36806392.0,46343036.0
194,112578212.0,39927536.0,36806076.0,46344124.0
195,112562776.0,39930068.0,36805984.0,46345700.0
196,112597736.0,39932188.0,36806060.0,46345840.0
197,112597616.0,39932228.0,36806100.0,46347048.0
198,112598500.0,39934568.0,36806056.0,46346780.0
199,112601140.0,39935788.0,36806112.0,46346944.0
200,112602604.0,39937104.0,36805888.0,46347568.0
201,112550324.0,39939460.0,36805484.0,46348248.0
202,112581412.0,39940580.0,36791364.0,46348380.0
203,112587284.0,39941176.0,36791292.0,46348860.0
204,112589424.0,39943012.0,36791756.0,46348600.0
205,112591984.0,39944124.0,36791584.0,46348652.0
206,112594296.0,39946636.0,36791756.0,46349072.0
207,112576876.0,39948164.0,36791352.0,46348684.0
