%ifutil,client01,client02,client03,client04
0,16.62,7.36,17.58,7.56
1,5.01,14.09,4.84,4.05
2,3.32,3.57,3.75,3.86
3,3.08,3.1,3.7,4.11
4,3.78,3.59,3.58,3.51
5,3.34,3.36,3.59,3.64
6,3.22,3.65,3.78,17.1
7,17.4,16.86,17.36,4.08
8,10.69,4.5,10.08,17.63
9,10.64,17.23,10.73,3.43
10,3.04,3.51,4.05,3.2
11,2.87,5.2,4.82,4.41
12,2.97,4.0,3.58,3.7
13,3.23,3.6,3.87,3.28
14,3.41,3.63,3.8,14.21
15,16.8,10.0,17.21,7.1
16,4.48,11.09,3.72,3.73
17,3.49,3.69,3.68,3.53
18,2.84,3.82,3.57,3.65
19,3.27,3.66,3.57,3.54
20,3.58,3.43,3.61,3.61
21,3.37,3.63,3.75,17.69
22,17.19,16.88,17.32,4.06
23,3.46,4.14,3.62,3.59
24,3.44,3.62,3.64,3.52
25,3.43,3.57,3.6,3.55
26,3.07,3.85,3.78,3.49
27,3.27,3.4,3.67,3.57
28,14.06,3.3,14.19,17.67
29,7.38,17.13,7.27,3.78
30,3.41,3.67,3.63,3.69
31,2.97,3.89,3.84,3.75
32,3.02,3.72,3.65,3.42
33,3.26,3.46,3.51,3.7
34,2.95,3.77,3.49,15.66
35,16.7,11.08,17.19,5.98
36,3.7,10.32,3.97,3.53
37,3.02,3.82,3.48,3.42
38,3.14,3.35,3.58,3.42
39,3.28,3.33,3.6,3.54
40,3.18,3.99,3.23,3.47
41,3.45,3.43,3.28,17.6
42,17.2,17.38,17.4,3.68
43,3.25,3.64,3.73,3.48
44,3.26,3.75,3.51,3.22
45,3.14,3.8,3.41,3.58
46,3.36,3.47,3.25,3.61
47,3.38,3.21,3.31,3.69
48,14.01,3.45,14.58,17.59
49,6.86,17.65,6.25,3.61
50,3.08,3.77,3.38,3.47
51,3.43,3.44,3.18,3.56
52,3.51,3.59,3.64,3.36
53,3.01,3.59,3.41,3.49
54,3.42,3.83,3.27,15.9
55,17.16,14.54,17.1,5.62
56,3.4,7.3,3.08,3.58
57,3.38,3.42,3.29,3.28
58,3.48,3.83,3.61,3.45
59,3.4,3.73,3.66,2.99
60,3.16,3.9,3.18,3.67
61,4.53,3.69,3.61,17.58
62,16.64,17.08,17.04,3.51
63,3.0,4.0,3.14,3.72
64,3.11,3.5,3.12,3.9
65,3.22,3.51,3.86,3.53
66,3.14,3.64,3.7,3.48
67,3.56,3.59,3.24,10.77
68,13.99,3.64,15.92,10.3
69,7.23,17.63,4.68,3.89
70,3.58,3.51,3.58,3.44
71,3.42,3.73,3.36,3.08
72,3.5,3.39,3.53,3.51
73,3.3,3.39,3.81,3.46
74,3.4,3.44,3.24,16.33
75,17.26,14.28,17.24,5.22
76,3.5,6.6,3.46,3.53
77,3.27,3.44,3.53,3.68
78,3.24,3.25,3.57,3.57
79,3.38,3.38,3.61,3.58
80,2.82,4.02,3.48,3.74
81,4.15,3.48,5.4,17.66
82,16.17,17.4,14.76,3.67
83,3.43,3.31,3.79,3.83
84,2.86,3.42,3.18,3.81
85,3.13,3.48,3.25,3.73
86,3.3,3.54,3.18,3.81
87,3.32,3.49,3.48,14.47
88,15.96,6.97,16.53,7.2
89,5.25,13.77,4.53,3.75
90,3.28,3.51,3.34,3.43
91,3.21,3.68,3.37,3.73
92,3.35,3.57,3.41,3.53
93,3.44,3.44,3.13,3.54
94,3.48,3.52,3.57,16.97
95,16.82,16.91,17.19,3.58
96,3.27,4.68,3.23,3.39
97,2.87,3.68,3.32,3.51
98,3.19,3.41,3.41,3.16
99,3.32,3.32,3.49,3.36
100,3.39,3.56,3.5,3.43
101,6.54,3.49,9.17,17.49
102,13.76,17.72,11.71,3.44
103,3.03,3.71,3.51,3.84
104,3.22,3.38,3.35,3.3
105,3.3,3.27,3.68,3.45
106,3.05,3.77,3.82,3.41
107,3.16,3.42,3.41,14.41
108,16.54,9.69,16.8,7.5
109,4.44,11.28,3.77,3.46
110,3.45,3.63,3.47,3.54
111,3.23,3.43,3.36,4.07
112,3.16,2.9,3.87,3.38
113,3.12,3.44,3.74,3.24
114,3.23,3.67,3.47,17.61
115,17.37,16.46,17.25,3.49
116,3.46,4.47,3.25,3.47
117,3.18,3.91,3.44,3.4
118,3.42,3.43,3.54,3.44
119,3.33,3.83,3.45,3.4
120,3.16,3.67,3.4,3.56
121,13.87,3.23,13.36,17.36
122,7.33,17.54,7.4,3.41
123,3.34,3.31,3.32,3.04
124,3.45,3.53,3.13,3.23
125,3.27,3.7,3.36,3.45
126,2.96,3.53,3.45,3.39
127,3.3,3.58,3.36,15.33
128,16.88,13.16,17.04,6.03
129,3.6,8.0,3.17,3.48
130,3.31,3.72,3.49,3.36
131,3.07,3.5,3.27,3.66
132,3.38,3.65,3.14,3.49
133,3.4,3.62,3.69,3.22
134,3.39,3.61,3.3,17.25
135,17.63,17.28,17.44,3.04
136,3.42,3.96,3.45,3.18
137,3.2,3.66,3.25,3.14
138,3.36,3.52,3.14,3.46
139,3.32,3.45,3.27,3.4
140,3.28,3.66,3.19,3.41
141,13.76,3.64,14.41,17.27
142,7.37,17.28,6.78,3.22
143,3.04,3.78,3.7,3.47
144,2.87,3.36,3.33,3.52
145,3.28,3.74,3.31,3.23
146,3.19,3.91,3.48,3.25
147,3.07,3.42,3.29,15.49
148,17.23,14.22,17.3,5.61
149,3.26,7.26,3.43,3.38
150,3.06,3.62,3.13,3.21
151,3.44,3.47,3.46,3.37
152,3.24,3.56,3.57,3.5
153,3.17,3.45,3.15,3.54
154,3.58,3.46,3.87,17.46
155,16.79,17.25,16.89,3.51
156,3.15,3.55,3.4,3.43
157,2.91,3.54,3.49,3.97
158,3.05,3.39,3.46,3.35
159,3.31,3.42,3.14,3.38
160,3.79,3.28,3.25,10.22
161,13.48,3.78,15.39,10.37
162,7.59,17.41,5.2,4.1
163,3.32,3.46,3.35,3.64
164,3.44,3.3,3.37,3.6
165,3.55,3.42,3.0,3.59
166,3.17,3.5,3.37,3.76
167,3.61,3.67,3.02,15.5
168,17.42,14.12,17.11,5.71
169,3.17,7.2,3.29,3.69
170,3.21,3.51,3.13,3.63
171,3.4,3.51,3.68,3.22
172,3.21,3.86,3.49,2.94
173,3.1,3.67,3.15,3.42
174,3.13,3.71,3.71,17.86
175,17.16,17.3,16.55,3.75
176,3.57,3.33,3.33,3.42
177,3.11,3.44,3.51,3.93
178,3.17,3.4,3.3,3.47
179,3.13,3.3,3.3,3.66
180,3.28,3.22,3.26,4.36
181,14.78,3.35,15.53,16.91
182,6.35,17.3,6.19,3.25
183,3.25,3.69,3.39,3.25
184,3.16,3.56,3.4,3.19
185,3.38,3.73,3.35,3.43
186,3.17,3.36,3.28,3.51
187,3.54,3.32,3.19,15.8
188,17.5,14.25,17.56,4.91
