rxpck/s,client01,client02,client03,client04
0,13979.0,13030.0,17711.0,15478.0
1,12627.0,13910.0,16273.0,15739.0
2,9337.0,10910.0,16006.0,15402.0
3,8584.0,9500.0,15090.0,16330.0
4,10144.0,9775.0,14398.0,14000.0
5,9349.0,9336.0,14549.0,14425.0
6,9522.0,9981.0,15308.0,14606.0
7,12837.0,11281.0,15170.0,15234.0
8,12265.0,9648.0,13302.0,15924.0
9,13495.0,10646.0,14387.0,13590.0
10,8530.0,9275.0,15613.0,12563.0
11,7931.0,10972.0,14843.0,13420.0
12,8027.0,10801.0,14168.0,14608.0
13,8644.0,9470.0,14977.0,13017.0
14,9228.0,9951.0,14877.0,13713.0
15,12283.0,10180.0,15401.0,15074.0
16,12420.0,10469.0,13801.0,14647.0
17,9530.0,10037.0,14723.0,13932.0
18,8039.0,10333.0,14141.0,14529.0
19,9052.0,10023.0,14346.0,14089.0
20,9980.0,9543.0,14478.0,14557.0
21,9929.0,9775.0,14853.0,16176.0
22,12713.0,10601.0,15051.0,16151.0
23,10546.0,10173.0,14443.0,14500.0
24,9506.0,9987.0,14582.0,14097.0
25,9725.0,10171.0,14489.0,14335.0
26,8754.0,10548.0,15058.0,13998.0
27,9022.0,9572.0,14588.0,14235.0
28,11747.0,9196.0,15588.0,16425.0
29,12873.0,10489.0,14579.0,15274.0
30,9696.0,10290.0,14699.0,14833.0
31,8577.0,10731.0,15428.0,15104.0
32,8393.0,10048.0,14724.0,13733.0
33,9076.0,9643.0,14227.0,14814.0
34,8401.0,10319.0,14037.0,16397.0
35,12032.0,10658.0,15050.0,14155.0
36,11089.0,10824.0,15846.0,14112.0
37,8320.0,10411.0,13967.0,13826.0
38,8687.0,9118.0,14043.0,13635.0
39,8996.0,8995.0,14408.0,14043.0
40,8799.0,10737.0,12982.2,13909.0
41,10040.0,9314.0,13081.0,15740.0
42,13127.0,11366.0,15391.0,14591.0
43,9779.0,9564.0,14945.0,14130.0
44,9080.0,10097.0,14141.0,12877.0
45,8713.0,10234.0,13584.0,14259.0
46,9237.0,9381.0,12979.0,14296.0
47,9438.0,8825.0,13362.0,14664.0
48,10928.0,9180.0,14755.0,15748.0
49,11884.0,11532.0,12698.0,14168.0
50,8618.0,10007.0,13518.0,13767.0
51,9515.0,9633.0,12857.0,14358.0
52,9567.0,9849.0,14434.0,13570.0
53,8549.0,9660.0,13487.0,13816.0
54,9407.0,10417.0,13136.0,15128.0
55,12342.0,10941.0,14370.0,15168.0
56,10984.0,10697.0,12301.0,14035.0
57,9296.0,9355.0,13052.0,13191.0
58,9365.0,10271.0,14382.0,13742.0
59,9342.0,10263.0,14665.0,12110.0
60,8798.0,10698.0,12946.0,14749.0
61,10383.0,10165.0,12861.0,15875.0
62,14446.0,10386.0,15639.0,14125.0
63,8954.0,10610.0,12904.0,14596.0
64,8797.0,9502.0,12470.0,15459.0
65,8818.0,9625.0,15181.0,14138.0
66,8954.0,10212.0,14910.0,14125.0
67,9963.0,10042.0,13306.0,15489.0
68,11726.0,10167.0,14625.0,14743.0
69,12942.0,11987.0,13275.0,14741.0
70,10216.0,9952.0,14346.0,13924.0
71,9711.0,10256.0,13753.0,12624.0
72,9758.0,9519.0,14182.0,14078.0
73,9428.0,9277.0,15095.0,13704.0
74,9184.0,9270.0,13285.0,16198.0
75,12854.0,9755.0,14809.0,14268.0
76,11399.0,9890.0,13763.0,14134.0
77,9191.0,9778.0,14231.0,14775.0
78,9177.0,9079.0,14410.0,14457.0
79,9512.0,9402.0,14433.0,14508.0
80,8216.0,11020.0,14183.0,14926.0
81,9406.0,9509.0,12971.0,16360.0
82,13476.0,11393.0,13941.0,14965.0
83,9996.0,9228.0,15165.0,15296.0
84,8157.0,9476.0,12882.0,15419.0
85,8825.0,9465.0,13119.0,14776.0
86,9135.0,9625.0,12892.0,14955.0
87,9103.0,9659.0,13787.0,14812.0
88,11928.0,10012.0,14922.0,14924.0
89,12636.0,10632.0,14225.0,14989.0
90,9309.0,9826.0,13808.0,13809.0
91,9060.0,10091.0,13666.0,14983.0
92,9241.0,9829.0,13716.0,14169.0
93,9535.0,9399.0,12711.0,13993.0
94,9856.0,9543.0,14261.0,14169.0
95,11763.0,11600.0,14788.0,13734.0
96,10575.0,10450.0,13222.0,13717.0
97,8171.0,10124.0,13251.0,14193.0
98,8879.0,9336.0,13608.0,12551.0
99,9250.0,9215.0,14031.0,13408.0
100,9438.0,10119.0,13997.0,13930.0
101,10037.0,9731.0,13923.0,15743.0
102,13049.0,12041.0,14846.0,14064.0
103,8711.0,9887.0,14024.0,15319.0
104,9095.0,9407.0,13507.0,13358.0
105,9103.0,9090.0,14667.0,13950.0
106,8658.0,10345.0,15327.0,13798.0
107,8755.0,9587.0,13688.0,14818.0
108,11759.0,9687.0,14639.0,16502.0
109,12357.0,10239.0,13116.0,13942.0
110,9611.0,9916.0,13997.0,14075.0
111,8906.0,9339.0,13641.0,16014.0
112,8923.0,8152.0,15307.0,13740.0
113,9017.0,9537.0,15026.0,13120.0
114,9827.0,10279.0,14234.0,16563.0
115,13518.0,10707.0,15163.0,14251.0
116,10802.0,9643.0,13370.0,14136.0
117,9131.0,10767.0,14061.0,13896.0
118,9586.0,9483.0,14056.0,13843.0
119,9490.0,10536.0,14077.0,13565.0
120,8921.0,10226.0,13770.0,14264.0
121,11280.0,8956.0,13348.0,15236.0
122,12926.0,11429.0,14076.0,13818.0
123,9463.0,9080.0,13443.0,12447.0
124,9705.0,9627.0,12579.0,13100.0
125,9091.0,10008.0,13439.0,13570.0
126,8255.0,9607.0,13768.0,13436.0
127,9308.0,9891.0,13786.0,14375.0
128,11913.0,10776.0,14401.0,15487.0
129,11718.0,9845.0,13040.0,14037.0
130,9318.0,10310.0,14021.0,13647.0
131,8454.0,9613.0,13215.0,14654.0
132,9577.0,10052.0,12874.0,14163.0
133,9495.0,10047.0,14975.0,13153.0
134,10285.0,10088.0,13409.0,15425.0
135,14158.0,11531.0,16099.0,11813.0
136,10505.0,9972.0,13749.0,12800.0
137,9093.0,10242.0,13381.0,12823.0
138,9421.0,9844.0,12748.0,13858.0
139,9395.0,9654.0,13247.0,13795.0
140,9296.0,10449.0,13231.0,13915.0
141,11261.0,10066.0,14935.0,14787.0
142,12942.0,11094.0,13834.0,13328.0
143,8715.0,10313.0,14860.0,13940.0
144,8286.0,9469.0,13535.0,14267.0
145,9177.0,10331.0,13362.0,13177.0
146,8925.0,10523.0,14157.0,13061.0
147,8838.0,9726.0,13457.0,13797.0
148,12797.0,11023.0,15290.0,15300.0
149,11161.0,10285.0,13861.0,13727.0
150,8661.0,10145.0,12936.0,13224.0
