txpck/s,client01,client02,client03,client04
0,13072.0,12117.0,18398.0,16611.0
1,12039.0,12982.0,17392.0,17025.0
2,8594.0,10089.0,16797.0,16544.0
3,8119.0,8829.0,16103.0,17637.0
4,9469.0,9285.0,15461.0,14983.0
5,8730.0,8813.0,15470.0,15600.0
6,9132.0,9487.0,16324.0,15622.0
7,12388.0,10820.0,16443.0,16501.0
8,11710.0,9112.0,14357.0,17214.0
9,12721.0,10192.0,15559.0,14724.0
10,8075.0,8826.0,17084.0,13579.0
11,7381.0,10404.0,16116.0,14500.0
12,7581.0,10267.0,15378.0,15823.0
13,8126.0,8954.0,16419.0,14047.0
14,8711.0,9466.0,16145.0,14879.0
15,11871.0,9749.0,16607.0,16306.0
16,11665.0,9985.0,14707.0,15940.0
17,9000.0,9489.0,15820.0,15117.0
18,7490.0,9791.0,15244.0,15652.0
19,8577.0,9586.0,15435.0,15186.0
20,9240.0,8999.0,15613.0,15743.0
21,9494.0,9293.0,16077.0,17576.0
22,12190.0,10154.0,16354.0,17507.0
23,10006.0,9763.0,15700.0,15591.0
24,9037.0,9572.0,15770.0,15229.0
25,9209.0,9579.0,15676.0,15515.0
26,8271.0,10087.0,16302.0,15136.0
27,8533.0,9141.0,15774.0,15459.0
28,11322.0,8740.0,16801.0,17807.0
29,12358.0,9989.0,15724.0,16393.0
30,9115.0,9746.0,15763.0,15944.0
31,8019.0,9997.0,16572.0,16293.0
32,7894.0,9643.0,15878.0,14861.0
33,8598.0,9208.0,15333.0,16061.0
34,8009.0,9890.0,15190.0,17800.0
35,11595.0,10119.0,16180.0,15387.0
36,10484.0,10214.0,17165.0,15212.0
37,7831.0,9853.0,15014.0,14935.0
38,8176.0,8748.0,15267.0,14669.0
39,8468.0,8665.0,15553.0,15221.0
40,8284.0,10223.0,14036.6,15022.0
41,9542.0,8871.0,14073.0,17088.0
42,12644.0,10904.0,16660.0,15777.0
43,9043.0,9041.0,16117.0,15088.0
44,8432.0,9528.0,15199.0,13791.0
45,8098.0,9807.0,14733.0,15459.0
46,8727.0,8962.0,14094.0,15421.0
47,8873.0,8503.0,14345.0,15929.0
48,10464.0,8803.0,15935.0,17075.0
49,11404.0,11115.0,13628.0,15283.0
50,8126.0,9559.0,14646.0,14895.0
51,8836.0,9073.0,13803.0,15375.0
52,9106.0,9346.0,15681.0,14641.0
53,8049.0,9222.0,14646.0,14945.0
54,8867.0,9914.0,14085.0,16293.0
55,11922.0,10476.0,15579.0,16399.0
56,10470.0,10195.0,13227.0,15300.0
57,8880.0,8871.0,14137.0,14267.0
58,8856.0,9839.0,15533.0,14824.0
59,8802.0,9752.0,15872.0,12980.0
60,8340.0,10200.0,13850.0,15879.0
61,9914.0,9637.0,13813.0,17127.0
62,13694.0,9837.0,16740.0,15114.0
63,8323.0,10123.0,13722.0,15845.0
64,8240.0,9171.0,13380.0,16720.0
65,8258.0,9092.0,16464.0,15303.0
66,8478.0,9673.0,15969.0,15145.0
67,9326.0,9503.0,14365.0,16667.0
68,11151.0,9690.0,15638.0,15855.0
69,12200.0,11272.0,14195.0,15748.0
70,9486.0,9277.0,15390.0,14813.0
71,9094.0,9759.0,14762.0,13504.0
72,9219.0,9070.0,15374.0,15317.0
73,8886.0,8865.0,16357.0,14881.0
74,8652.0,8912.0,14276.0,17617.0
75,12415.0,9265.0,15944.0,15270.0
76,10859.0,9447.0,14943.0,15303.0
77,8670.0,9258.0,15357.0,16000.0
78,8534.0,8552.0,15465.0,15506.0
79,8864.0,8892.0,15548.0,15550.0
80,7650.0,10251.0,15227.0,16033.0
81,8910.0,9084.0,13971.0,17764.0
82,12879.0,10819.0,14813.0,15933.0
83,9284.0,8744.0,16366.0,16493.0
84,7550.0,8919.0,13878.0,16449.0
85,8177.0,8918.0,14049.0,15994.0
86,8526.0,9155.0,13799.0,16341.0
