kbactive,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,43772.0,40836.0,41764.0,41460.0,41528.0,41288.0,40708.0,41192.0,41860.0,41284.0,41560.0,41700.0,41168.0,41852.0,42328.0,41216.0,42204.0,38756.0,41840.0,42076.0,41944.0,42072.0,42032.0,42280.0,44612.0,41920.0,42232.0,42052.0,42608.0,41840.0,41612.0,40720.0,41232.0,42092.0,41624.0,42340.0,42096.0,41928.0,42140.0,41652.0,43160.0,41852.0,41220.0,43324.0,41436.0,41792.0,41520.0,42844.0,44556.0,41168.0,40732.0,44432.0,40956.0,41508.0,42720.0,41620.0,41408.0,41340.0,41124.0,41508.0,41476.0,41536.0,41332.0,41020.0,42184.0,41852.0,40960.0,41532.0,41628.0,41768.0,41672.0,42376.0,41660.0,41336.0,40920.0,41440.0,43132.0,43504.0,43684.0,44240.0,43996.0,43964.0,44052.0,44188.0,43792.0,43504.0,43040.0,43236.0,44240.0,43940.0,43412.0,43808.0,43792.0,42952.0,42824.0,44252.0,43712.0,44248.0,44268.0,44096.0,43580.0,43652.0,44024.0,43836.0,43572.0,43376.0,43884.0,43460.0,43620.0,43856.0,43808.0,42516.0,41516.0,41740.0,42600.0,42092.0,41468.0,41816.0,42508.0,42084.0,42140.0,41688.0,41936.0,42392.0,42036.0,41544.0,42140.0,42284.0,42168.0,41320.0,41416.0,42832.0,42328.0,41344.0,42076.0,41664.0,41496.0,41576.0,41672.0,42544.0
1,43764.0,40844.0,41756.0,41452.0,41536.0,41296.0,40708.0,41192.0,41868.0,41284.0,41572.0,41708.0,41176.0,41852.0,42316.0,41224.0,42204.0,38756.0,41848.0,42076.0,41936.0,42080.0,42040.0,42288.0,44620.0,41920.0,42240.0,42072.0,42616.0,41848.0,41620.0,40736.0,41240.0,42088.0,41632.0,42340.0,42088.0,41916.0,42132.0,41660.0,43160.0,41856.0,41220.0,43336.0,41448.0,41796.0,41528.0,42856.0,44556.0,41176.0,40740.0,44440.0,40960.0,41508.0,42712.0,41632.0,41420.0,41348.0,41128.0,41524.0,41492.0,41556.0,41348.0,41028.0,42184.0,41844.0,40972.0,41532.0,41632.0,41772.0,41688.0,42372.0,41660.0,41324.0,40936.0,41448.0,43136.0,43504.0,43692.0,44248.0,44020.0,43964.0,44052.0,44200.0,43692.0,43508.0,43052.0,43244.0,44248.0,43932.0,43424.0,43828.0,43792.0,42952.0,42824.0,44252.0,43720.0,44248.0,44280.0,44108.0,43596.0,43664.0,44052.0,43836.0,43452.0,43384.0,43884.0,43468.0,43632.0,43856.0,43804.0,42524.0,41524.0,41748.0,42608.0,42104.0,41464.0,41824.0,42508.0,42092.0,42156.0,41688.0,41924.0,42400.0,42036.0,41548.0,42148.0,42292.0,42184.0,41316.0,41416.0,42840.0,42336.0,41368.0,42084.0,41664.0,41496.0,41584.0,41672.0,42400.0
2,43772.0,40864.0,41756.0,41460.0,41536.0,41308.0,40728.0,41212.0,41868.0,41296.0,41580.0,41708.0,41176.0,41872.0,42332.0,41236.0,42224.0,38776.0,41860.0,42096.0,41944.0,42092.0,42052.0,42300.0,44620.0,41940.0,42252.0,42080.0,42628.0,41848.0,41632.0,40736.0,41252.0,42100.0,41644.0,42356.0,42100.0,41924.0,42144.0,41672.0,43180.0,41868.0,41240.0,43336.0,41456.0,41812.0,41540.0,42864.0,44576.0,41176.0,40756.0,44452.0,40976.0,41508.0,42712.0,41632.0,41428.0,41360.0,41144.0,41524.0,41492.0,41564.0,41348.0,41028.0,42204.0,41844.0,40980.0,41552.0,41644.0,41772.0,41700.0,42384.0,41680.0,41340.0,40936.0,41448.0,43148.0,43528.0,43704.0,44260.0,44032.0,43976.0,44072.0,44208.0,43688.0,43528.0,43060.0,43256.0,44260.0,43940.0,43432.0,43840.0,43792.0,42856.0,42844.0,44272.0,43732.0,44308.0,44320.0,44112.0,43612.0,43664.0,44064.0,43856.0,43452.0,43392.0,43908.0,43468.0,43664.0,43876.0,43816.0,42524.0,41540.0,41760.0,42608.0,42112.0,41476.0,41836.0,42524.0,42104.0,42156.0,41700.0,41944.0,42400.0,42048.0,41564.0,42168.0,42292.0,42184.0,41332.0,41424.0,42852.0,42336.0,41380.0,42100.0,41552.0,41528.0,41596.0,41720.0,42436.0
3,43788.0,40872.0,41772.0,41472.0,41556.0,41320.0,40740.0,41212.0,41888.0,41312.0,41588.0,41732.0,41196.0,41872.0,42332.0,41236.0,42232.0,38788.0,41868.0,42104.0,41952.0,42100.0,42052.0,42308.0,44632.0,41948.0,42260.0,42088.0,42628.0,41868.0,41632.0,40756.0,41260.0,42108.0,41644.0,42364.0,42108.0,41944.0,42144.0,41688.0,43180.0,41876.0,41240.0,43344.0,41464.0,41816.0,41548.0,42872.0,44576.0,41200.0,40768.0,44452.0,40984.0,41528.0,42732.0,41648.0,41440.0,41360.0,41148.0,41536.0,41512.0,41572.0,41360.0,41044.0,42204.0,41868.0,40980.0,41560.0,41652.0,41792.0,41708.0,42384.0,41688.0,41340.0,40948.0,41468.0,43148.0,43528.0,43716.0,44268.0,44040.0,43976.0,44080.0,44216.0,43696.0,43528.0,43068.0,43264.0,44268.0,43952.0,43444.0,43848.0,43812.0,42864.0,42852.0,44272.0,43740.0,44308.0,44188.0,44124.0,43620.0,43684.0,44064.0,43864.0,43468.0,43412.0,43920.0,43488.0,43664.0,43884.0,43824.0,42544.0,41548.0,41768.0,42632.0,42116.0,41476.0,41844.0,42532.0,42104.0,42172.0,41716.0,41944.0,42420.0,42048.0,41572.0,42168.0,42316.0,42200.0,41340.0,41444.0,42852.0,42348.0,41392.0,42108.0,41576.0,41536.0,41604.0,41552.0,42436.0
4,43788.0,40872.0,41784.0,41480.0,41572.0,41320.0,40748.0,41224.0,41896.0,41320.0,41596.0,41740.0,41204.0,41884.0,42368.0,41252.0,42236.0,38788.0,41876.0,42104.0,41952.0,42100.0,42068.0,42316.0,44648.0,41948.0,42268.0,42096.0,42644.0,41876.0,41648.0,40756.0,41268.0,42116.0,41660.0,42372.0,42116.0,41944.0,42160.0,41688.0,43196.0,41884.0,41256.0,43352.0,41472.0,41828.0,41556.0,42880.0,44592.0,41200.0,40768.0,44468.0,40992.0,41528.0,42732.0,41648.0,41448.0,41376.0,41160.0,41544.0,41520.0,41580.0,41368.0,41056.0,42220.0,41876.0,40996.0,41568.0,41668.0,41792.0,41708.0,42400.0,41696.0,41352.0,40948.0,41468.0,43164.0,43544.0,43720.0,44268.0,44048.0,43996.0,44080.0,44224.0,43704.0,43544.0,43076.0,43272.0,44276.0,43960.0,43452.0,43848.0,43812.0,42872.0,42860.0,44288.0,43748.0,44332.0,44196.0,44132.0,43624.0,43684.0,44084.0,43872.0,43476.0,43420.0,43928.0,43496.0,43680.0,43884.0,43832.0,42544.0,41556.0,41780.0,42640.0,42128.0,41492.0,41852.0,42532.0,42120.0,42176.0,41716.0,41952.0,42428.0,42068.0,41580.0,42176.0,42324.0,42200.0,41340.0,41452.0,42868.0,42356.0,41392.0,42116.0,41584.0,41536.0,41612.0,41568.0,42452.0
5,43804.0,40908.0,41792.0,41488.0,41600.0,41332.0,41616.0,41236.0,41904.0,42300.0,41632.0,41748.0,41212.0,41900.0,42368.0,41252.0,42248.0,38804.0,41912.0,42120.0,41968.0,42116.0,42068.0,42324.0,44648.0,41964.0,42304.0,42116.0,42644.0,41884.0,41648.0,40772.0,41276.0,42124.0,41660.0,42408.0,42124.0,41960.0,42168.0,41708.0,43204.0,43068.0,42412.0,43392.0,41508.0,41864.0,41564.0,42916.0,44592.0,41216.0,40812.0,44468.0,40996.0,41544.0,42744.0,41676.0,41456.0,41376.0,41164.0,41548.0,41528.0,41588.0,41376.0,41056.0,42228.0,41884.0,41004.0,41580.0,42484.0,41808.0,41724.0,42408.0,41704.0,41364.0,40964.0,41488.0,43164.0,43552.0,43724.0,44288.0,44048.0,43996.0,45048.0,45660.0,44540.0,44760.0,44232.0,44484.0,45460.0,43968.0,43460.0,43864.0,43832.0,42884.0,42860.0,44296.0,43756.0,44332.0,44208.0,44144.0,43632.0,43700.0,44084.0,45092.0,44816.0,43420.0,43936.0,43504.0,43688.0,43900.0,44960.0,42560.0,41564.0,41780.0,42648.0,42136.0,41500.0,41888.0,42548.0,42128.0,42996.0,42888.0,41968.0,42428.0,42076.0,41616.0,42192.0,42324.0,42240.0,41356.0,41460.0,42868.0,42372.0,41404.0,42152.0,41596.0,41408.0,41648.0,41568.0,42460.0
6,43808.0,40896.0,41800.0,41496.0,41600.0,41340.0,40764.0,41244.0,41928.0,41348.0,41616.0,41768.0,41240.0,41920.0,42244.0,41296.0,42264.0,38804.0,41912.0,42144.0,42164.0,42140.0,42112.0,42332.0,44684.0,41984.0,42288.0,42116.0,42684.0,41920.0,41692.0,41612.0,41284.0,42148.0,41692.0,42396.0,42160.0,41980.0,42204.0,41708.0,43224.0,41912.0,41292.0,43392.0,41496.0,41848.0,41576.0,42900.0,44616.0,41256.0,40812.0,44512.0,41012.0,41560.0,42780.0,41676.0,41464.0,42232.0,41176.0,41560.0,41528.0,41596.0,41388.0,41068.0,42248.0,41904.0,41016.0,41588.0,41700.0,41824.0,41740.0,42408.0,41732.0,41364.0,40964.0,41496.0,43188.0,43576.0,43736.0,45556.0,44084.0,44980.0,44104.0,44244.0,43728.0,43556.0,43096.0,43296.0,44300.0,45100.0,44524.0,43864.0,44672.0,42892.0,42888.0,44296.0,44716.0,45612.0,45168.0,45352.0,44808.0,44968.0,45364.0,43888.0,43500.0,44636.0,45064.0,44352.0,43576.0,45000.0,43848.0,42596.0,41576.0,41796.0,42684.0,42148.0,41528.0,41872.0,43460.0,43416.0,42196.0,41748.0,42800.0,42476.0,42104.0,41608.0,42220.0,42368.0,42232.0,41384.0,41484.0,42912.0,42408.0,41432.0,42136.0,41608.0,42248.0,41644.0,42548.0,43392.0
7,43824.0,40896.0,41800.0,41496.0,41588.0,41340.0,40792.0,41244.0,41920.0,41336.0,41624.0,41768.0,41236.0,41916.0,42248.0,41280.0,42264.0,38824.0,41904.0,42140.0,41988.0,42140.0,42100.0,42368.0,44680.0,41988.0,42296.0,42120.0,42672.0,41908.0,41680.0,40796.0,41320.0,42144.0,41692.0,42404.0,42152.0,41980.0,42192.0,41716.0,43224.0,41932.0,41284.0,43388.0,41524.0,41852.0,41584.0,42904.0,44620.0,41240.0,40804.0,44500.0,41016.0,41580.0,42764.0,41688.0,41472.0,41404.0,41180.0,41560.0,41544.0,41608.0,41396.0,41084.0,42248.0,41904.0,41036.0,41588.0,41688.0,41832.0,41744.0,42428.0,41724.0,41376.0,40980.0,41496.0,43188.0,43576.0,43744.0,44304.0,44080.0,44024.0,44104.0,44248.0,43732.0,43560.0,43108.0,43300.0,44316.0,43988.0,43476.0,43884.0,43852.0,42892.0,42884.0,44312.0,43772.0,44208.0,44224.0,44176.0,43648.0,43716.0,44104.0,43904.0,43492.0,43460.0,43952.0,43524.0,43564.0,43916.0,43856.0,42580.0,41584.0,41832.0,42668.0,42184.0,41532.0,41880.0,42568.0,42152.0,42220.0,41748.0,41996.0,42464.0,42096.0,41612.0,42216.0,42356.0,42240.0,41380.0,41480.0,42912.0,42396.0,41432.0,42144.0,41616.0,41436.0,41652.0,41604.0,42484.0
8,43848.0,40920.0,41808.0,41532.0,41588.0,41360.0,40788.0,41264.0,41948.0,41356.0,41636.0,41768.0,41236.0,41940.0,42276.0,41308.0,42296.0,38840.0,41916.0,42172.0,42004.0,42156.0,42120.0,42360.0,44692.0,42000.0,42308.0,42140.0,42672.0,41920.0,41680.0,40812.0,41316.0,42144.0,41716.0,42416.0,42152.0,41980.0,42200.0,41732.0,43236.0,41932.0,41300.0,43388.0,41520.0,41868.0,41596.0,42920.0,44620.0,41240.0,40816.0,44528.0,41036.0,41580.0,42772.0,41696.0,41480.0,41420.0,41200.0,41584.0,41544.0,41608.0,41408.0,41084.0,42260.0,41916.0,41036.0,41608.0,41700.0,41832.0,41756.0,42456.0,41736.0,41384.0,40980.0,41512.0,43220.0,43592.0,43756.0,44320.0,44092.0,44036.0,44124.0,44260.0,43732.0,43588.0,43116.0,43312.0,44328.0,43996.0,43476.0,43896.0,43880.0,42912.0,42884.0,44324.0,43804.0,44232.0,44232.0,44168.0,43648.0,43716.0,44132.0,43912.0,43504.0,43444.0,43964.0,43524.0,43580.0,43928.0,43868.0,42612.0,41596.0,41824.0,42680.0,42172.0,41556.0,41896.0,42588.0,42152.0,42224.0,41760.0,42008.0,42464.0,42104.0,41628.0,42232.0,42384.0,42252.0,41380.0,41492.0,42916.0,42396.0,41448.0,42156.0,41616.0,41464.0,41664.0,41620.0,42508.0
9,43844.0,40932.0,41828.0,41528.0,41612.0,41372.0,40788.0,41264.0,41940.0,41368.0,41644.0,41788.0,41260.0,41948.0,42276.0,41300.0,42284.0,38840.0,41916.0,42168.0,42000.0,42156.0,42120.0,42368.0,44692.0,42008.0,42316.0,42140.0,42692.0,41928.0,41704.0,40816.0,41320.0,42164.0,41716.0,42424.0,42172.0,42004.0,42212.0,41752.0,43236.0,41940.0,41300.0,43396.0,41528.0,41872.0,41604.0,42932.0,44640.0,41256.0,40836.0,44520.0,41044.0,41588.0,42784.0,41708.0,41500.0,41420.0,41204.0,41596.0,41564.0,41624.0,41416.0,41100.0,42260.0,41916.0,41048.0,41620.0,41708.0,41848.0,41764.0,42448.0,41744.0,41396.0,41004.0,41524.0,43208.0,43588.0,43768.0,44324.0,44100.0,44044.0,44124.0,44272.0,43740.0,43588.0,43128.0,43324.0,44336.0,44008.0,43504.0,43896.0,43872.0,42924.0,42904.0,44332.0,43796.0,44228.0,44244.0,44180.0,43668.0,43736.0,44132.0,43924.0,43524.0,43460.0,43972.0,43544.0,43580.0,43936.0,43884.0,42600.0,41596.0,41836.0,42688.0,42180.0,41552.0,41904.0,42588.0,42172.0,42232.0,41780.0,42008.0,42488.0,42120.0,41632.0,42232.0,42376.0,42260.0,41400.0,41492.0,42912.0,42408.0,41452.0,42168.0,41636.0,41460.0,41672.0,41620.0,42504.0
