kbmemused,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,164200.0,155632.0,156720.0,156580.0,156400.0,156136.0,155592.0,156260.0,157060.0,156448.0,162012.0,162168.0,161908.0,162736.0,162468.0,161340.0,162428.0,158824.0,162196.0,162304.0,157308.0,163072.0,162404.0,162616.0,165072.0,162180.0,162312.0,162460.0,163312.0,162308.0,162116.0,155708.0,161244.0,162616.0,161740.0,162956.0,162512.0,162316.0,162476.0,161920.0,163724.0,162020.0,156092.0,164228.0,161700.0,161752.0,161716.0,163196.0,165032.0,161492.0,160796.0,164848.0,161256.0,159424.0,163144.0,159548.0,159364.0,161556.0,157200.0,161440.0,159152.0,159300.0,161552.0,161020.0,162340.0,162048.0,161400.0,161780.0,161752.0,162052.0,161580.0,162268.0,161576.0,161336.0,161004.0,161812.0,161448.0,161616.0,161736.0,162660.0,162416.0,161872.0,162436.0,162320.0,161856.0,161404.0,161048.0,161312.0,162056.0,161972.0,161860.0,162092.0,162108.0,160848.0,160840.0,162336.0,162004.0,161976.0,162156.0,162132.0,161828.0,162052.0,161880.0,162012.0,161552.0,161704.0,161856.0,161664.0,161760.0,161808.0,161768.0,163072.0,161740.0,162216.0,163040.0,162608.0,161672.0,162040.0,162832.0,162816.0,162412.0,161940.0,162292.0,162988.0,162664.0,161864.0,162212.0,162556.0,162384.0,162092.0,162144.0,163608.0,162896.0,162160.0,162872.0,162260.0,161576.0,161948.0,161964.0,163052.0
1,164184.0,155632.0,156704.0,156688.0,156400.0,156136.0,155592.0,156260.0,157036.0,156448.0,162012.0,162168.0,161908.0,162736.0,162444.0,161340.0,162552.0,158948.0,162196.0,162304.0,157284.0,163072.0,162404.0,162616.0,165072.0,162180.0,162312.0,162460.0,163312.0,162308.0,162240.0,155684.0,161244.0,162592.0,161864.0,162956.0,162620.0,162292.0,162600.0,161920.0,163724.0,162020.0,156092.0,164228.0,161700.0,161752.0,161716.0,163196.0,165032.0,161492.0,160796.0,164848.0,161256.0,159424.0,163120.0,159548.0,159340.0,161556.0,157200.0,161440.0,159128.0,159300.0,161552.0,161020.0,162340.0,162024.0,161400.0,161780.0,161752.0,162028.0,161556.0,162244.0,161576.0,161312.0,161004.0,161788.0,161448.0,161616.0,161736.0,162660.0,162400.0,161848.0,162436.0,162320.0,161980.0,161404.0,161048.0,161312.0,162056.0,161948.0,161836.0,162068.0,162084.0,160848.0,160964.0,162336.0,162004.0,161976.0,162132.0,162108.0,161804.0,162176.0,161980.0,162012.0,161552.0,161680.0,161856.0,161664.0,161736.0,161932.0,161768.0,163072.0,161740.0,162216.0,163164.0,162608.0,161648.0,162040.0,162808.0,162816.0,162412.0,161940.0,162268.0,162988.0,162640.0,161864.0,162188.0,162556.0,162384.0,162216.0,162144.0,163584.0,162888.0,162152.0,162872.0,162360.0,161576.0,161948.0,162088.0,163028.0
2,164184.0,155632.0,156704.0,156688.0,156400.0,156136.0,155592.0,156260.0,157036.0,156448.0,162012.0,162168.0,161908.0,162736.0,162444.0,161340.0,162552.0,158948.0,162196.0,162304.0,157284.0,163072.0,162404.0,162616.0,165072.0,162180.0,162312.0,162460.0,163312.0,162308.0,162240.0,155684.0,161244.0,162592.0,161864.0,162956.0,162620.0,162292.0,162600.0,161920.0,163724.0,162020.0,156092.0,164228.0,161700.0,161752.0,161716.0,163196.0,165032.0,161492.0,160796.0,164848.0,161256.0,159424.0,163120.0,159548.0,159340.0,161556.0,157200.0,161440.0,159128.0,159300.0,161552.0,161020.0,162340.0,162024.0,161400.0,161780.0,161752.0,162028.0,161556.0,162244.0,161576.0,161312.0,161004.0,161788.0,161448.0,161616.0,161736.0,162660.0,162400.0,161848.0,162436.0,162320.0,161972.0,161404.0,161048.0,161312.0,162056.0,161948.0,161836.0,162068.0,162084.0,160972.0,160964.0,162336.0,162004.0,161976.0,162380.0,162108.0,161804.0,162176.0,161980.0,162012.0,161544.0,161680.0,161856.0,161664.0,161736.0,161932.0,161768.0,163072.0,161740.0,162216.0,163164.0,162608.0,161648.0,162040.0,162808.0,162816.0,162412.0,161940.0,162268.0,162988.0,162640.0,161864.0,162188.0,162556.0,162384.0,162216.0,162144.0,163584.0,162888.0,162152.0,162872.0,162236.0,161576.0,161948.0,162336.0,163020.0
3,164184.0,155632.0,156704.0,156688.0,156400.0,156136.0,155592.0,156260.0,157036.0,156448.0,162012.0,162168.0,161908.0,162736.0,162444.0,161340.0,162552.0,158948.0,162196.0,162304.0,157284.0,163072.0,162404.0,162616.0,165072.0,162180.0,162312.0,162460.0,163312.0,162308.0,162240.0,155684.0,161244.0,162592.0,161864.0,162956.0,162620.0,162292.0,162600.0,161920.0,163724.0,162020.0,156092.0,164228.0,161700.0,161752.0,161716.0,163196.0,165032.0,161492.0,160796.0,164848.0,161256.0,159424.0,163120.0,159548.0,159340.0,161556.0,157200.0,161440.0,159128.0,159300.0,161552.0,161020.0,162340.0,162024.0,161400.0,161780.0,161752.0,162028.0,161556.0,162244.0,161576.0,161312.0,161004.0,161788.0,161448.0,161616.0,161736.0,162660.0,162400.0,161848.0,162436.0,162320.0,161972.0,161404.0,161048.0,161312.0,162056.0,161948.0,161836.0,162068.0,162084.0,160964.0,160964.0,162336.0,162004.0,161976.0,162248.0,162108.0,161804.0,162176.0,161980.0,162012.0,161544.0,161680.0,161856.0,161664.0,161736.0,161932.0,161768.0,163072.0,161740.0,162216.0,163164.0,162608.0,161648.0,162040.0,162808.0,162816.0,162412.0,161940.0,162268.0,162988.0,162640.0,161864.0,162188.0,162556.0,162384.0,162216.0,162144.0,163584.0,162888.0,162152.0,162872.0,162228.0,161576.0,161948.0,162088.0,163020.0
4,164184.0,155632.0,156704.0,156688.0,156400.0,156136.0,155592.0,156260.0,157036.0,156448.0,162012.0,162168.0,161908.0,162736.0,162444.0,161340.0,162552.0,158948.0,162196.0,162304.0,157284.0,163072.0,162404.0,162616.0,165072.0,162180.0,162312.0,162460.0,163312.0,162308.0,162240.0,155684.0,161244.0,162592.0,161864.0,162956.0,162620.0,162292.0,162600.0,161920.0,163724.0,162020.0,156092.0,164228.0,161700.0,161752.0,161716.0,163196.0,165032.0,161492.0,160796.0,164848.0,161256.0,159424.0,163120.0,159548.0,159340.0,161556.0,157200.0,161440.0,159128.0,159300.0,161552.0,161020.0,162340.0,162024.0,161400.0,161780.0,161752.0,162028.0,161556.0,162244.0,161576.0,161312.0,161004.0,161788.0,161448.0,161616.0,161736.0,162660.0,162400.0,161848.0,162436.0,162320.0,161972.0,161404.0,161048.0,161312.0,162056.0,161948.0,161836.0,162068.0,162084.0,160964.0,160964.0,162336.0,162004.0,162224.0,162248.0,162108.0,161804.0,162176.0,162104.0,162012.0,161544.0,161680.0,161856.0,161664.0,161736.0,161932.0,161768.0,163072.0,161740.0,162216.0,163164.0,162608.0,161648.0,162040.0,162808.0,162816.0,162412.0,161940.0,162268.0,162988.0,162640.0,161864.0,162188.0,162556.0,162384.0,162216.0,162144.0,163584.0,162888.0,162152.0,162872.0,162228.0,161700.0,161948.0,162080.0,163020.0
5,164184.0,155648.0,156704.0,156688.0,156672.0,156276.0,156740.0,156564.0,157036.0,157744.0,162136.0,162168.0,161908.0,162736.0,162568.0,161340.0,162552.0,158948.0,162336.0,162304.0,157284.0,163072.0,162404.0,162748.0,165072.0,162180.0,162492.0,162732.0,163312.0,162308.0,162240.0,155684.0,161516.0,162592.0,161864.0,163180.0,162620.0,162292.0,162600.0,162068.0,163724.0,163580.0,157692.0,164284.0,161824.0,161884.0,161716.0,163320.0,165032.0,161492.0,160912.0,164848.0,161560.0,159712.0,163120.0,159728.0,159340.0,161556.0,157504.0,161564.0,159128.0,159300.0,161724.0,161020.0,162340.0,162024.0,161524.0,161928.0,162884.0,162028.0,161556.0,162244.0,161576.0,161312.0,161004.0,161788.0,161448.0,161616.0,161900.0,162660.0,162400.0,161848.0,163584.0,163996.0,163112.0,163064.0,162632.0,162928.0,163864.0,161948.0,161836.0,162068.0,162084.0,161244.0,160964.0,162336.0,162004.0,162224.0,162248.0,162108.0,161804.0,162176.0,162104.0,163812.0,163244.0,161680.0,161856.0,161664.0,161860.0,161932.0,163352.0,163072.0,161740.0,162364.0,163164.0,162732.0,161648.0,162172.0,162808.0,162816.0,163624.0,163556.0,162268.0,162988.0,162640.0,162012.0,162188.0,162556.0,162524.0,162216.0,162144.0,163584.0,162888.0,162152.0,162996.0,162228.0,161692.0,162096.0,162080.0,163020.0
6,164292.0,155632.0,156844.0,156828.0,156648.0,156384.0,155684.0,156540.0,157300.0,156572.0,162136.0,162284.0,162056.0,162884.0,162652.0,161520.0,162536.0,158988.0,162336.0,162484.0,157556.0,163252.0,162544.0,162740.0,165072.0,162296.0,162468.0,162708.0,163312.0,162448.0,162356.0,156816.0,161492.0,162740.0,162044.0,163172.0,162768.0,162472.0,162748.0,162068.0,163888.0,162144.0,156372.0,164384.0,161948.0,161876.0,161864.0,163320.0,165196.0,161672.0,160912.0,165064.0,161536.0,159704.0,163300.0,159704.0,159464.0,162680.0,157480.0,161564.0,159268.0,159440.0,161708.0,161200.0,162612.0,162116.0,161524.0,161904.0,161876.0,162168.0,161804.0,162500.0,161700.0,161436.0,161128.0,161944.0,161612.0,161764.0,161892.0,164212.0,162564.0,163176.0,162436.0,162444.0,162096.0,161528.0,161140.0,161436.0,162320.0,163500.0,163372.0,162216.0,163404.0,161120.0,161112.0,162516.0,163160.0,163752.0,163380.0,163784.0,163520.0,163916.0,163688.0,162136.0,161668.0,163300.0,163440.0,162796.0,162068.0,163476.0,161860.0,163204.0,161888.0,162340.0,163312.0,162732.0,161920.0,162164.0,163948.0,164484.0,162600.0,162096.0,163408.0,163160.0,162740.0,162112.0,162368.0,162704.0,162508.0,162364.0,162292.0,163724.0,163036.0,162284.0,162996.0,162288.0,162816.0,162072.0,163212.0,164152.0
7,164276.0,155772.0,156828.0,156812.0,156788.0,156392.0,155816.0,156532.0,157284.0,156752.0,162284.0,162260.0,162032.0,162860.0,162652.0,161496.0,162520.0,158980.0,162336.0,162460.0,157408.0,163252.0,162528.0,162780.0,165196.0,162272.0,162468.0,162888.0,163436.0,162432.0,162332.0,155808.0,161516.0,162716.0,162020.0,163172.0,162744.0,162472.0,162724.0,162084.0,163880.0,162236.0,156396.0,164384.0,161972.0,162024.0,161840.0,163344.0,165188.0,161648.0,160944.0,165064.0,161560.0,159672.0,163276.0,159704.0,159464.0,161648.0,157480.0,161588.0,159376.0,159424.0,161808.0,161176.0,162588.0,162116.0,161648.0,161920.0,161968.0,162152.0,161804.0,162492.0,161700.0,161436.0,161128.0,161944.0,161604.0,161740.0,162024.0,162752.0,162556.0,162020.0,162584.0,162468.0,162096.0,161536.0,161196.0,161484.0,162304.0,162040.0,161960.0,162192.0,162272.0,161144.0,161088.0,162492.0,162144.0,162184.0,162372.0,162232.0,161928.0,162332.0,162260.0,162104.0,161840.0,161804.0,161980.0,161756.0,162068.0,162056.0,162040.0,163196.0,161864.0,162348.0,163288.0,162756.0,161896.0,162180.0,162948.0,162940.0,162624.0,162088.0,162360.0,163144.0,162732.0,162080.0,162468.0,162680.0,162600.0,162340.0,162268.0,163832.0,163012.0,162276.0,163004.0,162288.0,161816.0,162072.0,162204.0,163144.0
8,164448.0,155756.0,156960.0,156968.0,156772.0,156384.0,155808.0,156508.0,157464.0,156728.0,162260.0,162284.0,162032.0,162860.0,162676.0,161520.0,162612.0,159104.0,162444.0,162640.0,157456.0,163204.0,162652.0,162756.0,165196.0,162428.0,162592.0,162864.0,163492.0,162556.0,162512.0,155816.0,161616.0,162872.0,162028.0,163172.0,162776.0,162572.0,162780.0,162076.0,163972.0,162236.0,156372.0,164384.0,161948.0,162000.0,161808.0,163320.0,165196.0,161796.0,160920.0,165088.0,161536.0,159672.0,163300.0,159828.0,159480.0,161680.0,157480.0,161564.0,159400.0,159548.0,161800.0,161284.0,162588.0,162240.0,161648.0,161904.0,161968.0,162276.0,161812.0,162492.0,161792.0,161444.0,161128.0,161944.0,161720.0,161864.0,162016.0,162792.0,162680.0,162144.0,162560.0,162444.0,162220.0,161528.0,161296.0,161592.0,162288.0,162096.0,161928.0,162192.0,162420.0,161120.0,161112.0,162460.0,162300.0,162216.0,162396.0,162256.0,161912.0,162356.0,162284.0,162228.0,161824.0,161804.0,162128.0,161936.0,162100.0,162056.0,162016.0,163352.0,161896.0,162340.0,163288.0,162732.0,161888.0,162164.0,162916.0,162964.0,162600.0,162064.0,162360.0,163168.0,162912.0,162080.0,162468.0,162828.0,162600.0,162364.0,162392.0,163840.0,163136.0,162400.0,163004.0,162304.0,161816.0,162072.0,162236.0,163080.0
9,164432.0,155756.0,156952.0,156952.0,156772.0,156384.0,155808.0,156508.0,157440.0,156728.0,162260.0,162260.0,162032.0,162860.0,162652.0,161496.0,162612.0,159104.0,162444.0,162616.0,157564.0,163204.0,162652.0,162756.0,165196.0,162428.0,162592.0,162864.0,163468.0,162556.0,162488.0,155808.0,161616.0,162872.0,162144.0,163172.0,162776.0,162572.0,162756.0,162076.0,163972.0,162236.0,156372.0,164384.0,161948.0,162000.0,161808.0,163320.0,165188.0,161772.0,160920.0,165064.0,161536.0,159672.0,163276.0,159828.0,159464.0,161680.0,157480.0,161564.0,159376.0,159548.0,161800.0,161268.0,162588.0,162240.0,161648.0,161904.0,161968.0,162276.0,161804.0,162492.0,161792.0,161436.0,161128.0,161944.0,161696.0,161864.0,162016.0,162784.0,162680.0,162144.0,162560.0,162444.0,162220.0,161528.0,161296.0,161592.0,162288.0,162072.0,162052.0,162192.0,162396.0,161120.0,161088.0,162460.0,162284.0,162340.0,162372.0,162232.0,161896.0,162332.0,162260.0,162228.0,161824.0,161804.0,162104.0,161912.0,162100.0,162056.0,162016.0,163352.0,161896.0,162340.0,163288.0,162732.0,161864.0,162164.0,163040.0,163064.0,162600.0,162064.0,162360.0,163144.0,162888.0,162080.0,162468.0,162804.0,162600.0,162340.0,162392.0,163832.0,163136.0,162400.0,163004.0,162412.0,161816.0,162072.0,162236.0,163204.0
