%memused,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,32.63,30.93,31.14,31.11,31.08,31.03,30.92,31.05,31.21,31.09,32.19,32.22,32.17,32.34,32.28,32.06,32.28,31.56,32.23,32.25,31.26,32.4,32.27,32.31,32.8,32.23,32.25,32.28,32.45,32.25,32.21,30.94,32.04,32.31,32.14,32.38,32.29,32.25,32.29,32.17,32.53,32.19,31.02,32.63,32.13,32.14,32.13,32.43,32.79,32.09,31.95,32.76,32.04,31.68,32.42,31.7,31.67,32.1,31.24,32.08,31.62,31.65,32.1,32.0,32.26,32.2,32.07,32.15,32.14,32.2,32.11,32.24,32.11,32.06,31.99,32.15,32.08,32.11,32.14,32.32,32.27,32.17,32.28,32.25,32.16,32.07,32.0,32.05,32.2,32.19,32.16,32.21,32.21,31.96,31.96,32.26,32.19,32.19,32.22,32.22,32.16,32.2,32.17,32.19,32.1,32.13,32.16,32.12,32.14,32.15,32.14,32.4,32.14,32.23,32.4,32.31,32.13,32.2,32.36,32.35,32.27,32.18,32.25,32.39,32.32,32.16,32.23,32.3,32.27,32.21,32.22,32.51,32.37,32.22,32.36,32.24,32.11,32.18,32.18,32.4
1,32.62,30.93,31.14,31.14,31.08,31.03,30.92,31.05,31.2,31.09,32.19,32.22,32.17,32.34,32.28,32.06,32.3,31.58,32.23,32.25,31.25,32.4,32.27,32.31,32.8,32.23,32.25,32.28,32.45,32.25,32.24,30.94,32.04,32.31,32.16,32.38,32.31,32.25,32.31,32.17,32.53,32.19,31.02,32.63,32.13,32.14,32.13,32.43,32.79,32.09,31.95,32.76,32.04,31.68,32.41,31.7,31.66,32.1,31.24,32.08,31.62,31.65,32.1,32.0,32.26,32.2,32.07,32.15,32.14,32.2,32.1,32.24,32.11,32.05,31.99,32.15,32.08,32.11,32.14,32.32,32.27,32.16,32.28,32.25,32.19,32.07,32.0,32.05,32.2,32.18,32.16,32.2,32.21,31.96,31.98,32.26,32.19,32.19,32.22,32.21,32.15,32.23,32.19,32.19,32.1,32.13,32.16,32.12,32.14,32.18,32.14,32.4,32.14,32.23,32.42,32.31,32.12,32.2,32.35,32.35,32.27,32.18,32.24,32.39,32.32,32.16,32.23,32.3,32.27,32.23,32.22,32.51,32.37,32.22,32.36,32.26,32.11,32.18,32.21,32.39
2,32.62,30.93,31.14,31.14,31.08,31.03,30.92,31.05,31.2,31.09,32.19,32.22,32.17,32.34,32.28,32.06,32.3,31.58,32.23,32.25,31.25,32.4,32.27,32.31,32.8,32.23,32.25,32.28,32.45,32.25,32.24,30.94,32.04,32.31,32.16,32.38,32.31,32.25,32.31,32.17,32.53,32.19,31.02,32.63,32.13,32.14,32.13,32.43,32.79,32.09,31.95,32.76,32.04,31.68,32.41,31.7,31.66,32.1,31.24,32.08,31.62,31.65,32.1,32.0,32.26,32.2,32.07,32.15,32.14,32.2,32.1,32.24,32.11,32.05,31.99,32.15,32.08,32.11,32.14,32.32,32.27,32.16,32.28,32.25,32.19,32.07,32.0,32.05,32.2,32.18,32.16,32.2,32.21,31.99,31.98,32.26,32.19,32.19,32.27,32.21,32.15,32.23,32.19,32.19,32.1,32.13,32.16,32.12,32.14,32.18,32.14,32.4,32.14,32.23,32.42,32.31,32.12,32.2,32.35,32.35,32.27,32.18,32.24,32.39,32.32,32.16,32.23,32.3,32.27,32.23,32.22,32.51,32.37,32.22,32.36,32.24,32.11,32.18,32.26,32.39
3,32.62,30.93,31.14,31.14,31.08,31.03,30.92,31.05,31.2,31.09,32.19,32.22,32.17,32.34,32.28,32.06,32.3,31.58,32.23,32.25,31.25,32.4,32.27,32.31,32.8,32.23,32.25,32.28,32.45,32.25,32.24,30.94,32.04,32.31,32.16,32.38,32.31,32.25,32.31,32.17,32.53,32.19,31.02,32.63,32.13,32.14,32.13,32.43,32.79,32.09,31.95,32.76,32.04,31.68,32.41,31.7,31.66,32.1,31.24,32.08,31.62,31.65,32.1,32.0,32.26,32.2,32.07,32.15,32.14,32.2,32.1,32.24,32.11,32.05,31.99,32.15,32.08,32.11,32.14,32.32,32.27,32.16,32.28,32.25,32.19,32.07,32.0,32.05,32.2,32.18,32.16,32.2,32.21,31.98,31.98,32.26,32.19,32.19,32.24,32.21,32.15,32.23,32.19,32.19,32.1,32.13,32.16,32.12,32.14,32.18,32.14,32.4,32.14,32.23,32.42,32.31,32.12,32.2,32.35,32.35,32.27,32.18,32.24,32.39,32.32,32.16,32.23,32.3,32.27,32.23,32.22,32.51,32.37,32.22,32.36,32.24,32.11,32.18,32.21,32.39
4,32.62,30.93,31.14,31.14,31.08,31.03,30.92,31.05,31.2,31.09,32.19,32.22,32.17,32.34,32.28,32.06,32.3,31.58,32.23,32.25,31.25,32.4,32.27,32.31,32.8,32.23,32.25,32.28,32.45,32.25,32.24,30.94,32.04,32.31,32.16,32.38,32.31,32.25,32.31,32.17,32.53,32.19,31.02,32.63,32.13,32.14,32.13,32.43,32.79,32.09,31.95,32.76,32.04,31.68,32.41,31.7,31.66,32.1,31.24,32.08,31.62,31.65,32.1,32.0,32.26,32.2,32.07,32.15,32.14,32.2,32.1,32.24,32.11,32.05,31.99,32.15,32.08,32.11,32.14,32.32,32.27,32.16,32.28,32.25,32.19,32.07,32.0,32.05,32.2,32.18,32.16,32.2,32.21,31.98,31.98,32.26,32.19,32.24,32.24,32.21,32.15,32.23,32.21,32.19,32.1,32.13,32.16,32.12,32.14,32.18,32.14,32.4,32.14,32.23,32.42,32.31,32.12,32.2,32.35,32.35,32.27,32.18,32.24,32.39,32.32,32.16,32.23,32.3,32.27,32.23,32.22,32.51,32.37,32.22,32.36,32.24,32.13,32.18,32.21,32.39
5,32.62,30.93,31.14,31.14,31.13,31.05,31.15,31.11,31.2,31.34,32.22,32.22,32.17,32.34,32.3,32.06,32.3,31.58,32.26,32.25,31.25,32.4,32.27,32.34,32.8,32.23,32.29,32.34,32.45,32.25,32.24,30.94,32.09,32.31,32.16,32.43,32.31,32.25,32.31,32.2,32.53,32.5,31.33,32.64,32.16,32.17,32.13,32.45,32.79,32.09,31.97,32.76,32.1,31.74,32.41,31.74,31.66,32.1,31.3,32.1,31.62,31.65,32.14,32.0,32.26,32.2,32.1,32.18,32.37,32.2,32.1,32.24,32.11,32.05,31.99,32.15,32.08,32.11,32.17,32.32,32.27,32.16,32.51,32.59,32.41,32.4,32.32,32.38,32.56,32.18,32.16,32.2,32.21,32.04,31.98,32.26,32.19,32.24,32.24,32.21,32.15,32.23,32.21,32.55,32.44,32.13,32.16,32.12,32.16,32.18,32.46,32.4,32.14,32.26,32.42,32.34,32.12,32.22,32.35,32.35,32.51,32.5,32.24,32.39,32.32,32.19,32.23,32.3,32.29,32.23,32.22,32.51,32.37,32.22,32.39,32.24,32.13,32.21,32.21,32.39
6,32.65,30.93,31.17,31.16,31.13,31.07,30.94,31.11,31.26,31.11,32.22,32.25,32.2,32.37,32.32,32.1,32.3,31.59,32.26,32.29,31.31,32.44,32.3,32.34,32.8,32.25,32.28,32.33,32.45,32.28,32.26,31.16,32.09,32.34,32.2,32.42,32.34,32.28,32.34,32.2,32.57,32.22,31.07,32.66,32.18,32.17,32.16,32.45,32.83,32.13,31.97,32.8,32.1,31.73,32.45,31.73,31.69,32.33,31.29,32.1,31.65,31.68,32.13,32.03,32.31,32.21,32.1,32.17,32.17,32.22,32.15,32.29,32.13,32.08,32.02,32.18,32.11,32.14,32.17,32.63,32.3,32.42,32.28,32.28,32.21,32.1,32.02,32.08,32.25,32.49,32.46,32.23,32.47,32.02,32.01,32.29,32.42,32.54,32.46,32.55,32.49,32.57,32.53,32.22,32.12,32.45,32.48,32.35,32.2,32.48,32.16,32.43,32.17,32.26,32.45,32.34,32.17,32.22,32.58,32.68,32.31,32.21,32.47,32.42,32.34,32.21,32.26,32.33,32.29,32.26,32.25,32.53,32.4,32.25,32.39,32.25,32.35,32.2,32.43,32.62
7,32.64,30.95,31.16,31.16,31.15,31.08,30.96,31.1,31.25,31.15,32.25,32.24,32.2,32.36,32.32,32.09,32.29,31.59,32.26,32.28,31.28,32.44,32.3,32.35,32.83,32.24,32.28,32.37,32.48,32.28,32.26,30.96,32.09,32.33,32.19,32.42,32.34,32.28,32.33,32.21,32.56,32.24,31.08,32.66,32.19,32.2,32.16,32.46,32.82,32.12,31.98,32.8,32.1,31.73,32.44,31.73,31.69,32.12,31.29,32.11,31.67,31.68,32.15,32.03,32.31,32.21,32.12,32.17,32.18,32.22,32.15,32.29,32.13,32.08,32.02,32.18,32.11,32.14,32.2,32.34,32.3,32.19,32.31,32.28,32.21,32.1,32.03,32.09,32.25,32.2,32.18,32.23,32.24,32.02,32.01,32.29,32.22,32.23,32.26,32.24,32.18,32.26,32.24,32.21,32.16,32.15,32.19,32.14,32.2,32.2,32.2,32.43,32.16,32.26,32.45,32.34,32.17,32.23,32.38,32.38,32.31,32.21,32.26,32.42,32.34,32.21,32.28,32.33,32.31,32.26,32.24,32.55,32.39,32.25,32.39,32.25,32.15,32.2,32.23,32.42
8,32.68,30.95,31.19,31.19,31.15,31.07,30.96,31.1,31.29,31.14,32.24,32.25,32.2,32.36,32.32,32.1,32.31,31.62,32.28,32.32,31.29,32.43,32.32,32.34,32.83,32.28,32.31,32.36,32.49,32.3,32.29,30.96,32.11,32.36,32.2,32.42,32.34,32.3,32.35,32.21,32.58,32.24,31.07,32.66,32.18,32.19,32.15,32.45,32.83,32.15,31.98,32.8,32.1,31.73,32.45,31.76,31.69,32.13,31.29,32.1,31.67,31.7,32.15,32.05,32.31,32.24,32.12,32.17,32.18,32.25,32.15,32.29,32.15,32.08,32.02,32.18,32.13,32.16,32.19,32.35,32.33,32.22,32.3,32.28,32.23,32.1,32.05,32.11,32.25,32.21,32.18,32.23,32.27,32.02,32.01,32.28,32.25,32.23,32.27,32.24,32.17,32.26,32.25,32.24,32.16,32.15,32.22,32.18,32.21,32.2,32.19,32.46,32.17,32.26,32.45,32.34,32.17,32.22,32.37,32.38,32.31,32.2,32.26,32.42,32.37,32.21,32.28,32.36,32.31,32.26,32.27,32.56,32.42,32.27,32.39,32.25,32.15,32.2,32.24,32.41
9,32.67,30.95,31.19,31.19,31.15,31.07,30.96,31.1,31.28,31.14,32.24,32.24,32.2,32.36,32.32,32.09,32.31,31.62,32.28,32.31,31.31,32.43,32.32,32.34,32.83,32.28,32.31,32.36,32.48,32.3,32.29,30.96,32.11,32.36,32.22,32.42,32.34,32.3,32.34,32.21,32.58,32.24,31.07,32.66,32.18,32.19,32.15,32.45,32.82,32.15,31.98,32.8,32.1,31.73,32.44,31.76,31.69,32.13,31.29,32.1,31.67,31.7,32.15,32.05,32.31,32.24,32.12,32.17,32.18,32.25,32.15,32.29,32.15,32.08,32.02,32.18,32.13,32.16,32.19,32.35,32.33,32.22,32.3,32.28,32.23,32.1,32.05,32.11,32.25,32.2,32.2,32.23,32.27,32.02,32.01,32.28,32.25,32.26,32.26,32.24,32.17,32.26,32.24,32.24,32.16,32.15,32.21,32.17,32.21,32.2,32.19,32.46,32.17,32.26,32.45,32.34,32.16,32.22,32.4,32.4,32.31,32.2,32.26,32.42,32.37,32.21,32.28,32.35,32.31,32.26,32.27,32.55,32.42,32.27,32.39,32.27,32.15,32.2,32.24,32.43
