rxkB/s,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,1.98,0.0,2.04,1.96,0.0,0.0,0.0,0.0,0.58,0.0,0.0,4.61,4.56,4.61,4.66,4.56,0.9,0.89,0.0,0.91,2.06,0.88,0.89,0.0,0.9,0.9,0.0,0.0,2.24,4.88,4.84,2.02,0.0,4.93,4.93,0.0,4.88,4.98,0.9,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,2.15,0.0,4.93,0.0,0.0,4.93,0.0,4.61,4.56,0.0,0.0,4.56,2.08,0.0,2.0,2.06,2.11,0.0,0.0,0.0,2.04,2.06,2.09,2.13,4.56,0.0,4.56,0.56,4.52,0.0,4.52,4.66,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61,4.52,4.52,4.56,0.0,4.56,4.61,4.36,4.56,4.52,4.66,4.56,4.56,4.56,0.0,0.0,4.66,4.61,4.56,4.61,4.66,0.0,4.79,4.88,0.0,4.56,0.0,4.47,0.0,4.56,4.56,0.0,0.0,4.56,4.61,4.61,0.0,4.66,4.61,0.0,4.66,4.66,4.56,4.7,4.61,0.0,4.66,4.61,0.0,4.7,4.61
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,4.52,0.0,0.0,4.52,4.52,4.52,4.48,0.0,4.17,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61,0.0,0.0,0.0,0.0,4.47,0.0,0.0,4.52,4.61,0.0,0.0,0.0,0.0,4.57,0.0,0.0,4.56,0.0,0.0,0.0,4.52,0.0,3.91,3.94,4.66,4.57,4.57,0.0,4.57,0.0,0.0,4.61,0.0,4.61,4.57,0.0,4.61,0.0,0.0,4.52,4.39,0.0,0.0,4.52,0.0,0.0,0.0,4.52,4.56,4.17,0.0,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0.0,4.66,0.0,0.0,0.0,4.13,3.95,4.52,4.07,4.07,3.99,4.03,0.0,0.0,0.0,0.0,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,4.03,0.0,0.0,0.0,0.0,0.0,3.99,0.0,0.0,4.61,0.0,4.57,0.0,4.61,0.0,0.0,4.03,3.95,0.0,0.0,0.0,4.52,0.0,0.0,4.52,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,4.47,0.0,0.0
6,4.52,0.0,4.61,4.57,0.0,0.0,0.05,0.0,4.52,0.4,0.0,4.56,4.56,4.52,4.61,4.52,4.47,4.52,0.0,4.52,4.57,4.57,4.57,0.0,4.57,4.57,0.0,0.0,4.61,4.56,4.52,4.42,0.0,4.52,4.61,0.0,4.56,4.52,4.66,0.0,4.52,0.53,0.56,0.0,0.0,0.0,4.61,0.0,4.57,4.61,0.0,4.52,0.0,0.0,4.61,0.0,4.52,4.51,0.0,0.0,4.47,4.52,0.0,4.56,4.56,4.56,0.0,0.0,0.34,4.52,4.56,4.61,4.47,4.56,0.0,4.52,4.61,4.57,0.0,3.99,4.66,4.13,0.4,0.57,0.05,0.57,0.58,0.57,0.53,3.99,4.03,4.47,4.47,0.05,4.61,4.56,4.21,3.99,4.17,4.07,3.99,3.99,4.03,0.52,0.52,4.07,4.03,4.21,4.52,3.99,0.53,4.66,4.66,0.0,4.57,0.0,4.57,0.0,4.52,3.99,0.57,0.58,4.17,4.61,4.52,0.0,4.56,4.47,0.0,4.52,4.52,4.66,4.61,4.52,0.0,4.56,4.42,0.0,4.21,4.13
7,0.0,4.52,0.0,0.0,4.61,4.61,4.52,4.39,0.0,4.61,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61,0.0,0.0,0.0,0.0,4.52,0.0,0.0,4.52,4.57,0.0,0.0,0.0,0.05,4.52,0.0,0.0,4.52,0.0,0.0,0.0,4.66,0.0,4.48,4.66,4.57,4.66,4.61,0.0,4.61,0.0,0.0,4.61,0.0,4.56,4.57,0.0,4.57,0.0,0.05,4.47,4.52,0.0,0.0,4.52,0.0,0.0,0.0,4.51,4.47,4.47,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,4.57,0.58,0.0,0.4,4.57,4.43,4.57,4.57,4.61,4.61,4.61,0.58,0.57,0.0,0.05,4.56,0.0,0.0,0.34,0.53,0.35,0.53,0.52,0.53,0.52,4.52,4.52,0.52,0.52,0.35,0.0,0.53,4.52,0.0,0.0,4.61,0.0,4.57,0.0,4.61,0.05,0.57,4.66,4.61,0.39,0.0,0.0,4.56,0.0,0.0,4.52,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.05,4.52,0.35,0.35
8,4.57,0.0,4.57,4.61,0.0,0.0,0.0,0.0,4.57,0.0,0.0,4.43,4.47,4.52,4.47,4.61,4.61,4.52,0.0,4.57,4.61,4.48,4.56,0.0,4.52,4.52,0.0,0.0,4.66,4.61,4.52,4.61,0.0,4.52,4.56,0.0,4.52,4.56,4.57,0.0,4.57,0.0,0.0,0.0,0.0,0.0,4.57,0.0,4.52,4.61,0.0,4.52,0.0,0.0,4.61,0.0,4.47,4.61,0.0,0.0,4.47,4.47,0.0,4.52,4.52,4.42,0.0,0.0,0.0,4.56,4.52,4.47,4.52,4.56,0.0,4.52,4.57,4.61,0.0,4.66,4.57,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,4.66,4.57,4.56,0.0,4.56,4.52,4.56,4.47,4.61,4.56,4.52,4.47,4.56,0.0,0.0,4.47,4.52,4.47,4.52,4.61,0.0,4.57,4.66,0.0,4.57,0.0,4.52,0.0,4.61,4.57,0.0,0.0,4.61,4.61,4.52,0.0,4.47,4.47,0.0,4.61,4.56,4.56,4.56,4.61,0.0,4.52,4.52,0.0,4.52,4.47
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.32,0.32,0.33,0.32,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
