rxpck/s,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,10.68,0.0,11.0,10.58,0.0,0.0,0.0,0.0,6.06,0.0,0.0,20.2,20.0,20.2,20.41,20.0,7.07,7.0,0.0,7.14,11.11,6.93,7.0,0.0,7.07,7.07,0.0,0.0,10.89,21.0,20.79,10.89,0.0,21.21,21.21,0.0,21.0,21.43,7.07,0.0,6.86,0.0,0.0,0.0,0.0,0.0,7.07,0.0,7.07,10.0,0.0,21.21,0.0,0.0,21.21,0.0,20.2,20.0,0.0,0.0,20.0,11.22,0.0,10.78,11.11,12.0,0.0,0.0,0.0,11.0,11.11,11.88,12.12,20.0,0.0,20.0,5.94,19.8,0.0,19.8,20.41,19.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,19.8,19.8,20.0,0.0,20.0,20.2,17.0,20.0,19.8,20.41,20.0,20.0,20.0,0.0,0.0,20.41,20.2,20.0,20.2,20.41,0.0,20.59,21.0,0.0,20.0,0.0,19.61,0.0,20.0,20.0,0.0,0.0,20.0,20.2,20.2,0.0,20.41,20.2,0.0,20.41,20.41,20.0,20.62,20.2,0.0,20.41,20.2,0.0,20.62,20.2
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,20.79,0.0,0.0,20.0,20.79,20.0,20.59,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.21,0.0,0.0,0.0,0.0,19.8,0.0,0.0,20.79,21.21,0.0,0.0,0.0,0.0,21.0,0.0,0.0,20.2,0.0,0.0,0.0,20.79,0.0,13.73,13.0,21.43,21.0,21.0,0.0,21.0,0.0,0.0,21.21,0.0,20.41,21.0,0.0,21.21,0.0,0.0,20.0,19.42,0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.2,15.0,0.0,0.0,0.0,0.0,0.0,18.63,0.0,0.0,0.0,21.43,0.0,0.0,0.0,14.85,13.86,20.0,14.29,14.29,14.0,14.14,0.0,0.0,0.0,0.0,19.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.14,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,21.21,0.0,21.0,0.0,21.21,0.0,0.0,14.14,13.86,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,19.8,0.0,0.0
6,20.79,0.0,21.21,21.0,0.0,0.0,1.02,0.0,20.79,6.0,0.0,20.2,20.2,20.0,20.41,20.0,19.0,20.79,0.0,20.79,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0,21.21,20.2,20.0,18.81,0.0,20.0,21.21,0.0,20.2,20.0,21.43,0.0,20.79,6.06,6.86,0.0,0.0,0.0,21.21,0.0,21.0,21.21,0.0,20.0,0.0,0.0,20.41,0.0,20.0,19.19,0.0,0.0,19.8,20.0,0.0,20.2,20.2,20.2,0.0,0.0,4.95,20.0,20.2,20.41,19.0,20.2,0.0,20.0,21.21,21.0,0.0,14.0,21.43,14.85,6.06,7.0,1.01,7.0,7.07,7.0,6.06,14.0,14.14,19.8,19.0,1.0,20.41,20.2,15.15,14.0,15.0,14.29,14.0,14.0,14.14,6.0,6.0,14.29,14.14,15.15,20.0,14.0,6.12,21.43,21.43,0.0,21.0,0.0,21.0,0.0,20.0,14.0,7.0,7.07,15.0,21.21,20.0,0.0,20.2,19.8,0.0,20.0,20.0,20.62,20.41,20.0,0.0,20.2,18.81,0.0,15.15,14.85
7,0.0,20.0,0.0,0.0,21.21,21.21,20.79,20.19,0.0,21.21,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.21,0.0,0.0,0.0,0.0,20.79,0.0,0.0,20.79,21.0,0.0,0.0,0.0,1.01,20.79,0.0,0.0,20.0,0.0,0.0,0.0,21.43,0.0,20.59,21.43,21.0,21.43,21.21,0.0,21.21,0.0,0.0,20.41,0.0,20.2,21.0,0.0,21.0,0.0,0.99,19.8,20.0,0.0,0.0,20.0,0.0,0.0,0.0,19.19,19.8,19.8,0.0,0.0,0.0,0.0,0.0,19.39,0.0,0.0,0.0,21.0,7.07,0.0,6.0,21.0,20.39,21.0,21.0,21.21,21.21,21.21,7.07,7.0,0.0,0.99,20.2,0.0,0.0,4.95,6.06,5.05,6.06,6.0,6.06,6.0,20.0,20.0,5.94,6.0,5.0,0.0,6.06,20.0,0.0,0.0,21.21,0.0,21.0,0.0,21.21,1.01,6.93,21.43,21.21,5.94,0.0,0.0,20.2,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.2,0.0,1.0,20.0,5.05,5.05
8,21.0,0.0,21.0,21.21,0.0,0.0,0.0,0.0,21.0,0.0,0.0,19.61,19.8,20.0,19.8,20.41,20.41,20.79,0.0,21.0,21.21,20.59,20.2,0.0,20.79,20.0,0.0,0.0,21.43,21.21,20.0,21.21,0.0,20.0,20.2,0.0,20.0,20.2,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,20.79,21.21,0.0,20.0,0.0,0.0,20.41,0.0,19.8,20.41,0.0,0.0,19.8,19.8,0.0,20.0,20.0,18.81,0.0,0.0,0.0,20.2,20.0,19.8,20.0,20.2,0.0,20.0,21.0,21.21,0.0,21.43,21.0,20.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.62,21.0,20.2,0.0,20.2,20.0,20.2,19.8,20.41,20.2,20.0,19.8,20.2,0.0,0.0,19.8,20.0,19.8,20.0,20.41,0.0,21.0,21.43,0.0,21.0,0.0,20.79,0.0,21.21,21.0,0.0,0.0,21.21,21.21,20.79,0.0,19.8,19.8,0.0,20.41,20.2,20.2,20.2,20.41,0.0,20.0,20.0,0.0,20.0,19.8
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,1.01,1.0,1.02,1.0,1.01,1.01,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
