avgqu-sz,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,7.84,8.08,8.0,7.84,7.98,8.0,8.0,7.92,7.92,8.08,7.92,8.16,8.08,8.07,8.91,8.08,8.07,7.99,7.92,8.08,8.0,7.83,8.03,8.0,8.08,8.0,7.91,8.08,8.0,8.08,8.0,8.0,8.07,8.08,8.08,8.0,8.08,8.08,8.08,7.92,7.92,8.0,8.16,8.08,8.08,8.08,7.95,8.08,8.0,8.08,8.0,8.0,8.07,8.07,8.08,8.0,8.0,8.0,8.3,8.08,8.16,8.08,8.08,8.0,8.08,7.92,7.84,7.91,8.08,8.08,8.08,8.0,8.16,8.08,8.0,8.07,7.9,8.26,8.16,7.84,8.08,8.82,8.0,8.0,8.95,8.06,8.0,8.14,8.9,8.08,7.98,7.99,8.07,9.09,8.08,8.0,7.83,8.91,8.99,8.08,8.07,8.08,9.09,8.0,8.99,7.99,8.0,8.06,9.18,8.0,8.08,7.92,8.0,8.08,7.92,7.99,7.92,8.07,7.91,8.07,8.08,7.91,8.0,8.07,8.08,8.0,7.95,7.9,8.08,8.16,8.08,8.0,8.23,8.29,8.0,9.0,9.09,8.0,9.09,9.09
1,7.91,7.92,8.08,8.0,8.0,8.0,8.0,8.0,8.16,8.0,7.91,7.92,7.92,8.0,9.09,7.92,8.08,8.0,7.84,8.11,8.08,8.07,7.99,7.99,7.98,8.06,8.0,8.16,8.0,8.08,8.08,7.92,8.06,8.08,8.0,8.08,8.07,8.0,7.99,8.25,7.94,7.83,8.0,7.84,8.0,7.99,8.0,8.0,8.0,8.0,8.08,8.08,7.89,8.0,8.0,8.0,7.84,8.0,8.0,7.92,8.0,8.0,8.08,8.08,8.0,8.08,8.08,8.08,7.92,8.08,8.0,7.92,7.92,8.08,8.0,8.08,8.16,8.0,7.84,7.92,7.97,9.09,8.11,7.93,8.82,8.16,8.08,8.0,9.0,8.0,8.0,7.92,8.0,9.0,8.0,8.11,8.08,9.18,8.91,8.0,7.99,8.08,8.91,8.08,8.55,8.08,8.08,7.92,9.0,8.16,8.08,8.07,8.0,8.08,8.08,8.16,7.84,8.0,8.16,7.9,7.99,8.16,7.98,8.0,8.0,8.08,7.8,8.16,8.0,8.08,7.91,8.07,7.9,8.0,8.07,9.09,9.08,8.08,9.08,8.85
2,8.0,8.07,8.0,8.0,8.16,8.0,8.0,7.83,8.0,8.0,7.99,8.08,8.0,8.06,9.0,8.16,7.91,7.99,8.24,8.08,8.0,7.91,7.84,8.08,8.08,8.08,8.16,7.92,7.99,8.08,8.0,8.0,8.0,7.92,8.0,8.0,7.92,8.08,7.99,8.0,7.92,7.92,8.0,8.0,7.99,8.08,8.0,8.07,8.0,8.08,8.0,8.0,8.08,8.08,8.07,8.08,8.08,7.84,7.92,8.16,8.0,8.0,8.08,7.99,8.0,8.0,8.0,8.0,7.92,8.08,8.08,8.0,8.0,8.07,8.08,8.08,7.91,8.08,8.16,8.0,7.92,8.9,8.0,7.91,8.05,8.0,8.0,8.0,9.07,8.08,8.0,7.92,8.08,8.4,8.0,7.92,8.07,9.0,9.15,8.07,8.0,8.0,9.09,7.92,8.08,7.87,8.08,8.0,9.09,8.0,8.08,7.99,8.0,7.91,7.91,8.0,7.84,8.08,8.07,8.08,8.16,8.08,7.92,8.08,8.08,8.0,8.03,7.84,7.92,7.92,8.0,7.91,7.92,8.08,7.92,8.18,9.0,8.07,9.07,8.08
3,8.07,8.0,8.08,8.0,7.84,8.16,8.16,8.08,8.0,7.91,8.16,7.92,8.08,8.08,9.0,8.08,8.08,8.0,8.0,8.0,7.99,7.91,8.16,8.07,7.91,8.07,8.0,8.03,8.07,8.0,8.0,8.0,8.08,8.0,8.08,8.16,8.0,8.16,8.0,7.99,8.08,7.92,8.08,8.0,8.0,7.98,8.0,8.0,8.08,8.08,8.08,8.07,8.16,8.0,8.08,8.0,7.84,8.07,8.0,7.92,7.92,7.91,8.08,8.08,8.08,8.0,8.08,7.95,8.0,7.92,7.92,8.08,8.0,8.0,8.0,7.99,8.0,8.08,7.92,7.92,8.08,9.0,8.08,7.84,7.87,8.08,8.08,7.92,9.09,8.0,7.99,8.0,8.08,8.0,7.92,8.0,7.91,9.0,8.0,8.06,8.06,8.08,9.09,7.84,7.92,8.08,7.99,8.11,9.09,7.98,8.08,7.92,8.0,8.07,8.0,8.08,7.91,8.08,8.0,7.99,7.99,8.08,8.08,8.03,7.92,8.08,7.83,7.83,8.0,8.0,8.0,8.07,8.16,8.08,8.07,7.99,9.18,8.08,8.07,8.08
4,7.92,7.91,7.9,8.0,8.08,7.99,7.91,8.0,8.08,8.0,8.0,8.0,8.0,7.91,9.09,7.99,7.84,8.0,7.92,7.9,8.08,7.92,7.84,8.0,8.16,7.84,8.11,8.0,7.99,8.0,8.08,8.0,7.99,7.92,8.08,8.0,7.99,8.0,8.16,8.16,8.0,7.92,8.08,8.07,8.07,8.0,7.92,7.92,8.08,8.08,8.16,8.0,8.08,7.95,7.91,8.0,8.08,8.0,7.92,8.0,8.08,8.08,8.0,7.99,7.84,8.08,8.0,7.99,8.0,8.0,8.08,8.0,7.92,8.0,8.08,8.0,8.08,7.91,8.08,7.84,8.07,9.09,7.83,7.84,7.91,8.0,8.07,8.16,8.9,8.16,8.08,8.08,7.92,8.08,8.08,7.91,8.08,9.09,7.92,8.07,7.92,7.98,9.0,7.91,8.07,8.0,8.03,8.08,9.0,8.08,7.92,8.16,8.07,8.0,8.0,8.0,8.03,8.0,8.08,7.91,8.08,7.92,8.08,7.84,8.08,7.9,7.92,8.08,8.08,8.08,7.99,7.98,8.08,8.08,8.0,8.0,8.82,7.91,8.0,7.99
5,8.08,7.99,7.84,8.0,8.08,7.84,7.91,7.84,7.92,8.0,8.0,8.0,7.92,8.07,9.18,8.0,8.08,8.0,8.0,7.77,8.0,7.91,8.08,8.0,8.0,8.08,7.89,7.91,8.16,8.16,8.08,8.08,8.0,8.08,8.0,8.16,8.06,8.07,8.0,8.07,8.0,7.92,8.08,8.0,8.08,8.08,8.0,8.08,8.0,8.0,8.0,7.91,7.92,8.08,8.0,8.07,7.94,8.08,8.0,7.92,8.0,7.92,8.08,7.91,8.08,8.0,7.91,8.0,7.92,8.08,7.92,8.0,8.16,8.0,8.08,7.92,8.07,7.98,8.0,8.16,8.08,9.0,8.16,8.16,8.07,8.0,8.08,7.91,9.09,8.06,8.0,7.92,8.0,8.08,8.07,8.08,8.08,9.0,8.08,8.0,8.16,8.08,9.0,8.0,8.0,8.08,7.83,8.0,8.99,8.0,8.15,7.84,8.0,7.99,7.92,7.91,7.92,8.16,8.08,7.91,8.0,8.0,8.0,8.16,7.99,8.0,7.92,7.92,7.92,8.08,8.08,8.16,8.08,8.0,8.08,8.07,8.0,7.92,8.08,8.0
6,8.0,8.0,8.16,8.0,7.95,8.08,8.07,8.0,8.0,8.07,8.07,8.16,8.0,7.92,8.17,7.91,8.07,7.84,8.0,8.08,8.08,8.08,8.0,7.94,7.99,7.84,8.03,8.0,8.0,8.0,8.07,7.91,7.92,8.0,8.08,7.92,7.99,8.0,8.16,7.91,7.92,8.08,8.0,8.08,8.0,8.08,8.08,8.08,8.0,8.0,8.08,8.0,8.24,8.0,8.08,8.03,7.99,8.07,8.0,8.08,8.07,7.92,8.03,8.16,7.99,7.99,8.08,8.08,7.99,8.08,7.99,8.07,7.84,8.0,7.84,8.08,8.16,8.08,8.08,7.83,8.08,9.0,7.92,7.84,8.08,8.25,8.08,7.99,9.09,7.99,8.08,8.0,8.11,8.08,8.08,8.08,8.08,8.51,8.07,8.06,8.0,7.99,9.18,8.0,7.99,8.08,8.0,8.16,8.46,8.16,8.0,8.16,8.07,8.08,8.0,8.08,8.0,8.08,8.0,8.07,8.16,7.91,8.16,8.08,8.08,7.92,8.16,8.08,8.08,7.92,7.92,8.24,8.16,8.07,7.92,8.16,8.08,8.08,8.0,7.92
7,8.0,7.92,7.92,8.0,8.0,8.08,7.84,7.77,7.84,7.99,8.0,7.92,8.07,8.08,7.92,8.0,7.84,8.08,8.07,7.84,8.08,7.9,8.08,7.92,8.0,8.07,7.92,8.08,8.0,8.16,7.99,8.08,7.92,8.0,8.08,8.15,7.92,7.99,8.0,8.0,8.08,8.0,7.92,8.08,8.08,7.92,8.0,8.07,8.07,8.0,8.0,8.0,8.0,8.08,8.08,7.84,8.0,7.92,8.0,8.0,7.92,8.0,7.95,8.0,8.0,8.0,7.92,7.92,8.0,8.0,8.16,8.0,8.03,8.0,8.16,8.08,7.92,8.08,8.07,8.16,8.16,8.9,8.07,7.84,8.0,7.84,8.0,8.08,9.09,8.08,8.08,8.0,7.99,8.0,8.16,8.07,8.08,7.92,8.08,8.08,7.92,7.99,9.0,8.0,8.08,8.07,8.08,7.99,8.0,8.08,8.08,8.0,8.08,8.07,8.0,8.08,8.0,8.0,8.08,7.91,8.16,8.16,7.92,8.0,8.08,8.0,8.0,7.92,8.0,7.91,8.0,8.0,8.0,7.92,8.08,7.84,7.92,8.08,7.99,8.15
8,8.08,8.08,8.08,8.07,8.08,8.0,8.0,8.0,8.08,8.08,7.99,8.08,7.92,7.92,8.08,8.08,8.08,7.98,8.0,8.16,8.0,8.03,8.08,8.07,7.99,7.9,8.0,7.9,8.07,8.0,8.0,8.0,8.08,7.99,8.0,8.0,8.08,8.0,8.08,8.16,8.0,7.87,8.08,8.0,7.99,8.0,8.16,8.0,8.0,8.08,8.08,8.08,8.08,7.9,8.08,7.91,7.84,8.08,7.84,7.92,7.92,8.0,8.03,8.0,7.92,8.0,8.08,8.0,7.92,8.08,8.0,7.92,8.08,8.08,8.08,8.06,8.0,7.99,7.99,8.08,7.91,8.9,8.08,7.83,8.08,8.08,8.08,8.08,9.09,7.83,8.08,8.0,7.91,8.0,8.08,8.0,8.08,7.92,8.08,8.06,8.08,7.91,9.0,7.92,8.0,7.84,8.0,7.92,8.0,8.07,8.08,8.08,8.08,8.08,8.08,7.83,7.91,8.0,7.92,8.0,7.99,7.99,7.91,8.08,8.0,8.08,7.84,8.08,8.07,8.16,8.08,8.0,8.16,8.16,8.08,7.99,7.99,8.08,7.99,7.94
9,8.0,8.0,8.0,8.0,7.92,7.92,8.08,7.84,8.0,8.0,7.94,7.99,8.06,7.92,8.0,8.08,8.07,7.92,8.16,8.08,7.92,8.0,7.91,8.08,8.0,7.84,8.07,8.08,7.91,8.0,7.84,8.08,8.0,8.03,8.08,7.99,8.08,8.08,8.0,8.0,8.16,8.08,8.16,7.99,8.08,8.16,7.92,8.07,8.16,8.16,8.08,7.99,8.08,8.16,8.0,7.99,8.16,8.0,8.08,8.08,8.08,7.92,8.08,8.0,8.16,8.08,7.92,8.0,7.92,8.0,8.0,8.08,8.08,8.0,8.08,7.84,8.0,7.99,7.91,8.08,7.98,9.08,8.08,7.99,8.16,8.08,7.99,8.0,8.99,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.0,8.08,8.08,8.0,8.08,8.16,9.0,7.92,7.91,8.08,7.99,8.0,8.08,8.08,7.92,7.95,7.92,8.08,7.91,7.91,8.08,8.0,8.16,8.0,8.0,8.07,8.08,7.99,8.08,8.0,8.08,8.0,7.91,8.08,8.0,7.99,8.08,8.08,8.0,8.08,8.0,8.08,8.16,7.91
