await,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,163.08,329.45,246.92,118.61,97.23,214.74,230.7,341.87,169.73,139.27,132.38,341.22,385.67,272.51,479.59,336.35,91.8,122.88,117.84,84.71,187.41,175.38,154.42,139.7,97.88,155.38,255.75,129.33,200.0,189.33,155.0,661.71,133.6,138.75,141.26,269.92,152.94,182.18,116.16,115.0,90.92,160.08,138.36,135.33,120.31,145.65,132.93,111.88,138.18,144.17,203.83,95.08,108.47,113.65,183.2,140.98,215.58,322.83,221.53,625.2,138.67,142.76,199.82,241.04,163.07,163.32,222.71,106.22,126.37,100.26,106.28,93.43,148.0,156.07,129.63,109.78,182.04,78.88,111.86,401.33,189.71,409.82,172.6,272.53,459.11,378.77,181.12,112.69,577.33,170.2,181.02,278.5,167.32,264.22,827.2,297.96,170.48,232.95,281.79,416.91,269.24,273.47,375.2,251.04,113.15,266.17,245.28,264.21,783.24,347.54,201.55,186.71,231.26,193.45,120.27,188.45,196.31,223.44,194.06,225.33,137.89,243.69,694.67,199.52,279.68,199.89,192.65,773.54,126.98,168.16,435.23,195.8,76.04,86.43,142.38,195.71,343.05,194.31,196.46,278.6
1,206.46,269.86,202.67,303.41,224.33,268.48,131.83,868.0,114.79,147.62,290.43,254.09,296.15,182.06,260.0,280.44,337.81,251.69,137.06,205.93,224.73,266.19,243.79,192.98,343.91,148.51,177.81,554.25,347.88,253.43,275.55,183.33,221.07,598.67,170.42,593.71,151.17,275.81,173.73,176.67,178.0,177.45,215.4,334.06,278.63,262.94,217.16,166.61,288.73,207.16,188.22,261.68,231.74,212.1,389.49,157.85,284.63,206.5,267.67,209.26,416.94,192.47,148.24,220.16,234.51,200.56,106.89,208.77,273.91,252.33,110.14,163.31,270.19,198.06,247.0,284.95,127.12,164.1,175.64,149.33,173.33,177.02,156.84,225.1,75.69,135.43,228.2,194.58,274.77,172.92,195.0,196.8,146.71,206.43,358.47,293.38,140.38,179.71,121.17,151.77,126.64,145.62,367.33,209.55,147.12,169.89,119.76,171.18,230.57,202.56,152.88,128.12,210.83,158.44,180.1,253.57,202.44,133.51,142.13,139.06,158.98,144.6,313.62,191.12,185.27,292.15,219.89,282.0,112.62,211.83,237.73,198.53,156.36,231.54,151.17,78.47,196.86,508.0,157.43,81.45
2,169.87,249.5,193.37,194.78,167.31,98.85,182.0,318.88,147.7,180.08,164.78,160.96,234.75,131.2,554.0,220.27,129.5,135.08,134.47,160.65,255.05,164.45,126.29,158.61,167.6,143.14,223.1,207.68,202.26,237.03,153.41,330.93,330.29,310.5,362.77,264.19,231.71,154.0,139.57,214.06,223.82,108.92,280.64,140.31,123.35,147.57,282.34,193.68,168.33,148.96,226.83,378.33,143.66,229.47,217.53,415.69,117.67,233.6,539.67,263.57,0.0,165.09,176.36,155.32,185.2,149.33,231.42,242.32,319.27,102.81,137.86,319.73,211.25,239.41,197.58,197.28,174.4,279.1,268.53,664.0,122.27,259.84,132.29,112.62,519.43,141.03,166.62,146.13,443.26,152.69,139.11,259.73,414.89,70.62,118.24,312.91,126.06,138.75,48.83,92.0,245.94,166.57,140.41,335.6,157.25,132.0,141.22,251.68,135.65,377.0,185.88,121.81,115.39,175.57,131.09,204.71,140.0,201.49,126.91,208.55,121.84,138.33,161.95,154.37,161.2,136.67,294.13,127.78,215.48,174.05,391.81,107.18,147.44,124.23,119.02,141.6,178.52,320.8,80.07,198.84
3,152.37,199.67,210.08,170.17,216.32,206.33,225.28,308.5,231.18,143.19,148.43,112.42,192.26,116.08,233.38,365.0,234.62,152.6,167.76,140.2,139.73,104.14,141.67,127.24,196.35,180.19,156.47,166.6,233.85,242.88,159.36,606.59,158.28,863.2,324.71,145.54,154.67,262.93,190.93,169.14,106.31,138.48,357.45,129.88,198.57,125.8,158.0,156.96,172.11,200.72,256.97,202.4,157.91,134.15,180.65,278.19,364.38,186.38,280.0,241.95,462.78,201.6,196.87,177.41,370.8,231.74,124.29,368.57,378.71,311.4,211.43,1136.29,183.49,260.56,177.5,307.5,192.85,113.79,204.44,187.91,162.17,126.93,129.48,110.12,352.73,200.5,457.09,151.7,193.4,164.53,255.17,180.48,82.06,128.0,266.09,177.9,190.22,247.26,116.17,167.27,208.56,135.2,200.53,548.89,223.79,340.89,140.93,166.85,218.67,420.84,194.67,319.69,233.1,244.32,187.27,170.67,228.0,257.22,273.16,236.33,157.62,320.77,168.44,316.73,180.07,277.08,218.76,461.79,266.11,160.0,167.67,176.0,207.29,186.42,422.25,186.63,155.06,253.41,177.27,104.44
4,263.22,333.69,127.21,171.92,212.53,126.57,79.43,192.0,214.78,184.29,254.57,512.95,150.21,276.25,414.51,141.62,131.75,190.59,305.0,156.31,220.9,204.11,160.49,112.65,150.17,103.59,197.09,278.07,181.17,274.19,115.94,578.77,201.94,482.33,180.27,213.09,178.35,197.67,148.3,268.63,164.51,156.47,123.61,271.31,167.18,139.6,340.92,254.77,245.68,170.6,157.6,497.5,430.95,224.54,249.0,160.38,233.18,212.09,187.04,150.59,232.78,144.8,204.47,171.07,179.55,175.76,178.69,160.47,124.57,117.02,119.6,213.33,140.94,106.11,369.6,180.27,247.88,200.37,667.37,128.75,135.54,252.85,95.82,369.77,197.95,220.87,239.64,186.36,154.04,275.16,167.11,139.22,195.71,107.64,174.75,98.59,137.65,73.31,211.2,161.06,182.64,84.85,114.21,140.75,131.79,113.1,252.0,134.29,201.74,115.06,385.29,212.7,143.22,138.16,252.67,188.3,175.9,181.02,240.11,325.42,157.84,216.11,188.26,640.76,162.97,332.86,263.33,172.88,182.45,348.33,195.88,177.76,182.17,390.86,209.62,255.44,98.08,278.74,113.88,296.96
5,186.62,140.17,202.91,174.27,112.8,142.77,275.26,392.0,261.29,198.92,153.05,318.29,178.23,160.52,66.32,255.23,193.67,215.71,201.52,167.2,286.48,194.13,202.55,237.6,188.0,162.84,225.74,255.5,251.11,204.3,130.45,646.74,93.52,219.23,248.77,537.22,241.06,170.76,128.65,208.33,175.56,274.0,845.33,203.86,202.87,166.64,91.17,204.38,255.23,151.48,169.49,204.83,177.03,96.48,383.14,373.8,137.42,222.63,270.3,217.62,310.67,216.29,170.3,143.67,145.77,141.71,134.77,302.0,299.27,166.46,271.29,185.4,256.07,173.43,354.44,117.17,222.0,282.06,262.24,345.33,274.84,227.7,164.27,173.17,117.6,250.15,210.23,192.33,336.67,110.07,413.08,575.18,467.64,165.54,187.18,253.37,114.04,295.35,741.2,191.08,143.93,239.68,525.19,640.8,159.04,391.52,237.06,108.49,224.12,405.69,151.1,196.57,112.53,90.93,191.08,214.67,160.22,127.4,196.57,122.04,187.61,281.5,152.73,219.19,188.75,160.56,179.23,342.82,193.57,120.94,193.12,323.31,167.71,133.87,204.63,190.32,183.32,79.1,329.6,215.79
6,369.9,188.37,231.88,142.84,158.56,216.5,82.62,2073.33,156.34,155.5,159.28,185.52,121.46,107.79,201.24,173.91,349.71,159.11,262.67,248.43,257.33,299.52,102.06,220.47,312.46,235.0,237.14,276.17,142.06,162.55,201.64,198.53,380.4,473.43,149.04,393.78,265.33,160.86,153.0,250.79,172.84,212.17,399.23,145.19,181.55,212.32,223.07,194.64,290.0,330.0,300.84,110.58,371.83,179.08,303.04,193.26,153.4,175.78,352.34,206.63,214.05,129.68,82.72,189.45,242.73,133.74,148.24,301.04,222.74,473.54,192.73,124.78,103.64,428.42,247.84,375.0,227.71,203.4,125.91,317.42,179.4,159.37,129.7,104.95,358.26,151.62,133.85,148.0,166.67,224.15,168.31,184.0,168.32,164.0,205.62,140.64,160.28,213.31,247.62,108.0,100.07,105.8,199.51,169.14,148.74,276.88,126.2,138.58,81.78,174.22,153.6,152.35,242.38,201.24,395.6,257.42,176.39,159.88,173.04,129.5,178.69,259.6,224.4,153.23,262.07,318.35,239.66,173.48,295.59,138.05,283.72,156.24,139.29,192.74,524.27,146.16,132.49,130.06,266.93,273.28
7,132.92,110.99,438.73,181.15,298.77,123.51,544.13,418.0,231.41,176.6,158.85,218.4,143.71,260.67,149.14,170.26,231.66,284.36,89.6,202.96,707.79,122.91,205.71,339.69,231.74,352.41,125.5,145.96,355.79,181.33,182.84,148.89,288.69,228.47,334.29,141.02,144.9,197.23,116.9,166.53,182.09,148.33,117.74,257.55,224.67,173.1,294.94,202.2,256.0,454.17,394.0,172.7,266.33,137.0,343.33,239.45,267.2,230.44,128.3,248.24,165.56,136.25,178.64,172.43,245.78,150.18,125.02,278.29,118.21,158.29,135.69,132.24,158.89,185.08,96.11,273.9,383.33,163.18,100.26,232.0,131.54,186.04,225.12,116.63,1169.14,325.57,183.42,155.45,296.65,217.23,303.33,453.23,125.37,307.33,233.33,113.33,115.38,204.1,198.2,136.22,153.55,120.5,316.12,190.06,196.61,150.54,105.9,191.22,240.52,144.31,159.6,305.09,151.35,237.44,375.81,226.6,253.95,118.17,166.67,165.79,208.36,245.48,206.75,173.93,229.83,275.79,267.81,123.83,146.07,131.62,203.52,199.9,294.27,226.73,210.48,323.03,177.13,381.22,176.92,134.21
8,147.53,128.21,150.55,249.65,123.53,308.0,157.37,149.48,105.1,177.62,169.21,1060.92,201.0,405.62,336.0,222.48,176.82,128.18,177.45,201.82,123.24,145.96,128.57,148.64,215.41,205.12,135.08,121.11,190.72,474.0,169.04,156.0,261.2,141.78,253.5,287.62,327.29,213.48,150.89,165.05,128.7,306.55,110.44,127.24,170.13,160.51,236.83,161.49,290.2,134.08,263.64,193.27,146.61,356.41,277.74,242.76,332.13,304.87,360.57,273.69,201.26,258.05,204.17,128.76,399.81,129.33,149.37,142.53,1285.14,355.75,197.95,127.68,304.09,536.2,414.86,250.07,408.36,196.09,153.81,340.69,235.89,138.27,105.62,139.0,385.0,359.2,210.84,228.57,304.0,121.44,233.4,77.25,133.33,695.57,129.53,153.33,130.75,131.85,412.8,229.6,243.48,130.45,156.21,171.17,276.74,215.27,260.0,94.1,502.44,183.06,281.89,396.8,486.38,190.91,319.83,116.36,183.45,287.41,134.05,149.14,277.3,222.86,219.85,178.43,383.43,238.78,298.61,132.8,209.14,183.29,298.91,156.96,140.6,253.71,153.8,181.28,215.41,213.57,331.05,266.0
9,260.3,194.15,85.6,158.54,164.95,234.25,189.27,220.5,125.73,141.39,147.67,159.81,183.89,221.1,148.0,119.26,156.0,257.3,152.0,167.33,136.83,116.95,152.4,123.91,309.73,221.66,292.21,219.64,231.08,176.73,367.71,439.83,172.8,120.28,232.42,251.2,189.56,358.86,186.48,104.1,134.05,207.05,284.0,184.71,139.02,155.68,122.72,96.27,88.61,139.26,170.1,135.27,148.6,171.18,151.89,183.37,104.67,131.31,306.22,156.15,192.76,117.03,115.37,78.21,175.9,236.12,175.83,174.38,161.23,174.94,95.66,415.06,109.14,192.12,472.0,284.41,160.83,165.0,478.23,128.0,119.64,344.22,213.0,189.57,232.7,132.86,124.32,173.55,330.62,247.89,175.22,203.89,168.73,161.56,275.88,86.67,334.29,115.49,223.0,243.66,207.74,118.03,284.0,594.71,281.55,168.27,297.83,325.5,154.61,229.76,505.29,281.44,118.87,246.75,218.78,240.39,228.59,166.4,208.49,171.5,195.4,176.1,551.79,216.93,299.81,408.55,537.85,713.6,132.35,399.46,218.84,157.65,93.88,234.88,142.48,264.33,116.33,176.47,191.68,184.82
