svctm,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,25.64,30.3,38.46,20.41,25.64,28.57,27.03,66.67,19.61,20.41,15.62,43.48,41.67,25.64,34.48,43.48,16.39,40.0,20.0,19.61,24.39,31.25,23.35,18.87,29.41,22.22,20.83,83.33,41.67,33.33,31.25,142.86,33.33,31.25,26.32,40.0,29.41,45.45,19.61,16.67,27.03,18.87,22.73,27.78,38.46,58.82,33.47,15.15,22.73,21.28,41.67,19.23,29.41,14.71,66.67,24.39,52.63,41.67,29.41,50.0,22.22,22.22,22.73,43.48,33.33,24.39,29.41,27.78,37.04,12.99,12.66,71.43,41.67,16.95,37.04,27.78,18.87,8.0,34.48,55.56,23.81,45.45,21.28,33.33,37.19,38.46,23.26,17.24,47.62,19.61,23.26,25.0,21.28,27.03,66.67,21.28,20.0,26.32,21.28,45.45,18.18,26.32,40.0,20.0,15.15,28.57,18.87,26.32,47.62,28.57,22.73,29.41,37.04,21.28,16.67,22.73,25.64,23.26,28.57,25.64,18.87,25.64,83.33,23.81,27.03,27.78,20.49,76.92,15.87,20.41,38.46,16.39,9.62,11.24,23.81,17.86,47.62,38.46,16.39,25.0
1,38.46,35.71,23.81,37.04,27.78,30.3,21.28,333.33,15.15,19.23,43.48,43.48,37.04,30.3,40.0,37.04,32.26,19.61,12.66,18.59,30.3,23.81,25.64,24.39,21.28,14.29,32.26,31.25,30.3,23.81,22.73,41.67,24.39,55.56,30.3,71.43,15.87,23.81,16.67,27.78,17.93,15.15,50.0,30.3,26.32,18.87,26.32,21.74,30.3,26.32,27.03,32.26,21.74,24.39,28.57,18.52,26.32,25.0,41.67,26.32,58.82,23.26,20.41,20.0,28.57,23.26,18.52,32.26,43.48,41.67,13.7,34.48,23.81,28.57,19.23,26.32,16.95,25.64,45.45,47.62,16.67,21.28,23.35,34.9,11.24,17.86,50.0,20.83,76.92,20.83,50.0,40.0,29.41,21.74,29.41,34.62,15.62,17.86,24.39,19.23,18.87,19.23,41.67,32.26,15.62,26.32,14.71,22.73,23.81,40.0,20.0,29.41,17.24,24.39,23.81,43.48,27.78,16.39,16.13,19.61,18.18,21.28,31.25,24.39,22.73,37.04,27.67,50.0,19.23,43.48,33.33,20.41,18.18,38.46,34.48,9.09,19.61,76.92,17.86,9.52
2,33.33,20.83,26.32,20.41,19.23,19.23,21.74,23.26,25.0,20.41,21.74,21.74,31.25,15.38,100.0,66.67,20.83,19.23,21.28,23.26,23.81,18.87,17.86,20.41,25.0,19.61,20.41,40.0,25.64,28.57,19.61,33.33,47.62,62.5,38.46,23.26,23.81,22.73,17.86,28.57,22.22,15.38,40.0,19.23,18.18,21.28,34.48,20.0,20.83,18.52,24.39,41.67,21.28,26.32,29.41,76.92,41.67,28.57,83.33,35.71,0.0,30.3,22.73,24.39,33.33,25.64,20.83,52.63,90.91,27.03,23.26,66.67,31.25,37.04,26.32,40.0,40.0,32.26,66.67,100.0,19.61,40.0,14.71,19.23,142.29,25.64,34.48,33.33,26.32,19.23,111.11,66.67,55.56,8.85,29.41,45.45,16.13,31.25,10.87,23.81,32.26,23.81,25.64,100.0,19.61,52.84,20.41,40.0,29.41,125.0,19.61,23.81,30.3,27.03,14.29,22.22,21.28,28.57,30.3,34.48,15.87,23.26,24.39,37.04,33.33,23.81,66.93,27.78,21.74,23.26,47.62,20.41,20.0,28.57,17.54,22.22,21.74,40.0,9.01,22.22
3,18.52,27.78,20.83,21.74,26.32,18.18,40.0,41.67,25.64,14.49,21.74,52.63,21.74,19.61,34.48,25.0,38.46,21.28,29.41,16.67,22.22,17.24,20.83,23.81,21.74,23.26,23.26,50.2,38.46,40.0,22.73,58.82,17.24,100.0,35.71,38.46,20.83,33.33,24.39,28.57,14.08,23.81,22.73,29.41,17.86,16.67,20.83,21.74,27.78,25.64,27.03,40.0,22.73,25.64,32.26,32.26,23.81,27.03,29.41,24.39,27.78,22.22,43.48,19.61,33.33,21.74,24.39,20.49,32.26,21.28,23.81,71.43,25.64,23.26,25.0,25.0,30.3,21.28,111.11,22.73,20.83,17.86,15.38,58.82,45.64,20.83,45.45,18.87,25.0,33.33,18.87,30.3,32.26,20.41,22.73,23.81,27.78,26.32,43.48,16.67,23.26,18.18,26.32,111.11,26.32,37.04,23.26,17.02,37.04,26.32,47.62,25.64,25.0,26.32,30.3,27.78,23.81,27.78,32.26,27.78,21.28,32.26,27.78,91.27,17.54,38.46,23.81,34.48,52.63,31.25,20.83,18.18,35.71,30.3,31.25,28.57,19.61,29.41,24.39,22.22
4,24.39,38.46,17.86,20.83,22.22,18.87,23.81,43.48,27.78,35.71,23.81,47.62,26.32,31.25,23.26,23.81,20.83,27.03,27.78,19.23,32.26,26.32,24.39,32.26,28.57,25.64,30.42,37.04,41.67,32.26,15.38,76.92,30.3,41.67,33.33,45.45,29.41,23.26,18.52,26.32,21.28,23.26,32.26,28.57,25.64,20.0,38.46,38.46,52.63,23.26,33.33,41.67,52.63,19.31,62.5,31.25,29.41,23.26,40.0,27.03,24.39,40.0,29.41,17.86,22.73,20.0,20.41,29.41,71.43,21.28,25.0,41.67,29.41,26.32,100.0,22.73,29.41,23.26,52.63,31.25,28.57,19.23,22.22,23.26,24.39,43.48,22.73,22.73,20.41,23.26,27.78,27.78,71.43,30.3,31.25,27.03,14.71,8.0,200.0,29.41,22.73,12.5,17.86,62.5,17.24,19.61,34.62,15.87,43.48,29.41,35.71,43.48,21.74,20.0,27.78,18.52,25.74,21.28,26.32,32.26,27.03,27.78,16.39,47.62,28.57,27.03,27.78,31.25,32.26,27.78,31.25,29.65,28.57,28.57,31.25,27.78,9.8,28.57,31.25,40.0
5,38.46,20.83,30.3,22.73,16.67,19.23,37.04,500.0,29.41,19.23,17.54,142.86,16.39,18.52,11.36,32.26,27.78,35.71,47.62,50.0,47.62,33.33,45.45,40.0,111.11,18.18,43.3,25.0,37.04,25.0,14.93,52.63,34.48,38.46,19.23,43.48,29.41,18.18,16.13,20.41,22.22,29.41,111.11,35.71,25.64,18.87,15.87,23.81,32.26,32.26,23.26,20.83,25.64,20.0,27.03,25.0,20.92,28.57,30.3,21.28,37.04,35.71,16.39,20.41,23.26,23.81,12.82,71.43,90.91,38.46,29.41,23.26,18.18,35.71,27.78,41.67,35.71,32.26,40.0,33.33,22.22,37.04,22.22,17.24,33.33,25.64,23.26,20.83,27.78,16.67,27.03,29.41,30.3,25.64,22.73,26.32,20.41,27.03,100.0,20.83,16.67,20.0,27.03,50.0,20.0,30.3,29.41,15.38,15.62,38.46,25.0,35.71,26.32,17.86,38.46,27.78,27.03,18.87,23.81,17.54,24.39,41.67,22.73,18.52,18.87,23.26,32.26,29.41,17.86,19.61,23.26,34.48,23.81,21.28,52.63,26.32,18.87,16.13,66.67,25.64
6,25.0,18.52,30.3,26.32,27.89,31.25,31.25,333.33,21.28,20.83,20.0,34.48,15.87,25.64,23.81,22.73,28.57,37.04,33.33,35.71,47.62,30.3,15.62,29.53,28.57,35.71,23.9,21.28,30.3,17.24,25.64,26.32,100.0,71.43,21.74,37.04,37.04,23.81,25.0,30.3,26.32,21.28,38.46,18.52,32.26,27.03,23.26,21.28,33.33,55.56,52.63,15.38,41.67,25.64,40.0,28.69,25.0,27.03,28.57,28.57,25.64,32.26,18.94,30.3,45.45,14.49,20.41,20.0,52.63,38.46,20.41,24.39,30.3,52.63,40.0,41.67,24.39,25.0,22.73,20.83,25.0,26.32,21.28,15.87,43.48,47.62,18.52,20.0,41.67,37.04,38.46,52.63,27.14,32.26,27.03,22.73,34.48,20.41,47.62,13.51,16.95,14.49,24.39,47.62,26.32,24.39,16.67,15.38,18.52,22.22,33.33,29.41,23.81,34.48,50.0,32.26,32.26,31.25,37.04,15.62,17.24,33.33,33.33,25.64,37.04,58.82,28.57,37.04,25.64,27.03,34.48,19.61,22.22,26.32,66.67,27.03,17.54,32.26,66.67,40.0
7,20.83,14.08,45.45,19.23,25.64,20.41,32.26,35.71,29.41,21.28,19.23,50.0,24.39,41.67,28.57,25.64,28.57,22.73,22.22,43.48,52.63,14.29,20.41,19.61,21.28,34.48,17.86,18.18,26.32,37.04,22.22,27.78,34.48,19.61,35.71,16.95,20.41,25.64,17.24,26.32,21.74,27.78,21.74,20.41,27.78,25.0,29.41,25.0,25.0,41.67,62.5,21.74,27.78,41.67,55.56,45.45,66.67,55.56,25.0,30.3,24.39,31.25,22.64,27.03,37.04,18.18,21.28,47.62,34.48,35.71,15.62,20.0,27.89,38.46,27.78,25.0,55.56,29.41,21.74,32.26,16.39,21.28,17.54,15.87,71.43,43.48,20.83,22.73,32.26,25.64,41.67,76.92,24.39,55.56,27.78,27.78,31.25,23.81,50.0,27.78,22.73,13.89,30.3,30.3,30.3,24.39,23.81,21.74,43.48,19.61,50.0,45.45,32.26,40.0,47.62,25.0,27.03,28.57,37.04,21.28,45.45,37.04,31.25,34.48,41.67,26.32,47.62,43.48,34.48,19.23,40.0,25.0,19.61,45.45,47.62,34.48,21.74,27.78,38.46,21.28
8,16.67,17.86,30.3,29.41,14.71,76.92,26.32,37.04,25.0,23.81,23.26,76.92,41.67,31.25,30.3,23.81,22.73,22.22,30.3,45.45,17.24,19.69,15.87,22.73,29.41,31.25,25.64,15.38,40.0,100.0,21.74,52.63,100.0,18.52,41.67,47.62,58.82,37.04,55.56,16.39,21.74,91.27,55.56,17.24,22.22,18.18,34.48,28.57,25.0,19.23,30.3,24.39,21.74,25.64,43.48,23.81,33.33,21.74,71.43,38.46,28.57,23.26,43.65,23.81,47.62,15.87,24.39,17.54,71.43,31.25,24.39,27.03,23.26,50.0,35.71,34.48,30.3,21.74,32.26,34.48,26.32,22.73,15.62,17.86,41.67,40.0,26.32,23.81,71.43,13.89,23.26,20.83,27.78,35.71,29.41,166.67,62.5,18.18,50.0,28.57,32.26,16.13,25.64,41.67,37.04,45.45,90.91,15.87,24.39,29.41,26.32,33.33,31.25,30.3,41.67,18.18,19.61,37.04,23.26,17.86,27.03,23.81,38.46,21.74,71.43,43.48,43.48,66.67,23.81,35.71,30.3,20.0,21.28,28.57,19.61,40.0,29.41,21.74,16.95,21.83
9,37.04,24.39,18.18,24.39,23.81,31.25,45.45,62.5,19.61,20.41,16.73,23.81,14.08,19.61,14.29,26.32,18.52,23.26,40.0,55.56,34.48,26.32,33.33,22.22,33.33,34.48,25.64,30.3,38.46,30.3,71.43,41.67,66.67,17.31,26.32,50.0,55.56,47.62,47.62,12.82,25.64,47.62,66.67,29.41,20.41,40.0,21.28,22.22,15.15,23.26,47.62,20.41,18.87,20.41,27.03,26.32,41.67,28.57,55.56,19.23,27.03,28.57,52.63,21.28,23.81,30.3,21.74,27.03,38.46,20.41,21.28,29.41,71.43,31.25,55.56,34.48,20.83,25.0,19.23,22.22,15.15,27.03,22.73,21.74,43.48,35.71,13.33,22.73,16.39,28.57,24.39,27.03,30.3,18.52,30.3,83.33,47.62,14.29,62.5,21.28,32.26,14.93,30.3,29.41,22.73,22.73,20.83,41.67,21.74,24.39,32.26,27.89,14.08,20.83,16.95,32.26,24.39,50.0,20.41,41.67,25.0,23.81,52.63,17.86,23.81,45.45,38.46,40.0,17.54,27.03,26.32,19.61,15.15,31.25,34.48,83.33,16.39,23.26,27.03,25.64
