%iowait,aceph01,aceph02,aceph03,aceph04
0,0.25,0.13,0.13,3.5
1,0.12,0.13,0.0,0.75
2,0.0,0.0,0.88,1.14
3,0.25,0.62,1.64,5.89
4,0.0,7.69,2.75,3.13
5,0.25,11.42,25.51,11.64
6,1.12,17.02,12.2,13.1
7,6.21,19.8,1.0,11.52
8,4.67,3.51,1.13,15.28
9,12.09,10.9,4.02,20.59
10,42.77,35.87,21.48,29.46
11,66.75,35.7,58.48,40.23
12,53.07,21.47,61.96,52.97
13,49.69,27.2,39.34,50.56
14,53.28,37.99,52.07,54.24
15,47.1,43.95,59.7,61.33
16,45.08,43.48,61.01,50.63
17,27.36,23.25,29.31,60.35
18,54.31,38.92,37.92,21.2
19,53.07,40.5,30.98,39.85
20,43.84,40.4,46.47,49.06
21,46.14,47.26,45.55,55.68
22,58.56,41.93,43.69,42.2
23,65.21,50.19,36.12,54.89
24,41.22,44.0,36.59,56.96
25,44.01,35.96,37.63,51.84
26,37.4,34.72,34.39,53.04
27,40.78,47.82,38.44,46.28
28,34.54,45.7,45.98,59.05
29,25.29,35.31,25.66,41.99
30,47.16,55.71,51.75,18.58
31,46.38,35.05,36.87,34.91
32,37.32,37.67,29.91,41.35
33,35.81,30.13,42.77,31.15
34,41.97,47.78,52.45,44.8
35,28.72,38.81,56.73,56.37
36,28.81,33.96,36.95,55.51
37,34.39,30.76,50.83,31.86
38,29.49,33.97,41.98,29.63
39,32.44,42.39,36.99,29.35
40,41.99,43.49,40.83,26.13
41,27.2,30.11,43.09,41.58
42,24.68,23.09,45.21,36.26
43,19.52,16.65,28.19,25.56
44,26.5,26.19,38.83,18.77
45,36.21,38.33,32.29,35.77
46,26.8,46.38,32.74,36.89
47,35.03,38.97,45.67,33.96
48,46.69,38.22,43.73,46.46
49,24.59,11.65,25.67,53.27
50,24.58,8.58,31.26,23.59
51,32.23,32.2,39.1,28.72
52,55.26,46.52,38.5,28.62
53,51.07,42.14,30.43,52.63
54,33.54,32.49,29.47,55.85
55,17.56,14.07,18.64,38.61
56,30.14,23.31,14.64,35.5
57,33.46,51.76,49.18,25.38
58,28.72,27.97,36.62,49.75
59,24.53,36.42,42.8,40.05
60,52.69,57.21,48.73,31.94
61,49.37,63.22,40.43,55.39
62,31.6,44.68,40.61,50.63
63,22.98,39.82,30.93,38.28
64,24.71,31.77,32.53,23.77
65,39.34,37.56,52.04,26.82
66,47.02,45.53,56.22,33.08
67,54.41,59.35,69.65,30.1
