%sys,aceph01,aceph02,aceph03,aceph04
0,10.97,11.4,10.65,10.62
1,10.72,10.28,11.0,10.65
2,10.92,12.16,11.49,10.9
3,10.26,10.86,11.48,10.63
4,10.88,10.72,10.11,11.4
5,10.79,10.03,8.72,11.25
6,11.46,9.81,11.05,10.69
7,10.01,10.47,11.92,11.01
8,9.97,11.67,10.01,9.47
9,9.67,10.15,11.04,9.86
10,6.29,5.96,5.28,7.65
11,2.52,2.03,2.66,5.64
12,3.5,3.87,2.9,2.53
13,2.26,1.89,1.64,2.87
14,2.02,1.38,1.88,2.12
15,1.51,1.64,2.0,2.13
16,2.02,2.26,2.39,2.39
17,6.56,7.75,7.3,1.88
18,3.55,4.66,4.01,9.03
19,2.0,2.24,2.52,4.26
20,4.7,2.51,1.89,2.5
21,4.42,3.36,4.14,2.15
22,3.27,2.63,2.78,3.12
23,1.8,3.25,2.53,2.54
24,4.33,3.38,3.43,2.91
25,5.61,3.37,3.41,4.19
26,5.22,5.5,5.46,4.68
27,3.41,2.49,2.76,4.47
28,3.63,4.18,2.76,2.89
29,6.84,4.92,7.42,4.29
30,1.89,1.76,2.26,7.46
31,3.43,3.02,3.79,2.0
32,3.82,2.28,5.26,3.76
33,3.96,5.19,3.59,5.04
34,2.02,1.77,1.25,4.19
35,2.77,2.78,2.64,1.01
36,4.28,5.26,4.54,3.26
37,4.19,5.06,3.83,3.9
38,4.36,4.34,3.56,4.07
39,5.47,4.15,5.05,4.6
40,1.89,2.4,1.9,5.4
41,3.9,3.64,3.58,2.51
42,3.94,5.27,4.85,3.51
43,8.37,6.79,6.89,5.11
44,8.5,6.52,4.44,6.39
45,5.59,4.99,4.4,4.83
46,5.44,4.25,4.42,4.89
47,4.59,5.3,5.27,6.84
48,2.42,2.01,1.75,4.29
49,7.28,8.1,6.73,2.02
50,6.08,8.83,7.88,8.46
51,2.93,2.78,2.63,5.21
52,2.28,1.64,2.0,2.38
53,2.53,2.26,3.28,2.26
54,4.67,4.55,5.16,3.77
55,9.1,7.54,8.06,3.92
56,6.47,7.77,9.8,7.63
57,4.33,4.02,3.15,8.46
58,8.31,6.96,7.0,3.15
59,6.92,5.51,4.88,6.17
60,3.13,3.23,2.54,7.73
61,1.76,2.87,2.52,3.26
62,1.65,3.25,2.27,2.14
63,5.65,4.52,6.31,2.66
64,6.56,5.59,7.44,5.18
65,4.34,5.15,4.59,5.64
66,4.06,3.4,3.55,6.21
67,2.14,1.51,1.64,4.03
68,4.9,5.6,2.76,2.02
69,1.52,1.5,2.01,4.6
70,4.99,5.1,6.3,2.75
71,7.2,5.04,4.87,6.81
72,6.35,6.34,6.86,5.17
73,5.89,3.63,3.16,4.96
74,3.13,1.62,1.89,3.79
75,4.16,2.51,3.78,2.49
76,2.28,1.26,1.76,3.52
77,4.83,6.46,3.53,2.12
78,6.79,6.28,7.98,7.42
79,2.14,2.28,2.01,7.12
80,4.44,5.15,5.3,2.39
81,3.4,3.28,2.91,4.39
82,2.65,2.4,2.27,3.67
83,7.18,3.84,5.63,3.79
84,3.97,2.52,2.9,4.54
85,3.81,3.8,4.3,2.16
86,5.1,5.09,6.22,4.57
87,3.38,5.48,4.78,4.22
88,5.73,4.19,3.82,4.06
89,2.74,2.4,2.13,4.67
90,8.14,6.51,5.04,1.39
91,3.05,3.76,3.39,5.59
92,7.96,5.33,4.38,3.8
