%usr,aceph01,aceph02,aceph03,aceph04
0,87.03,86.09,87.09,66.25
1,87.28,88.35,87.62,83.46
2,87.7,85.96,85.61,79.85
3,87.48,86.52,84.36,69.53
4,87.88,76.17,84.14,80.45
5,87.45,73.35,56.28,71.61
6,86.18,68.82,69.0,72.01
7,80.74,66.2,84.94,70.76
8,82.2,82.81,86.86,69.07
9,75.95,76.32,79.92,59.19
10,39.62,38.4,34.67,51.15
11,11.96,12.53,12.41,30.45
12,18.27,16.73,16.37,13.53
13,9.94,7.43,7.44,16.73
14,6.94,7.42,7.51,7.48
15,8.31,7.68,7.76,7.01
16,7.83,7.39,7.8,7.04
17,45.02,53.88,46.29,7.4
18,18.91,21.66,21.28,53.83
19,11.26,9.19,13.22,25.06
20,25.79,12.8,12.09,10.11
21,20.48,17.91,15.18,8.46
22,13.35,12.02,12.12,13.73
23,15.4,13.64,17.49,13.72
24,22.65,18.62,20.58,15.7
25,33.16,18.48,19.82,24.52
26,30.92,31.17,28.93,24.94
27,12.12,10.59,10.43,24.69
28,18.27,21.77,15.58,9.55
29,37.03,29.51,45.03,14.63
30,7.82,8.03,8.65,39.82
31,22.24,15.45,18.56,8.23
32,25.99,14.41,26.03,17.67
33,28.26,33.04,20.36,33.92
34,7.84,6.97,4.14,21.19
35,12.47,11.63,11.19,4.04
36,20.25,26.32,19.92,11.4
37,22.72,31.9,17.5,17.38
38,30.9,22.99,22.52,20.62
39,29.39,23.4,22.98,24.0
40,13.75,12.01,14.41,26.13
41,17.76,15.43,21.1,11.68
42,24.55,23.96,31.42,17.57
43,52.6,43.15,39.41,23.57
44,44.75,40.35,29.7,36.78
45,26.43,23.97,25.0,29.46
46,35.52,27.38,26.55,24.72
47,29.43,27.74,31.24,34.58
48,15.14,10.78,8.9,23.48
49,47.8,44.81,46.89,11.46
50,37.0,56.59,50.19,50.64
51,16.18,12.88,14.04,33.16
52,7.48,5.44,8.25,11.62
53,14.29,13.21,19.44,7.64
54,30.64,25.03,32.12,17.61
55,55.26,53.02,48.74,20.89
56,43.98,48.12,50.5,46.06
57,24.05,19.6,16.39,52.65
58,43.58,43.8,35.62,18.26
59,57.74,34.54,33.03,36.02
60,16.15,13.93,10.66,46.51
61,8.67,9.1,8.94,17.17
62,8.63,11.76,11.6,11.81
63,36.2,29.27,41.04,9.76
64,37.07,34.82,46.41,31.86
65,26.95,30.65,26.79,33.96
66,19.14,18.74,20.43,27.38
67,8.19,9.16,4.53,17.38
68,28.77,33.33,17.09,7.81
69,8.09,7.62,7.54,23.63
70,33.5,27.61,36.27,7.62
71,37.25,28.78,30.22,37.58
72,31.26,40.92,42.19,23.83
73,27.14,20.3,21.21,26.94
74,8.76,8.61,7.18,18.43
75,22.32,15.2,20.78,7.97
76,11.9,9.86,6.68,13.69
77,29.48,30.51,25.31,5.49
78,41.92,42.56,46.13,42.84
79,9.08,8.98,10.9,46.44
