avgqu-sz,aceph01,aceph02,aceph03,aceph04
0,0.007,0.009,0.013,0.012
1,0.014,0.011,0.015,0.008
2,0.013,0.011,0.012,0.011
3,0.012,0.014,0.019,0.015
4,0.01,0.012,0.015,0.014
5,0.014,0.008,0.011,0.01
6,0.01,0.012,0.013,0.013
7,0.016,0.006,0.018,0.01
8,0.009,0.01,0.012,0.011
9,0.012,0.014,0.009,0.008
10,0.012,0.008,0.009,0.013
11,0.001,0.001,0.001,0.001
12,0.0,0.001,0.001,0.002
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.003,0.0,0.004
18,0.007,0.006,0.006,0.006
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.005,0.001,0.003,0.001
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.001,0.0,0.001,0.002
25,0.004,0.002,0.0,0.001
26,0.005,0.006,0.004,0.003
27,0.002,0.001,0.0,0.005
28,0.0,0.0,0.0,0.0
29,0.003,0.001,0.002,0.001
30,0.004,0.001,0.005,0.003
31,0.0,0.0,0.0,0.0
32,0.002,0.0,0.002,0.001
33,0.007,0.008,0.006,0.004
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.001,0.0,0.0
37,0.005,0.004,0.004,0.002
38,0.0,0.0,0.001,0.001
39,0.002,0.004,0.001,0.002
40,0.0,0.0,0.001,0.001
41,0.0,0.0,0.001,0.0
42,0.0,0.0,0.002,0.002
43,0.007,0.003,0.007,0.005
44,0.003,0.012,0.006,0.009
45,0.004,0.002,0.001,0.002
46,0.0,0.0,0.0,0.0
47,0.007,0.006,0.005,0.007
48,0.0,0.0,0.0,0.0
49,0.003,0.002,0.006,0.003
50,0.004,0.01,0.007,0.012
51,0.003,0.009,0.0,0.002
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.001,0.002,0.0,0.003
55,0.007,0.011,0.009,0.007
56,0.004,0.01,0.007,0.006
57,0.006,0.003,0.004,0.008
58,0.01,0.008,0.009,0.006
59,0.005,0.003,0.004,0.003
60,0.002,0.003,0.0,0.002
61,0.001,0.0,0.0,0.0
62,0.002,0.001,0.001,0.003
63,0.002,0.001,0.002,0.002
64,0.003,0.003,0.004,0.005
65,0.004,0.006,0.008,0.003
66,0.001,0.005,0.003,0.001
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.003,0.001,0.002,0.001
70,0.003,0.002,0.002,0.003
71,0.005,0.005,0.008,0.001
72,0.005,0.004,0.002,0.002
73,0.006,0.003,0.002,0.002
74,0.001,0.0,0.001,0.001
75,0.0,0.0,0.0,0.0
76,0.004,0.001,0.005,0.002
77,0.001,0.003,0.003,0.004
78,0.003,0.006,0.005,0.011
79,0.001,0.003,0.003,0.001
80,0.0,0.0,0.002,0.001
81,0.001,0.0,0.005,0.005
82,0.0,0.001,0.001,0.001
83,0.002,0.001,0.0,0.0
84,0.003,0.0,0.001,0.0
85,0.0,0.001,0.003,0.0
86,0.005,0.003,0.006,0.004
87,0.002,0.002,0.004,0.0
88,0.003,0.006,0.003,0.002
89,0.001,0.001,0.003,0.003
90,0.003,0.002,0.007,0.005
91,0.001,0.001,0.0,0.0
92,0.001,0.0,0.004,0.009
93,0.003,0.003,0.003,0.004
94,0.001,0.007,0.002,0.002
95,0.002,0.009,0.003,0.001
96,0.002,0.006,0.002,0.004
97,0.0,0.0,0.002,0.002
98,0.001,0.001,0.001,0.0
99,0.008,0.008,0.005,0.01
100,0.001,0.002,0.004,0.002
101,0.003,0.005,0.004,0.001
102,0.013,0.009,0.013,0.003
103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,0.015,0.008,0.014,0.012
107,0.002,0.001,0.001,0.003
108,0.0,0.001,0.0,0.0
109,0.006,0.006,0.005,0.006
110,0.001,0.0,0.002,0.0
111,0.0,0.001,0.0,0.0
112,0.0,0.0,0.0,0.0
113,0.002,0.003,0.005,0.005
114,0.011,0.009,0.006,0.009
115,0.0,0.0,0.001,0.0
116,0.0,0.002,0.0,0.001
117,0.0,0.0,0.0,0.001
118,0.001,0.001,0.001,0.0
119,0.002,0.005,0.005,0.006
120,0.001,0.0,0.001,0.001
121,0.002,0.0,0.003,0.001
122,0.002,0.005,0.006,0.004
123,0.0,0.002,0.002,0.003
124,0.007,0.004,0.004,0.004
125,0.003,0.003,0.003,0.002
126,0.002,0.003,0.006,0.002
127,0.002,0.002,0.002,0.005
128,0.002,0.003,0.004,0.005
129,0.002,0.001,0.002,0.002
130,0.002,0.0,0.001,0.0
131,0.004,0.007,0.01,0.004
132,0.001,0.001,0.003,0.002
133,0.004,0.005,0.003,0.003
134,0.004,0.001,0.002,0.001
135,0.005,0.003,0.002,0.005
136,0.001,0.001,0.003,0.002
137,0.0,0.0,0.001,0.001
138,0.004,0.002,0.001,0.004
139,0.0,0.0,0.0,0.0
140,0.006,0.005,0.01,0.005
141,0.0,0.0,0.001,0.001
142,0.007,0.001,0.001,0.002
143,0.002,0.0,0.001,0.001
144,0.0,0.001,0.0,0.0
145,0.002,0.002,0.0,0.0
146,0.001,0.0,0.0,0.0
147,0.008,0.005,0.006,0.011
148,0.003,0.002,0.002,0.003
149,0.002,0.003,0.001,0.001
150,0.002,0.007,0.002,0.001
151,0.003,0.004,0.004,0.003
152,0.0,0.0,0.001,0.0
153,0.005,0.002,0.004,0.004
154,0.002,0.005,0.004,0.004
155,0.001,0.001,0.0,0.002
156,0.0,0.0,0.0,0.0
157,0.003,0.003,0.006,0.004
158,0.007,0.004,0.01,0.009
159,0.004,0.003,0.005,0.002
160,0.004,0.003,0.005,0.004
161,0.002,0.002,0.003,0.005
162,0.008,0.005,0.005,0.004
163,0.005,0.004,0.002,0.002
164,0.001,0.001,0.001,0.007
165,0.003,0.002,0.001,0.002
166,0.004,0.001,0.0,0.003
167,0.004,0.005,0.002,0.004
168,0.001,0.003,0.005,0.001
169,0.001,0.001,0.004,0.002
170,0.0,0.003,0.003,0.0
171,0.007,0.001,0.0,0.002
172,0.002,0.001,0.003,0.001
173,0.001,0.006,0.007,0.003
174,0.001,0.001,0.001,0.001
175,0.0,0.002,0.002,0.001
176,0.001,0.001,0.002,0.001
177,0.001,0.0,0.0,0.005
178,0.002,0.002,0.004,0.003
179,0.004,0.0,0.004,0.001
180,0.004,0.006,0.004,0.005
181,0.002,0.002,0.002,0.001
182,0.0,0.0,0.0,0.0
183,0.004,0.003,0.002,0.003
184,0.002,0.002,0.001,0.001
185,0.003,0.008,0.005,0.007
186,0.006,0.006,0.008,0.005
187,0.002,0.0,0.001,0.001
188,0.0,0.001,0.0,0.001
189,0.003,0.001,0.002,0.003
190,0.001,0.002,0.004,0.005
191,0.009,0.009,0.005,0.009
192,0.0,0.0,0.0,0.0
193,0.0,0.005,0.002,0.001
194,0.005,0.005,0.006,0.008
195,0.006,0.002,0.003,0.004
196,0.0,0.001,0.0,0.0
197,0.0,0.001,0.001,0.0
198,0.0,0.001,0.001,0.001
199,0.002,0.002,0.002,0.003
200,0.002,0.004,0.009,0.006
201,0.002,0.005,0.003,0.001
202,0.002,0.002,0.001,0.001
203,0.002,0.002,0.001,0.001
204,0.0,0.0,0.0,0.0
205,0.011,0.004,0.004,0.003
206,0.0,0.0,0.0,0.0
207,0.001,0.002,0.004,0.002
208,0.001,0.003,0.004,0.006
