w_await,aceph01,aceph02,aceph03,aceph04
0,0.045,0.061,0.07,0.079
1,0.078,0.053,0.073,0.045
2,0.071,0.052,0.066,0.061
3,0.055,0.071,0.091,0.062
4,0.062,0.06,0.075,0.067
5,0.064,0.054,0.061,0.048
6,0.052,0.064,0.064,0.068
7,0.08,0.034,0.089,0.061
8,0.051,0.057,0.064,0.088
9,0.065,0.077,0.055,0.043
10,0.062,0.055,0.057,0.068
11,0.05,0.035,0.078,0.06
12,0.022,0.085,0.037,0.077
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.062,0.108,0.037,0.11
18,0.053,0.048,0.052,0.043
19,0.0,0.0,0.006,0.027
20,0.0,0.0,0.093,0.084
21,0.049,0.031,0.061,0.05
22,0.167,0.0,0.0,0.1
23,0.049,0.051,0.035,0.068
24,0.045,0.047,0.047,0.087
25,0.063,0.036,0.081,0.034
26,0.084,0.089,0.046,0.028
27,0.081,0.053,0.043,0.174
28,0.0,0.0,0.0,0.0
29,0.075,0.026,0.041,0.035
30,0.067,0.039,0.069,0.046
31,0.066,0.031,0.04,0.027
32,0.091,0.014,0.098,0.091
33,0.064,0.055,0.08,0.03
34,0.031,0.0,0.133,0.0
35,0.0,0.0,0.0,0.4
36,0.08,0.045,0.045,0.021
37,0.066,0.065,0.057,0.059
38,0.044,0.058,0.043,0.065
39,0.015,0.053,0.033,0.039
40,0.038,0.011,0.032,0.036
41,0.0,0.0,0.01,0.0
42,0.033,0.043,0.057,0.048
43,0.057,0.052,0.056,0.051
44,0.038,0.076,0.049,0.064
45,0.082,0.06,0.028,0.061
46,0.038,0.029,0.038,0.055
47,0.051,0.044,0.036,0.059
48,0.0,0.0,0.0,0.0
49,0.069,0.035,0.081,0.07
50,0.036,0.065,0.054,0.086
51,0.044,0.1,0.035,0.028
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.215,0.0
54,0.049,0.085,0.033,0.044
55,0.045,0.075,0.066,0.058
56,0.04,0.077,0.07,0.061
57,0.07,0.049,0.065,0.056
58,0.153,0.067,0.069,0.049
59,0.071,0.045,0.039,0.048
60,0.071,0.068,0.023,0.044
61,0.061,0.036,0.02,0.021
62,0.096,0.052,0.043,0.067
63,0.086,0.063,0.061,0.089
64,0.049,0.043,0.045,0.065
65,0.054,0.063,0.08,0.034
66,0.038,0.059,0.043,0.032
67,0.019,0.062,0.008,0.021
68,0.042,0.005,0.034,0.034
69,0.091,0.053,0.042,0.065
70,0.057,0.048,0.042,0.024
71,0.079,0.058,0.089,0.034
72,0.058,0.047,0.03,0.031
73,0.066,0.064,0.052,0.043
74,0.035,0.066,0.044,0.072
75,0.0,0.0,0.0,0.0
76,0.089,0.036,0.078,0.075
77,0.05,0.1,0.092,0.09
78,0.046,0.07,0.049,0.087
79,0.029,0.072,0.072,0.035
80,0.021,0.057,0.108,0.049
81,0.018,0.032,0.101,0.083
82,0.03,0.091,0.056,0.04
83,0.085,0.05,0.022,0.044
84,0.035,0.017,0.026,0.031
85,0.02,0.02,0.136,0.026
86,0.045,0.024,0.052,0.046
87,0.068,0.057,0.102,0.038
88,0.054,0.077,0.047,0.031
89,0.047,0.034,0.058,0.08
90,0.024,0.032,0.072,0.035
91,0.088,0.047,0.03,0.019
92,0.035,0.011,0.078,0.101
93,0.063,0.04,0.041,0.05
94,0.021,0.081,0.026,0.039
95,0.034,0.092,0.04,0.037
96,0.034,0.074,0.014,0.062
97,0.052,0.035,0.077,0.052
98,0.039,0.055,0.046,0.077
99,0.05,0.079,0.037,0.071
100,0.039,0.046,0.106,0.041
101,0.036,0.068,0.06,0.048
102,0.064,0.046,0.069,0.031
103,0.221,0.022,0.2,0.067
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,0.07,0.056,0.067,0.073
107,0.068,0.07,0.023,0.061
108,0.027,0.058,0.014,0.018
109,0.079,0.075,0.06,0.075
110,0.038,0.041,0.057,0.024
