w/s,aceph01,aceph02,aceph03,aceph04
0,179.4,167.8,168.0,176.4
1,185.8,182.9,188.3,190.5
2,193.9,198.5,206.9,199.8
3,198.6,195.9,202.8,202.9
4,191.9,188.4,200.5,195.4
5,198.5,193.5,183.1,201.2
6,189.7,183.0,164.8,189.1
7,190.7,184.9,216.7,195.8
8,178.2,181.1,188.6,171.2
9,190.0,199.2,194.3,172.6
10,164.2,174.0,176.8,156.2
11,23.3,28.4,27.0,20.6
12,32.5,34.8,34.4,32.3
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,36.3,39.7,42.8,55.0
18,118.7,137.6,126.7,153.8
19,6.0,7.7,16.3,8.0
20,13.4,9.6,9.7,9.1
21,84.6,53.1,59.2,44.6
22,5.3,7.7,7.0,4.0
23,21.1,20.0,25.6,24.4
24,37.0,29.7,36.4,35.9
25,90.5,52.1,57.7,77.8
26,75.5,77.8,75.5,80.6
27,38.9,27.6,35.6,30.1
28,0.0,0.0,0.0,0.0
29,50.7,69.1,54.7,46.6
30,71.3,61.1,84.4,84.1
31,19.4,13.4,18.5,14.2
32,29.9,18.4,28.3,24.9
33,125.0,126.7,120.2,144.7
34,6.5,5.0,1.5,4.8
35,1.2,0.8,1.6,1.1
36,14.4,16.9,13.2,16.2
37,63.1,102.8,68.2,72.4
38,37.0,47.9,31.2,41.8
39,94.4,72.3,79.9,76.5
40,27.5,25.0,35.7,28.7
41,9.1,10.4,15.8,11.0
42,31.3,30.6,43.7,38.1
43,129.9,108.3,131.3,110.4
44,145.0,166.3,121.684,134.3
45,64.1,53.9,60.7,69.1
46,23.9,25.5,19.7,22.0
47,139.6,124.1,146.2,137.6
48,0.1,0.0,0.0,0.0
49,68.4,58.2,67.7,74.9
50,133.9,154.5,161.9,130.5
51,72.2,87.5,73.4,63.2
52,0.0,0.0,0.0,0.0
53,0.0,0.0,4.7,0.0
54,31.5,35.8,36.7,40.2
55,153.6,120.6,149.7,138.8
56,95.9,115.6,112.7,105.3
57,83.4,80.1,84.3,97.6
58,133.0,122.4,121.2,114.8
59,83.5,76.6,71.6,79.0
60,67.6,45.6,41.8,55.3
61,19.8,15.7,15.1,25.7
62,26.0,23.5,23.6,38.2
63,33.6,39.8,39.4,38.9
64,80.2,78.4,89.3,83.1
65,105.6,105.8,123.9,104.3
66,59.7,67.1,64.8,63.0
67,13.2,12.5,15.3,12.9
68,18.8,26.3,20.7,20.1
69,45.0,50.8,36.0,38.1
70,48.0,43.0,54.7,71.8
71,86.4,81.7,85.6,73.8
72,84.8,100.6,98.4,76.1
