kbbuffers,aceph01,aceph02,aceph03,aceph04
0,680.0,420.0,708.0,432.0
1,712.0,420.0,708.0,432.0
2,744.0,420.0,708.0,432.0
3,776.0,420.0,716.0,432.0
4,808.0,428.0,720.0,432.0
5,840.0,428.0,720.0,440.0
6,872.0,428.0,720.0,440.0
7,904.0,428.0,720.0,440.0
8,936.0,428.0,724.0,440.0
9,960.0,436.0,728.0,440.0
10,968.0,436.0,728.0,448.0
11,1000.0,436.0,728.0,448.0
12,1032.0,436.0,728.0,448.0
13,1064.0,436.0,732.0,448.0
14,1096.0,444.0,736.0,448.0
15,1128.0,444.0,736.0,456.0
16,1160.0,444.0,736.0,456.0
17,1176.0,444.0,736.0,456.0
18,1208.0,444.0,740.0,456.0
19,1240.0,452.0,744.0,456.0
20,1272.0,452.0,744.0,464.0
21,1288.0,452.0,744.0,464.0
22,1304.0,452.0,744.0,464.0
23,1320.0,452.0,748.0,464.0
24,1352.0,484.0,752.0,464.0
25,1384.0,484.0,752.0,472.0
26,1416.0,484.0,752.0,472.0
27,1448.0,484.0,752.0,472.0
28,1480.0,484.0,756.0,472.0
29,1512.0,492.0,760.0,472.0
30,1544.0,492.0,760.0,480.0
31,1568.0,492.0,760.0,480.0
32,1592.0,492.0,760.0,480.0
33,1608.0,492.0,764.0,480.0
34,1624.0,500.0,768.0,480.0
35,1656.0,500.0,768.0,488.0
36,1688.0,500.0,768.0,488.0
37,1720.0,500.0,768.0,488.0
38,1752.0,500.0,772.0,488.0
39,1784.0,516.0,800.0,488.0
40,1816.0,516.0,800.0,496.0
41,1848.0,516.0,800.0,496.0
42,1880.0,516.0,800.0,496.0
43,1912.0,516.0,804.0,496.0
44,1944.0,520.0,808.0,496.0
45,1976.0,524.0,808.0,504.0
46,2008.0,524.0,808.0,504.0
47,2032.0,524.0,808.0,504.0
48,2040.0,524.0,812.0,504.0
49,2056.0,528.0,816.0,504.0
50,2088.0,532.0,816.0,512.0
51,2120.0,532.0,816.0,512.0
52,2152.0,532.0,816.0,512.0
53,2184.0,532.0,820.0,512.0
54,2216.0,536.0,824.0,512.0
55,2248.0,540.0,824.0,516.0
56,2280.0,540.0,824.0,520.0
57,2312.0,540.0,824.0,520.0
58,2344.0,540.0,828.0,520.0
59,2376.0,544.0,832.0,520.0
60,2408.0,548.0,832.0,524.0
61,2424.0,548.0,832.0,528.0
62,2440.0,548.0,832.0,528.0
63,2456.0,548.0,836.0,528.0
64,2472.0,548.0,840.0,528.0
65,2504.0,556.0,840.0,572.0
66,2536.0,556.0,840.0,572.0
67,2568.0,556.0,840.0,572.0
68,2600.0,556.0,840.0,572.0
69,2632.0,556.0,848.0,572.0
70,2664.0,564.0,848.0,576.0
71,2696.0,564.0,848.0,580.0
72,3004.0,564.0,848.0,580.0
73,3284.0,564.0,848.0,580.0
74,3476.0,564.0,856.0,580.0
75,3508.0,572.0,856.0,584.0
76,3540.0,572.0,856.0,588.0
77,3572.0,572.0,856.0,588.0
78,3604.0,572.0,856.0,588.0
79,3636.0,572.0,864.0,588.0
80,3668.0,580.0,864.0,588.0
81,3700.0,580.0,864.0,596.0
82,3732.0,580.0,864.0,596.0
83,3764.0,580.0,864.0,596.0
84,3796.0,580.0,872.0,596.0
85,3828.0,588.0,872.0,596.0
86,3844.0,588.0,872.0,604.0
87,3860.0,588.0,872.0,604.0
88,3876.0,588.0,872.0,604.0
89,3892.0,588.0,880.0,604.0
