kbcommit,aceph01,aceph02,aceph03,aceph04
0,17169520.0,16322108.0,16608140.0,16249140.0
1,17498928.0,16641716.0,16985868.0,17072144.0
2,17694800.0,16821968.0,17134156.0,17414104.0
3,17841620.0,17001540.0,17266176.0,17588120.0
4,17906884.0,17017484.0,17309652.0,17685800.0
5,17925372.0,17112520.0,17419304.0,17750956.0
6,17971852.0,17127460.0,17371520.0,17768536.0
7,17962652.0,17107612.0,17436048.0,17818236.0
8,17973328.0,17120500.0,17418576.0,17844252.0
9,17969748.0,17112304.0,17458292.0,17844252.0
10,17984932.0,17124888.0,17433080.0,17842956.0
11,18003024.0,17166936.0,17462140.0,17840500.0
12,18016480.0,17153364.0,17436768.0,17844060.0
13,17979308.0,17148128.0,17465168.0,17829408.0
14,18004988.0,17144028.0,17457344.0,17843084.0
15,17999176.0,17161396.0,17454948.0,17851376.0
16,17986752.0,17120104.0,17462092.0,17867788.0
17,18035620.0,17129152.0,17445944.0,17847700.0
18,18015420.0,17135664.0,17455752.0,17819128.0
19,18025684.0,17165516.0,17472020.0,17864840.0
20,17984140.0,17144128.0,17434048.0,17892760.0
21,18029416.0,17153720.0,17443568.0,17887352.0
22,18008740.0,17150460.0,17468508.0,17864592.0
23,18022200.0,17142656.0,17457436.0,17890120.0
24,18000848.0,17152600.0,17449144.0,17897324.0
25,18002308.0,17146452.0,17441460.0,17870892.0
26,17999936.0,17174516.0,17452576.0,17869224.0
27,18009808.0,17152760.0,17452576.0,17878528.0
28,17972596.0,17145568.0,17438380.0,17885912.0
29,18015412.0,17135712.0,17474020.0,17868316.0
30,18031248.0,17144728.0,17469796.0,17873308.0
31,18057684.0,17164144.0,17446948.0,17861176.0
32,18052316.0,17164144.0,17457384.0,17892432.0
33,18031888.0,17176804.0,17489992.0,17886996.0
34,18031360.0,17170596.0,17444712.0,17885548.0
35,18025052.0,17148156.0,17452968.0,17894732.0
36,18000484.0,17168524.0,17445308.0,17890768.0
37,18024056.0,17142588.0,17429316.0,17849436.0
38,18006152.0,17145608.0,17454492.0,17848080.0
39,18000296.0,17131420.0,17446000.0,17876448.0
40,18012608.0,17139216.0,17440460.0,17891068.0
41,18004992.0,17168976.0,17471108.0,17847708.0
42,18037776.0,17166744.0,17434888.0,17896088.0
43,18026076.0,17127888.0,17438744.0,17868060.0
44,17984072.0,17152172.0,17479148.0,17867020.0
45,18007936.0,17127088.0,17438620.0,17861560.0
46,18019376.0,17153372.0,17432152.0,17874060.0
47,18014252.0,17158388.0,17464596.0,17884608.0
48,18022052.0,17186960.0,17457584.0,17859460.0
49,17996144.0,17108116.0,17434844.0,17859536.0
50,17986404.0,17150648.0,17431588.0,17861780.0
51,18017708.0,17141756.0,17476748.0,17862348.0
52,18007616.0,17174120.0,17464824.0,17878824.0
53,18023988.0,17120504.0,17435188.0,17889672.0
54,17986904.0,17163880.0,17461892.0,17900868.0
55,18025268.0,17172672.0,17456416.0,17900868.0
56,17980140.0,17168320.0,17435664.0,17873688.0
57,18023004.0,17139092.0,17451976.0,17852568.0
58,18017336.0,17117220.0,17450848.0,17885296.0
59,18006456.0,17147344.0,17417292.0,17864496.0
60,18033316.0,17139964.0,17460728.0,17850704.0
61,18065940.0,17150076.0,17440192.0,17842412.0
62,17988704.0,17163540.0,17428892.0,17892324.0
63,18037552.0,17162588.0,17452752.0,17875468.0
64,18009908.0,17158848.0,17467780.0,17889912.0
65,18024940.0,17171720.0,17480848.0,17866788.0
66,18033584.0,17165832.0,17473440.0,17864192.0
67,17991600.0,17150224.0,17489636.0,17858012.0
68,18018516.0,17164312.0,17462360.0,17846348.0
69,18008816.0,17149068.0,17442964.0,17895020.0
70,18003340.0,17159180.0,17460228.0,17864408.0
71,18015728.0,17144268.0,17440956.0,17880636.0
72,18000020.0,17127716.0,17453004.0,17892504.0
73,17994888.0,17160672.0,17465324.0,17869520.0
74,18004228.0,17174164.0,17472280.0,17865836.0
75,18020500.0,17174164.0,17478480.0,17849776.0
76,18003152.0,17148844.0,17488592.0,17893304.0
77,18007680.0,17161288.0,17468916.0,17846416.0
78,17969404.0,17147144.0,17442872.0,17890764.0
79,18031956.0,17160808.0,17454520.0,17843204.0
80,18022364.0,17150420.0,17431060.0,17853012.0
81,18019836.0,17123092.0,17446656.0,17867648.0
82,18013736.0,17184924.0,17477652.0,17895400.0
83,17989904.0,17153932.0,17457464.0,17892384.0
84,18003844.0,17132516.0,17447868.0,17874436.0
85,18016044.0,17159400.0,17475532.0,17869136.0
86,18002516.0,17155176.0,17489360.0,17868844.0
87,18018840.0,17183372.0,17485844.0,17895196.0
88,17979644.0,17183372.0,17450484.0,17851376.0
89,18021840.0,17125424.0,17462820.0,17900324.0
90,18027060.0,17136164.0,17469492.0,17853852.0
91,18028228.0,17181248.0,17448316.0,17861568.0
92,17986476.0,17139968.0,17406616.0,17870300.0
93,18018672.0,17162912.0,17444808.0,17848848.0
94,18032276.0,17126648.0,17455960.0,17874320.0
95,18064592.0,17146632.0,17469792.0,17860912.0
96,18001540.0,17176800.0,17443952.0,17858476.0
97,18043032.0,17134540.0,17476620.0,17869280.0
98,18019988.0,17185924.0,17488492.0,17877400.0
99,17994004.0,17144396.0,17471704.0,17877400.0
100,18021156.0,17159808.0,17443040.0,17858276.0
101,18018908.0,17175064.0,17447728.0,17851260.0
102,17991480.0,17144976.0,17437884.0,17878928.0
103,18021940.0,17138224.0,17505000.0,17856344.0
104,18014696.0,17186268.0,17470376.0,17873568.0
105,18047588.0,17202076.0,17468852.0,17886848.0
106,18008956.0,17159596.0,17476080.0,17897324.0
107,18005240.0,17125704.0,17446688.0,17852056.0
108,18032584.0,17130408.0,17463048.0,17864084.0
109,18030212.0,17177800.0,17462940.0,17877260.0
110,18002780.0,17133556.0,17471076.0,17852076.0
111,17995204.0,17164648.0,17447588.0,17861020.0
112,17988472.0,17180752.0,17475728.0,17861072.0
113,18015008.0,17146748.0,17456892.0,17847004.0
114,18032580.0,17138360.0,17451132.0,17875872.0
115,18032800.0,17164096.0,17480204.0,17868452.0
116,18029252.0,17193036.0,17489676.0,17898100.0
