kbdirty,aceph01,aceph02,aceph03,aceph04
0,14428.0,17368.0,16304.0,7096.0
1,23392.0,28332.0,23332.0,15520.0
2,32480.0,34716.0,25928.0,25964.0
3,36112.0,33260.0,33896.0,29624.0
4,41432.0,33756.0,34752.0,35852.0
5,37660.0,29968.0,37424.0,37968.0
6,36844.0,32932.0,38784.0,32272.0
7,39144.0,34572.0,44868.0,37764.0
8,38616.0,36412.0,50752.0,40600.0
9,38260.0,40252.0,53540.0,37596.0
10,40268.0,40004.0,51320.0,40832.0
11,33064.0,37948.0,41748.0,40912.0
12,29228.0,32228.0,31392.0,35412.0
13,26348.0,28544.0,25516.0,29904.0
14,17112.0,23480.0,14028.0,18572.0
15,12244.0,19704.0,8232.0,14436.0
16,10276.0,12308.0,5336.0,10620.0
17,13220.0,7872.0,9024.0,9060.0
18,11740.0,9228.0,11056.0,16632.0
19,10236.0,6188.0,11340.0,18444.0
20,11348.0,6344.0,11284.0,14520.0
21,10520.0,7496.0,7932.0,13164.0
22,9548.0,6708.0,6036.0,12664.0
23,11036.0,6352.0,7320.0,7780.0
24,11900.0,5216.0,5404.0,8336.0
25,12432.0,7552.0,6216.0,7948.0
26,15740.0,11520.0,12132.0,8580.0
27,15696.0,10568.0,10228.0,7500.0
28,14404.0,11984.0,8296.0,6628.0
29,14876.0,13144.0,11972.0,7216.0
30,12280.0,13020.0,10876.0,13660.0
31,11832.0,13752.0,10396.0,13464.0
32,13584.0,10744.0,11828.0,11360.0
33,12052.0,10308.0,13352.0,14180.0
34,10748.0,7940.0,13784.0,9316.0
35,10280.0,7852.0,12528.0,7140.0
36,12956.0,10620.0,6612.0,7776.0
37,10564.0,13232.0,7608.0,9680.0
38,9384.0,11688.0,11416.0,13564.0
39,9516.0,9512.0,8248.0,15252.0
40,9120.0,5952.0,9812.0,19540.0
41,9920.0,5260.0,13008.0,13112.0
42,14084.0,8408.0,15380.0,10332.0
43,19700.0,14920.0,20628.0,10440.0
44,16200.0,17412.0,17892.0,16616.0
45,13112.0,13616.0,18820.0,17004.0
46,12228.0,9288.0,18188.0,18136.0
47,12100.0,11064.0,21040.0,16032.0
48,13264.0,8360.0,18296.0,14948.0
49,18168.0,15708.0,15524.0,12364.0
50,23356.0,21180.0,16860.0,15272.0
51,22468.0,18464.0,16744.0,19376.0
52,20144.0,12396.0,15344.0,18976.0
53,13124.0,11268.0,12620.0,15552.0
54,16012.0,7572.0,14068.0,15668.0
55,17300.0,14928.0,20300.0,11320.0
56,20940.0,20220.0,23768.0,12564.0
57,24560.0,23556.0,18412.0,19492.0
58,28020.0,26124.0,20500.0,19348.0
59,24028.0,24884.0,23512.0,17420.0
60,17924.0,15836.0,16208.0,20868.0
61,13404.0,11436.0,15116.0,19152.0
62,14196.0,10124.0,13796.0,18032.0
63,16776.0,8900.0,16956.0,16608.0
64,17964.0,14148.0,19920.0,21072.0
65,13996.0,15912.0,20168.0,18428.0
66,13004.0,17840.0,15204.0,19192.0
67,5996.0,12408.0,12288.0,17892.0
68,5784.0,14444.0,10396.0,11560.0
69,5260.0,15420.0,8484.0,7464.0
70,8772.0,13928.0,9488.0,5256.0
71,13312.0,13472.0,11992.0,7740.0
72,13848.0,16728.0,18448.0,8828.0
73,14232.0,14568.0,17336.0,12008.0
74,11080.0,6364.0,16552.0,11724.0
75,8528.0,6468.0,12244.0,12428.0
76,9200.0,5792.0,11512.0,5800.0
77,11700.0,7140.0,13464.0,5512.0
78,18588.0,14128.0,12292.0,9700.0
79,16516.0,12720.0,10380.0,12268.0
80,11152.0,14832.0,15280.0,10884.0
81,6368.0,11192.0,14124.0,13592.0
82,6568.0,11664.0,11956.0,10316.0
83,12240.0,12392.0,12544.0,9596.0
84,11708.0,12828.0,12176.0,9516.0
85,14280.0,11972.0,9348.0,9084.0
86,16076.0,13776.0,10832.0,8972.0
87,15884.0,10448.0,10308.0,8940.0
88,14704.0,10844.0,14724.0,10428.0
89,16060.0,11532.0,13496.0,12908.0
90,17220.0,14592.0,17228.0,11964.0
91,15044.0,12588.0,13300.0,14608.0
92,20108.0,15312.0,14568.0,11796.0
93,19560.0,10184.0,15216.0,16136.0
94,18116.0,14168.0,18512.0,14296.0
95,19112.0,16732.0,25248.0,18624.0
96,18780.0,17932.0,20164.0,16536.0
97,16276.0,17148.0,16740.0,14436.0
98,13152.0,17408.0,19420.0,15588.0
99,14732.0,17752.0,19872.0,15304.0
100,9856.0,13948.0,11248.0,20360.0
101,15420.0,15640.0,18520.0,13476.0
102,16068.0,17488.0,17236.0,19352.0
103,11792.0,12328.0,14768.0,15128.0
104,9012.0,11784.0,12912.0,14644.0
105,11368.0,16420.0,16380.0,9040.0
106,14256.0,15964.0,19332.0,14552.0
107,14704.0,11044.0,19964.0,17852.0
108,17052.0,11920.0,17192.0,13848.0
109,15844.0,11512.0,10176.0,14028.0
110,14424.0,8764.0,9300.0,13512.0
111,10336.0,7120.0,7340.0,13592.0
112,10548.0,6192.0,5948.0,13240.0
113,16540.0,14028.0,11740.0,12872.0
114,17852.0,15348.0,14336.0,17152.0
115,15100.0,13792.0,11444.0,16680.0
116,13544.0,11352.0,9264.0,10900.0
117,11436.0,8628.0,7584.0,6076.0
118,14084.0,12236.0,9060.0,5440.0
119,16228.0,12464.0,9524.0,7884.0
120,17308.0,9624.0,11328.0,10336.0
121,18328.0,11428.0,13476.0,12412.0
122,20612.0,14164.0,14820.0,13748.0
123,17176.0,14108.0,15868.0,17572.0
124,15608.0,13864.0,14296.0,11812.0
125,15424.0,13812.0,10852.0,12516.0
126,14664.0,15464.0,12248.0,11840.0
127,16576.0,18832.0,12880.0,13848.0
128,17892.0,13336.0,15624.0,13500.0
129,13580.0,12628.0,14536.0,15940.0
130,14000.0,8704.0,16280.0,13932.0
131,13700.0,13872.0,18532.0,11240.0
132,17392.0,16764.0,19764.0,8080.0
133,16592.0,15380.0,17808.0,11532.0
134,12588.0,14900.0,16292.0,10536.0
135,13168.0,11292.0,14996.0,11928.0
136,13864.0,11076.0,11408.0,13404.0
137,16220.0,11252.0,10492.0,12256.0
138,16292.0,11028.0,9508.0,16600.0
139,14292.0,11820.0,11224.0,13776.0
140,14100.0,11460.0,14540.0,11608.0
141,11812.0,9772.0,15680.0,13076.0
142,10040.0,9024.0,16580.0,14840.0
143,10012.0,10192.0,12992.0,17660.0
144,9420.0,12568.0,13808.0,11224.0
145,8440.0,12136.0,10176.0,13108.0
146,12348.0,13552.0,11516.0,9424.0
147,15492.0,15160.0,14872.0,12732.0
148,15100.0,11612.0,15452.0,13848.0
149,17504.0,15860.0,15412.0,14448.0
150,16876.0,11448.0,12040.0,16152.0
151,17592.0,12156.0,10788.0,16116.0
152,17432.0,12440.0,7676.0,16012.0
153,18656.0,15672.0,11112.0,7900.0
154,17920.0,16332.0,9448.0,11128.0
155,12792.0,13532.0,9992.0,12844.0
156,13736.0,11068.0,10932.0,8296.0
157,15560.0,15156.0,17056.0,11080.0
158,17292.0,15688.0,17204.0,17704.0
159,16700.0,11792.0,18552.0,18288.0
160,20908.0,14448.0,25004.0,18108.0
161,25936.0,16072.0,27008.0,21484.0
162,25760.0,19888.0,26076.0,18464.0
163,22208.0,19300.0,21888.0,19176.0
164,10360.0,17220.0,15124.0,20120.0
165,11464.0,14984.0,12436.0,19608.0
166,13884.0,12472.0,11092.0,20140.0
167,13296.0,8788.0,11936.0,13072.0
168,13632.0,4752.0,11008.0,10688.0
169,10568.0,7352.0,10904.0,9756.0
170,11144.0,8908.0,10012.0,9596.0
171,8900.0,7812.0,8496.0,8688.0
172,10216.0,11724.0,11632.0,8992.0
173,14248.0,11728.0,16760.0,13084.0
174,15768.0,11544.0,18460.0,13520.0
175,15356.0,12632.0,16804.0,15992.0
176,9352.0,13792.0,13328.0,14584.0
177,8172.0,10924.0,11552.0,14520.0
178,14768.0,15256.0,13484.0,13356.0
179,16112.0,16336.0,10920.0,14008.0
180,16852.0,17732.0,14116.0,14956.0
181,16444.0,14240.0,11604.0,18216.0
182,15888.0,13580.0,10628.0,13616.0
183,12456.0,12640.0,10316.0,14512.0
184,10476.0,10960.0,9956.0,10160.0
185,11288.0,12092.0,15788.0,7368.0
186,17576.0,14240.0,18188.0,10212.0
187,18864.0,11904.0,12560.0,11132.0
188,13972.0,12736.0,10492.0,11900.0
189,14228.0,14648.0,15612.0,11868.0
190,17012.0,15636.0,18864.0,15592.0
191,14516.0,13792.0,19344.0,15848.0
192,11276.0,8172.0,18972.0,17008.0
193,15788.0,14436.0,19896.0,12432.0
194,20964.0,15772.0,22320.0,12632.0
195,20712.0,16616.0,16356.0,18796.0
196,19540.0,15964.0,11948.0,18016.0
197,18608.0,16688.0,11976.0,12100.0
198,15036.0,14792.0,7316.0,10960.0
199,12384.0,13016.0,10844.0,8612.0
200,11232.0,8368.0,10076.0,12016.0
201,14824.0,10928.0,15728.0,14088.0
202,16344.0,10724.0,14936.0,17596.0
203,13080.0,9936.0,11488.0,16864.0
204,12228.0,11924.0,12832.0,14160.0
205,11448.0,10980.0,9468.0,13124.0
206,11624.0,10488.0,9584.0,13216.0
207,11928.0,9500.0,11136.0,14732.0
208,12504.0,4836.0,11424.0,15108.0
209,11992.0,3600.0,13400.0,13860.0
210,10860.0,5256.0,11736.0,14496.0
211,16296.0,13872.0,11080.0,12680.0
212,9812.0,15356.0,11772.0,12472.0
213,9936.0,10428.0,11092.0,9788.0
214,9396.0,8524.0,8084.0,5996.0
215,13844.0,13820.0,7700.0,5080.0
216,16312.0,16936.0,10632.0,7436.0
217,11708.0,18636.0,11420.0,13644.0
218,10580.0,13252.0,12924.0,16400.0
219,9968.0,12504.0,13708.0,18400.0
220,9992.0,7940.0,12732.0,15404.0
221,14756.0,11324.0,18304.0,8488.0
222,21944.0,16192.0,20000.0,15644.0
223,19940.0,15908.0,20760.0,18148.0
224,19136.0,13332.0,18172.0,21472.0
225,17840.0,14228.0,17488.0,17620.0
226,13556.0,7076.0,14496.0,16732.0
227,16068.0,10188.0,9820.0,9528.0
228,15052.0,11416.0,8576.0,9524.0
229,15588.0,9432.0,10572.0,9460.0
230,17284.0,11548.0,8384.0,10488.0
231,16276.0,9828.0,8124.0,13344.0
232,14112.0,9112.0,8356.0,16648.0
233,13648.0,8220.0,10832.0,12520.0
234,12864.0,12112.0,11652.0,11692.0
235,13172.0,15176.0,13124.0,15272.0
236,13728.0,15364.0,7924.0,14396.0
237,13552.0,10928.0,9476.0,15436.0
238,17036.0,13580.0,13152.0,13580.0
239,12960.0,12556.0,12972.0,18616.0
240,15296.0,14924.0,17156.0,18260.0
241,14416.0,15784.0,14440.0,18192.0
242,13324.0,19704.0,16288.0,12308.0
243,13384.0,15008.0,12588.0,11944.0
244,11768.0,14328.0,10032.0,10572.0
245,15064.0,17276.0,12504.0,12676.0
246,16840.0,14128.0,18848.0,11136.0
247,12504.0,13796.0,18452.0,18788.0
248,8832.0,9808.0,16032.0,18476.0
249,13952.0,13080.0,18320.0,16668.0
250,15012.0,12580.0,23020.0,12084.0
251,16832.0,18816.0,23924.0,16312.0
252,18032.0,11260.0,18660.0,15156.0
253,15432.0,11728.0,12916.0,15688.0
254,12172.0,15228.0,15264.0,12988.0
255,13276.0,11408.0,13628.0,14836.0
256,12644.0,11536.0,8608.0,10984.0
257,12972.0,12080.0,8968.0,9472.0
258,13008.0,14756.0,6972.0,9568.0
259,13668.0,14952.0,9036.0,11140.0
260,13912.0,10908.0,6600.0,11640.0
261,15372.0,9128.0,11996.0,11108.0
262,17356.0,8140.0,12516.0,14064.0
263,16032.0,8784.0,12148.0,13020.0
264,18696.0,12008.0,15172.0,15024.0
265,17816.0,13120.0,19572.0,13928.0
266,15956.0,13392.0,11192.0,15836.0
267,12744.0,8824.0,8928.0,15080.0
268,14104.0,8064.0,9120.0,13120.0
269,10308.0,9864.0,8644.0,11940.0
270,9332.0,10944.0,8856.0,12344.0
271,14940.0,15424.0,11924.0,13920.0
272,17164.0,14432.0,8828.0,18520.0
273,17088.0,16652.0,10680.0,16076.0
274,11100.0,11600.0,8336.0,13348.0
275,12200.0,17172.0,12332.0,7392.0
276,13024.0,19988.0,15008.0,8576.0
277,14448.0,13872.0,17096.0,10576.0
278,16348.0,16188.0,16444.0,12988.0
279,14928.0,10464.0,15464.0,16316.0
280,12516.0,8600.0,12852.0,14668.0
281,15852.0,14852.0,13828.0,12620.0
282,16312.0,12136.0,12808.0,9516.0
283,14496.0,13960.0,13972.0,8012.0
284,14400.0,16392.0,16092.0,9960.0
285,12728.0,13920.0,14260.0,12388.0
286,11444.0,12648.0,12756.0,12332.0
287,16956.0,13740.0,14488.0,9292.0
288,19412.0,16432.0,14532.0,14136.0
289,16560.0,12852.0,8728.0,16428.0
290,16524.0,14464.0,14940.0,11412.0
291,15152.0,10112.0,17396.0,16132.0
292,14844.0,9112.0,16964.0,18808.0
293,14320.0,10740.0,18224.0,16620.0
294,15852.0,12432.0,15288.0,14776.0
295,15168.0,10228.0,11648.0,14036.0
296,20352.0,11972.0,12068.0,13380.0
297,17284.0,8740.0,10144.0,16072.0
298,18880.0,9888.0,11340.0,16744.0
299,23864.0,17176.0,17128.0,13844.0
