kbinact,aceph01,aceph02,aceph03,aceph04
0,982324.0,1025616.0,1072148.0,1048440.0
1,1004152.0,1049844.0,1092812.0,1076120.0
2,1015960.0,1064836.0,1103756.0,1090548.0
3,1011904.0,1065740.0,1120916.0,1096960.0
4,1021000.0,1079652.0,1134776.0,1107896.0
5,1034672.0,1086984.0,1141440.0,1119236.0
6,1042316.0,1094336.0,1147700.0,1126672.0
7,1050860.0,1108324.0,1159188.0,1135192.0
8,1060572.0,1109492.0,1160096.0,1140816.0
9,1073324.0,1118376.0,1164900.0,1143148.0
10,1066688.0,1099820.0,1167604.0,1149448.0
11,1068404.0,1094572.0,1169044.0,1157180.0
12,1068332.0,1087928.0,1169708.0,1159448.0
13,1073164.0,1088572.0,1170460.0,1153404.0
14,1059084.0,1088576.0,1170388.0,1147276.0
15,1059280.0,1087672.0,1168548.0,1143612.0
16,1057816.0,1086504.0,1156052.0,1142192.0
17,1056656.0,1087756.0,1157256.0,1141296.0
18,1059992.0,1089668.0,1160872.0,1142820.0
19,1060740.0,1089924.0,1158916.0,1146132.0
20,1061136.0,1090252.0,1160332.0,1146064.0
21,1064064.0,1091812.0,1162304.0,1146220.0
22,1063940.0,1091812.0,1161432.0,1145088.0
23,1063984.0,1092372.0,1161300.0,1145268.0
24,1066064.0,1092676.0,1162372.0,1146428.0
25,1068468.0,1094260.0,1163824.0,1148496.0
26,1071636.0,1097784.0,1167092.0,1150860.0
27,1073008.0,1098772.0,1167748.0,1152256.0
28,1071656.0,1099132.0,1167280.0,1152180.0
29,1075148.0,1101956.0,1170876.0,1150604.0
30,1076560.0,1102744.0,1172336.0,1153948.0
31,1078772.0,1102972.0,1171240.0,1155820.0
32,1080380.0,1104468.0,1172824.0,1156404.0
33,1081928.0,1107240.0,1176068.0,1159104.0
34,1082940.0,1108084.0,1176592.0,1162484.0
35,1082020.0,1105884.0,1176400.0,1162516.0
36,1082828.0,1108436.0,1176948.0,1159292.0
37,1085244.0,1111672.0,1178708.0,1159928.0
38,1087784.0,1112224.0,1179816.0,1162944.0
39,1089852.0,1114128.0,1182576.0,1164208.0
40,1090728.0,1114992.0,1183092.0,1167324.0
41,1089928.0,1112892.0,1183644.0,1167504.0
42,1091768.0,1114200.0,1187140.0,1166292.0
43,1098576.0,1119552.0,1191568.0,1167704.0
44,1103408.0,1124228.0,1193304.0,1172304.0
45,1105908.0,1126420.0,1195348.0,1177036.0
46,1107232.0,1127340.0,1197648.0,1179220.0
47,1109608.0,1127880.0,1201508.0,1182108.0
48,1107812.0,1127932.0,1201412.0,1183580.0
49,1112300.0,1131324.0,1205804.0,1182488.0
50,1114812.0,1135492.0,1211220.0,1184396.0
51,1118024.0,1137124.0,1212952.0,1188676.0
52,1117604.0,1137280.0,1210684.0,1190236.0
53,1117616.0,1136688.0,1207916.0,1190312.0
54,1120380.0,1135584.0,1211284.0,1189392.0
55,1123948.0,1139572.0,1214092.0,1191508.0
56,1129324.0,1155120.0,1219700.0,1196592.0
57,1131812.0,1146640.0,1222244.0,1202444.0
58,1139568.0,1150300.0,1225932.0,1202108.0
59,1153504.0,1154756.0,1229020.0,1206704.0
60,1141024.0,1159236.0,1229312.0,1209988.0
61,1139040.0,1159972.0,1225724.0,1209440.0
62,1137108.0,1157344.0,1225900.0,1208064.0
63,1138216.0,1159080.0,1228332.0,1208340.0
64,1142680.0,1163732.0,1232900.0,1210208.0
65,1144640.0,1164872.0,1235616.0,1212828.0
66,1147416.0,1168108.0,1237964.0,1215576.0
67,1146452.0,1160200.0,1237900.0,1217260.0
68,1146264.0,1160048.0,1237372.0,1217116.0
69,1147008.0,1159256.0,1238692.0,1217764.0
70,1147608.0,1160784.0,1239296.0,1218148.0
71,1151228.0,1163508.0,1241648.0,1219832.0
72,1189448.0,1167780.0,1244040.0,1221540.0
73,1175076.0,1170008.0,1244356.0,1223812.0
74,1168948.0,1170808.0,1245116.0,1223992.0
75,1167128.0,1170444.0,1245088.0,1223840.0
76,1156968.0,1169304.0,1246392.0,1223704.0
77,1157508.0,1170316.0,1246972.0,1223680.0
78,1163328.0,1175176.0,1258788.0,1227632.0
79,1165012.0,1176012.0,1262352.0,1232000.0
80,1165900.0,1176952.0,1264904.0,1233024.0
81,1166536.0,1177684.0,1253724.0,1234240.0
82,1167384.0,1177728.0,1254328.0,1233648.0
83,1168464.0,1177488.0,1254748.0,1235424.0
84,1170060.0,1179036.0,1256312.0,1237004.0
85,1171536.0,1180292.0,1257608.0,1236616.0
86,1174744.0,1193432.0,1261996.0,1238320.0
87,1176612.0,1185528.0,1261360.0,1241332.0
88,1178700.0,1186492.0,1264588.0,1247008.0
89,1179856.0,1187724.0,1265980.0,1243324.0
90,1183564.0,1190324.0,1268076.0,1243452.0
91,1185424.0,1191756.0,1267912.0,1246968.0
92,1188404.0,1194196.0,1269056.0,1247012.0
93,1189984.0,1194880.0,1270940.0,1251768.0
94,1202128.0,1199448.0,1274692.0,1253516.0
95,1197536.0,1202668.0,1277580.0,1256988.0
