kbmemused,aceph01,aceph02,aceph03,aceph04
0,8438664.0,8358168.0,8572024.0,8403856.0
1,8435460.0,8377324.0,8593216.0,8481272.0
2,8463480.0,8416136.0,8615124.0,8487764.0
3,8504296.0,8456836.0,8666376.0,8505640.0
4,8487048.0,8456108.0,8661724.0,8548884.0
5,8516744.0,8476472.0,8674736.0,8559492.0
6,8570036.0,8491656.0,8694852.0,8560052.0
7,8570308.0,8517880.0,8748580.0,8576120.0
8,8556132.0,8561704.0,8730448.0,8590604.0
9,8583844.0,8542856.0,8735404.0,8629140.0
10,8576964.0,8529384.0,8745180.0,8604080.0
11,8576036.0,8524112.0,8749832.0,8617012.0
12,8578368.0,8516512.0,8747396.0,8630892.0
13,8583132.0,8516424.0,8743204.0,8625852.0
14,8563040.0,8514560.0,8743688.0,8620600.0
15,8562960.0,8512940.0,8735976.0,8616552.0
16,8554292.0,8507548.0,8713408.0,8614356.0
17,8567044.0,8505988.0,8718312.0,8610268.0
18,8594500.0,8516680.0,8722656.0,8609848.0
19,8565980.0,8551204.0,8748696.0,8608548.0
20,8561940.0,8509404.0,8724068.0,8638756.0
21,8562668.0,8512272.0,8722672.0,8613696.0
22,8564496.0,8512772.0,8723884.0,8610044.0
23,8566668.0,8513316.0,8723124.0,8610204.0
24,8568876.0,8514760.0,8721212.0,8612836.0
25,8572536.0,8516976.0,8723816.0,8608908.0
26,8574996.0,8523368.0,8729428.0,8613688.0
27,8577892.0,8522384.0,8730544.0,8616096.0
28,8575196.0,8524184.0,8729808.0,8617972.0
29,8582628.0,8524812.0,8734688.0,8614568.0
30,8622780.0,8526812.0,8738380.0,8624752.0
31,8641924.0,8542644.0,8733368.0,8627848.0
32,8610760.0,8562772.0,8743592.0,8625200.0
33,8590228.0,8535644.0,8782976.0,8642952.0
34,8592832.0,8536872.0,8735968.0,8674192.0
35,8592908.0,8534524.0,8736232.0,8624656.0
36,8594316.0,8534476.0,8736708.0,8621152.0
37,8600580.0,8538412.0,8741212.0,8621048.0
38,8604676.0,8540552.0,8745140.0,8623400.0
39,8610620.0,8546508.0,8748808.0,8626776.0
40,8612260.0,8544156.0,8752716.0,8633284.0
41,8603648.0,8538312.0,8749944.0,8633148.0
42,8640192.0,8553956.0,8752104.0,8633452.0
43,8612768.0,8558792.0,8760996.0,8638580.0
44,8624576.0,8555432.0,8763376.0,8675156.0
45,8630732.0,8556812.0,8766740.0,8647412.0
46,8624052.0,8558700.0,8787424.0,8655496.0
47,8630776.0,8563312.0,8825848.0,8662448.0
48,8627892.0,8562616.0,8770988.0,8667228.0
49,8632948.0,8571372.0,8777168.0,8667400.0
50,8642460.0,8578520.0,8784524.0,8664548.0
51,8646336.0,8582040.0,8791080.0,8674580.0
52,8654264.0,8611256.0,8782004.0,8678720.0
53,8695456.0,8581268.0,8778188.0,8677552.0
54,8648848.0,8579196.0,8781840.0,8690596.0
55,8653024.0,8586680.0,8788152.0,8692516.0
56,8663108.0,8608628.0,8803936.0,8687524.0
57,8668680.0,8602568.0,8821356.0,8693648.0
58,8676364.0,8609228.0,8804820.0,8685736.0
59,8700388.0,8615900.0,8811864.0,8695112.0
60,8687828.0,8617880.0,8815660.0,8702192.0
61,8739892.0,8618060.0,8809760.0,8697296.0
62,8681368.0,8617556.0,8812796.0,8716016.0
63,8681108.0,8661888.0,8811928.0,8723580.0
64,8688764.0,8626960.0,8819776.0,8693548.0
65,8691300.0,8629144.0,8819628.0,8698420.0
66,8692944.0,8636092.0,8825368.0,8706888.0
67,8689936.0,8630788.0,8872264.0,8707316.0
68,8691896.0,8629544.0,8822436.0,8706600.0
69,8695664.0,8629244.0,8825632.0,8701828.0
70,8699112.0,8626448.0,8828036.0,8703128.0
71,8701308.0,8631824.0,8834776.0,8703904.0
72,8741720.0,8637156.0,8828856.0,8704000.0
73,8726956.0,8641992.0,8825208.0,8707276.0
74,8722824.0,8644432.0,8827348.0,8711760.0
75,8753888.0,8674744.0,8853832.0,8711588.0
76,8702348.0,8641604.0,8870340.0,8739380.0
77,8697424.0,8641116.0,8824284.0,8706008.0
78,8705276.0,8647372.0,8839600.0,8706952.0
79,8710816.0,8653716.0,8848464.0,8712384.0
80,8715560.0,8653520.0,8849568.0,8717084.0
81,8721972.0,8655968.0,8846048.0,8717532.0
82,8722388.0,8656200.0,8849604.0,8718920.0
83,8722344.0,8652028.0,8852712.0,8719968.0
84,8722704.0,8654580.0,8853300.0,8724236.0
85,8724420.0,8659368.0,8856060.0,8723512.0
86,8739376.0,8678904.0,8861628.0,8727648.0
87,8772880.0,8720340.0,8876636.0,8734356.0
