%memused,aceph01,aceph02,aceph03,aceph04
0,25.63,25.39,26.04,25.53
1,25.62,25.45,26.1,25.76
2,25.71,25.57,26.17,25.78
3,25.83,25.69,26.33,25.84
4,25.78,25.69,26.31,25.97
5,25.87,25.75,26.35,26.0
6,26.03,25.8,26.41,26.0
7,26.03,25.88,26.58,26.05
8,25.99,26.01,26.52,26.1
9,26.08,25.95,26.54,26.21
10,26.05,25.91,26.57,26.14
11,26.05,25.89,26.58,26.18
12,26.06,25.87,26.57,26.22
13,26.07,25.87,26.56,26.2
14,26.01,25.87,26.56,26.19
15,26.01,25.86,26.54,26.17
16,25.99,25.84,26.47,26.17
17,26.02,25.84,26.48,26.16
18,26.11,25.87,26.5,26.15
19,26.02,25.98,26.58,26.15
20,26.01,25.85,26.5,26.24
21,26.01,25.86,26.5,26.17
22,26.02,25.86,26.5,26.16
23,26.02,25.86,26.5,26.16
24,26.03,25.87,26.49,26.16
25,26.04,25.87,26.5,26.15
26,26.05,25.89,26.52,26.17
27,26.06,25.89,26.52,26.17
28,26.05,25.89,26.52,26.18
29,26.07,25.9,26.53,26.17
30,26.19,25.9,26.54,26.2
31,26.25,25.95,26.53,26.21
32,26.16,26.01,26.56,26.2
33,26.09,25.93,26.68,26.26
34,26.1,25.93,26.54,26.35
35,26.1,25.93,26.54,26.2
36,26.11,25.93,26.54,26.19
37,26.13,25.94,26.55,26.19
38,26.14,25.94,26.57,26.2
39,26.16,25.96,26.58,26.21
40,26.16,25.95,26.59,26.23
41,26.14,25.94,26.58,26.23
42,26.25,25.98,26.59,26.23
43,26.16,26.0,26.61,26.24
44,26.2,25.99,26.62,26.35
45,26.22,25.99,26.63,26.27
46,26.2,26.0,26.69,26.29
47,26.22,26.01,26.81,26.31
48,26.21,26.01,26.64,26.33
49,26.22,26.04,26.66,26.33
50,26.25,26.06,26.69,26.32
51,26.27,26.07,26.71,26.35
52,26.29,26.16,26.68,26.36
53,26.41,26.07,26.67,26.36
54,26.27,26.06,26.68,26.4
55,26.29,26.08,26.7,26.41
56,26.32,26.15,26.74,26.39
57,26.33,26.13,26.8,26.41
58,26.36,26.15,26.75,26.39
59,26.43,26.17,26.77,26.41
60,26.39,26.18,26.78,26.44
61,26.55,26.18,26.76,26.42
62,26.37,26.18,26.77,26.48
63,26.37,26.31,26.77,26.5
64,26.39,26.21,26.79,26.41
65,26.4,26.21,26.79,26.42
66,26.41,26.23,26.81,26.45
67,26.4,26.22,26.95,26.45
68,26.4,26.21,26.8,26.45
69,26.42,26.21,26.81,26.43
70,26.43,26.2,26.82,26.44
71,26.43,26.22,26.84,26.44
72,26.56,26.24,26.82,26.44
73,26.51,26.25,26.81,26.45
74,26.5,26.26,26.82,26.46
75,26.59,26.35,26.9,26.46
76,26.44,26.25,26.95,26.55
77,26.42,26.25,26.81,26.45
78,26.44,26.27,26.85,26.45
79,26.46,26.29,26.88,26.47
80,26.48,26.29,26.88,26.48
81,26.5,26.29,26.87,26.48
82,26.5,26.3,26.88,26.49
83,26.5,26.28,26.89,26.49
84,26.5,26.29,26.89,26.5
85,26.5,26.3,26.9,26.5
86,26.55,26.36,26.92,26.51
87,26.65,26.49,26.96,26.53
88,26.54,26.44,26.99,26.59
89,26.54,26.37,26.94,26.67
90,26.56,26.38,26.95,26.53
91,26.57,26.38,26.96,26.55
92,26.58,26.39,26.97,26.55
93,26.59,26.39,26.98,26.56
94,26.64,26.42,26.99,26.58
95,26.8,26.41,27.0,26.6
96,26.66,26.41,27.01,26.62
97,26.67,26.42,27.01,26.62
98,26.67,26.55,27.14,26.62
99,26.69,26.43,27.04,26.71
100,26.7,26.45,27.05,26.62
101,26.7,26.48,27.05,26.63
102,26.71,26.49,27.08,26.66
103,26.71,26.5,27.07,26.67
104,26.71,26.49,27.07,26.67
105,26.83,26.59,27.17,26.65
106,26.73,26.56,27.09,26.77
107,26.74,26.52,27.11,26.76
108,26.74,26.52,27.11,26.7
109,26.76,26.54,27.1,26.7
110,26.76,26.54,27.09,26.71
111,26.77,26.54,27.09,26.71
112,26.77,26.54,27.09,26.7
113,26.84,26.55,27.09,26.69
114,26.88,26.55,27.11,26.72
115,26.91,26.54,27.13,26.74
116,26.81,26.63,27.19,26.75
117,26.82,26.55,27.26,26.76
118,26.83,26.55,27.13,26.83
119,26.82,26.54,27.14,26.82
120,26.81,26.55,27.15,26.76
121,26.82,26.57,27.16,26.77
122,26.86,26.59,27.17,26.77
123,26.85,26.59,27.18,26.79
124,26.87,26.6,27.21,26.8
125,26.88,26.61,27.23,26.82
126,26.89,26.62,27.24,26.83
127,26.9,26.6,27.24,26.84
128,27.0,26.69,27.36,26.83
129,26.91,26.6,27.27,26.83
130,26.91,26.61,27.26,26.9
131,26.93,26.62,27.26,26.87
132,26.95,26.64,27.28,26.89
133,26.96,26.65,27.3,26.9
134,26.96,26.66,27.29,26.93
135,26.96,26.67,27.31,26.93
136,26.97,26.67,27.32,26.95
137,26.96,26.67,27.33,26.97
138,26.97,26.68,27.33,26.97
139,27.05,26.84,27.39,26.97
140,27.06,26.68,27.35,27.03
141,26.99,26.69,27.33,27.02
142,27.0,26.7,27.34,26.98
143,26.96,26.7,27.35,26.99
144,26.96,26.7,27.35,27.01
145,26.96,26.7,27.36,27.01
146,26.97,26.71,27.41,27.02
147,26.99,26.74,27.38,27.02
148,27.0,26.76,27.53,26.98
