rxmcst/s,aceph01,aceph02,aceph03,aceph04
0,1.0,1.0,1.0,1.0
1,7.0,7.0,7.0,1.0
2,1.0,0.0,0.0,7.0
3,1.0,2.0,2.0,1.0
4,0.0,0.0,0.0,1.0
5,1.0,1.0,1.0,0.0
6,0.0,0.0,0.0,1.0
7,1.0,1.0,1.0,0.0
8,6.0,6.0,6.0,1.0
9,1.0,1.0,1.0,6.0
10,0.0,0.0,0.0,1.0
11,2.0,2.0,2.0,0.0
12,0.0,0.0,0.0,2.0
13,2.0,2.0,2.0,0.0
14,1.0,1.0,1.0,2.0
15,1.0,1.0,1.0,1.0
16,0.0,0.0,0.0,1.0
17,1.0,1.0,1.0,0.0
18,0.0,0.0,0.0,1.0
19,3.0,3.0,3.0,0.0
20,0.0,0.0,0.0,3.0
21,1.0,1.0,1.0,0.0
22,0.0,0.0,0.0,1.0
23,1.0,1.0,1.0,0.0
24,0.0,0.0,0.0,1.0
25,2.0,2.0,2.0,0.0
26,1.0,1.0,1.0,2.0
27,1.0,1.0,1.0,1.0
28,0.0,0.0,0.0,1.0
29,1.0,1.0,1.0,0.0
30,0.0,0.0,0.0,1.0
31,1.0,1.0,1.0,0.0
32,1.0,0.0,0.0,1.0
33,2.0,3.0,3.0,1.0
34,0.0,0.0,0.0,2.0
35,1.0,1.0,1.0,0.0
36,0.0,0.0,0.0,1.0
37,1.0,1.0,1.0,0.0
38,0.0,0.0,0.0,1.0
39,1.0,0.99,1.0,0.0
40,0.0,0.0,0.0,1.0
41,1.0,1.0,1.0,0.0
42,0.0,0.0,0.0,1.0
43,1.0,1.0,1.0,0.0
44,0.0,0.0,0.0,1.0
45,1.0,1.0,1.0,0.0
46,0.0,0.0,0.0,1.0
47,1.0,1.0,1.0,0.0
48,0.0,0.0,0.0,1.0
49,3.0,3.0,3.0,0.0
50,0.0,0.0,0.0,3.0
51,1.0,1.0,1.0,0.0
52,0.0,0.0,0.0,1.0
53,1.0,1.0,0.0,0.0
54,0.0,0.0,1.0,1.0
55,1.0,1.0,1.0,0.0
56,0.0,0.0,0.0,1.0
57,2.0,2.0,2.0,0.0
58,0.0,0.0,0.0,2.0
59,1.0,0.0,0.0,0.0
60,0.0,1.0,1.0,1.0
61,1.0,1.0,1.0,0.0
62,1.0,1.0,0.0,1.0
63,1.0,1.0,1.98,1.0
64,0.0,0.0,0.0,1.0
65,1.0,0.0,0.0,0.0
66,0.0,1.0,1.0,1.0
67,1.0,0.0,0.0,0.0
68,0.0,1.0,1.0,1.0
69,0.0,0.0,0.0,0.0
70,1.0,1.0,1.0,0.0
71,1.0,1.0,1.0,1.0
72,1.0,1.0,1.0,1.0
73,2.0,2.0,2.0,1.0
74,2.0,2.0,2.0,2.0
75,0.0,0.0,0.0,2.0
76,1.0,1.0,1.0,0.0
77,0.0,0.0,0.0,1.0
78,1.0,1.0,1.0,0.0
79,2.0,2.0,2.0,1.0
80,1.0,1.0,1.0,2.0
81,0.0,0.0,0.0,1.0
82,1.0,1.0,1.0,0.0
83,0.0,0.0,0.0,1.0
84,1.0,1.0,1.0,0.0
85,0.0,0.0,0.0,1.0
86,1.98,2.0,2.0,0.0
87,0.0,0.0,0.0,2.0
88,2.0,2.0,2.0,0.0
89,0.0,0.0,0.0,2.0
90,1.0,1.0,1.0,0.0
91,1.0,1.0,1.0,1.0
92,2.0,2.0,2.0,1.0
93,0.0,0.0,0.0,2.0
94,2.0,2.0,2.0,0.0
95,0.0,0.0,0.0,2.0
96,1.0,1.0,1.0,0.0
97,0.0,0.0,0.0,1.0
98,1.0,1.0,1.0,0.0
99,0.0,0.0,0.0,1.0
100,1.0,1.0,1.0,0.0
101,0.0,0.0,0.0,1.0
102,1.0,1.0,1.0,0.0
103,0.0,0.0,0.0,1.0
104,1.0,1.0,1.0,0.0
105,0.0,0.0,0.0,1.0
106,1.0,1.0,1.0,0.0
107,0.0,0.0,0.0,1.0
108,1.0,1.0,1.0,0.0
109,2.0,2.0,2.0,1.0
110,1.0,1.0,1.0,2.0
111,0.0,0.0,0.0,1.0
112,1.0,1.0,1.0,0.0
113,0.0,0.0,0.0,1.0
114,1.0,1.0,1.0,0.0
115,0.0,0.0,0.0,1.0
116,5.0,5.0,5.0,0.0
117,2.0,2.0,2.0,5.0
118,1.0,1.0,1.0,2.0
119,0.0,0.0,0.0,1.0
120,1.0,1.0,1.0,0.0
