txkB/s,aceph01,aceph02,aceph03,aceph04
0,8690.32,10969.1,11537.5,14300.0
1,9038.05,8921.16,9866.03,12172.2
2,7433.82,7774.69,8902.51,9203.47
3,8012.69,8820.52,9322.44,6949.76
4,7612.42,8161.44,9741.46,8835.34
5,7818.95,6803.88,6132.58,8426.53
6,7825.35,6706.87,6740.45,7502.64
7,7218.11,6501.35,8418.39,7568.28
8,7589.52,7683.78,8758.29,6865.87
9,6160.05,8010.25,7577.19,6866.38
10,3598.74,3537.81,3420.03,6189.81
11,791.0,748.16,812.85,2723.12
12,1353.77,1169.0,1281.65,625.07
13,187.04,200.54,158.77,1279.91
14,84.16,169.62,125.11,307.96
15,174.67,166.91,193.54,117.7
16,132.84,112.51,143.81,167.25
17,3870.58,5105.29,4528.8,167.34
18,1905.69,2027.92,1957.44,5049.56
19,737.96,747.02,1112.78,3064.41
20,2035.21,1492.06,1351.35,659.53
21,1867.59,1146.92,1216.81,1144.34
22,731.68,741.67,859.59,810.42
23,1005.89,1034.32,1556.47,1005.63
24,1789.34,1506.41,1957.48,1420.69
25,3267.27,1798.28,1874.38,2537.44
26,2654.63,2907.05,2913.42,2631.41
27,803.63,593.01,551.74,2405.91
28,1167.5,1947.42,1137.24,504.97
29,3364.4,3038.38,4582.77,1422.25
30,175.5,247.53,268.37,3933.01
31,1901.31,1207.67,1619.34,162.94
32,2396.26,1769.6,2528.08,1484.5
33,2439.85,3619.42,2396.1,3407.53
34,156.6,187.71,187.5,2690.83
35,664.07,690.85,738.84,158.11
36,1574.19,2658.86,1912.55,702.57
37,1820.54,2973.59,1787.26,1676.71
38,2409.93,2347.61,2088.54,2103.08
39,2522.08,2086.05,2015.68,2368.39
40,648.3,639.11,1003.8,2549.17
41,1065.93,1132.99,2193.47,692.99
42,2105.49,2048.6,3149.16,1362.75
43,5301.73,5289.14,4547.25,2090.1
44,3708.88,3988.64,3053.17,4838.43
45,2151.46,2253.87,2555.75,3124.3
46,2865.72,2573.97,2667.65,2161.13
47,2431.82,2604.96,3707.94,3532.09
48,848.61,662.38,675.22,2203.3
49,4125.95,4551.32,4764.53,740.21
50,3493.42,5747.62,5662.77,5825.25
51,1061.04,1008.9,985.82,3614.0
52,184.96,142.13,152.14,742.75
53,1323.97,1633.75,1587.08,160.43
54,2714.11,2473.32,3251.15,1353.59
55,5281.93,4751.57,5159.31,2676.95
56,3699.66,4833.73,5296.89,5125.34
57,1927.0,1765.81,1882.12,6300.79
58,4291.43,4302.68,3678.4,1653.35
