txpck/s,aceph01,aceph02,aceph03,aceph04
0,13402.0,14074.0,15053.0,15321.0
1,12670.0,12660.0,13468.0,15334.0
2,10410.0,10242.0,11066.0,13193.0
3,11514.0,11891.0,12115.0,9785.0
4,11531.0,11027.0,12259.0,11433.0
5,10898.0,9174.0,8866.0,11323.0
6,11577.0,9494.0,9911.0,9958.0
7,9947.0,9446.0,10950.0,10483.0
8,11200.0,10655.0,11706.0,9772.0
9,8760.0,9751.0,9739.0,10018.0
10,5274.0,5212.0,5117.0,8550.0
11,1901.0,1709.0,1811.0,4685.0
12,2194.0,2196.0,2309.0,1787.0
13,1751.0,1323.0,1501.0,2373.0
14,694.0,882.0,432.0,1601.0
15,1511.0,1193.0,1311.0,700.0
16,1278.0,1081.0,1217.0,1540.0
17,6159.0,6399.0,6379.0,1464.0
18,4207.0,3830.0,3967.0,6619.0
19,2037.0,1986.0,2101.0,4357.0
20,3068.0,2821.0,2464.0,2058.0
21,3143.0,2681.0,2725.0,2404.0
22,1799.0,1631.0,1818.0,2373.0
23,2620.0,2264.0,3028.0,1758.0
24,3743.0,3300.0,3500.0,2767.0
25,5086.0,4036.0,4111.0,3625.0
26,4634.0,4273.0,4598.0,4244.0
27,2134.0,1787.0,1862.0,4461.0
28,2175.0,2707.0,2141.0,2047.0
29,5898.0,5459.0,6233.0,2317.0
30,1384.0,1660.0,1395.0,6049.0
31,2842.0,2590.0,2683.0,1331.0
32,4162.0,3407.0,3850.0,2696.0
33,4756.0,5222.0,4667.0,4239.0
34,985.0,734.0,800.0,4593.0
35,1863.0,1633.0,1929.0,728.0
36,3529.0,3964.0,3343.0,1836.0
37,3939.0,4458.0,4095.0,3498.0
38,4153.0,3958.0,3493.0,4044.0
39,4626.0,4200.99,4300.0,3831.0
40,1853.0,1673.0,1753.0,4307.0
41,2203.0,2151.0,3071.0,2054.0
42,3781.0,3813.0,4150.0,2205.0
43,7600.0,7459.0,7204.0,3783.0
44,5555.0,5884.0,5327.0,7448.0
45,3676.0,3254.0,3524.0,5126.0
46,5245.0,4575.0,4966.0,3405.0
47,3930.0,4361.0,4761.0,5228.0
48,1421.0,1325.0,1496.0,3913.0
49,6252.0,6322.0,6390.0,1480.0
50,6465.0,7762.0,7537.0,7478.0
51,2233.0,2405.0,2217.0,5972.0
52,1721.0,1331.0,1445.0,2006.0
53,2666.0,3187.0,2809.0,1518.0
54,4454.0,4189.0,4750.0,2561.0
55,7186.0,6629.0,7001.0,4192.0
56,7246.0,7461.0,7778.0,7183.0
57,3564.0,3962.0,3702.0,8065.0
58,6401.0,6257.0,5932.0,3703.0
59,6409.0,5683.0,5868.0,6028.0
60,2372.0,1949.0,2104.0,6808.0
61,1396.0,1062.0,1097.0,2089.0
62,2416.0,2712.0,2439.0,1360.0
63,5160.0,5209.0,5437.62,2245.0
64,5886.0,6861.0,6294.0,5692.0
65,3960.0,4740.0,4694.0,6032.0
66,2814.0,2528.0,3077.0,4657.0
67,1605.0,1344.0,1635.0,2615.0
68,4126.0,4694.0,3635.0,1356.0
69,1340.0,1385.0,1035.0,4192.0
70,4850.0,4965.0,5198.0,1092.0
71,5153.0,4377.0,4912.0,6307.0
72,4860.0,5581.0,6075.0,4289.0
73,3719.0,3786.0,3516.0,4776.0
74,1142.0,1159.0,731.0,3256.0
75,3523.0,3006.0,3001.0,714.0
76,2576.0,2154.0,2050.0,2966.0
77,4631.0,4881.0,5020.0,1975.0
78,5949.0,7007.0,6516.0,5964.0
79,1432.0,1570.0,1563.0,7394.0
80,3734.0,4516.0,4486.0,1477.0
81,2309.0,2548.0,2959.0,4005.0
82,1863.0,1655.0,1602.0,2675.0
83,5427.0,4469.0,4851.0,1978.0
84,2820.0,2495.0,2089.0,4595.0
85,3729.0,4116.0,3835.0,1971.0
86,4714.85,4646.0,5542.0,3836.0
87,3145.0,3748.0,3702.0,4755.0
88,5420.0,5192.0,4902.0,3283.0
89,2049.0,1693.0,1807.0,4976.0
90,5733.0,5864.0,5051.0,1935.0
91,2407.0,2357.0,2367.0,5166.0
92,5911.0,5079.0,5093.0,2741.0
93,2513.0,2866.0,3196.0,6150.0
94,7970.0,9137.0,7441.0,2607.0
95,4671.0,5563.0,6167.0,7875.0
96,2415.0,2552.0,2366.0,4563.0
97,1768.0,1922.0,1783.0,2438.0
98,5285.0,5119.0,5160.0,1847.0
99,6422.0,6548.0,7762.0,5298.0
100,1593.0,1642.0,1729.0,6232.0
101,9130.0,8104.0,8963.0,1873.0
102,4905.0,5883.0,5606.0,7731.0
103,1115.0,931.0,660.0,4968.0
104,983.0,1147.0,1132.0,770.0
105,6454.0,6564.0,6247.0,1267.0
106,6633.0,5433.0,6018.0,6212.0
107,2633.0,2480.0,2232.0,6582.0
108,3720.0,3973.0,4122.0,2245.0
109,3813.0,4303.0,4712.0,4006.0
110,1495.0,1513.0,1441.0,5038.0
111,1987.0,2142.0,2545.0,1246.0
112,1201.0,1083.0,1155.0,2082.0
113,7660.0,8192.0,7484.0,1536.0
114,5080.0,3882.0,4097.0,8565.0
115,3810.0,4023.0,3915.0,3700.0
116,1695.0,1660.0,1841.0,3488.0
117,2111.0,2000.0,1805.0,1588.0
118,5249.0,5119.0,5351.0,2197.0
119,4542.0,3637.0,3884.0,5401.0
120,3071.0,2932.0,3242.0,3935.0
121,3621.0,3285.0,3812.0,2744.0
122,5155.0,6766.0,5472.0,3799.0
123,3162.0,3265.0,2468.0,5511.0
124,6669.0,6663.0,6694.0,3339.0
125,2897.0,3004.0,2474.0,6086.0
126,4090.0,4791.0,5280.0,2580.0
127,5081.0,5208.0,5523.0,4316.0
128,4274.0,4412.0,4326.0,5661.0
129,3574.0,3156.0,2960.0,5009.0
130,3606.0,3589.0,3612.87,2848.0
131,5558.0,5821.0,6386.0,3250.0
132,6970.0,7165.0,6910.0,5149.0
133,2918.0,3180.0,3292.0,7037.0
134,3645.0,3406.0,3413.0,2952.0
