w_await,aceph01,aceph02,aceph03,aceph04
0,10.65,8.974,8.232,7.275
1,29.633,9.058,21.219,28.098
2,159.59,5.05,128.797,138.091
3,90.322,49.736,256.491,238.762
4,217.111,310.584,369.75,222.948
5,183.362,421.377,335.199,391.386
6,330.513,555.719,518.277,437.97
7,608.67,656.895,317.204,465.432
8,627.82,582.868,385.924,468.351
9,473.564,500.599,582.567,431.098
10,516.755,648.806,371.691,497.36
11,468.163,488.867,364.337,406.212
12,484.614,233.983,451.491,445.664
13,473.221,141.045,551.117,489.179
14,292.445,286.471,566.364,382.227
15,226.951,278.455,626.369,413.114
16,365.112,293.215,787.666,333.751
17,237.075,278.495,400.615,477.177
18,233.844,275.539,199.995,184.091
19,261.563,322.186,147.101,144.732
20,191.34,118.644,74.441,200.411
21,176.089,100.431,258.439,194.734
22,204.446,407.609,286.996,173.226
23,319.396,154.694,250.006,244.523
24,351.99,285.906,105.214,302.357
25,244.635,141.372,334.034,329.975
26,308.514,142.14,135.548,309.442
27,284.072,200.141,152.164,354.506
28,229.952,195.836,176.775,482.734
29,293.954,255.415,190.605,175.027
30,244.463,164.016,229.691,105.571
31,144.167,159.909,201.017,195.956
32,280.665,306.951,117.555,227.868
33,262.68,269.338,162.158,195.579
34,243.154,331.15,308.749,302.136
35,197.67,351.004,204.696,406.706
36,108.064,254.307,188.533,179.872
37,107.116,166.269,258.737,173.023
38,139.867,320.329,207.275,108.443
39,206.226,226.114,169.559,158.995
40,208.825,253.345,231.243,99.624
41,184.302,210.781,189.533,195.207
42,120.145,134.967,196.042,186.343
43,158.493,84.512,255.704,152.347
44,285.197,129.45,217.064,87.17
45,271.814,223.831,197.631,117.966
46,353.94,348.228,164.506,270.83
47,488.672,366.904,235.913,355.265
48,503.878,333.651,292.424,389.437
49,228.959,302.351,267.012,298.423
50,266.628,177.34,463.842,158.914
51,116.344,157.215,432.53,89.479
52,140.047,180.695,374.814,228.241
53,343.058,272.442,239.619,301.059
54,268.572,227.363,131.35,209.37
55,219.468,198.761,133.024,307.294
56,138.167,116.602,89.925,369.698
57,325.435,179.565,227.376,321.093
58,341.259,275.389,346.365,199.833
59,257.889,188.328,376.193,408.644
60,326.366,303.605,416.526,414.738
61,392.62,501.721,498.449,412.783
62,381.603,559.489,187.308,132.551
63,288.087,364.967,196.717,184.175
64,133.886,216.97,195.713,140.365
65,77.241,358.414,219.63,129.606
66,172.279,200.268,338.418,190.381
67,242.252,248.938,293.022,273.604
68,258.817,225.631,381.706,339.202
69,238.133,196.889,230.681,369.061
70,177.745,82.577,295.44,321.141
71,94.274,112.63,190.698,149.799
72,104.83,182.611,597.699,285.102
73,295.024,154.84,269.899,196.135
74,274.74,241.687,130.177,114.266
75,311.588,363.955,147.543,89.133
76,284.7,440.558,173.849,204.097
77,105.442,90.272,265.689,216.259
78,76.1,96.406,139.186,106.808
79,78.627,90.117,505.468,234.981
80,154.385,141.961,241.585,221.43
81,413.451,196.492,272.788,263.464
82,427.307,230.459,171.741,122.634
83,319.637,148.015,120.984,280.964
84,177.277,129.719,96.951,249.89
85,167.934,121.866,214.928,175.918
86,268.911,143.469,209.021,206.852
87,146.244,159.316,204.783,453.621
88,137.516,231.757,181.444,250.334
89,225.115,293.245,217.258,163.119
90,130.77,219.628,296.63,340.797
91,128.566,275.172,187.621,176.347
92,407.204,373.948,175.519,121.149
93,238.596,288.956,134.138,339.707
94,204.675,359.226,122.01,348.826
95,247.021,300.745,214.519,258.61
96,314.52,430.209,232.944,295.908
97,229.2,273.25,258.366,315.971
98,264.74,177.134,294.187,331.967
99,254.647,181.511,297.397,208.017
100,182.453,316.496,332.536,116.17
101,315.531,304.844,355.467,167.431
102,252.864,232.545,411.497,214.195
103,268.152,281.415,581.798,256.655
104,260.569,321.576,280.746,348.408
105,280.344,244.255,196.21,147.991
106,210.37,124.742,170.082,143.328
107,208.797,163.061,214.321,198.322
108,268.425,289.128,274.067,293.089
109,157.228,306.336,341.192,296.779
110,216.55,232.424,375.421,438.315
111,354.347,323.389,443.076,278.727
112,182.215,292.85,356.283,129.758
113,229.678,295.954,296.153,142.294
114,123.134,122.92,47.135,154.734
115,194.903,316.051,67.15,225.02
116,167.328,230.221,128.734,212.425
117,299.788,199.733,214.593,517.341
118,222.7,222.778,203.753,568.212
119,259.808,282.494,262.137,382.123
120,318.264,165.115,365.22,139.596
121,77.291,271.315,142.457,196.79
122,87.448,316.825,120.603,126.637
123,249.804,314.156,108.289,99.78
124,175.964,184.551,109.0,243.48
125,168.179,208.11,273.378,241.653
126,273.471,265.501,447.151,214.436
127,232.185,284.779,350.805,140.848
128,289.315,122.838,239.855,174.427
129,369.188,238.683,400.4,234.013
130,222.213,420.32,273.634,350.868
131,204.607,300.884,247.4,199.57
132,174.36,148.304,385.246,199.195
133,431.938,155.462,215.405,346.102
134,462.229,244.705,358.25,217.564
135,214.928,357.139,328.41,102.41
136,207.24,254.26,280.662,161.505
137,159.868,220.962,416.949,546.145
138,97.549,120.731,351.354,227.778
139,139.945,156.691,357.653,132.477
140,187.346,118.614,272.965,231.588
141,396.691,178.621,152.545,188.802
142,301.112,280.896,120.235,116.599
143,300.529,294.999,172.915,165.315
144,393.206,405.803,66.692,265.605
145,208.718,239.005,179.539,283.553
146,238.969,176.08,214.149,376.078
147,248.467,123.008,173.132,368.736
148,123.865,229.894,210.758,271.915
149,273.334,372.092,336.567,145.488
150,196.609,302.565,125.03,295.807
151,336.082,250.027,131.887,129.42
152,224.238,260.921,138.651,138.462
153,202.147,267.608,226.274,333.024
154,166.99,251.491,109.664,264.98
155,109.294,170.465,255.923,339.308
156,193.468,298.371,271.735,249.537
157,243.955,242.249,193.934,75.561
158,439.657,114.74,367.202,128.299
159,176.97,160.929,216.66,210.723
160,159.945,199.637,141.621,194.895
161,131.52,366.599,120.87,305.738
162,151.554,254.398,274.051,286.175
163,200.373,351.51,504.468,260.151
164,301.19,306.986,378.247,353.555
165,433.962,293.569,324.189,224.94
166,441.626,263.574,436.483,125.351
167,307.186,251.187,206.318,263.128
168,160.533,272.933,238.577,467.131
169,226.894,191.806,407.438,298.486
170,330.165,84.101,244.228,319.048
171,320.368,143.422,303.473,247.822
172,212.109,373.138,203.16,173.806
173,259.379,304.249,284.107,241.729
174,154.671,133.808,77.366,154.182
175,95.367,209.938,89.242,216.075
176,167.832,120.831,166.958,348.888
177,305.994,129.168,214.614,442.958
178,230.041,174.773,240.03,340.535
179,234.244,473.19,150.629,222.833
180,206.632,342.813,367.25,232.634
181,96.757,175.829,475.082,356.424
182,153.318,270.597,192.734,232.058
183,254.891,264.13,102.554,172.162
184,268.877,203.252,180.143,289.071
185,191.161,241.405,249.628,187.811
186,208.06,248.163,167.108,105.493
187,186.005,444.189,206.119,125.064
188,112.508,225.5,390.468,242.406
189,139.856,241.18,302.329,129.135
190,186.792,166.773,235.099,318.929
191,256.042,152.634,181.667,544.389
192,357.619,252.409,393.847,154.05
193,244.862,274.765,364.596,175.438
194,265.32,371.02,167.417,100.943
195,119.877,329.476,227.354,146.698
196,108.431,202.047,306.863,157.113
197,229.814,219.01,471.453,361.962
198,258.191,75.461,322.716,353.027
199,272.192,124.735,329.68,189.91
200,248.886,197.244,267.559,201.483
201,286.684,274.674,162.962,197.172
202,77.063,265.414,225.208,156.251
203,124.518,219.466,91.562,170.409
204,224.369,165.149,159.369,251.121
205,321.296,134.868,150.944,283.932
206,324.364,187.791,164.41,242.338
207,317.432,270.323,106.546,459.94
208,180.273,309.74,202.829,376.325
209,165.972,315.777,222.225,170.949
210,287.329,185.026,242.712,213.094
211,179.667,145.808,164.407,130.401
212,59.954,300.16,77.982,125.361
213,197.128,188.615,88.514,255.137
214,123.111,158.598,99.109,322.429
215,78.493,212.243,219.092,204.112
216,83.358,227.714,183.13,169.264
217,177.252,163.541,213.063,107.593
218,311.242,135.113,349.828,94.911
219,309.809,186.299,358.884,97.995
220,224.277,260.027,128.495,127.082
221,142.681,174.222,205.499,265.434
222,134.328,217.739,398.625,149.831
223,173.857,189.987,253.34,96.473
224,172.717,266.788,305.792,76.603
225,188.554,277.989,283.891,131.07
226,166.152,321.816,307.889,214.001
227,226.277,151.627,203.692,303.96
228,336.265,153.034,220.19,217.975
229,225.7,126.018,344.499,259.927
230,185.863,149.993,241.493,251.701
231,205.559,115.748,265.175,107.136
232,324.405,186.628,228.1,117.646
233,281.672,158.016,166.623,197.305
234,222.709,237.826,109.06,292.93
235,246.752,126.663,120.844,275.281
236,170.519,133.193,250.508,397.008
237,236.099,145.627,163.122,294.584
238,302.485,433.447,187.019,221.909
239,276.423,252.026,314.826,188.0
240,153.347,384.772,137.94,124.754
241,331.569,346.681,69.09,128.372
242,188.05,148.749,133.204,164.763
243,182.309,199.325,143.546,284.568
244,149.793,147.911,151.981,343.106
245,184.437,188.046,218.886,262.516
246,147.055,302.597,343.376,130.629
247,282.684,344.053,346.427,204.776
248,407.082,377.198,484.591,229.418
249,305.952,352.908,226.288,245.969
250,173.658,317.204,245.408,303.5
251,186.11,164.971,180.339,358.257
252,216.164,115.095,164.703,381.117
253,336.573,156.673,342.953,150.053
254,338.931,254.89,386.772,171.797
255,220.962,296.9,462.828,144.691
256,313.325,268.802,316.689,226.818
257,250.015,184.261,331.945,323.035
258,375.535,64.223,356.662,239.398
259,103.522,74.612,254.076,157.485
260,285.439,120.974,269.917,155.907
261,252.467,219.172,255.454,179.435
262,146.186,281.991,222.839,149.933
263,144.663,152.484,84.592,200.278
264,198.106,197.084,64.968,176.883
265,211.412,164.469,107.488,223.343
266,219.304,157.054,119.025,243.643
267,257.637,174.803,229.867,337.133
268,275.717,239.082,236.08,436.724
269,219.033,448.814,248.878,200.403
270,253.218,268.088,269.124,319.67
271,185.077,209.788,193.714,175.523
272,124.637,255.295,174.817,110.003
273,119.689,188.667,248.33,194.673
274,142.67,262.378,105.082,343.676
275,160.246,216.904,213.624,417.19
276,234.374,139.198,213.244,109.114
277,245.383,243.846,219.797,193.403
278,244.137,173.446,194.657,239.945
279,222.35,187.693,283.522,179.644
280,182.271,345.209,321.069,179.516
281,137.288,220.688,250.637,189.31
282,218.885,105.913,207.875,254.071
283,213.712,116.671,255.895,337.201
284,397.8,265.333,346.318,76.828
285,247.339,301.305,146.776,73.175
286,206.631,147.184,178.749,145.867
287,165.963,113.442,278.816,168.802
